s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.005E+001, 1.800E+001, 1.800E+001, 1.801E+001, 5.467E-003, 8.616E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.002E+001, 1.860E+001, 1.807E+001, 1.814E+001, 1.408E+000, 4.617E-001, 1.811E+001, 1.820E+001, 1.894E+001, 0.000E+000
 3.001E+001, 3.132E+001, 2.269E+001, 2.088E+001, 2.421E+000, 2.030E+000, 1.915E+001, 1.998E+001, 2.665E+001, 0.000E+000
 4.001E+001, 5.378E+001, 3.946E+001, 3.764E+001, 3.893E+000, 3.051E+000, 2.206E+001, 2.487E+001, 4.445E+001, 0.000E+000
 5.000E+001, 7.215E+001, 5.737E+001, 5.775E+001, 5.200E+000, 3.652E+000, 2.768E+001, 3.413E+001, 7.276E+001, 0.000E+000
 6.001E+001, 8.991E+001, 7.050E+001, 7.539E+001, 6.047E+000, 4.346E+000, 3.709E+001, 4.925E+001, 1.123E+002, 2.000E+000
 7.001E+001, 1.181E+002, 9.073E+001, 7.882E+001, 6.253E+000, 4.787E+000, 4.864E+001, 6.713E+001, 1.474E+002, 3.000E+000
 8.000E+001, 1.351E+002, 1.184E+002, 7.291E+001, 6.092E+000, 4.920E+000, 5.918E+001, 8.248E+001, 1.642E+002, 4.000E+000
 9.000E+001, 1.514E+002, 1.314E+002, 7.315E+001, 6.425E+000, 4.675E+000, 7.047E+001, 9.835E+001, 1.814E+002, 5.000E+000
 1.000E+002, 1.305E+002, 1.125E+002, 7.422E+001, 6.990E+000, 3.425E+000, 8.169E+001, 1.133E+002, 1.929E+002, 9.000E+000
 1.100E+002, 1.182E+002, 1.024E+002, 6.842E+001, 6.085E+000, 3.359E+000, 9.043E+001, 1.235E+002, 1.864E+002, 9.000E+000
 1.200E+002, 1.067E+002, 9.224E+001, 4.181E+001, 4.728E+000, 3.347E+000, 9.381E+001, 1.248E+002, 1.578E+002, 1.000E+001
 1.300E+002, 8.869E+001, 8.230E+001, 3.399E+001, 4.840E+000, 3.263E+000, 9.516E+001, 1.234E+002, 1.362E+002, 1.100E+001
 1.400E+002, 7.574E+001, 7.610E+001, 3.265E+001, 5.669E+000, 2.876E+000, 9.757E+001, 1.239E+002, 1.321E+002, 1.200E+001
 1.500E+002, 8.800E+001, 7.483E+001, 3.500E+001, 5.926E+000, 3.706E+000, 1.011E+002, 1.264E+002, 1.382E+002, 1.200E+001
 1.600E+002, 1.232E+002, 9.350E+001, 4.738E+001, 6.803E+000, 4.707E+000, 1.072E+002, 1.330E+002, 1.570E+002, 1.300E+001
 1.700E+002, 1.089E+002, 9.784E+001, 5.942E+001, 5.005E+000, 3.853E+000, 1.097E+002, 1.338E+002, 1.462E+002, 1.400E+001
 1.800E+002, 8.809E+001, 7.767E+001, 3.733E+001, 5.990E+000, 3.803E+000, 1.107E+002, 1.324E+002, 1.349E+002, 1.400E+001
 1.900E+002, 1.032E+002, 7.879E+001, 3.665E+001, 6.308E+000, 4.831E+000, 1.138E+002, 1.345E+002, 1.422E+002, 1.400E+001
 2.000E+002, 9.609E+001, 7.884E+001, 3.734E+001, 6.001E+000, 4.165E+000, 1.164E+002, 1.361E+002, 1.443E+002, 1.400E+001
 2.100E+002, 1.055E+002, 8.370E+001, 5.073E+001, 5.050E+000, 4.216E+000, 1.186E+002, 1.373E+002, 1.440E+002, 1.400E+001
 2.200E+002, 9.154E+001, 7.823E+001, 5.262E+001, 5.700E+000, 3.728E+000, 1.191E+002, 1.356E+002, 1.343E+002, 1.400E+001
 2.300E+002, 1.061E+002, 8.372E+001, 5.898E+001, 5.878E+000, 4.271E+000, 1.215E+002, 1.375E+002, 1.426E+002, 1.400E+001
 2.400E+002, 8.930E+001, 7.770E+001, 4.948E+001, 4.645E+000, 3.357E+000, 1.220E+002, 1.363E+002, 1.345E+002, 1.400E+001
 2.500E+002, 8.188E+001, 6.898E+001, 3.991E+001, 5.823E+000, 3.725E+000, 1.227E+002, 1.356E+002, 1.332E+002, 1.400E+001
 2.600E+002, 1.021E+002, 8.274E+001, 5.527E+001, 4.948E+000, 3.532E+000, 1.252E+002, 1.383E+002, 1.451E+002, 1.400E+001
 2.700E+002, 9.744E+001, 7.929E+001, 3.935E+001, 6.015E+000, 4.268E+000, 1.259E+002, 1.378E+002, 1.394E+002, 1.400E+001
 2.800E+002, 1.227E+002, 8.998E+001, 4.338E+001, 6.283E+000, 4.855E+000, 1.290E+002, 1.412E+002, 1.526E+002, 1.400E+001
 2.900E+002, 1.177E+002, 9.448E+001, 4.872E+001, 5.857E+000, 3.949E+000, 1.312E+002, 1.433E+002, 1.541E+002, 1.400E+001
 3.000E+002, 9.457E+001, 8.349E+001, 3.918E+001, 5.642E+000, 3.679E+000, 1.327E+002, 1.443E+002, 1.527E+002, 1.400E+001
 3.100E+002, 1.078E+002, 8.661E+001, 4.128E+001, 7.114E+000, 4.350E+000, 1.351E+002, 1.466E+002, 1.571E+002, 1.400E+001
 3.200E+002, 1.051E+002, 9.093E+001, 5.384E+001, 4.895E+000, 3.477E+000, 1.354E+002, 1.455E+002, 1.455E+002, 1.500E+001
