s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.002E+001, 1.800E+001, 1.800E+001, 1.801E+001, 3.351E-003, 8.263E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.003E+001, 1.807E+001, 1.801E+001, 2.154E+001, 4.079E-001, 1.105E-002, 1.801E+001, 1.802E+001, 1.808E+001, 0.000E+000
 3.002E+001, 1.954E+001, 1.806E+001, 4.369E+001, 1.017E+000, 5.873E-001, 1.816E+001, 1.828E+001, 1.929E+001, 0.000E+000
 4.001E+001, 2.525E+001, 1.943E+001, 7.129E+001, 1.541E+000, 1.070E+000, 1.854E+001, 1.892E+001, 2.192E+001, 0.000E+000
 5.001E+001, 3.735E+001, 2.881E+001, 9.814E+001, 2.754E+000, 1.784E+000, 1.965E+001, 2.080E+001, 2.905E+001, 0.000E+000
 6.001E+001, 5.345E+001, 4.303E+001, 1.360E+002, 3.788E+000, 2.468E+000, 2.201E+001, 2.472E+001, 4.202E+001, 1.000E+000
 7.000E+001, 6.918E+001, 5.762E+001, 1.597E+002, 4.472E+000, 2.875E+000, 2.594E+001, 3.113E+001, 6.016E+001, 3.000E+000
 8.001E+001, 7.420E+001, 6.325E+001, 1.396E+002, 3.625E+000, 2.622E+000, 3.034E+001, 3.801E+001, 7.391E+001, 5.000E+000
 9.000E+001, 7.028E+001, 6.006E+001, 9.844E+001, 2.886E+000, 2.275E+000, 3.304E+001, 4.185E+001, 7.461E+001, 6.000E+000
 1.000E+002, 6.843E+001, 5.914E+001, 1.073E+002, 2.850E+000, 1.673E+000, 3.546E+001, 4.515E+001, 7.531E+001, 9.000E+000
 1.100E+002, 6.933E+001, 5.919E+001, 1.819E+002, 3.822E+000, 2.287E+000, 3.809E+001, 4.868E+001, 7.753E+001, 1.100E+001
 1.200E+002, 9.933E+001, 7.793E+001, 1.739E+002, 4.933E+000, 2.920E+000, 4.390E+001, 5.723E+001, 9.740E+001, 1.100E+001
 1.300E+002, 8.529E+001, 7.400E+001, 1.892E+002, 4.369E+000, 1.928E+000, 4.772E+001, 6.220E+001, 9.838E+001, 1.300E+001
 1.400E+002, 1.019E+002, 8.087E+001, 1.747E+002, 5.204E+000, 2.669E+000, 5.345E+001, 7.011E+001, 1.118E+002, 1.400E+001
 1.500E+002, 8.988E+001, 8.104E+001, 1.097E+002, 4.356E+000, 2.164E+000, 5.755E+001, 7.504E+001, 1.109E+002, 1.400E+001
 1.600E+002, 8.695E+001, 8.122E+001, 1.034E+002, 3.088E+000, 1.163E+000, 6.025E+001, 7.785E+001, 1.069E+002, 1.400E+001
 1.700E+002, 8.831E+001, 7.835E+001, 1.350E+002, 3.293E+000, 1.392E+000, 6.293E+001, 8.057E+001, 1.054E+002, 1.400E+001
 1.800E+002, 7.983E+001, 7.701E+001, 1.645E+002, 1.052E+000, 3.453E-001, 6.403E+001, 8.102E+001, 9.828E+001, 1.500E+001
 1.900E+002, 7.187E+001, 6.973E+001, 1.739E+002, 8.291E-001, 3.401E-001, 6.429E+001, 8.061E+001, 9.231E+001, 1.500E+001
 2.000E+002, 6.943E+001, 6.471E+001, 1.779E+002, 2.592E+000, 7.367E-001, 6.504E+001, 8.076E+001, 8.938E+001, 1.500E+001
 2.100E+002, 7.615E+001, 6.983E+001, 1.607E+002, 2.973E+000, 1.705E+000, 6.645E+001, 8.156E+001, 8.877E+001, 1.600E+001
 2.200E+002, 6.646E+001, 6.802E+001, 1.030E+002, 2.559E+000, 4.823E-001, 6.611E+001, 7.971E+001, 7.807E+001, 1.700E+001
 2.300E+002, 7.285E+001, 6.710E+001, 1.377E+002, 3.546E+000, 1.714E+000, 6.665E+001, 7.922E+001, 7.711E+001, 1.700E+001
 2.400E+002, 7.263E+001, 6.883E+001, 2.133E+002, 1.693E+000, 8.276E-001, 6.731E+001, 7.919E+001, 7.765E+001, 1.700E+001
 2.500E+002, 6.882E+001, 6.643E+001, 1.753E+002, 2.883E+000, 9.072E-001, 6.743E+001, 7.849E+001, 7.517E+001, 1.800E+001
 2.600E+002, 8.325E+001, 7.550E+001, 1.512E+002, 4.676E+000, 2.622E+000, 6.898E+001, 7.986E+001, 8.221E+001, 1.900E+001
 2.700E+002, 7.132E+001, 7.329E+001, 1.887E+002, 2.356E+000, 1.247E+000, 6.942E+001, 7.943E+001, 7.914E+001, 1.900E+001
 2.800E+002, 7.409E+001, 7.053E+001, 1.477E+002, 2.629E+000, 1.362E+000, 6.965E+001, 7.907E+001, 7.787E+001, 1.900E+001
 2.900E+002, 9.084E+001, 8.326E+001, 1.584E+002, 4.193E+000, 2.197E+000, 7.151E+001, 8.117E+001, 8.657E+001, 1.900E+001
 3.000E+002, 7.137E+001, 7.543E+001, 1.768E+002, 2.776E+000, 6.917E-001, 7.141E+001, 8.005E+001, 7.935E+001, 1.900E+001
 3.100E+002, 7.932E+001, 7.322E+001, 1.397E+002, 4.185E+000, 2.141E+000, 7.182E+001, 7.982E+001, 7.902E+001, 1.900E+001
 3.200E+002, 7.964E+001, 7.993E+001, 1.900E+002, 3.788E+000, 2.013E+000, 7.235E+001, 7.978E+001, 7.906E+001, 1.900E+001
