s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.006E+001, 1.801E+001, 1.801E+001, 1.800E+001, 3.885E-003, 9.487E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.002E+001, 2.146E+001, 2.733E+001, 1.801E+001, 1.839E-001, 1.278E+000, 1.800E+001, 1.800E+001, 1.801E+001, 0.000E+000
 3.001E+001, 4.229E+001, 8.298E+001, 1.806E+001, 1.773E+000, 2.863E+000, 1.825E+001, 1.843E+001, 2.000E+001, 0.000E+000
 4.000E+001, 6.404E+001, 1.560E+002, 1.838E+001, 2.242E+000, 3.766E+000, 1.920E+001, 2.006E+001, 2.660E+001, 0.000E+000
 5.000E+001, 9.124E+001, 2.384E+002, 2.619E+001, 2.902E+000, 4.655E+000, 2.125E+001, 2.349E+001, 3.885E+001, 0.000E+000
 6.001E+001, 1.215E+002, 2.842E+002, 3.792E+001, 3.061E+000, 5.406E+000, 2.460E+001, 2.900E+001, 5.562E+001, 2.000E+000
 7.000E+001, 1.643E+002, 3.490E+002, 4.606E+001, 3.925E+000, 6.637E+000, 2.953E+001, 3.698E+001, 7.754E+001, 2.000E+000
 8.000E+001, 1.945E+002, 4.848E+002, 5.861E+001, 3.566E+000, 6.895E+000, 3.670E+001, 4.838E+001, 1.057E+002, 6.000E+000
 9.001E+001, 1.872E+002, 4.635E+002, 6.455E+001, 2.900E+000, 6.535E+000, 4.297E+001, 5.791E+001, 1.207E+002, 9.000E+000
 1.000E+002, 1.991E+002, 4.643E+002, 6.399E+001, 2.743E+000, 7.478E+000, 4.815E+001, 6.540E+001, 1.277E+002, 1.500E+001
 1.100E+002, 1.768E+002, 4.591E+002, 5.713E+001, 2.726E+000, 7.157E+000, 5.229E+001, 7.084E+001, 1.252E+002, 1.900E+001
 1.200E+002, 2.036E+002, 3.895E+002, 5.252E+001, 3.191E+000, 7.926E+000, 5.621E+001, 7.572E+001, 1.234E+002, 2.000E+001
 1.300E+002, 1.772E+002, 4.449E+002, 5.591E+001, 1.792E+000, 7.147E+000, 5.953E+001, 7.970E+001, 1.222E+002, 2.000E+001
 1.400E+002, 1.956E+002, 4.855E+002, 5.214E+001, 2.507E+000, 7.453E+000, 6.215E+001, 8.253E+001, 1.193E+002, 2.000E+001
 1.500E+002, 1.838E+002, 5.082E+002, 5.222E+001, 1.879E+000, 6.840E+000, 6.493E+001, 8.555E+001, 1.186E+002, 2.300E+001
 1.600E+002, 1.719E+002, 4.969E+002, 4.984E+001, 1.889E+000, 6.040E+000, 6.707E+001, 8.761E+001, 1.162E+002, 2.300E+001
 1.700E+002, 1.643E+002, 4.753E+002, 4.386E+001, 1.548E+000, 6.371E+000, 6.859E+001, 8.875E+001, 1.121E+002, 2.400E+001
 1.800E+002, 1.803E+002, 4.999E+002, 4.527E+001, 1.604E+000, 5.878E+000, 7.023E+001, 9.006E+001, 1.102E+002, 2.600E+001
 1.900E+002, 1.510E+002, 4.648E+002, 4.626E+001, 1.132E+000, 5.444E+000, 7.119E+001, 9.047E+001, 1.063E+002, 2.900E+001
 2.000E+002, 1.639E+002, 4.661E+002, 4.507E+001, 1.866E+000, 6.281E+000, 7.230E+001, 9.104E+001, 1.040E+002, 3.000E+001
 2.100E+002, 1.652E+002, 4.626E+002, 4.567E+001, 1.606E+000, 6.093E+000, 7.392E+001, 9.235E+001, 1.053E+002, 3.000E+001
 2.200E+002, 1.610E+002, 4.620E+002, 4.385E+001, 1.440E+000, 5.980E+000, 7.500E+001, 9.298E+001, 1.042E+002, 3.000E+001
 2.300E+002, 1.508E+002, 4.711E+002, 4.400E+001, 1.227E+000, 5.476E+000, 7.601E+001, 9.349E+001, 1.030E+002, 3.200E+001
 2.400E+002, 1.463E+002, 4.423E+002, 4.257E+001, 1.651E+000, 5.623E+000, 7.667E+001, 9.348E+001, 1.002E+002, 3.200E+001
 2.500E+002, 1.486E+002, 4.646E+002, 4.390E+001, 1.471E+000, 6.299E+000, 7.741E+001, 9.353E+001, 9.824E+001, 3.200E+001
 2.600E+002, 1.525E+002, 4.749E+002, 4.153E+001, 1.769E+000, 6.261E+000, 7.814E+001, 9.362E+001, 9.715E+001, 3.200E+001
 2.700E+002, 1.480E+002, 4.809E+002, 4.093E+001, 1.470E+000, 6.589E+000, 7.875E+001, 9.357E+001, 9.577E+001, 3.300E+001
 2.800E+002, 1.525E+002, 4.639E+002, 4.074E+001, 1.478E+000, 6.246E+000, 7.924E+001, 9.337E+001, 9.418E+001, 3.300E+001
 2.900E+002, 1.480E+002, 4.589E+002, 4.317E+001, 1.264E+000, 5.754E+000, 7.961E+001, 9.307E+001, 9.256E+001, 3.300E+001
 3.000E+002, 1.688E+002, 4.671E+002, 4.392E+001, 2.374E+000, 6.731E+000, 8.047E+001, 9.351E+001, 9.483E+001, 3.300E+001
 3.100E+002, 1.564E+002, 5.040E+002, 4.475E+001, 1.332E+000, 6.024E+000, 8.134E+001, 9.400E+001, 9.638E+001, 3.300E+001
 3.200E+002, 1.610E+002, 5.074E+002, 4.211E+001, 1.445E+000, 6.368E+000, 8.188E+001, 9.407E+001, 9.597E+001, 3.300E+001
