s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.004E+001, 1.801E+001, 1.800E+001, 1.801E+001, 5.214E-003, 1.075E-002, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.001E+001, 2.047E+001, 1.807E+001, 1.817E+001, 1.814E+000, 8.609E-001, 1.838E+001, 1.866E+001, 2.113E+001, 0.000E+000
 3.000E+001, 3.507E+001, 2.426E+001, 2.004E+001, 4.562E+000, 1.583E+000, 2.252E+001, 2.573E+001, 5.007E+001, 0.000E+000
 4.000E+001, 6.166E+001, 4.734E+001, 2.564E+001, 6.471E+000, 2.357E+000, 3.312E+001, 4.333E+001, 1.074E+002, 0.000E+000
 5.001E+001, 8.348E+001, 6.562E+001, 3.769E+001, 7.390E+000, 2.972E+000, 5.079E+001, 7.178E+001, 1.814E+002, 0.000E+000
 6.000E+001, 1.115E+002, 8.572E+001, 4.844E+001, 8.759E+000, 4.000E+000, 7.740E+001, 1.135E+002, 2.752E+002, 0.000E+000
 7.001E+001, 1.459E+002, 1.101E+002, 6.224E+001, 9.568E+000, 4.413E+000, 1.133E+002, 1.680E+002, 3.791E+002, 1.000E+000
 8.000E+001, 1.730E+002, 1.358E+002, 6.726E+001, 8.799E+000, 5.112E+000, 1.516E+002, 2.231E+002, 4.468E+002, 4.000E+000
 9.000E+001, 1.768E+002, 1.350E+002, 6.125E+001, 8.434E+000, 5.643E+000, 1.762E+002, 2.532E+002, 4.245E+002, 9.000E+000
 1.000E+002, 1.634E+002, 1.197E+002, 5.225E+001, 8.098E+000, 4.798E+000, 2.006E+002, 2.820E+002, 4.288E+002, 1.000E+001
 1.100E+002, 1.725E+002, 1.312E+002, 3.559E+001, 7.598E+000, 5.710E+000, 2.158E+002, 2.952E+002, 3.927E+002, 1.100E+001
 1.200E+002, 1.475E+002, 1.215E+002, 3.312E+001, 8.087E+000, 4.079E+000, 2.329E+002, 3.113E+002, 3.955E+002, 1.300E+001
 1.300E+002, 1.667E+002, 1.236E+002, 4.203E+001, 6.513E+000, 6.135E+000, 2.429E+002, 3.167E+002, 3.661E+002, 1.300E+001
 1.400E+002, 1.808E+002, 1.206E+002, 4.990E+001, 5.607E+000, 7.207E+000, 2.463E+002, 3.122E+002, 3.206E+002, 1.300E+001
 1.500E+002, 1.872E+002, 1.248E+002, 5.083E+001, 5.793E+000, 6.709E+000, 2.444E+002, 3.004E+002, 2.698E+002, 1.400E+001
 1.600E+002, 1.931E+002, 1.220E+002, 3.748E+001, 7.564E+000, 6.424E+000, 2.488E+002, 2.999E+002, 2.873E+002, 1.400E+001
 1.700E+002, 1.869E+002, 1.220E+002, 4.635E+001, 7.559E+000, 6.883E+000, 2.583E+002, 3.081E+002, 3.252E+002, 1.600E+001
 1.800E+002, 1.847E+002, 1.161E+002, 5.116E+001, 8.446E+000, 5.454E+000, 2.675E+002, 3.158E+002, 3.452E+002, 1.600E+001
 1.900E+002, 1.845E+002, 1.141E+002, 4.019E+001, 8.236E+000, 6.586E+000, 2.784E+002, 3.265E+002, 3.675E+002, 1.700E+001
 2.000E+002, 2.032E+002, 1.247E+002, 4.857E+001, 6.921E+000, 6.973E+000, 2.852E+002, 3.304E+002, 3.558E+002, 1.700E+001
 2.100E+002, 2.003E+002, 1.258E+002, 4.861E+001, 7.646E+000, 7.162E+000, 2.871E+002, 3.270E+002, 3.297E+002, 1.700E+001
 2.200E+002, 1.835E+002, 1.184E+002, 4.317E+001, 6.531E+000, 6.587E+000, 2.894E+002, 3.251E+002, 3.203E+002, 1.700E+001
 2.300E+002, 1.970E+002, 1.256E+002, 5.102E+001, 6.952E+000, 7.285E+000, 2.907E+002, 3.220E+002, 3.100E+002, 1.700E+001
 2.400E+002, 1.912E+002, 1.187E+002, 5.152E+001, 7.121E+000, 7.524E+000, 2.896E+002, 3.156E+002, 2.926E+002, 1.700E+001
 2.500E+002, 2.059E+002, 1.280E+002, 5.551E+001, 8.157E+000, 7.967E+000, 2.911E+002, 3.141E+002, 3.016E+002, 1.700E+001
 2.600E+002, 1.849E+002, 1.108E+002, 5.323E+001, 7.526E+000, 7.587E+000, 2.943E+002, 3.159E+002, 3.158E+002, 1.700E+001
 2.700E+002, 1.745E+002, 1.043E+002, 5.416E+001, 7.895E+000, 7.210E+000, 2.985E+002, 3.197E+002, 3.309E+002, 1.700E+001
 2.800E+002, 1.941E+002, 1.145E+002, 5.177E+001, 8.382E+000, 7.422E+000, 3.028E+002, 3.236E+002, 3.369E+002, 1.700E+001
 2.900E+002, 1.507E+002, 8.935E+001, 4.553E+001, 7.409E+000, 6.296E+000, 3.030E+002, 3.206E+002, 3.177E+002, 1.800E+001
 3.000E+002, 1.670E+002, 9.649E+001, 5.194E+001, 8.657E+000, 6.926E+000, 3.062E+002, 3.233E+002, 3.324E+002, 1.800E+001
 3.100E+002, 1.684E+002, 1.007E+002, 4.909E+001, 7.985E+000, 6.916E+000, 3.155E+002, 3.362E+002, 3.762E+002, 1.800E+001
 3.200E+002, 1.799E+002, 1.083E+002, 5.240E+001, 8.347E+000, 7.541E+000, 3.205E+002, 3.414E+002, 3.686E+002, 1.800E+001
