s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.006E+001, 1.801E+001, 1.801E+001, 1.800E+001, 4.026E-003, 9.510E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.002E+001, 2.147E+001, 2.731E+001, 1.801E+001, 2.083E-001, 1.279E+000, 1.800E+001, 1.800E+001, 1.801E+001, 0.000E+000
 3.002E+001, 4.230E+001, 8.288E+001, 1.806E+001, 1.526E+000, 2.860E+000, 1.819E+001, 1.832E+001, 1.952E+001, 0.000E+000
 4.001E+001, 6.421E+001, 1.551E+002, 1.816E+001, 2.262E+000, 3.810E+000, 1.904E+001, 1.977E+001, 2.551E+001, 0.000E+000
 5.001E+001, 9.240E+001, 2.379E+002, 2.340E+001, 2.781E+000, 4.926E+000, 2.069E+001, 2.254E+001, 3.519E+001, 0.000E+000
 6.001E+001, 1.210E+002, 2.863E+002, 3.242E+001, 2.953E+000, 5.383E+000, 2.341E+001, 2.702E+001, 4.889E+001, 2.000E+000
 7.000E+001, 1.514E+002, 3.390E+002, 3.884E+001, 3.197E+000, 6.247E+000, 2.673E+001, 3.237E+001, 6.259E+001, 2.000E+000
 8.001E+001, 1.848E+002, 4.760E+002, 4.950E+001, 3.395E+000, 6.762E+000, 3.151E+001, 3.993E+001, 8.063E+001, 6.000E+000
 9.001E+001, 1.877E+002, 4.842E+002, 5.205E+001, 2.656E+000, 6.789E+000, 3.596E+001, 4.672E+001, 9.223E+001, 9.000E+000
 1.000E+002, 1.779E+002, 4.497E+002, 5.394E+001, 2.681E+000, 6.848E+000, 4.016E+001, 5.290E+001, 1.003E+002, 1.300E+001
 1.100E+002, 1.637E+002, 4.545E+002, 4.491E+001, 2.131E+000, 6.614E+000, 4.337E+001, 5.727E+001, 1.008E+002, 1.800E+001
 1.200E+002, 1.975E+002, 4.438E+002, 4.213E+001, 2.191E+000, 8.219E+000, 4.585E+001, 6.042E+001, 9.915E+001, 2.000E+001
 1.300E+002, 1.855E+002, 4.547E+002, 4.450E+001, 2.214E+000, 7.240E+000, 4.855E+001, 6.379E+001, 9.921E+001, 2.000E+001
 1.400E+002, 1.863E+002, 4.918E+002, 3.922E+001, 2.280E+000, 6.977E+000, 5.086E+001, 6.644E+001, 9.746E+001, 2.000E+001
 1.500E+002, 1.712E+002, 4.733E+002, 4.118E+001, 1.944E+000, 6.196E+000, 5.276E+001, 6.841E+001, 9.468E+001, 2.200E+001
 1.600E+002, 1.530E+002, 4.825E+002, 4.080E+001, 1.549E+000, 5.831E+000, 5.410E+001, 6.957E+001, 9.130E+001, 2.400E+001
 1.700E+002, 1.412E+002, 4.172E+002, 3.544E+001, 2.092E+000, 6.243E+000, 5.516E+001, 7.023E+001, 8.700E+001, 2.600E+001
 1.800E+002, 1.894E+002, 4.767E+002, 3.809E+001, 2.880E+000, 7.378E+000, 5.661E+001, 7.134E+001, 8.541E+001, 2.600E+001
 1.900E+002, 1.944E+002, 4.554E+002, 4.516E+001, 2.811E+000, 6.882E+000, 5.870E+001, 7.350E+001, 8.883E+001, 2.600E+001
 2.000E+002, 1.594E+002, 3.940E+002, 3.884E+001, 2.056E+000, 5.431E+000, 6.024E+001, 7.482E+001, 8.842E+001, 2.600E+001
 2.100E+002, 1.477E+002, 3.363E+002, 3.697E+001, 1.951E+000, 5.160E+000, 6.109E+001, 7.511E+001, 8.491E+001, 2.700E+001
 2.200E+002, 1.439E+002, 3.963E+002, 3.680E+001, 2.394E+000, 5.715E+000, 6.185E+001, 7.522E+001, 8.185E+001, 2.800E+001
 2.300E+002, 1.439E+002, 4.550E+002, 3.562E+001, 1.563E+000, 5.701E+000, 6.245E+001, 7.518E+001, 7.922E+001, 2.800E+001
 2.400E+002, 1.371E+002, 3.690E+002, 3.852E+001, 2.115E+000, 5.708E+000, 6.290E+001, 7.494E+001, 7.682E+001, 2.900E+001
 2.500E+002, 1.592E+002, 3.940E+002, 3.978E+001, 2.485E+000, 5.479E+000, 6.366E+001, 7.521E+001, 7.738E+001, 2.900E+001
 2.600E+002, 1.505E+002, 4.247E+002, 3.873E+001, 1.837E+000, 5.757E+000, 6.436E+001, 7.545E+001, 7.753E+001, 2.900E+001
 2.700E+002, 1.406E+002, 4.445E+002, 3.714E+001, 1.295E+000, 5.168E+000, 6.473E+001, 7.527E+001, 7.605E+001, 2.900E+001
 2.800E+002, 1.282E+002, 4.332E+002, 3.661E+001, 1.775E+000, 5.283E+000, 6.490E+001, 7.482E+001, 7.380E+001, 2.900E+001
 2.900E+002, 1.552E+002, 4.744E+002, 4.034E+001, 2.032E+000, 6.154E+000, 6.510E+001, 7.438E+001, 7.230E+001, 2.900E+001
 3.000E+002, 1.755E+002, 4.682E+002, 3.996E+001, 2.502E+000, 6.633E+000, 6.596E+001, 7.506E+001, 7.612E+001, 2.900E+001
 3.100E+002, 1.681E+002, 4.798E+002, 3.988E+001, 1.924E+000, 6.327E+000, 6.685E+001, 7.581E+001, 7.889E+001, 2.900E+001
 3.200E+002, 1.699E+002, 5.007E+002, 3.808E+001, 2.165E+000, 6.024E+000, 6.752E+001, 7.622E+001, 7.954E+001, 3.000E+001
