s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.007E+001, 1.801E+001, 1.801E+001, 1.800E+001, 4.067E-003, 9.624E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.000E+001, 2.149E+001, 2.685E+001, 1.801E+001, 2.456E-001, 1.289E+000, 1.800E+001, 1.800E+001, 1.802E+001, 0.000E+000
 3.002E+001, 4.161E+001, 7.607E+001, 1.804E+001, 1.664E+000, 3.029E+000, 1.820E+001, 1.835E+001, 1.963E+001, 0.000E+000
 4.001E+001, 6.522E+001, 1.395E+002, 1.821E+001, 2.431E+000, 4.158E+000, 1.909E+001, 1.987E+001, 2.587E+001, 0.000E+000
 5.000E+001, 8.688E+001, 2.151E+002, 2.622E+001, 3.168E+000, 5.218E+000, 2.085E+001, 2.281E+001, 3.591E+001, 0.000E+000
 6.001E+001, 1.151E+002, 3.097E+002, 3.609E+001, 3.321E+000, 5.726E+000, 2.350E+001, 2.715E+001, 4.841E+001, 2.000E+000
 7.000E+001, 1.429E+002, 3.949E+002, 4.284E+001, 3.179E+000, 6.161E+000, 2.674E+001, 3.231E+001, 6.098E+001, 2.000E+000
 8.001E+001, 1.770E+002, 4.833E+002, 5.246E+001, 3.493E+000, 7.219E+000, 3.080E+001, 3.867E+001, 7.495E+001, 6.000E+000
 9.001E+001, 1.840E+002, 4.628E+002, 5.372E+001, 3.252E+000, 6.976E+000, 3.538E+001, 4.567E+001, 8.816E+001, 8.000E+000
 1.000E+002, 1.777E+002, 4.345E+002, 5.139E+001, 2.932E+000, 7.628E+000, 3.941E+001, 5.155E+001, 9.507E+001, 1.500E+001
 1.100E+002, 1.852E+002, 4.141E+002, 4.648E+001, 3.034E+000, 8.300E+000, 4.305E+001, 5.653E+001, 9.717E+001, 1.700E+001
 1.200E+002, 1.695E+002, 4.770E+002, 4.035E+001, 2.270E+000, 7.588E+000, 4.547E+001, 5.953E+001, 9.497E+001, 2.000E+001
 1.300E+002, 1.836E+002, 4.328E+002, 4.427E+001, 3.105E+000, 7.878E+000, 4.830E+001, 6.297E+001, 9.473E+001, 2.000E+001
 1.400E+002, 1.767E+002, 4.549E+002, 4.713E+001, 3.548E+000, 8.305E+000, 5.079E+001, 6.580E+001, 9.350E+001, 2.000E+001
 1.500E+002, 1.770E+002, 4.660E+002, 4.606E+001, 3.244E+000, 7.717E+000, 5.338E+001, 6.862E+001, 9.293E+001, 2.000E+001
 1.600E+002, 1.679E+002, 4.760E+002, 4.595E+001, 2.172E+000, 6.810E+000, 5.546E+001, 7.075E+001, 9.213E+001, 2.000E+001
 1.700E+002, 1.552E+002, 4.716E+002, 4.602E+001, 2.059E+000, 5.871E+000, 5.679E+001, 7.180E+001, 8.918E+001, 2.100E+001
 1.800E+002, 1.305E+002, 4.345E+002, 4.450E+001, 1.703E+000, 5.579E+000, 5.772E+001, 7.221E+001, 8.480E+001, 2.200E+001
 1.900E+002, 1.276E+002, 3.859E+002, 3.924E+001, 1.849E+000, 6.116E+000, 5.825E+001, 7.201E+001, 7.965E+001, 2.300E+001
 2.000E+002, 1.496E+002, 4.155E+002, 3.776E+001, 2.625E+000, 6.690E+000, 5.890E+001, 7.198E+001, 7.693E+001, 2.500E+001
 2.100E+002, 1.576E+002, 4.577E+002, 4.083E+001, 2.333E+000, 6.147E+000, 5.994E+001, 7.257E+001, 7.747E+001, 2.600E+001
 2.200E+002, 1.614E+002, 4.841E+002, 4.011E+001, 2.648E+000, 6.739E+000, 6.097E+001, 7.320E+001, 7.838E+001, 2.600E+001
 2.300E+002, 1.552E+002, 4.775E+002, 3.999E+001, 2.345E+000, 6.301E+000, 6.206E+001, 7.394E+001, 7.946E+001, 2.600E+001
 2.400E+002, 1.477E+002, 4.667E+002, 4.177E+001, 2.696E+000, 6.672E+000, 6.296E+001, 7.441E+001, 7.934E+001, 2.700E+001
 2.500E+002, 1.529E+002, 4.442E+002, 3.927E+001, 2.675E+000, 7.194E+000, 6.372E+001, 7.466E+001, 7.844E+001, 2.800E+001
 2.600E+002, 1.515E+002, 4.657E+002, 4.163E+001, 2.515E+000, 7.012E+000, 6.450E+001, 7.497E+001, 7.824E+001, 2.800E+001
 2.700E+002, 1.527E+002, 4.655E+002, 4.347E+001, 2.088E+000, 6.833E+000, 6.523E+001, 7.531E+001, 7.849E+001, 2.800E+001
 2.800E+002, 1.533E+002, 4.564E+002, 4.222E+001, 2.635E+000, 7.103E+000, 6.589E+001, 7.556E+001, 7.838E+001, 2.800E+001
 2.900E+002, 1.516E+002, 4.419E+002, 4.132E+001, 2.808E+000, 7.057E+000, 6.664E+001, 7.593E+001, 7.879E+001, 2.800E+001
 3.000E+002, 1.435E+002, 4.370E+002, 4.220E+001, 2.447E+000, 6.738E+000, 6.712E+001, 7.591E+001, 7.758E+001, 2.900E+001
 3.100E+002, 1.495E+002, 4.487E+002, 3.981E+001, 2.615E+000, 6.411E+000, 6.750E+001, 7.577E+001, 7.634E+001, 2.900E+001
 3.200E+002, 1.545E+002, 4.307E+002, 3.842E+001, 2.599E+000, 6.644E+000, 6.808E+001, 7.597E+001, 7.701E+001, 2.900E+001
