s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.001E+001, 1.801E+001, 1.801E+001, 1.800E+001, 8.102E-003, 9.130E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.001E+001, 2.762E+001, 2.114E+001, 1.805E+001, 1.012E+000, 7.744E-001, 1.805E+001, 1.808E+001, 1.840E+001, 0.000E+000
 3.000E+001, 8.175E+001, 4.075E+001, 1.820E+001, 2.478E+000, 1.510E+000, 1.871E+001, 1.922E+001, 2.337E+001, 0.000E+000
 4.000E+001, 1.562E+002, 6.169E+001, 1.967E+001, 3.269E+000, 1.629E+000, 2.035E+001, 2.198E+001, 3.342E+001, 0.000E+000
 5.001E+001, 2.354E+002, 8.362E+001, 3.177E+001, 4.350E+000, 1.766E+000, 2.353E+001, 2.725E+001, 5.009E+001, 0.000E+000
 6.001E+001, 3.183E+002, 1.156E+002, 4.003E+001, 4.356E+000, 1.871E+000, 2.831E+001, 3.494E+001, 7.030E+001, 2.000E+000
 7.000E+001, 3.737E+002, 1.361E+002, 4.901E+001, 5.452E+000, 3.447E+000, 3.470E+001, 4.500E+001, 9.325E+001, 2.000E+000
 8.001E+001, 4.905E+002, 1.790E+002, 5.491E+001, 5.005E+000, 3.583E+000, 4.238E+001, 5.670E+001, 1.145E+002, 6.000E+000
 9.001E+001, 4.754E+002, 1.952E+002, 5.350E+001, 5.118E+000, 4.408E+000, 4.935E+001, 6.674E+001, 1.252E+002, 9.000E+000
 1.000E+002, 4.476E+002, 1.962E+002, 5.240E+001, 5.071E+000, 4.927E+000, 5.558E+001, 7.517E+001, 1.295E+002, 1.200E+001
 1.100E+002, 3.912E+002, 1.622E+002, 4.817E+001, 6.521E+000, 6.771E+000, 6.250E+001, 8.423E+001, 1.362E+002, 1.600E+001
 1.200E+002, 3.972E+002, 1.424E+002, 4.552E+001, 5.537E+000, 6.215E+000, 6.920E+001, 9.260E+001, 1.406E+002, 1.700E+001
 1.300E+002, 4.343E+002, 1.502E+002, 4.176E+001, 6.102E+000, 5.177E+000, 7.503E+001, 9.928E+001, 1.411E+002, 1.900E+001
 1.400E+002, 4.059E+002, 1.864E+002, 4.374E+001, 5.619E+000, 5.373E+000, 7.991E+001, 1.042E+002, 1.375E+002, 1.900E+001
 1.500E+002, 3.402E+002, 2.144E+002, 4.326E+001, 4.442E+000, 8.042E+000, 8.249E+001, 1.055E+002, 1.254E+002, 1.900E+001
 1.600E+002, 3.875E+002, 1.874E+002, 3.736E+001, 4.350E+000, 6.486E+000, 8.363E+001, 1.048E+002, 1.133E+002, 2.000E+001
 1.700E+002, 3.613E+002, 1.782E+002, 3.734E+001, 4.652E+000, 6.565E+000, 8.537E+001, 1.052E+002, 1.106E+002, 2.000E+001
 1.800E+002, 3.556E+002, 1.976E+002, 3.639E+001, 4.635E+000, 7.332E+000, 8.676E+001, 1.051E+002, 1.078E+002, 2.100E+001
 1.900E+002, 4.212E+002, 1.846E+002, 3.748E+001, 4.920E+000, 6.059E+000, 8.848E+001, 1.058E+002, 1.094E+002, 2.200E+001
 2.000E+002, 3.658E+002, 2.023E+002, 3.924E+001, 4.922E+000, 7.443E+000, 9.063E+001, 1.072E+002, 1.131E+002, 2.200E+001
 2.100E+002, 3.797E+002, 1.964E+002, 3.795E+001, 4.586E+000, 7.068E+000, 9.193E+001, 1.074E+002, 1.108E+002, 2.200E+001
 2.200E+002, 3.475E+002, 2.262E+002, 3.698E+001, 4.537E+000, 7.304E+000, 9.314E+001, 1.076E+002, 1.096E+002, 2.200E+001
 2.300E+002, 3.197E+002, 2.065E+002, 3.517E+001, 4.311E+000, 7.442E+000, 9.359E+001, 1.066E+002, 1.049E+002, 2.200E+001
 2.400E+002, 3.634E+002, 1.996E+002, 3.537E+001, 4.751E+000, 6.939E+000, 9.437E+001, 1.064E+002, 1.049E+002, 2.200E+001
 2.500E+002, 4.247E+002, 2.075E+002, 3.643E+001, 4.790E+000, 8.080E+000, 9.535E+001, 1.065E+002, 1.062E+002, 2.400E+001
 2.600E+002, 3.906E+002, 2.029E+002, 3.590E+001, 4.931E+000, 6.809E+000, 9.644E+001, 1.070E+002, 1.083E+002, 2.400E+001
 2.700E+002, 3.689E+002, 2.362E+002, 3.745E+001, 4.724E+000, 7.423E+000, 9.721E+001, 1.070E+002, 1.075E+002, 2.400E+001
 2.800E+002, 3.247E+002, 2.277E+002, 3.714E+001, 4.531E+000, 7.772E+000, 9.733E+001, 1.060E+002, 1.032E+002, 2.400E+001
 2.900E+002, 3.524E+002, 2.254E+002, 3.611E+001, 4.811E+000, 8.324E+000, 9.715E+001, 1.046E+002, 9.902E+001, 2.500E+001
 3.000E+002, 3.228E+002, 2.307E+002, 3.882E+001, 4.459E+000, 7.274E+000, 9.731E+001, 1.040E+002, 9.931E+001, 2.500E+001
 3.100E+002, 3.227E+002, 2.108E+002, 3.586E+001, 4.110E+000, 7.331E+000, 9.732E+001, 1.032E+002, 9.823E+001, 2.500E+001
 3.200E+002, 3.364E+002, 2.164E+002, 3.443E+001, 4.794E+000, 7.806E+000, 9.751E+001, 1.028E+002, 9.945E+001, 2.500E+001
