s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.006E+001, 1.801E+001, 1.801E+001, 1.800E+001, 3.901E-003, 9.576E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.002E+001, 2.146E+001, 2.732E+001, 1.801E+001, 1.902E-001, 1.264E+000, 1.800E+001, 1.800E+001, 1.801E+001, 0.000E+000
 3.000E+001, 4.246E+001, 8.202E+001, 1.804E+001, 1.817E+000, 2.878E+000, 1.827E+001, 1.847E+001, 2.017E+001, 0.000E+000
 4.001E+001, 6.474E+001, 1.558E+002, 1.856E+001, 2.353E+000, 3.897E+000, 1.928E+001, 2.018E+001, 2.708E+001, 0.000E+000
 5.000E+001, 9.116E+001, 2.397E+002, 2.569E+001, 2.888E+000, 4.848E+000, 2.134E+001, 2.365E+001, 3.921E+001, 1.000E+000
 6.000E+001, 1.229E+002, 2.823E+002, 3.642E+001, 2.971E+000, 5.472E+000, 2.460E+001, 2.900E+001, 5.538E+001, 2.000E+000
 7.000E+001, 1.547E+002, 3.679E+002, 4.268E+001, 3.349E+000, 6.132E+000, 2.908E+001, 3.623E+001, 7.480E+001, 2.000E+000
 8.001E+001, 1.804E+002, 5.006E+002, 5.511E+001, 3.389E+000, 6.545E+000, 3.520E+001, 4.594E+001, 9.823E+001, 6.000E+000
 9.001E+001, 1.888E+002, 4.802E+002, 6.156E+001, 3.221E+000, 6.590E+000, 4.175E+001, 5.599E+001, 1.166E+002, 9.000E+000
 1.000E+002, 1.942E+002, 4.506E+002, 6.514E+001, 2.312E+000, 6.997E+000, 4.704E+001, 6.374E+001, 1.257E+002, 1.400E+001
 1.100E+002, 1.737E+002, 4.695E+002, 6.044E+001, 1.333E+000, 6.846E+000, 5.043E+001, 6.831E+001, 1.252E+002, 1.900E+001
 1.200E+002, 1.800E+002, 4.562E+002, 5.668E+001, 1.971E+000, 7.386E+000, 5.290E+001, 7.125E+001, 1.195E+002, 2.000E+001
 1.300E+002, 1.723E+002, 4.184E+002, 5.592E+001, 1.874E+000, 6.953E+000, 5.513E+001, 7.371E+001, 1.144E+002, 2.100E+001
 1.400E+002, 1.973E+002, 4.656E+002, 4.917E+001, 2.261E+000, 7.542E+000, 5.801E+001, 7.712E+001, 1.146E+002, 2.100E+001
 1.500E+002, 1.838E+002, 4.935E+002, 4.639E+001, 2.042E+000, 6.760E+000, 6.119E+001, 8.091E+001, 1.168E+002, 2.200E+001
 1.600E+002, 1.854E+002, 4.905E+002, 4.682E+001, 2.692E+000, 7.058E+000, 6.384E+001, 8.377E+001, 1.160E+002, 2.200E+001
 1.700E+002, 1.733E+002, 4.911E+002, 4.810E+001, 1.861E+000, 6.436E+000, 6.640E+001, 8.647E+001, 1.157E+002, 2.400E+001
 1.800E+002, 1.836E+002, 4.942E+002, 4.436E+001, 1.754E+000, 6.647E+000, 6.838E+001, 8.833E+001, 1.140E+002, 2.500E+001
 1.900E+002, 1.767E+002, 4.784E+002, 4.863E+001, 1.543E+000, 6.327E+000, 7.024E+001, 9.001E+001, 1.128E+002, 2.800E+001
 2.000E+002, 1.749E+002, 4.509E+002, 4.906E+001, 2.326E+000, 6.513E+000, 7.181E+001, 9.130E+001, 1.112E+002, 2.900E+001
 2.100E+002, 1.754E+002, 4.315E+002, 4.927E+001, 1.968E+000, 6.456E+000, 7.390E+001, 9.317E+001, 1.118E+002, 2.900E+001
 2.200E+002, 1.653E+002, 4.788E+002, 4.713E+001, 1.657E+000, 5.981E+000, 7.547E+001, 9.437E+001, 1.106E+002, 2.900E+001
 2.300E+002, 1.640E+002, 4.893E+002, 4.849E+001, 1.702E+000, 6.374E+000, 7.670E+001, 9.512E+001, 1.087E+002, 2.900E+001
 2.400E+002, 1.714E+002, 5.049E+002, 5.001E+001, 1.781E+000, 6.023E+000, 7.796E+001, 9.588E+001, 1.076E+002, 2.900E+001
 2.500E+002, 1.795E+002, 5.127E+002, 4.959E+001, 1.661E+000, 6.665E+000, 7.919E+001, 9.671E+001, 1.075E+002, 3.000E+001
 2.600E+002, 1.848E+002, 4.937E+002, 4.902E+001, 2.026E+000, 6.714E+000, 8.071E+001, 9.797E+001, 1.094E+002, 3.100E+001
 2.700E+002, 1.750E+002, 4.425E+002, 4.589E+001, 2.130E+000, 6.932E+000, 8.228E+001, 9.924E+001, 1.107E+002, 3.100E+001
 2.800E+002, 1.784E+002, 4.922E+002, 4.535E+001, 1.725E+000, 6.349E+000, 8.370E+001, 1.003E+002, 1.115E+002, 3.100E+001
 2.900E+002, 1.787E+002, 4.594E+002, 4.557E+001, 2.430E+000, 6.901E+000, 8.494E+001, 1.011E+002, 1.111E+002, 3.100E+001
 3.000E+002, 1.678E+002, 4.188E+002, 4.669E+001, 2.137E+000, 6.147E+000, 8.620E+001, 1.019E+002, 1.106E+002, 3.100E+001
 3.100E+002, 1.617E+002, 4.362E+002, 4.616E+001, 1.769E+000, 6.143E+000, 8.713E+001, 1.022E+002, 1.090E+002, 3.100E+001
 3.200E+002, 1.510E+002, 4.693E+002, 4.808E+001, 1.508E+000, 5.997E+000, 8.773E+001, 1.022E+002, 1.066E+002, 3.100E+001
