s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.001E+001, 1.801E+001, 1.801E+001, 1.800E+001, 5.876E-003, 9.198E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.000E+001, 2.740E+001, 2.113E+001, 1.805E+001, 1.133E+000, 5.917E-001, 1.806E+001, 1.811E+001, 1.855E+001, 0.000E+000
 3.001E+001, 8.185E+001, 4.141E+001, 1.820E+001, 2.517E+000, 1.573E+000, 1.887E+001, 1.950E+001, 2.452E+001, 0.000E+000
 4.001E+001, 1.531E+002, 6.284E+001, 1.997E+001, 3.226E+000, 1.642E+000, 2.086E+001, 2.285E+001, 3.681E+001, 0.000E+000
 5.001E+001, 2.405E+002, 8.578E+001, 3.184E+001, 4.213E+000, 1.621E+000, 2.481E+001, 2.939E+001, 5.773E+001, 0.000E+000
 6.000E+001, 3.165E+002, 1.134E+002, 4.425E+001, 4.314E+000, 2.059E+000, 3.066E+001, 3.883E+001, 8.287E+001, 2.000E+000
 7.001E+001, 3.370E+002, 1.317E+002, 4.988E+001, 5.455E+000, 4.317E+000, 3.861E+001, 5.134E+001, 1.111E+002, 2.000E+000
 8.001E+001, 4.840E+002, 1.860E+002, 5.691E+001, 5.075E+000, 4.074E+000, 4.867E+001, 6.679E+001, 1.414E+002, 6.000E+000
 9.000E+001, 4.767E+002, 1.977E+002, 5.704E+001, 5.028E+000, 4.077E+000, 5.776E+001, 7.993E+001, 1.558E+002, 1.000E+001
 1.000E+002, 4.607E+002, 1.958E+002, 5.957E+001, 5.073E+000, 5.107E+000, 6.597E+001, 9.106E+001, 1.612E+002, 1.400E+001
 1.100E+002, 4.077E+002, 1.680E+002, 5.362E+001, 7.221E+000, 6.940E+000, 7.440E+001, 1.019E+002, 1.671E+002, 1.800E+001
 1.200E+002, 4.320E+002, 1.602E+002, 4.819E+001, 6.999E+000, 5.838E+000, 8.545E+001, 1.164E+002, 1.841E+002, 1.900E+001
 1.300E+002, 4.854E+002, 1.675E+002, 4.417E+001, 7.101E+000, 4.488E+000, 9.446E+001, 1.272E+002, 1.877E+002, 1.900E+001
 1.400E+002, 4.650E+002, 1.896E+002, 4.463E+001, 6.134E+000, 6.170E+000, 1.032E+002, 1.371E+002, 1.905E+002, 1.900E+001
 1.500E+002, 3.574E+002, 2.137E+002, 4.207E+001, 5.497E+000, 7.444E+000, 1.068E+002, 1.387E+002, 1.682E+002, 2.200E+001
 1.600E+002, 4.480E+002, 1.921E+002, 4.364E+001, 6.275E+000, 4.663E+000, 1.102E+002, 1.401E+002, 1.585E+002, 2.200E+001
 1.700E+002, 4.826E+002, 1.978E+002, 4.234E+001, 6.552E+000, 5.017E+000, 1.149E+002, 1.438E+002, 1.631E+002, 2.200E+001
 1.800E+002, 5.018E+002, 2.196E+002, 4.593E+001, 6.070E+000, 5.922E+000, 1.194E+002, 1.474E+002, 1.664E+002, 2.300E+001
 1.900E+002, 4.111E+002, 2.033E+002, 4.642E+001, 5.733E+000, 7.169E+000, 1.234E+002, 1.502E+002, 1.668E+002, 2.400E+001
 2.000E+002, 3.914E+002, 2.066E+002, 4.495E+001, 5.506E+000, 7.656E+000, 1.254E+002, 1.500E+002, 1.569E+002, 2.400E+001
 2.100E+002, 3.486E+002, 1.986E+002, 4.156E+001, 4.962E+000, 7.500E+000, 1.266E+002, 1.490E+002, 1.493E+002, 2.400E+001
 2.200E+002, 3.374E+002, 2.021E+002, 4.299E+001, 4.890E+000, 7.385E+000, 1.277E+002, 1.480E+002, 1.452E+002, 2.400E+001
 2.300E+002, 3.509E+002, 1.923E+002, 4.167E+001, 4.889E+000, 8.025E+000, 1.286E+002, 1.471E+002, 1.428E+002, 2.500E+001
 2.400E+002, 3.871E+002, 1.798E+002, 4.088E+001, 5.007E+000, 7.570E+000, 1.297E+002, 1.464E+002, 1.424E+002, 2.500E+001
 2.500E+002, 3.518E+002, 2.163E+002, 4.103E+001, 5.329E+000, 8.704E+000, 1.304E+002, 1.455E+002, 1.411E+002, 2.600E+001
 2.600E+002, 3.638E+002, 1.898E+002, 4.047E+001, 4.843E+000, 7.550E+000, 1.315E+002, 1.455E+002, 1.430E+002, 2.700E+001
 2.700E+002, 3.597E+002, 2.038E+002, 4.193E+001, 4.027E+000, 8.102E+000, 1.322E+002, 1.449E+002, 1.418E+002, 2.700E+001
 2.800E+002, 3.103E+002, 2.157E+002, 4.142E+001, 4.707E+000, 7.462E+000, 1.321E+002, 1.434E+002, 1.368E+002, 2.700E+001
 2.900E+002, 3.037E+002, 2.085E+002, 4.471E+001, 4.633E+000, 7.189E+000, 1.320E+002, 1.418E+002, 1.343E+002, 2.700E+001
 3.000E+002, 3.044E+002, 2.111E+002, 4.395E+001, 4.535E+000, 7.708E+000, 1.319E+002, 1.404E+002, 1.321E+002, 2.700E+001
 3.100E+002, 3.160E+002, 1.951E+002, 4.158E+001, 4.650E+000, 7.922E+000, 1.322E+002, 1.399E+002, 1.344E+002, 2.700E+001
 3.200E+002, 2.985E+002, 2.124E+002, 4.223E+001, 4.869E+000, 7.649E+000, 1.323E+002, 1.391E+002, 1.337E+002, 2.700E+001
