s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.005E+001, 1.800E+001, 1.800E+001, 1.801E+001, 5.467E-003, 8.616E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.002E+001, 1.860E+001, 1.807E+001, 1.814E+001, 1.408E+000, 4.617E-001, 1.811E+001, 1.820E+001, 1.894E+001, 0.000E+000
 3.001E+001, 3.132E+001, 2.269E+001, 2.088E+001, 2.421E+000, 2.030E+000, 1.915E+001, 1.998E+001, 2.665E+001, 0.000E+000
 4.001E+001, 5.378E+001, 3.946E+001, 3.764E+001, 3.893E+000, 3.051E+000, 2.206E+001, 2.487E+001, 4.445E+001, 0.000E+000
 5.000E+001, 7.215E+001, 5.737E+001, 5.775E+001, 5.200E+000, 3.652E+000, 2.768E+001, 3.413E+001, 7.276E+001, 0.000E+000
 6.001E+001, 8.991E+001, 7.050E+001, 7.539E+001, 6.047E+000, 4.346E+000, 3.709E+001, 4.925E+001, 1.123E+002, 2.000E+000
 7.001E+001, 1.181E+002, 9.073E+001, 7.882E+001, 6.253E+000, 4.787E+000, 4.864E+001, 6.713E+001, 1.474E+002, 3.000E+000
 8.001E+001, 1.331E+002, 1.173E+002, 7.252E+001, 6.303E+000, 4.870E+000, 5.826E+001, 8.085E+001, 1.563E+002, 4.000E+000
 9.001E+001, 1.427E+002, 1.260E+002, 7.150E+001, 6.791E+000, 5.474E+000, 6.520E+001, 8.940E+001, 1.481E+002, 5.000E+000
 1.000E+002, 1.306E+002, 1.124E+002, 7.764E+001, 6.863E+000, 4.243E+000, 7.186E+001, 9.712E+001, 1.445E+002, 8.000E+000
 1.100E+002, 1.138E+002, 9.852E+001, 7.153E+001, 5.659E+000, 3.400E+000, 7.664E+001, 1.016E+002, 1.355E+002, 8.000E+000
 1.200E+002, 9.355E+001, 8.858E+001, 3.905E+001, 4.630E+000, 2.655E+000, 8.025E+001, 1.046E+002, 1.298E+002, 8.000E+000
 1.300E+002, 9.061E+001, 7.657E+001, 3.795E+001, 5.151E+000, 3.490E+000, 8.288E+001, 1.061E+002, 1.237E+002, 1.000E+001
 1.400E+002, 9.295E+001, 8.280E+001, 3.818E+001, 5.517E+000, 3.525E+000, 8.637E+001, 1.089E+002, 1.257E+002, 1.000E+001
 1.500E+002, 8.484E+001, 7.613E+001, 3.538E+001, 5.289E+000, 3.384E+000, 8.922E+001, 1.109E+002, 1.250E+002, 1.100E+001
 1.600E+002, 9.031E+001, 7.732E+001, 4.175E+001, 5.253E+000, 3.198E+000, 9.278E+001, 1.141E+002, 1.306E+002, 1.100E+001
 1.700E+002, 1.013E+002, 8.654E+001, 4.949E+001, 6.062E+000, 3.684E+000, 9.603E+001, 1.168E+002, 1.323E+002, 1.100E+001
 1.800E+002, 1.120E+002, 9.295E+001, 4.071E+001, 5.309E+000, 4.211E+000, 9.899E+001, 1.190E+002, 1.332E+002, 1.200E+001
 1.900E+002, 9.502E+001, 8.418E+001, 4.075E+001, 5.001E+000, 3.377E+000, 1.019E+002, 1.214E+002, 1.355E+002, 1.500E+001
 2.000E+002, 8.865E+001, 7.998E+001, 3.607E+001, 5.501E+000, 3.922E+000, 1.048E+002, 1.238E+002, 1.379E+002, 1.500E+001
 2.100E+002, 9.562E+001, 7.828E+001, 3.722E+001, 6.540E+000, 4.416E+000, 1.089E+002, 1.282E+002, 1.484E+002, 1.500E+001
 2.200E+002, 9.979E+001, 8.609E+001, 4.890E+001, 6.052E+000, 3.401E+000, 1.137E+002, 1.336E+002, 1.569E+002, 1.600E+001
 2.300E+002, 8.816E+001, 8.075E+001, 4.168E+001, 5.107E+000, 3.459E+000, 1.142E+002, 1.317E+002, 1.369E+002, 1.600E+001
 2.400E+002, 8.974E+001, 7.223E+001, 3.252E+001, 5.911E+000, 4.150E+000, 1.151E+002, 1.310E+002, 1.324E+002, 1.700E+001
 2.500E+002, 1.004E+002, 7.554E+001, 3.412E+001, 6.404E+000, 5.064E+000, 1.180E+002, 1.337E+002, 1.424E+002, 1.700E+001
 2.600E+002, 1.176E+002, 8.848E+001, 4.764E+001, 6.390E+000, 4.643E+000, 1.229E+002, 1.398E+002, 1.612E+002, 1.700E+001
 2.700E+002, 1.290E+002, 1.007E+002, 6.163E+001, 6.532E+000, 4.816E+000, 1.269E+002, 1.441E+002, 1.658E+002, 1.700E+001
 2.800E+002, 1.171E+002, 9.434E+001, 6.129E+001, 6.735E+000, 4.155E+000, 1.300E+002, 1.470E+002, 1.654E+002, 1.700E+001
 2.900E+002, 1.134E+002, 9.126E+001, 5.852E+001, 7.117E+000, 4.241E+000, 1.337E+002, 1.507E+002, 1.689E+002, 1.700E+001
 3.000E+002, 1.322E+002, 9.650E+001, 5.559E+001, 6.400E+000, 4.856E+000, 1.364E+002, 1.528E+002, 1.666E+002, 1.700E+001
 3.100E+002, 1.354E+002, 1.029E+002, 6.459E+001, 7.168E+000, 5.341E+000, 1.391E+002, 1.550E+002, 1.678E+002, 1.700E+001
 3.200E+002, 1.151E+002, 1.018E+002, 7.326E+001, 5.707E+000, 3.773E+000, 1.418E+002, 1.573E+002, 1.689E+002, 1.700E+001
