s,C,C,C,m/s,m/s,C,C,C,
Time,"TC Array 1","TC Array 2","TC Array 3","Velocity Probe 1","Velocity Probe 2","Slow","Medium","Fast","Acts"
 3.800E+002, 2.203E+001, 2.234E+001, 1.219E+002, 1.341E+000, 1.106E+000, 4.511E+001, 4.296E+001, 2.537E+001, 2.500E+001
 3.900E+002, 2.177E+001, 2.212E+001, 1.234E+002, 1.267E+000, 1.013E+000, 4.420E+001, 4.152E+001, 2.430E+001, 2.500E+001
 4.000E+002, 2.143E+001, 2.160E+001, 1.065E+002, 1.346E+000, 1.039E+000, 4.337E+001, 4.029E+001, 2.392E+001, 2.500E+001
 4.100E+002, 2.332E+001, 2.111E+001, 1.110E+002, 1.286E+000, 1.072E+000, 4.272E+001, 3.936E+001, 2.479E+001, 2.500E+001
 4.200E+002, 2.210E+001, 2.174E+001, 1.226E+002, 1.255E+000, 8.770E-001, 4.199E+001, 3.833E+001, 2.449E+001, 2.500E+001
 4.300E+002, 2.312E+001, 2.101E+001, 1.203E+002, 1.362E+000, 1.084E+000, 4.134E+001, 3.745E+001, 2.465E+001, 2.500E+001
 4.400E+002, 2.227E+001, 2.063E+001, 1.116E+002, 1.372E+000, 8.298E-001, 4.073E+001, 3.667E+001, 2.509E+001, 2.500E+001
 4.500E+002, 2.306E+001, 2.088E+001, 1.108E+002, 1.363E+000, 1.008E+000, 4.005E+001, 3.577E+001, 2.467E+001, 2.500E+001
 4.600E+002, 2.214E+001, 2.123E+001, 1.119E+002, 1.330E+000, 9.701E-001, 3.941E+001, 3.497E+001, 2.442E+001, 2.500E+001
 4.700E+002, 2.286E+001, 2.134E+001, 1.097E+002, 1.360E+000, 9.716E-001, 3.885E+001, 3.430E+001, 2.469E+001, 2.500E+001
 4.800E+002, 2.427E+001, 2.076E+001, 1.154E+002, 1.445E+000, 1.047E+000, 3.833E+001, 3.372E+001, 2.507E+001, 2.500E+001
 4.900E+002, 2.409E+001, 2.206E+001, 1.147E+002, 1.286E+000, 9.525E-001, 3.781E+001, 3.314E+001, 2.511E+001, 2.500E+001
 5.000E+002, 2.265E+001, 2.296E+001, 1.112E+002, 1.244E+000, 9.594E-001, 3.724E+001, 3.247E+001, 2.453E+001, 2.500E+001
 5.100E+002, 2.483E+001, 2.218E+001, 1.232E+002, 1.381E+000, 1.077E+000, 3.674E+001, 3.193E+001, 2.448E+001, 2.500E+001
 5.200E+002, 2.243E+001, 2.160E+001, 1.066E+002, 1.295E+000, 9.215E-001, 3.623E+001, 3.137E+001, 2.422E+001, 2.500E+001
 5.300E+002, 2.161E+001, 2.081E+001, 1.158E+002, 1.476E+000, 1.032E+000, 3.573E+001, 3.085E+001, 2.410E+001, 2.500E+001
 5.400E+002, 2.351E+001, 2.056E+001, 1.177E+002, 1.369E+000, 1.011E+000, 3.533E+001, 3.051E+001, 2.471E+001, 2.500E+001
 5.500E+002, 2.325E+001, 2.173E+001, 1.189E+002, 1.150E+000, 9.448E-001, 3.492E+001, 3.010E+001, 2.455E+001, 2.500E+001
 5.600E+002, 2.257E+001, 2.135E+001, 1.187E+002, 1.280E+000, 9.531E-001, 3.448E+001, 2.966E+001, 2.423E+001, 2.500E+001
 5.700E+002, 2.292E+001, 2.149E+001, 1.194E+002, 1.261E+000, 1.058E+000, 3.407E+001, 2.927E+001, 2.407E+001, 2.500E+001
 5.800E+002, 2.316E+001, 2.105E+001, 1.112E+002, 1.613E+000, 1.217E+000, 3.374E+001, 2.904E+001, 2.470E+001, 2.500E+001
 5.900E+002, 2.456E+001, 2.095E+001, 1.212E+002, 1.418E+000, 1.008E+000, 3.338E+001, 2.876E+001, 2.481E+001, 2.500E+001
 6.000E+002, 2.355E+001, 2.109E+001, 1.108E+002, 1.498E+000, 1.015E+000, 3.298E+001, 2.840E+001, 2.450E+001, 2.500E+001
