s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
Time,"TC_001","TC_002","TC_003","TC_004","TC_005","TC_006","TC_007","TC_008","TC_009","TC_010","TC_011","TC_012","TC_013","TC_014","TC_015","TC_016","TC_017","TC_018","TC_019","TC_020","TC_021","TC_022","TC_023","TC_024","TC_025","TC_026","TC_027","TC_028","TC_029","TC_030","TC_031","TC_032","TC_033","TC_034","TC_035","TC_036","TC_037","TC_038","TC_039","TC_040","TC_041","TC_042","TC_043","TC_044","TC_045","TC_046","TC_047","TC_048","TC_049","TC_054","TC_055","TC_056","TC_057","TC_058","TC_059","TC_060","TC_061","TC_062","TC_063","TC_064","TC_065","TC_066","TC_067","TC_068","TC_069","TC_070","TC_071","TC_075","TC_076","TC_077","TC_078","TC_079","TC_080","TC_081","TC_082","TC_083","TC_084","TC_085","TC_086","TC_087","TC_088","TC_089","TC_090","TC_091","TC_092","TC_093","TC_094","TC_095","TC_096","TC_097","TC_098","TC_099","TC_100","TC_101","TC_102","TC_103","TC_104","O2_FLOOR","CO2_FLOOR","CO_FLOOR","O2_VENT","CO2_VENT","CO_VENT","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 0.000E+000, 2.078E-001, 3.868E-004, 0.000E+000, 0.000E+000
 1.003E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.803E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.803E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.804E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.806E+001, 1.817E+001, 1.826E+001, 1.855E+001, 1.898E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.802E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 1.709E-113, 2.078E-001, 3.868E-004, 1.203E-151, 0.000E+000
 2.000E+001, 1.837E+001, 1.822E+001, 1.807E+001, 1.807E+001, 1.806E+001, 1.805E+001, 1.805E+001, 1.804E+001, 1.803E+001, 1.800E+001, 1.840E+001, 1.806E+001, 1.806E+001, 1.805E+001, 1.804E+001, 1.803E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.800E+001, 1.840E+001, 1.806E+001, 1.806E+001, 1.805E+001, 1.804E+001, 1.803E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.800E+001, 2.306E+001, 4.505E+001, 4.687E+001, 5.112E+001, 5.556E+001, 6.034E+001, 6.558E+001, 6.811E+001, 7.398E+001, 8.075E+001, 1.806E+001, 1.806E+001, 1.812E+001, 1.821E+001, 1.834E+001, 1.830E+001, 1.814E+001, 1.899E+001, 1.831E+001, 1.804E+001, 1.802E+001, 2.219E+001, 1.998E+001, 1.848E+001, 1.802E+001, 2.894E+001, 2.258E+001, 1.847E+001, 1.809E+001, 1.848E+001, 2.067E+001, 2.508E+001, 1.992E+001, 1.812E+001, 1.803E+001, 1.804E+001, 1.840E+001, 1.842E+001, 1.837E+001, 1.982E+001, 2.155E+001, 1.864E+001, 2.225E+001, 2.875E+001, 1.850E+001, 2.180E+001, 2.855E+001, 2.823E+001, 2.158E+001, 1.848E+001, 1.810E+001, 1.841E+001, 1.952E+001, 2.133E+001, 2.181E+001, 1.984E+001, 1.831E+001, 1.802E+001, 1.803E+001, 1.832E+001, 1.836E+001, 1.884E+001, 1.829E+001, 1.803E+001, 1.802E+001, 2.078E-001, 3.868E-004, 1.946E-083, 2.076E-001, 5.051E-004, 3.703E-007, 0.000E+000
 3.001E+001, 2.229E+001, 1.994E+001, 1.837E+001, 1.828E+001, 1.826E+001, 1.823E+001, 1.821E+001, 1.819E+001, 1.818E+001, 1.800E+001, 2.002E+001, 2.162E+001, 2.029E+001, 1.871E+001, 1.816E+001, 1.812E+001, 1.810E+001, 1.810E+001, 1.810E+001, 1.813E+001, 1.800E+001, 2.021E+001, 2.229E+001, 2.063E+001, 1.840E+001, 1.816E+001, 1.812E+001, 1.810E+001, 1.810E+001, 1.810E+001, 1.813E+001, 1.800E+001, 3.813E+001, 1.033E+002, 1.066E+002, 1.163E+002, 1.272E+002, 1.392E+002, 1.527E+002, 1.598E+002, 1.748E+002, 1.911E+002, 2.343E+001, 2.327E+001, 2.431E+001, 2.504E+001, 2.577E+001, 2.576E+001, 2.500E+001, 2.980E+001, 2.784E+001, 2.221E+001, 2.008E+001, 4.106E+001, 3.273E+001, 2.722E+001, 2.213E+001, 5.716E+001, 4.185E+001, 3.103E+001, 2.307E+001, 2.961E+001, 3.823E+001, 4.778E+001, 3.461E+001, 2.674E+001, 2.083E+001, 2.376E+001, 2.930E+001, 2.859E+001, 2.864E+001, 3.381E+001, 4.104E+001, 3.040E+001, 4.152E+001, 6.101E+001, 3.222E+001, 4.355E+001, 6.147E+001, 5.844E+001, 4.473E+001, 3.303E+001, 2.405E+001, 2.927E+001, 3.560E+001, 3.857E+001, 3.849E+001, 3.471E+001, 2.903E+001, 2.332E+001, 2.476E+001, 2.715E+001, 2.807E+001, 2.813E+001, 2.760E+001, 2.356E+001, 2.102E+001, 2.078E-001, 3.868E-004, 2.885E-070, 2.063E-001, 1.259E-003, 2.731E-006, 0.000E+000
 4.000E+001, 2.688E+001, 2.053E+001, 1.877E+001, 1.872E+001, 1.867E+001, 1.862E+001, 1.860E+001, 1.858E+001, 1.864E+001, 1.800E+001, 2.428E+001, 3.066E+001, 2.372E+001, 1.881E+001, 1.839E+001, 1.834E+001, 1.832E+001, 1.832E+001, 1.837E+001, 1.846E+001, 1.800E+001, 2.416E+001, 3.080E+001, 2.450E+001, 1.872E+001, 1.839E+001, 1.834E+001, 1.831E+001, 1.832E+001, 1.836E+001, 1.845E+001, 1.800E+001, 6.813E+001, 1.840E+002, 1.890E+002, 2.053E+002, 2.262E+002, 2.482E+002, 2.716E+002, 2.842E+002, 3.122E+002, 3.450E+002, 4.010E+001, 3.957E+001, 4.036E+001, 4.148E+001, 4.270E+001, 4.345E+001, 4.345E+001, 4.782E+001, 4.566E+001, 3.581E+001, 3.221E+001, 6.582E+001, 5.516E+001, 4.433E+001, 3.652E+001, 9.777E+001, 6.544E+001, 4.563E+001, 3.673E+001, 4.807E+001, 6.210E+001, 8.221E+001, 5.316E+001, 4.026E+001, 3.475E+001, 3.906E+001, 4.351E+001, 4.685E+001, 4.472E+001, 5.470E+001, 6.292E+001, 4.813E+001, 6.375E+001, 9.968E+001, 4.721E+001, 6.351E+001, 9.918E+001, 1.044E+002, 6.478E+001, 4.749E+001, 3.768E+001, 4.389E+001, 5.777E+001, 6.351E+001, 6.353E+001, 5.663E+001, 4.656E+001, 3.769E+001, 3.981E+001, 4.713E+001, 4.448E+001, 4.704E+001, 4.455E+001, 3.949E+001, 3.283E+001, 2.078E-001, 3.868E-004, 2.164E-058, 2.048E-001, 2.122E-003, 5.435E-006, 0.000E+000
 5.000E+001, 3.656E+001, 2.395E+001, 1.958E+001, 1.949E+001, 1.945E+001, 1.943E+001, 1.944E+001, 1.950E+001, 1.972E+001, 1.800E+001, 3.040E+001, 4.326E+001, 2.971E+001, 1.928E+001, 1.883E+001, 1.879E+001, 1.881E+001, 1.885E+001, 1.897E+001, 1.914E+001, 1.800E+001, 3.086E+001, 4.326E+001, 2.878E+001, 1.914E+001, 1.882E+001, 1.877E+001, 1.880E+001, 1.884E+001, 1.896E+001, 1.912E+001, 1.802E+001, 1.315E+002, 2.959E+002, 3.038E+002, 3.280E+002, 3.619E+002, 4.023E+002, 4.502E+002, 4.751E+002, 5.325E+002, 5.948E+002, 6.035E+001, 5.968E+001, 6.028E+001, 6.172E+001, 6.353E+001, 6.480E+001, 6.717E+001, 6.472E+001, 6.727E+001, 5.314E+001, 4.653E+001, 8.897E+001, 8.217E+001, 6.234E+001, 4.925E+001, 1.490E+002, 8.492E+001, 6.166E+001, 4.720E+001, 6.551E+001, 8.926E+001, 1.163E+002, 7.080E+001, 5.282E+001, 5.272E+001, 5.676E+001, 6.178E+001, 6.005E+001, 6.131E+001, 7.915E+001, 8.376E+001, 5.994E+001, 8.615E+001, 1.504E+002, 6.155E+001, 8.428E+001, 1.401E+002, 1.446E+002, 8.352E+001, 5.881E+001, 4.653E+001, 6.165E+001, 7.576E+001, 8.625E+001, 9.188E+001, 7.759E+001, 6.277E+001, 4.866E+001, 5.381E+001, 6.207E+001, 6.199E+001, 6.353E+001, 6.341E+001, 5.519E+001, 4.551E+001, 2.078E-001, 3.868E-004, 2.261E-047, 2.028E-001, 3.298E-003, 9.120E-006, 0.000E+000
 6.001E+001, 4.484E+001, 2.873E+001, 2.126E+001, 2.084E+001, 2.065E+001, 2.070E+001, 2.080E+001, 2.100E+001, 2.124E+001, 1.801E+001, 3.724E+001, 5.484E+001, 3.802E+001, 2.074E+001, 1.952E+001, 1.954E+001, 1.964E+001, 1.970E+001, 1.987E+001, 1.997E+001, 1.801E+001, 3.649E+001, 5.100E+001, 3.301E+001, 2.008E+001, 1.947E+001, 1.947E+001, 1.958E+001, 1.967E+001, 1.984E+001, 1.980E+001, 1.807E+001, 2.357E+002, 4.036E+002, 4.120E+002, 4.473E+002, 4.970E+002, 5.564E+002, 6.253E+002, 6.619E+002, 7.382E+002, 8.133E+002, 7.539E+001, 7.444E+001, 7.502E+001, 7.668E+001, 7.917E+001, 8.085E+001, 8.332E+001, 7.645E+001, 7.828E+001, 6.525E+001, 6.086E+001, 1.073E+002, 9.748E+001, 8.152E+001, 6.180E+001, 1.886E+002, 1.136E+002, 7.800E+001, 5.915E+001, 7.792E+001, 1.102E+002, 1.504E+002, 9.180E+001, 6.814E+001, 6.560E+001, 7.100E+001, 7.800E+001, 7.417E+001, 7.786E+001, 9.578E+001, 1.082E+002, 7.525E+001, 1.100E+002, 1.884E+002, 7.628E+001, 1.094E+002, 1.888E+002, 1.869E+002, 1.150E+002, 7.831E+001, 5.824E+001, 7.567E+001, 1.004E+002, 1.138E+002, 1.127E+002, 9.866E+001, 8.156E+001, 6.163E+001, 7.310E+001, 8.054E+001, 7.796E+001, 7.610E+001, 8.132E+001, 7.078E+001, 5.872E+001, 2.078E-001, 3.868E-004, 9.838E-039, 2.025E-001, 3.461E-003, 9.630E-006, 4.000E+000
 7.000E+001, 4.846E+001, 3.386E+001, 2.200E+001, 2.128E+001, 2.101E+001, 2.093E+001, 2.086E+001, 2.082E+001, 2.083E+001, 1.802E+001, 3.753E+001, 5.404E+001, 3.813E+001, 2.214E+001, 2.006E+001, 1.996E+001, 1.996E+001, 1.997E+001, 1.995E+001, 1.979E+001, 1.803E+001, 3.622E+001, 5.088E+001, 3.435E+001, 2.130E+001, 2.010E+001, 1.991E+001, 1.999E+001, 2.006E+001, 2.023E+001, 1.954E+001, 1.822E+001, 2.338E+002, 3.474E+002, 3.491E+002, 3.751E+002, 4.181E+002, 4.710E+002, 5.331E+002, 5.677E+002, 6.439E+002, 7.255E+002, 7.443E+001, 7.354E+001, 7.389E+001, 7.446E+001, 7.613E+001, 7.716E+001, 7.897E+001, 7.280E+001, 7.278E+001, 6.335E+001, 5.835E+001, 1.065E+002, 8.873E+001, 7.395E+001, 5.851E+001, 1.234E+002, 1.083E+002, 7.163E+001, 5.528E+001, 7.519E+001, 9.639E+001, 1.402E+002, 8.343E+001, 6.137E+001, 6.446E+001, 6.166E+001, 7.522E+001, 7.007E+001, 7.110E+001, 8.257E+001, 1.052E+002, 7.256E+001, 1.054E+002, 1.285E+002, 7.316E+001, 1.011E+002, 1.354E+002, 1.294E+002, 1.103E+002, 6.879E+001, 5.594E+001, 7.099E+001, 9.022E+001, 1.021E+002, 1.120E+002, 8.844E+001, 7.653E+001, 6.089E+001, 6.270E+001, 7.206E+001, 6.593E+001, 7.198E+001, 7.864E+001, 6.575E+001, 5.948E+001, 2.078E-001, 3.868E-004, 3.770E-033, 1.990E-001, 4.399E-003, 1.258E-005, 4.000E+000
 8.001E+001, 4.423E+001, 2.992E+001, 2.084E+001, 2.041E+001, 2.018E+001, 2.006E+001, 2.000E+001, 1.996E+001, 1.998E+001, 1.806E+001, 3.623E+001, 4.913E+001, 3.280E+001, 2.100E+001, 1.986E+001, 1.952E+001, 1.933E+001, 1.927E+001, 1.920E+001, 1.915E+001, 1.806E+001, 3.494E+001, 4.611E+001, 3.191E+001, 2.073E+001, 2.008E+001, 1.997E+001, 2.009E+001, 2.020E+001, 2.002E+001, 1.897E+001, 1.856E+001, 2.178E+002, 2.999E+002, 2.973E+002, 3.104E+002, 3.411E+002, 3.825E+002, 4.308E+002, 4.595E+002, 5.227E+002, 5.955E+002, 7.019E+001, 6.871E+001, 6.851E+001, 6.859E+001, 7.013E+001, 7.137E+001, 7.274E+001, 6.832E+001, 6.603E+001, 6.028E+001, 5.531E+001, 9.619E+001, 8.169E+001, 6.837E+001, 5.539E+001, 1.150E+002, 9.675E+001, 6.318E+001, 4.994E+001, 6.845E+001, 9.617E+001, 1.265E+002, 7.269E+001, 5.526E+001, 6.118E+001, 5.746E+001, 6.483E+001, 6.939E+001, 6.635E+001, 8.373E+001, 9.801E+001, 7.111E+001, 9.461E+001, 1.150E+002, 6.426E+001, 8.882E+001, 1.231E+002, 1.237E+002, 9.452E+001, 6.517E+001, 5.194E+001, 6.446E+001, 8.083E+001, 9.895E+001, 1.052E+002, 8.914E+001, 7.049E+001, 5.252E+001, 5.659E+001, 6.936E+001, 6.802E+001, 7.036E+001, 7.039E+001, 5.999E+001, 5.291E+001, 2.078E-001, 3.868E-004, 7.960E-027, 1.966E-001, 4.586E-003, 1.318E-005, 4.000E+000
