s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
Time,TC_001,TC_002,TC_003,TC_004,TC_005,TC_006,TC_007,TC_008,TC_009,TC_010,TC_011,TC_012,TC_013,TC_014,TC_015,TC_016,TC_017,TC_018,TC_019,TC_020,TC_021,TC_022,TC_023,TC_024,TC_025,TC_026,TC_027,TC_028,TC_029,TC_030,TC_031,TC_032,TC_033,TC_034,TC_035,TC_036,TC_037,TC_038,TC_039,TC_040,TC_041,TC_042,TC_043,TC_044,TC_045,TC_046,TC_047,TC_048,TC_049,TC_050,TC_051,TC_052,TC_053,TC_054,TC_055,TC_056,TC_057,TC_058,TC_059,TC_060,TC_061,TC_062,TC_063,TC_064,TC_065,TC_066,TC_067,TC_068,TC_069,TC_070,TC_071,TC_087,TC_088,TC_089,TC_090,TC_094,TC_095,TC_096,TC_097,O2_FLOOR,CO2_FLOOR,CO_FLOOR,O2_VENT,CO2_VENT,CO_VENT,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 0.000E+000, 2.078E-001, 3.868E-004, 0.000E+000, 0.000E+000
 1.003E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.803E+001, 1.805E+001, 1.818E+001, 1.843E+001, 1.800E+001, 1.806E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.800E+001, 1.806E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.800E+001, 1.803E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 2.078E-001, 3.868E-004, 4.773E-053, 2.078E-001, 3.868E-004, 5.434E-027, 0.000E+000
 2.000E+001, 4.951E+001, 5.163E+001, 5.551E+001, 5.951E+001, 6.365E+001, 6.800E+001, 7.031E+001, 7.501E+001, 7.982E+001, 1.800E+001, 1.946E+001, 2.148E+001, 2.058E+001, 1.953E+001, 1.906E+001, 1.829E+001, 1.832E+001, 1.835E+001, 1.841E+001, 1.849E+001, 1.800E+001, 1.957E+001, 1.976E+001, 1.908E+001, 1.822E+001, 1.821E+001, 1.825E+001, 1.830E+001, 1.833E+001, 1.838E+001, 1.845E+001, 1.800E+001, 1.845E+001, 1.807E+001, 1.807E+001, 1.808E+001, 1.808E+001, 1.807E+001, 1.806E+001, 1.806E+001, 1.805E+001, 1.805E+001, 3.710E+001, 3.817E+001, 4.221E+001, 4.357E+001, 4.068E+001, 3.751E+001, 3.458E+001, 1.863E+001, 1.991E+001, 1.968E+001, 1.824E+001, 1.999E+001, 2.432E+001, 2.375E+001, 2.048E+001, 2.014E+001, 2.376E+001, 2.420E+001, 1.970E+001, 1.821E+001, 1.988E+001, 1.969E+001, 1.869E+001, 2.181E+001, 2.144E+001, 1.893E+001, 1.921E+001, 1.902E+001, 2.189E+001, 1.810E+001, 1.815E+001, 1.815E+001, 1.810E+001, 1.802E+001, 1.811E+001, 1.810E+001, 1.802E+001, 2.078E-001, 3.868E-004, 2.100E-050, 2.017E-001, 3.966E-003, 1.121E-005, 0.000E+000
 3.001E+001, 1.064E+002, 1.097E+002, 1.176E+002, 1.262E+002, 1.358E+002, 1.464E+002, 1.524E+002, 1.668E+002, 1.837E+002, 1.800E+001, 2.580E+001, 4.216E+001, 3.836E+001, 2.903E+001, 2.390E+001, 2.075E+001, 1.958E+001, 1.950E+001, 1.977E+001, 2.009E+001, 1.800E+001, 2.502E+001, 3.248E+001, 2.651E+001, 2.000E+001, 1.896E+001, 1.912E+001, 1.932E+001, 1.944E+001, 1.968E+001, 1.997E+001, 1.800E+001, 2.024E+001, 2.116E+001, 1.964E+001, 1.833E+001, 1.830E+001, 1.830E+001, 1.827E+001, 1.826E+001, 1.824E+001, 1.825E+001, 8.658E+001, 9.246E+001, 1.008E+002, 1.028E+002, 9.994E+001, 8.899E+001, 8.105E+001, 3.123E+001, 3.495E+001, 3.330E+001, 2.910E+001, 4.060E+001, 4.843E+001, 4.988E+001, 3.957E+001, 4.121E+001, 5.042E+001, 5.106E+001, 3.958E+001, 2.914E+001, 3.351E+001, 3.386E+001, 3.056E+001, 4.574E+001, 4.699E+001, 3.215E+001, 3.360E+001, 3.311E+001, 4.785E+001, 2.274E+001, 2.398E+001, 2.397E+001, 2.307E+001, 1.863E+001, 1.934E+001, 1.873E+001, 1.892E+001, 2.078E-001, 3.868E-004, 2.927E-045, 1.951E-001, 7.794E-003, 2.320E-005, 0.000E+000
 4.001E+001, 1.649E+002, 1.707E+002, 1.835E+002, 2.003E+002, 2.214E+002, 2.468E+002, 2.601E+002, 2.909E+002, 3.251E+002, 1.800E+001, 3.727E+001, 6.817E+001, 5.750E+001, 3.277E+001, 2.670E+001, 2.208E+001, 2.202E+001, 2.223E+001, 2.281E+001, 2.351E+001, 1.800E+001, 3.733E+001, 4.821E+001, 3.429E+001, 2.108E+001, 2.085E+001, 2.133E+001, 2.183E+001, 2.208E+001, 2.261E+001, 2.326E+001, 1.800E+001, 2.560E+001, 3.222E+001, 2.260E+001, 1.870E+001, 1.869E+001, 1.869E+001, 1.864E+001, 1.862E+001, 1.859E+001, 1.862E+001, 1.461E+002, 1.560E+002, 1.639E+002, 1.636E+002, 1.559E+002, 1.409E+002, 1.270E+002, 4.946E+001, 5.051E+001, 5.204E+001, 4.998E+001, 6.749E+001, 7.596E+001, 8.469E+001, 6.824E+001, 6.906E+001, 7.941E+001, 8.709E+001, 6.971E+001, 5.137E+001, 5.012E+001, 5.191E+001, 5.221E+001, 7.475E+001, 7.444E+001, 5.289E+001, 4.757E+001, 5.282E+001, 7.707E+001, 3.854E+001, 3.817E+001, 3.850E+001, 4.136E+001, 2.955E+001, 3.172E+001, 3.163E+001, 3.262E+001, 2.078E-001, 3.868E-004, 5.278E-043, 1.867E-001, 1.270E-002, 3.859E-005, 0.000E+000
 5.001E+001, 2.147E+002, 2.171E+002, 2.291E+002, 2.493E+002, 2.753E+002, 3.052E+002, 3.197E+002, 3.568E+002, 4.018E+002, 1.801E+001, 5.665E+001, 8.509E+001, 6.176E+001, 3.125E+001, 2.717E+001, 2.628E+001, 2.686E+001, 2.725E+001, 2.818E+001, 2.927E+001, 1.801E+001, 5.596E+001, 7.033E+001, 4.686E+001, 2.483E+001, 2.484E+001, 2.547E+001, 2.609E+001, 2.642E+001, 2.723E+001, 2.818E+001, 1.800E+001, 3.218E+001, 4.104E+001, 2.560E+001, 1.942E+001, 1.933E+001, 1.929E+001, 1.923E+001, 1.920E+001, 1.916E+001, 1.921E+001, 2.053E+002, 2.176E+002, 2.235E+002, 2.183E+002, 2.087E+002, 1.901E+002, 1.746E+002, 6.637E+001, 6.803E+001, 6.858E+001, 7.366E+001, 9.166E+001, 1.044E+002, 1.252E+002, 8.822E+001, 8.645E+001, 1.027E+002, 1.261E+002, 8.110E+001, 6.690E+001, 6.563E+001, 7.025E+001, 7.743E+001, 9.782E+001, 9.228E+001, 6.674E+001, 6.330E+001, 7.570E+001, 1.093E+002, 5.089E+001, 4.771E+001, 5.055E+001, 5.673E+001, 4.165E+001, 4.059E+001, 4.295E+001, 4.508E+001, 2.078E-001, 3.868E-004, 8.403E-039, 1.801E-001, 1.657E-002, 5.068E-005, 0.000E+000
 6.001E+001, 2.348E+002, 2.350E+002, 2.447E+002, 2.623E+002, 2.895E+002, 3.263E+002, 3.455E+002, 3.881E+002, 4.380E+002, 1.803E+001, 7.955E+001, 9.712E+001, 6.799E+001, 3.330E+001, 3.107E+001, 3.147E+001, 3.227E+001, 3.281E+001, 3.398E+001, 3.535E+001, 1.803E+001, 7.628E+001, 8.351E+001, 5.475E+001, 2.922E+001, 2.935E+001, 2.983E+001, 3.047E+001, 3.087E+001, 3.181E+001, 3.294E+001, 1.801E+001, 3.875E+001, 5.033E+001, 3.358E+001, 2.075E+001, 2.015E+001, 1.998E+001, 1.971E+001, 1.962E+001, 1.962E+001, 1.972E+001, 2.516E+002, 2.597E+002, 2.580E+002, 2.578E+002, 2.410E+002, 2.221E+002, 2.039E+002, 7.950E+001, 8.298E+001, 9.681E+001, 8.773E+001, 1.119E+002, 1.329E+002, 1.688E+002, 9.539E+001, 1.007E+002, 1.314E+002, 1.740E+002, 9.596E+001, 7.603E+001, 7.979E+001, 9.442E+001, 9.426E+001, 1.192E+002, 1.105E+002, 7.886E+001, 8.085E+001, 9.504E+001, 1.278E+002, 6.253E+001, 5.977E+001, 6.236E+001, 6.810E+001, 4.862E+001, 4.999E+001, 5.077E+001, 5.921E+001, 2.078E-001, 3.868E-004, 1.700E-029, 1.777E-001, 1.797E-002, 5.508E-005, 0.000E+000
 7.000E+001, 2.465E+002, 2.408E+002, 2.470E+002, 2.651E+002, 2.891E+002, 3.220E+002, 3.413E+002, 3.907E+002, 4.497E+002, 1.808E+001, 8.894E+001, 9.669E+001, 6.259E+001, 3.373E+001, 3.322E+001, 3.359E+001, 3.426E+001, 3.480E+001, 3.587E+001, 3.724E+001, 1.808E+001, 8.633E+001, 8.442E+001, 5.439E+001, 3.105E+001, 3.107E+001, 3.156E+001, 3.219E+001, 3.257E+001, 3.348E+001, 3.457E+001, 1.803E+001, 4.287E+001, 5.124E+001, 3.429E+001, 2.160E+001, 2.069E+001, 1.999E+001, 1.963E+001, 1.960E+001, 1.968E+001, 1.986E+001, 2.764E+002, 2.860E+002, 2.825E+002, 2.752E+002, 2.514E+002, 2.303E+002, 2.114E+002, 8.795E+001, 8.799E+001, 9.979E+001, 9.612E+001, 1.121E+002, 1.412E+002, 1.777E+002, 1.010E+002, 1.039E+002, 1.296E+002, 1.682E+002, 9.954E+001, 8.141E+001, 8.816E+001, 9.428E+001, 9.367E+001, 1.219E+002, 1.112E+002, 8.465E+001, 8.855E+001, 9.488E+001, 1.383E+002, 6.149E+001, 6.618E+001, 6.712E+001, 6.985E+001, 5.076E+001, 5.357E+001, 5.385E+001, 5.710E+001, 2.078E-001, 3.868E-004, 6.918E-029, 1.761E-001, 1.884E-002, 5.781E-005, 2.000E+000
 8.001E+001, 2.759E+002, 2.800E+002, 3.039E+002, 3.400E+002, 3.816E+002, 4.289E+002, 4.547E+002, 5.102E+002, 5.742E+002, 1.820E+001, 8.332E+001, 9.831E+001, 6.922E+001, 4.427E+001, 3.822E+001, 3.476E+001, 3.411E+001, 3.470E+001, 3.544E+001, 3.672E+001, 1.819E+001, 8.674E+001, 9.703E+001, 6.568E+001, 3.639E+001, 3.209E+001, 3.159E+001, 3.194E+001, 3.280E+001, 3.389E+001, 3.570E+001, 1.807E+001, 4.443E+001, 5.200E+001, 3.339E+001, 2.223E+001, 2.089E+001, 2.010E+001, 1.968E+001, 1.961E+001, 1.970E+001, 1.990E+001, 2.559E+002, 2.803E+002, 2.896E+002, 2.842E+002, 2.607E+002, 2.376E+002, 2.132E+002, 8.617E+001, 8.436E+001, 9.668E+001, 9.461E+001, 1.077E+002, 1.363E+002, 1.234E+002, 9.916E+001, 1.112E+002, 1.378E+002, 1.201E+002, 9.637E+001, 8.230E+001, 8.352E+001, 9.409E+001, 8.749E+001, 1.242E+002, 1.249E+002, 8.552E+001, 9.277E+001, 8.804E+001, 1.303E+002, 6.195E+001, 6.246E+001, 6.984E+001, 6.896E+001, 4.786E+001, 5.155E+001, 5.428E+001, 5.726E+001, 2.075E-001, 3.862E-004, 1.292E-023, 1.653E-001, 2.308E-002, 7.112E-005, 2.000E+000
