s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
Time,TC_001,TC_002,TC_003,TC_004,TC_005,TC_006,TC_007,TC_008,TC_009,TC_010,TC_011,TC_012,TC_013,TC_014,TC_015,TC_016,TC_017,TC_018,TC_019,TC_020,TC_021,TC_022,TC_023,TC_024,TC_025,TC_026,TC_027,TC_028,TC_029,TC_030,TC_031,TC_032,TC_033,TC_034,TC_035,TC_036,TC_037,TC_038,TC_039,TC_040,TC_041,TC_042,TC_043,TC_044,TC_045,TC_046,TC_047,TC_048,TC_049,TC_050,TC_051,TC_052,TC_053,TC_054,TC_055,TC_056,TC_057,TC_058,TC_059,TC_060,TC_061,TC_062,TC_063,TC_064,TC_065,TC_066,TC_067,TC_068,TC_069,TC_070,TC_071,TC_087,TC_088,TC_089,TC_090,TC_094,TC_095,TC_096,TC_097,O2_FLOOR,CO2_FLOOR,CO_FLOOR,O2_VENT,CO2_VENT,CO_VENT,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 0.000E+000, 2.078E-001, 3.868E-004, 0.000E+000, 0.000E+000
 1.001E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.803E+001, 1.800E+001, 1.806E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.805E+001, 1.809E+001, 1.826E+001, 1.855E+001, 1.800E+001, 1.813E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.800E+001, 1.803E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 4.557E-046, 2.078E-001, 3.868E-004, 3.917E-028, 0.000E+000
 2.001E+001, 2.014E+001, 1.900E+001, 1.820E+001, 1.825E+001, 1.830E+001, 1.836E+001, 1.840E+001, 1.847E+001, 1.856E+001, 1.800E+001, 2.389E+001, 4.826E+001, 4.999E+001, 5.417E+001, 5.849E+001, 6.298E+001, 6.761E+001, 7.005E+001, 7.506E+001, 8.071E+001, 1.800E+001, 2.074E+001, 1.989E+001, 1.877E+001, 1.824E+001, 1.825E+001, 1.826E+001, 1.828E+001, 1.829E+001, 1.832E+001, 1.836E+001, 1.800E+001, 1.837E+001, 1.806E+001, 1.805E+001, 1.804E+001, 1.804E+001, 1.803E+001, 1.803E+001, 1.803E+001, 1.803E+001, 1.804E+001, 2.380E+001, 2.391E+001, 2.286E+001, 2.285E+001, 2.223E+001, 2.169E+001, 2.099E+001, 1.812E+001, 1.999E+001, 2.254E+001, 2.218E+001, 1.849E+001, 2.121E+001, 2.790E+001, 2.898E+001, 1.841E+001, 2.136E+001, 2.931E+001, 2.711E+001, 1.828E+001, 2.006E+001, 2.229E+001, 2.244E+001, 1.939E+001, 1.922E+001, 1.896E+001, 2.085E+001, 2.263E+001, 3.237E+001, 1.803E+001, 1.828E+001, 1.853E+001, 1.881E+001, 1.802E+001, 1.802E+001, 1.809E+001, 1.809E+001, 2.078E-001, 3.868E-004, 5.622E-043, 2.065E-001, 1.132E-003, 2.334E-006, 0.000E+000
 3.001E+001, 2.922E+001, 2.175E+001, 1.908E+001, 1.924E+001, 1.948E+001, 1.975E+001, 1.991E+001, 2.024E+001, 2.062E+001, 1.800E+001, 4.435E+001, 1.122E+002, 1.149E+002, 1.220E+002, 1.313E+002, 1.427E+002, 1.564E+002, 1.640E+002, 1.808E+002, 1.992E+002, 1.800E+001, 2.956E+001, 2.688E+001, 2.085E+001, 1.911E+001, 1.914E+001, 1.919E+001, 1.926E+001, 1.931E+001, 1.944E+001, 1.960E+001, 1.800E+001, 2.021E+001, 2.157E+001, 1.906E+001, 1.816E+001, 1.815E+001, 1.813E+001, 1.813E+001, 1.813E+001, 1.814E+001, 1.816E+001, 4.980E+001, 4.936E+001, 4.581E+001, 4.675E+001, 4.486E+001, 4.275E+001, 4.014E+001, 2.639E+001, 3.397E+001, 4.208E+001, 4.111E+001, 2.693E+001, 3.797E+001, 5.869E+001, 6.012E+001, 2.791E+001, 3.877E+001, 6.015E+001, 5.961E+001, 2.825E+001, 3.443E+001, 4.181E+001, 3.997E+001, 3.080E+001, 3.174E+001, 3.190E+001, 3.722E+001, 4.162E+001, 7.106E+001, 2.414E+001, 2.704E+001, 2.877E+001, 3.120E+001, 2.091E+001, 2.279E+001, 2.243E+001, 2.323E+001, 2.078E-001, 3.868E-004, 4.965E-037, 2.037E-001, 2.785E-003, 7.513E-006, 0.000E+000
 4.001E+001, 4.425E+001, 2.836E+001, 2.147E+001, 2.176E+001, 2.224E+001, 2.278E+001, 2.300E+001, 2.365E+001, 2.437E+001, 1.800E+001, 8.239E+001, 1.661E+002, 1.689E+002, 1.812E+002, 1.992E+002, 2.213E+002, 2.476E+002, 2.615E+002, 2.926E+002, 3.273E+002, 1.800E+001, 4.428E+001, 4.106E+001, 2.701E+001, 2.088E+001, 2.099E+001, 2.113E+001, 2.132E+001, 2.145E+001, 2.173E+001, 2.200E+001, 1.800E+001, 2.418E+001, 2.933E+001, 2.214E+001, 1.839E+001, 1.833E+001, 1.831E+001, 1.831E+001, 1.831E+001, 1.834E+001, 1.840E+001, 7.907E+001, 7.789E+001, 7.074E+001, 7.128E+001, 6.793E+001, 6.526E+001, 6.176E+001, 4.038E+001, 5.222E+001, 6.112E+001, 6.123E+001, 4.068E+001, 5.473E+001, 8.988E+001, 9.254E+001, 4.060E+001, 5.461E+001, 8.760E+001, 9.562E+001, 4.203E+001, 5.294E+001, 6.104E+001, 6.064E+001, 4.539E+001, 4.548E+001, 4.645E+001, 5.578E+001, 5.825E+001, 1.072E+002, 3.538E+001, 4.172E+001, 4.143E+001, 4.335E+001, 3.178E+001, 3.517E+001, 3.441E+001, 3.476E+001, 2.078E-001, 3.868E-004, 1.263E-036, 2.015E-001, 4.051E-003, 1.148E-005, 0.000E+000
 5.000E+001, 5.741E+001, 3.502E+001, 2.570E+001, 2.610E+001, 2.669E+001, 2.739E+001, 2.758E+001, 2.847E+001, 2.953E+001, 1.802E+001, 2.053E+002, 2.753E+002, 2.796E+002, 2.991E+002, 3.253E+002, 3.566E+002, 3.941E+002, 4.147E+002, 4.611E+002, 5.130E+002, 1.801E+001, 6.413E+001, 5.841E+001, 3.453E+001, 2.405E+001, 2.403E+001, 2.421E+001, 2.448E+001, 2.460E+001, 2.490E+001, 2.521E+001, 1.800E+001, 2.962E+001, 3.693E+001, 2.679E+001, 1.877E+001, 1.865E+001, 1.861E+001, 1.863E+001, 1.864E+001, 1.870E+001, 1.878E+001, 1.068E+002, 1.038E+002, 9.323E+001, 9.311E+001, 8.803E+001, 8.450E+001, 8.032E+001, 5.501E+001, 7.266E+001, 8.628E+001, 8.479E+001, 5.095E+001, 7.242E+001, 1.265E+002, 1.308E+002, 5.382E+001, 7.537E+001, 1.282E+002, 1.347E+002, 5.698E+001, 7.104E+001, 8.391E+001, 7.972E+001, 5.695E+001, 6.067E+001, 6.280E+001, 7.867E+001, 7.457E+001, 1.547E+002, 4.835E+001, 5.947E+001, 5.509E+001, 5.393E+001, 4.445E+001, 4.616E+001, 4.468E+001, 4.346E+001, 2.078E-001, 3.868E-004, 5.010E-027, 1.994E-001, 5.305E-003, 1.541E-005, 0.000E+000
 6.000E+001, 7.160E+001, 4.213E+001, 3.100E+001, 3.148E+001, 3.212E+001, 3.295E+001, 3.315E+001, 3.422E+001, 3.540E+001, 1.809E+001, 3.521E+002, 3.681E+002, 3.669E+002, 3.845E+002, 4.163E+002, 4.554E+002, 4.994E+002, 5.228E+002, 5.735E+002, 6.294E+002, 1.804E+001, 8.361E+001, 6.991E+001, 3.866E+001, 2.774E+001, 2.752E+001, 2.756E+001, 2.772E+001, 2.769E+001, 2.786E+001, 2.809E+001, 1.801E+001, 3.591E+001, 4.748E+001, 3.208E+001, 1.949E+001, 1.918E+001, 1.912E+001, 1.903E+001, 1.903E+001, 1.908E+001, 1.913E+001, 1.357E+002, 1.297E+002, 1.148E+002, 1.141E+002, 1.067E+002, 1.026E+002, 9.813E+001, 6.777E+001, 8.898E+001, 1.085E+002, 1.069E+002, 6.155E+001, 8.946E+001, 1.636E+002, 1.624E+002, 6.098E+001, 9.168E+001, 1.729E+002, 1.746E+002, 7.005E+001, 9.112E+001, 1.044E+002, 1.028E+002, 6.971E+001, 6.738E+001, 7.986E+001, 1.008E+002, 9.527E+001, 2.077E+002, 6.254E+001, 7.210E+001, 6.961E+001, 7.034E+001, 5.475E+001, 5.888E+001, 5.474E+001, 5.470E+001, 2.078E-001, 3.868E-004, 1.735E-021, 1.982E-001, 5.963E-003, 1.747E-005, 0.000E+000
 7.000E+001, 7.334E+001, 4.335E+001, 3.221E+001, 3.224E+001, 3.263E+001, 3.339E+001, 3.373E+001, 3.479E+001, 3.619E+001, 1.830E+001, 3.674E+002, 3.627E+002, 3.664E+002, 3.842E+002, 4.162E+002, 4.571E+002, 5.024E+002, 5.269E+002, 5.805E+002, 6.395E+002, 1.811E+001, 8.343E+001, 7.230E+001, 4.565E+001, 3.105E+001, 2.826E+001, 2.794E+001, 2.783E+001, 2.755E+001, 2.772E+001, 2.791E+001, 1.802E+001, 3.701E+001, 4.757E+001, 3.315E+001, 2.036E+001, 1.940E+001, 1.927E+001, 1.896E+001, 1.894E+001, 1.900E+001, 1.908E+001, 1.406E+002, 1.388E+002, 1.238E+002, 1.216E+002, 1.155E+002, 1.117E+002, 1.065E+002, 6.697E+001, 8.575E+001, 1.080E+002, 1.048E+002, 6.224E+001, 8.659E+001, 1.391E+002, 1.408E+002, 6.397E+001, 8.845E+001, 1.359E+002, 1.350E+002, 6.851E+001, 8.645E+001, 1.029E+002, 1.083E+002, 6.802E+001, 6.814E+001, 7.841E+001, 9.831E+001, 9.819E+001, 1.975E+002, 6.173E+001, 6.922E+001, 7.009E+001, 7.485E+001, 5.460E+001, 5.745E+001, 5.453E+001, 5.666E+001, 2.076E-001, 3.865E-004, 6.797E-013, 1.937E-001, 7.412E-003, 2.202E-005, 4.000E+000
 8.001E+001, 6.526E+001, 4.294E+001, 3.119E+001, 2.954E+001, 2.968E+001, 3.044E+001, 3.081E+001, 3.193E+001, 3.333E+001, 1.881E+001, 3.591E+002, 3.281E+002, 3.311E+002, 3.541E+002, 3.916E+002, 4.382E+002, 4.912E+002, 5.191E+002, 5.771E+002, 6.355E+002, 1.826E+001, 7.283E+001, 7.875E+001, 6.057E+001, 3.436E+001, 2.648E+001, 2.540E+001, 2.537E+001, 2.522E+001, 2.553E+001, 2.582E+001, 1.806E+001, 3.483E+001, 4.441E+001, 3.221E+001, 2.034E+001, 1.888E+001, 1.876E+001, 1.860E+001, 1.861E+001, 1.868E+001, 1.874E+001, 1.334E+002, 1.271E+002, 1.147E+002, 1.122E+002, 1.061E+002, 1.033E+002, 1.004E+002, 5.756E+001, 7.474E+001, 9.738E+001, 9.846E+001, 6.616E+001, 8.155E+001, 1.049E+002, 1.119E+002, 7.137E+001, 9.073E+001, 1.020E+002, 1.020E+002, 6.295E+001, 7.612E+001, 9.596E+001, 9.190E+001, 6.933E+001, 7.355E+001, 6.876E+001, 8.981E+001, 9.474E+001, 1.983E+002, 5.565E+001, 6.489E+001, 6.717E+001, 6.826E+001, 4.889E+001, 5.233E+001, 5.338E+001, 5.438E+001, 2.063E-001, 3.921E-004, 2.481E-008, 1.887E-001, 7.857E-003, 2.344E-005, 4.000E+000
