s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,O2Rear,CO2Rear,CORear,THCRear,H2ORear,O2Front,CO2Front,COFront,THCFront,H2OFront,HFR,HFF,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C
 0.000E+00, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 5.941E-03, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 5.941E-03,-4.036E-06,-6.948E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01,-7.514E-04,-2.757E-03, 8.964E-03,-9.732E-03,-4.766E-03, 5.018E-04,-3.798E-03, 7.022E-03, 3.432E-03
 8.001E+01, 1.943E-01, 6.376E-03, 7.557E-09, 4.250E-09, 1.347E-02, 1.911E-01, 7.855E-03, 1.150E-08, 5.455E-09, 1.534E-02, 1.566E+00, 1.429E+00, 1.370E+02, 1.663E+02, 2.106E+01, 1.378E+02, 2.066E+01, 1.350E+02, 6.954E+01, 6.574E+01, 9.816E+01, 2.008E+01, 1.392E+02, 1.202E+02, 1.314E+02, 1.582E+02, 1.362E+02, 1.087E+02, 9.472E+01, 2.034E+01, 2.325E+01, 6.504E+01, 4.443E+01, 4.211E+01, 2.515E+01, 2.032E+01, 2.299E+01, 2.300E+01, 2.265E+01, 2.295E+01, 2.206E+01,-8.359E-01,-7.739E-01,-7.906E-01,-3.216E-01,-1.734E-02, 4.989E-02, 2.937E-02, 5.312E-02, 7.544E-02
 1.600E+02, 1.399E-01, 3.101E-02, 4.862E-08, 2.250E-08, 4.477E-02, 1.440E-01, 2.916E-02, 2.269E-05, 5.281E-06, 4.245E-02, 1.021E+01, 9.725E+00, 4.639E+02, 5.302E+02, 5.419E+01, 4.831E+02, 5.651E+01, 4.724E+02, 2.833E+02, 2.698E+02, 3.808E+02, 2.511E+01, 4.735E+02, 4.749E+02, 4.731E+02, 4.709E+02, 4.409E+02, 3.928E+02, 3.728E+02, 2.152E+01, 4.185E+01, 3.006E+02, 1.818E+02, 1.871E+02, 6.242E+01, 2.160E+01, 4.417E+01, 3.875E+01, 4.105E+01, 3.852E+01, 3.671E+01,-2.280E+00,-2.147E+00,-2.296E+00,-1.036E+00, 1.884E-01, 4.501E-01, 4.231E-01, 4.477E-01, 5.527E-01
 2.400E+02, 1.278E-01, 3.652E-02, 3.273E-07, 1.613E-07, 5.186E-02, 1.392E-01, 3.133E-02, 7.022E-06, 3.003E-06, 4.521E-02, 1.345E+01, 1.369E+01, 5.219E+02, 5.896E+02, 8.342E+01, 4.974E+02, 9.722E+01, 4.975E+02, 3.512E+02, 3.480E+02, 4.556E+02, 4.380E+01, 5.230E+02, 5.101E+02, 4.954E+02, 4.927E+02, 4.650E+02, 4.197E+02, 4.068E+02, 2.204E+01, 5.155E+01, 3.389E+02, 2.429E+02, 2.579E+02, 9.597E+01, 2.213E+01, 5.588E+01, 4.706E+01, 5.114E+01, 4.698E+01, 4.529E+01,-2.534E+00,-2.360E+00,-2.491E+00,-1.159E+00, 1.212E-01, 6.009E-01, 5.437E-01, 5.655E-01, 7.637E-01
 3.200E+02, 1.266E-01, 3.703E-02, 7.736E-08, 3.159E-08, 5.252E-02, 1.369E-01, 3.236E-02, 1.494E-05, 6.264E-06, 4.656E-02, 1.504E+01, 1.524E+01, 5.475E+02, 6.162E+02, 9.185E+01, 5.098E+02, 1.050E+02, 5.129E+02, 3.766E+02, 3.728E+02, 4.837E+02, 6.363E+01, 5.405E+02, 5.279E+02, 5.132E+02, 5.095E+02, 4.826E+02, 4.280E+02, 4.153E+02, 2.194E+01, 5.558E+01, 3.509E+02, 2.385E+02, 2.590E+02, 1.129E+02, 2.230E+01, 6.024E+01, 5.058E+01, 5.497E+01, 5.016E+01, 4.841E+01,-2.670E+00,-2.404E+00,-2.547E+00,-1.194E+00, 7.017E-02, 6.247E-01, 5.628E-01, 6.140E-01, 7.755E-01
 4.000E+02, 1.241E-01, 3.817E-02, 2.730E-08, 1.038E-08, 5.399E-02, 1.341E-01, 3.361E-02, 2.872E-05, 1.143E-05, 4.821E-02, 1.629E+01, 1.677E+01, 5.518E+02, 6.275E+02, 9.560E+01, 5.186E+02, 1.052E+02, 5.064E+02, 3.948E+02, 3.938E+02, 5.059E+02, 7.882E+01, 5.407E+02, 5.425E+02, 5.148E+02, 5.009E+02, 4.773E+02, 4.332E+02, 4.221E+02, 2.288E+01, 6.041E+01, 3.573E+02, 2.479E+02, 2.648E+02, 1.322E+02, 2.246E+01, 6.469E+01, 5.420E+01, 5.943E+01, 5.429E+01, 5.204E+01,-2.687E+00,-2.504E+00,-2.642E+00,-1.202E+00,-3.496E-02, 6.251E-01, 5.816E-01, 6.252E-01, 7.697E-01
 4.800E+02, 1.288E-01, 3.604E-02, 3.438E-09, 1.360E-09, 5.123E-02, 1.462E-01, 2.818E-02, 4.503E-06, 1.954E-06, 4.115E-02, 1.661E+01, 1.675E+01, 5.207E+02, 5.622E+02, 8.911E+01, 5.531E+02, 1.257E+02, 5.729E+02, 4.003E+02, 3.961E+02, 4.842E+02, 8.963E+01, 5.095E+02, 5.376E+02, 5.546E+02, 4.679E+02, 4.489E+02, 4.362E+02, 4.252E+02, 2.212E+01, 5.936E+01, 3.490E+02, 2.622E+02, 2.817E+02, 1.230E+02, 2.247E+01, 6.448E+01, 5.411E+01, 5.941E+01, 5.365E+01, 5.285E+01,-2.615E+00,-2.500E+00,-2.735E+00,-1.187E+00, 1.239E-01, 6.355E-01, 5.946E-01, 6.311E-01, 8.029E-01
 5.600E+02, 1.230E-01, 3.868E-02, 5.729E-09, 2.573E-09, 5.465E-02, 1.394E-01, 3.124E-02, 2.009E-05, 7.857E-06, 4.512E-02, 1.719E+01, 1.755E+01, 5.250E+02, 6.021E+02, 9.732E+01, 5.393E+02, 1.212E+02, 5.746E+02, 4.084E+02, 4.058E+02, 5.018E+02, 9.641E+01, 5.335E+02, 5.396E+02, 5.407E+02, 5.003E+02, 4.769E+02, 4.260E+02, 4.191E+02, 2.308E+01, 6.214E+01, 3.559E+02, 2.738E+02, 2.926E+02, 1.299E+02, 2.272E+01, 6.734E+01, 5.609E+01, 6.166E+01, 5.591E+01, 5.381E+01,-2.647E+00,-2.505E+00,-2.760E+00,-1.237E+00, 8.813E-02, 6.192E-01, 5.787E-01, 6.273E-01, 8.170E-01
 6.400E+02, 1.193E-01, 4.036E-02, 3.390E-08, 1.271E-08, 5.682E-02, 1.373E-01, 3.221E-02, 1.051E-05, 5.363E-06, 4.635E-02, 1.783E+01, 1.815E+01, 5.371E+02, 6.158E+02, 9.469E+01, 5.497E+02, 1.217E+02, 5.540E+02, 4.164E+02, 4.135E+02, 5.088E+02, 1.009E+02, 5.416E+02, 5.464E+02, 5.446E+02, 5.001E+02, 4.790E+02, 4.478E+02, 4.342E+02, 2.418E+01, 6.482E+01, 3.634E+02, 2.587E+02, 2.776E+02, 1.376E+02, 2.291E+01, 6.933E+01, 5.748E+01, 6.295E+01, 5.745E+01, 5.515E+01,-2.646E+00,-2.550E+00,-2.751E+00,-1.212E+00,-4.069E-02, 6.298E-01, 5.774E-01, 6.489E-01, 7.955E-01
