s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.000E+00, 0.000E+00, 0.000E+00,-4.459E-06,-1.629E-09, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.461E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.002E+01, 1.903E+01, 0.000E+00,-3.976E+00,-2.023E+00,-9.715E-01, 2.106E-02, 0.000E+00, 0.000E+00, 1.206E+01, 1.209E+01, 0.000E+00, 4.303E-04, 0.000E+00, 0.000E+00
 1.600E+02, 2.758E+01, 0.000E+00,-7.830E+00,-1.366E+01,-1.322E+00, 2.852E-02, 0.000E+00, 0.000E+00, 4.788E+00, 4.793E+00, 0.000E+00, 6.179E-04, 0.000E+00, 0.000E+00
 2.400E+02, 2.768E+01, 0.000E+00,-8.478E+00,-1.746E+01,-4.577E-01, 2.850E-02, 0.000E+00, 0.000E+00, 1.309E+00, 1.308E+00, 0.000E+00, 6.155E-04, 0.000E+00, 0.000E+00
 3.200E+02, 2.746E+01, 0.000E+00,-8.650E+00,-1.835E+01, 1.957E-01, 2.858E-02, 0.000E+00, 0.000E+00, 6.813E-01, 6.829E-01, 0.000E+00, 6.131E-04, 0.000E+00, 0.000E+00
 4.000E+02, 2.794E+01, 0.000E+00,-9.028E+00,-1.893E+01, 6.911E-01, 2.911E-02, 0.000E+00, 0.000E+00, 6.881E-01, 6.934E-01, 0.000E+00, 6.267E-04, 0.000E+00, 0.000E+00
 4.800E+02, 5.644E+01, 0.000E+00,-2.184E+01,-2.864E+01, 2.154E+00, 4.689E-02, 0.000E+00, 0.000E+00, 8.134E+00, 8.162E+00, 0.000E+00, 1.307E-03, 0.000E+00, 0.000E+00
 5.600E+02, 9.364E+01, 0.000E+00,-4.470E+01,-4.980E+01, 6.867E+00, 4.120E-02, 0.000E+00, 0.000E+00, 6.040E+00, 6.053E+00, 0.000E+00, 2.340E-03, 0.000E+00, 0.000E+00
 6.400E+02, 1.377E+02, 0.000E+00,-6.718E+01,-7.569E+01, 1.056E+01, 2.230E-02, 0.000E+00, 0.000E+00, 5.405E+00, 5.418E+00, 0.000E+00, 3.214E-03, 0.000E+00, 0.000E+00
 7.200E+02, 1.480E+02, 0.000E+00,-7.055E+01,-8.945E+01, 1.235E+01, 2.209E-02, 0.000E+00, 0.000E+00, 3.350E-01, 3.416E-01, 0.000E+00, 3.307E-03, 0.000E+00, 0.000E+00
 8.000E+02, 1.475E+02, 0.000E+00,-6.786E+01,-9.265E+01, 1.316E+01, 2.144E-02, 0.000E+00, 0.000E+00, 1.145E-01, 1.542E-01, 0.000E+00, 3.295E-03, 0.000E+00, 0.000E+00
 8.800E+02, 1.487E+02, 0.000E+00,-6.701E+01,-9.427E+01, 1.359E+01, 2.180E-02, 0.000E+00, 0.000E+00, 1.054E+00, 1.070E+00, 0.000E+00, 3.283E-03, 0.000E+00, 0.000E+00
 9.600E+02, 1.473E+02, 0.000E+00,-6.637E+01,-9.548E+01, 1.386E+01, 2.197E-02, 0.000E+00, 0.000E+00,-7.364E-01,-6.979E-01, 0.000E+00, 3.270E-03, 0.000E+00, 0.000E+00
 1.040E+03, 1.465E+02, 0.000E+00,-6.552E+01,-9.487E+01, 1.428E+01, 2.053E-02, 0.000E+00, 0.000E+00, 3.526E-01, 3.866E-01, 0.000E+00, 3.258E-03, 0.000E+00, 0.000E+00
 1.120E+03, 1.459E+02, 0.000E+00,-6.584E+01,-9.382E+01, 1.434E+01, 2.110E-02, 0.000E+00, 0.000E+00, 5.300E-01, 5.544E-01, 0.000E+00, 3.246E-03, 0.000E+00, 0.000E+00
 1.200E+03, 1.460E+02, 0.000E+00,-6.449E+01,-9.646E+01, 1.433E+01, 2.070E-02, 0.000E+00, 0.000E+00,-6.145E-01,-6.036E-01, 0.000E+00, 3.233E-03, 0.000E+00, 0.000E+00
 1.280E+03, 1.435E+02, 0.000E+00,-6.332E+01,-9.438E+01, 1.442E+01, 2.065E-02, 0.000E+00, 0.000E+00, 2.024E-01, 2.366E-01, 0.000E+00, 3.221E-03, 0.000E+00, 0.000E+00
 1.360E+03, 1.475E+02, 0.000E+00,-6.357E+01,-9.816E+01, 1.424E+01, 2.117E-02, 0.000E+00, 0.000E+00,-1.411E-02, 2.052E-02, 0.000E+00, 3.209E-03, 0.000E+00, 0.000E+00
 1.440E+03, 1.398E+02, 0.000E+00,-6.259E+01,-9.138E+01, 1.426E+01, 2.036E-02, 0.000E+00, 0.000E+00, 1.357E-01, 1.472E-01, 0.000E+00, 3.197E-03, 0.000E+00, 0.000E+00
 1.520E+03, 1.433E+02, 0.000E+00,-6.240E+01,-9.589E+01, 1.439E+01, 2.096E-02, 0.000E+00, 0.000E+00,-5.851E-01,-5.547E-01, 0.000E+00, 3.184E-03, 0.000E+00, 0.000E+00
 1.600E+03, 1.431E+02, 0.000E+00,-6.184E+01,-9.517E+01, 1.439E+01, 2.124E-02, 0.000E+00, 0.000E+00, 4.593E-01, 5.062E-01, 0.000E+00, 3.172E-03, 0.000E+00, 0.000E+00
 1.680E+03, 1.420E+02, 0.000E+00,-6.360E+01,-9.327E+01, 1.425E+01, 2.101E-02, 0.000E+00, 0.000E+00,-6.220E-01,-6.006E-01, 0.000E+00, 3.160E-03, 0.000E+00, 0.000E+00
 1.760E+03, 1.407E+02, 0.000E+00,-6.152E+01,-9.335E+01, 1.439E+01, 2.074E-02, 0.000E+00, 0.000E+00, 2.349E-01, 2.662E-01, 0.000E+00, 3.147E-03, 0.000E+00, 0.000E+00
 1.840E+03, 1.424E+02, 0.000E+00,-6.343E+01,-9.309E+01, 1.438E+01, 2.243E-02, 0.000E+00, 0.000E+00, 2.917E-01, 2.864E-01, 0.000E+00, 3.135E-03, 0.000E+00, 0.000E+00
 1.920E+03, 1.399E+02, 0.000E+00,-6.186E+01,-9.319E+01, 1.460E+01, 2.116E-02, 0.000E+00, 0.000E+00,-5.948E-01,-5.630E-01, 0.000E+00, 3.168E-03, 0.000E+00, 0.000E+00
 2.000E+03, 1.726E+02, 0.000E+00,-7.463E+01,-1.080E+02, 1.424E+01, 1.897E-02, 0.000E+00, 0.000E+00, 4.183E+00, 4.242E+00, 0.000E+00, 4.099E-03, 0.000E+00, 0.000E+00
 2.080E+03, 2.148E+02, 0.000E+00,-9.321E+01,-1.332E+02, 1.410E+01, 1.422E-02, 0.000E+00, 0.000E+00, 2.405E+00, 2.512E+00, 0.000E+00, 4.996E-03, 0.000E+00, 0.000E+00
 2.160E+03, 2.185E+02, 0.000E+00,-1.094E+02,-1.183E+02, 1.322E+01, 1.035E-02, 0.000E+00, 0.000E+00, 3.968E+00, 4.044E+00, 0.000E+00, 5.025E-03, 0.000E+00, 0.000E+00
 2.240E+03, 2.223E+02, 0.000E+00,-1.168E+02,-1.171E+02, 1.271E+01, 1.091E-02, 0.000E+00, 0.000E+00, 1.022E+00, 1.092E+00, 0.000E+00, 5.020E-03, 0.000E+00, 0.000E+00
 2.320E+03, 2.240E+02, 0.000E+00,-1.132E+02,-1.225E+02, 1.276E+01, 1.193E-02, 0.000E+00, 0.000E+00, 9.583E-01, 1.059E+00, 0.000E+00, 5.016E-03, 0.000E+00, 0.000E+00
 2.400E+03, 2.271E+02, 0.000E+00,-1.142E+02,-1.259E+02, 1.303E+01, 1.194E-02, 0.000E+00, 0.000E+00,-1.112E-01, 1.837E-03, 0.000E+00, 5.012E-03, 0.000E+00, 0.000E+00
 2.480E+03, 2.219E+02, 0.000E+00,-1.123E+02,-1.218E+02, 1.266E+01, 1.168E-02, 0.000E+00, 0.000E+00, 3.000E-01, 4.048E-01, 0.000E+00, 5.008E-03, 0.000E+00, 0.000E+00
 2.560E+03, 2.251E+02, 0.000E+00,-1.121E+02,-1.264E+02, 1.325E+01, 1.096E-02, 0.000E+00, 0.000E+00,-3.498E-01,-2.423E-01, 0.000E+00, 5.003E-03, 0.000E+00, 0.000E+00
 2.640E+03, 2.261E+02, 0.000E+00,-1.117E+02,-1.281E+02, 1.339E+01, 1.111E-02, 0.000E+00, 0.000E+00,-4.512E-01,-3.251E-01, 0.000E+00, 4.999E-03, 0.000E+00, 0.000E+00
 2.720E+03, 2.244E+02, 0.000E+00,-1.131E+02,-1.235E+02, 1.294E+01, 1.045E-02, 0.000E+00, 0.000E+00, 6.122E-01, 6.880E-01, 0.000E+00, 4.995E-03, 0.000E+00, 0.000E+00
 2.800E+03, 2.262E+02, 0.000E+00,-1.128E+02,-1.265E+02, 1.314E+01, 1.205E-02, 0.000E+00, 0.000E+00, 3.046E-02, 1.234E-01, 0.000E+00, 4.991E-03, 0.000E+00, 0.000E+00
 2.880E+03, 2.208E+02, 0.000E+00,-1.090E+02,-1.248E+02, 1.320E+01, 1.122E-02, 0.000E+00, 0.000E+00, 2.800E-02, 1.269E-01, 0.000E+00, 4.986E-03, 0.000E+00, 0.000E+00
 2.960E+03, 2.242E+02, 0.000E+00,-1.103E+02,-1.268E+02, 1.307E+01, 1.065E-02, 0.000E+00, 0.000E+00, 3.990E-02, 1.332E-01, 0.000E+00, 4.982E-03, 0.000E+00, 0.000E+00
 3.040E+03, 1.977E+02, 0.000E+00,-9.922E+01,-1.161E+02, 1.362E+01, 1.070E-02, 0.000E+00, 0.000E+00,-4.059E+00,-3.971E+00, 0.000E+00, 3.767E-03, 0.000E+00, 0.000E+00
 3.120E+03, 8.846E+01, 0.000E+00,-3.668E+01,-7.811E+01, 1.459E+01, 1.441E-02, 0.000E+00, 0.000E+00,-1.176E+01,-1.172E+01, 0.000E+00, 1.388E-03, 0.000E+00, 0.000E+00
