s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.000E+00, 0.000E+00,-1.040E-05,-1.587E-09, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.040E-05, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.001E+01, 3.669E+01,-9.746E+00,-8.379E+00,-1.481E+00, 3.420E-02, 0.000E+00, 0.000E+00, 1.711E+01, 1.712E+01, 0.000E+00, 1.825E-03, 0.000E+00, 0.000E+00
 1.600E+02, 6.464E+01,-2.036E+01,-4.088E+01,-3.782E-01, 4.391E-02, 0.000E+00, 0.000E+00, 3.085E+00, 3.065E+00, 0.000E+00, 3.072E-03, 0.000E+00, 0.000E+00
 2.400E+02, 6.730E+01,-2.135E+01,-4.623E+01, 1.435E+00, 4.260E-02, 0.000E+00, 0.000E+00, 1.217E+00, 1.198E+00, 0.000E+00, 3.168E-03, 0.000E+00, 0.000E+00
 3.200E+02, 6.824E+01,-2.163E+01,-4.903E+01, 2.363E+00, 4.586E-02, 0.000E+00, 0.000E+00, 4.452E-03,-5.497E-03, 0.000E+00, 3.264E-03, 0.000E+00, 0.000E+00
 4.000E+02, 7.063E+01,-2.250E+01,-5.015E+01, 3.231E+00, 4.453E-02, 0.000E+00, 0.000E+00, 1.281E+00, 1.263E+00, 0.000E+00, 3.360E-03, 0.000E+00, 0.000E+00
 4.800E+02, 7.241E+01,-2.306E+01,-5.386E+01, 3.943E+00, 4.702E-02, 0.000E+00, 0.000E+00,-5.142E-01,-5.137E-01, 0.000E+00, 3.456E-03, 0.000E+00, 0.000E+00
 5.600E+02, 7.589E+01,-2.394E+01,-5.526E+01, 4.585E+00, 4.822E-02, 0.000E+00, 0.000E+00, 1.339E+00, 1.326E+00, 0.000E+00, 3.552E-03, 0.000E+00, 0.000E+00
 6.400E+02, 7.693E+01,-2.392E+01,-5.777E+01, 5.206E+00, 4.534E-02, 0.000E+00, 0.000E+00, 4.791E-01, 4.962E-01, 0.000E+00, 3.648E-03, 0.000E+00, 0.000E+00
 7.200E+02, 7.780E+01,-2.385E+01,-5.968E+01, 5.574E+00, 4.742E-02, 0.000E+00, 0.000E+00,-1.175E-01,-1.121E-01, 0.000E+00, 3.780E-03, 0.000E+00, 0.000E+00
 8.000E+02, 1.091E+02,-3.599E+01,-7.533E+01, 7.053E+00, 4.561E-02, 0.000E+00, 0.000E+00, 4.898E+00, 4.896E+00, 0.000E+00, 5.329E-03, 0.000E+00, 0.000E+00
 8.800E+02, 1.206E+02,-4.060E+01,-8.718E+01, 9.254E+00, 2.495E-02, 0.000E+00, 0.000E+00, 2.119E+00, 2.119E+00, 0.000E+00, 5.877E-03, 0.000E+00, 0.000E+00
 9.600E+02, 1.230E+02,-3.961E+01,-9.355E+01, 1.028E+01, 9.816E-03, 0.000E+00, 0.000E+00, 1.080E-01, 1.081E-01, 0.000E+00, 6.037E-03, 0.000E+00, 0.000E+00
 1.040E+03, 1.288E+02,-3.950E+01,-9.913E+01, 1.083E+01, 2.300E-03, 0.000E+00, 0.000E+00, 1.043E+00, 1.030E+00, 0.000E+00, 6.197E-03, 0.000E+00, 0.000E+00
 1.120E+03, 1.331E+02,-4.213E+01,-1.026E+02, 1.110E+01, 2.564E-03, 0.000E+00, 0.000E+00,-4.421E-01,-4.744E-01, 0.000E+00, 6.357E-03, 0.000E+00, 0.000E+00
 1.200E+03, 1.363E+02,-4.161E+01,-1.060E+02, 1.169E+01, 1.060E-03, 0.000E+00, 0.000E+00, 3.697E-01, 3.483E-01, 0.000E+00, 6.516E-03, 0.000E+00, 0.000E+00
 1.280E+03, 1.408E+02,-4.414E+01,-1.088E+02, 1.210E+01, 1.633E-03, 0.000E+00, 0.000E+00,-5.529E-02,-7.232E-02, 0.000E+00, 6.676E-03, 0.000E+00, 0.000E+00
 1.360E+03, 1.441E+02,-4.704E+01,-1.089E+02, 1.238E+01, 1.616E-03, 0.000E+00, 0.000E+00, 5.608E-01, 5.415E-01, 0.000E+00, 6.836E-03, 0.000E+00, 0.000E+00
 1.440E+03, 1.481E+02,-4.772E+01,-1.127E+02, 1.267E+01, 1.667E-03, 0.000E+00, 0.000E+00, 4.414E-01, 4.095E-01, 0.000E+00, 6.996E-03, 0.000E+00, 0.000E+00
