s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,O2Rear,CO2Rear,CORear,THCRear,SootRear,H2ORear,O2Front,CO2Front,COFront,THCFront,SootFront,H2OFront,HFR,HFF,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C
 0.000E+00, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 0.000E+00, 5.941E-03, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 0.000E+00, 5.941E-03,-4.916E-06,-8.046E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01,-7.514E-04,-2.757E-03, 8.964E-03,-9.732E-03,-4.766E-03, 5.018E-04,-3.798E-03, 7.022E-03, 3.432E-03
 8.001E+01, 2.058E-01, 1.418E-03, 1.392E-12, 1.080E-11, 2.909E-13, 6.677E-03, 2.050E-01, 1.894E-03, 3.034E-12, 1.051E-11, 6.339E-13, 7.016E-03, 1.192E-01, 1.098E-01, 3.930E+01, 4.771E+01, 2.005E+01, 4.361E+01, 2.004E+01, 4.319E+01, 2.456E+01, 2.442E+01, 3.373E+01, 2.001E+01, 4.189E+01, 3.966E+01, 4.243E+01, 4.569E+01, 4.045E+01, 3.717E+01, 3.373E+01, 2.002E+01, 2.038E+01, 2.794E+01, 2.298E+01, 2.223E+01, 2.156E+01, 2.003E+01, 2.037E+01, 2.024E+01, 2.025E+01, 2.024E+01, 2.022E+01,-3.077E-01,-3.176E-01,-3.187E-01,-1.121E-01, 1.211E-02, 3.967E-02, 2.880E-02, 4.509E-02, 4.705E-02
 1.600E+02, 1.949E-01, 7.854E-03, 3.123E-10, 2.987E-11, 6.529E-11, 1.127E-02, 1.935E-01, 8.704E-03, 2.232E-11, 3.257E-12, 4.666E-12, 1.188E-02, 1.320E+00, 7.521E-01, 1.402E+02, 1.574E+02, 2.287E+01, 1.558E+02, 2.436E+01, 1.481E+02, 7.216E+01, 5.300E+01, 9.597E+01, 2.084E+01, 1.473E+02, 1.441E+02, 1.537E+02, 1.503E+02, 1.419E+02, 1.267E+02, 1.189E+02, 2.014E+01, 2.241E+01, 9.639E+01, 7.350E+01, 6.947E+01, 2.384E+01, 2.017E+01, 2.256E+01, 2.162E+01, 2.179E+01, 2.165E+01, 2.171E+01,-1.115E+00,-1.037E+00,-1.083E+00,-4.598E-01, 1.818E-01, 3.080E-01, 2.901E-01, 3.171E-01, 3.661E-01
 2.400E+02, 1.843E-01, 1.414E-02, 7.890E-10, 5.823E-11, 1.650E-10, 1.576E-02, 1.832E-01, 1.479E-02, 5.115E-10, 4.756E-11, 1.070E-10, 1.623E-02, 2.509E+00, 1.627E+00, 2.289E+02, 2.514E+02, 3.053E+01, 2.327E+02, 3.884E+01, 2.292E+02, 1.253E+02, 9.207E+01, 1.590E+02, 2.547E+01, 2.389E+02, 2.328E+02, 2.411E+02, 2.420E+02, 2.309E+02, 2.012E+02, 1.927E+02, 2.024E+01, 2.457E+01, 1.692E+02, 1.130E+02, 1.143E+02, 2.793E+01, 2.032E+01, 2.512E+01, 2.347E+01, 2.393E+01, 2.343E+01, 2.354E+01,-1.554E+00,-1.454E+00,-1.503E+00,-7.051E-01, 2.584E-01, 4.432E-01, 4.218E-01, 4.509E-01, 5.494E-01
 3.200E+02, 1.796E-01, 1.693E-02, 3.678E-10, 3.100E-11, 7.691E-11, 1.775E-02, 1.825E-01, 1.521E-02, 1.068E-09, 9.129E-11, 2.233E-10, 1.653E-02, 2.774E+00, 2.004E+00, 2.669E+02, 2.664E+02, 3.714E+01, 2.672E+02, 4.771E+01, 2.432E+02, 1.399E+02, 1.112E+02, 1.824E+02, 3.367E+01, 2.533E+02, 2.456E+02, 2.476E+02, 2.547E+02, 2.448E+02, 2.202E+02, 2.134E+02, 2.042E+01, 2.554E+01, 1.876E+02, 1.203E+02, 1.219E+02, 3.064E+01, 2.038E+01, 2.622E+01, 2.421E+01, 2.489E+01, 2.420E+01, 2.427E+01,-1.563E+00,-1.476E+00,-1.559E+00,-7.179E-01, 2.753E-01, 4.951E-01, 4.542E-01, 4.861E-01, 5.846E-01
 4.000E+02, 1.806E-01, 1.634E-02, 3.054E-10, 2.886E-11, 6.387E-11, 1.733E-02, 1.834E-01, 1.466E-02, 1.512E-09, 1.443E-10, 3.162E-10, 1.614E-02, 2.883E+00, 2.161E+00, 2.614E+02, 2.628E+02, 3.822E+01, 2.639E+02, 4.960E+01, 2.391E+02, 1.470E+02, 1.202E+02, 1.895E+02, 4.176E+01, 2.517E+02, 2.489E+02, 2.487E+02, 2.540E+02, 2.448E+02, 2.205E+02, 2.134E+02, 2.051E+01, 2.600E+01, 1.946E+02, 1.362E+02, 1.343E+02, 3.307E+01, 2.037E+01, 2.663E+01, 2.466E+01, 2.526E+01, 2.454E+01, 2.469E+01,-1.604E+00,-1.551E+00,-1.637E+00,-7.105E-01, 2.563E-01, 5.180E-01, 4.732E-01, 5.274E-01, 6.097E-01
 4.800E+02, 1.792E-01, 1.718E-02, 9.321E-11, 9.231E-12, 1.949E-11, 1.794E-02, 1.840E-01, 1.430E-02, 9.740E-10, 9.306E-11, 2.037E-10, 1.588E-02, 3.113E+00, 2.420E+00, 2.742E+02, 2.590E+02, 3.503E+01, 2.792E+02, 5.078E+01, 2.588E+02, 1.565E+02, 1.297E+02, 1.984E+02, 4.786E+01, 2.529E+02, 2.546E+02, 2.627E+02, 2.526E+02, 2.440E+02, 2.255E+02, 2.188E+02, 2.059E+01, 2.660E+01, 1.942E+02, 1.278E+02, 1.308E+02, 3.208E+01, 2.039E+01, 2.725E+01, 2.519E+01, 2.580E+01, 2.499E+01, 2.503E+01,-1.646E+00,-1.553E+00,-1.704E+00,-6.914E-01, 2.559E-01, 5.001E-01, 4.673E-01, 5.268E-01, 5.912E-01
 5.600E+02, 1.759E-01, 1.909E-02, 1.462E-10, 1.162E-11, 3.057E-11, 1.930E-02, 1.801E-01, 1.661E-02, 7.307E-09, 6.573E-10, 1.528E-09, 1.753E-02, 4.198E+00, 3.352E+00, 3.034E+02, 2.959E+02, 4.096E+01, 3.033E+02, 5.810E+01, 2.970E+02, 1.831E+02, 1.556E+02, 2.246E+02, 5.236E+01, 2.769E+02, 2.821E+02, 2.945E+02, 2.721E+02, 2.613E+02, 2.520E+02, 2.421E+02, 2.075E+01, 2.851E+01, 2.164E+02, 1.602E+02, 1.590E+02, 4.782E+01, 2.053E+01, 2.937E+01, 2.683E+01, 2.774E+01, 2.661E+01, 2.683E+01,-1.761E+00,-1.682E+00,-1.786E+00,-8.088E-01, 2.171E-01, 5.086E-01, 4.616E-01, 5.354E-01, 6.273E-01
 6.400E+02, 1.608E-01, 2.802E-02, 5.268E-07, 1.926E-08, 1.105E-07, 2.570E-02, 1.599E-01, 2.859E-02, 3.050E-06, 1.862E-07, 6.390E-07, 2.611E-02, 8.751E+00, 8.774E+00, 4.106E+02, 4.574E+02, 5.756E+01, 4.162E+02, 7.314E+01, 4.192E+02, 2.675E+02, 2.563E+02, 3.296E+02, 5.651E+01, 4.080E+02, 4.053E+02, 4.114E+02, 3.998E+02, 3.736E+02, 3.490E+02, 3.315E+02, 2.126E+01, 3.843E+01, 2.930E+02, 2.387E+02, 2.405E+02, 8.763E+01, 2.102E+01, 4.066E+01, 3.550E+01, 3.784E+01, 3.536E+01, 3.476E+01,-2.210E+00,-2.090E+00,-2.222E+00,-9.976E-01, 1.231E-01, 5.628E-01, 5.036E-01, 5.581E-01, 6.700E-01
