s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"O2Rear","CO2Rear","CORear","THCRear","SootRear","H2ORear","O2Front","CO2Front","COFront","THCFront","SootFront","H2OFront","HFR","HFF","TRSampA","TFSampA","TR24A","TR80A","TF24A","TF80A","TFloorR","TFloorF","TCeilF","TWallUR","TD79LBB","TD79CBB","TD79RBB","TD70LA","TD70LBB","TD70CA","TD70CBB","TD30LA","TD30LBB","TD60CBB","TD50CA","TD50CBB","TD40CBB","TD30CA","TD30CBB","TD20LBB","TD20CBB","TD20RBB","TD5CBB","VD79L","VD79C","VD79R","VD60C","VD40C","VD20L","VD20C","VD20R","VD5C"
 7.200E+02, 3.172E-02, 1.039E-01, 4.609E-04, 2.177E-05, 9.937E-05, 8.090E-02, 2.716E-02, 9.841E-02, 8.361E-03, 7.928E-04, 1.822E-03, 8.597E-02, 5.697E+01, 8.523E+01, 7.981E+02, 9.870E+02, 3.172E+02, 7.705E+02, 4.644E+02, 9.590E+02, 6.791E+02, 7.807E+02, 8.847E+02, 9.869E+01, 2.000E+01, 9.203E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.002E+03, 9.058E+02, 2.000E+01, 2.000E+01, 8.047E+02, 6.457E+02, 6.655E+02, 4.713E+02, 4.882E+01, 2.534E+02, 2.000E+01, 1.957E+02, 2.000E+01, 1.627E+02, 3.699E-06,-5.391E+00, 5.425E-07,-2.586E+00,-7.216E-01, 9.566E-07, 7.343E-01, 9.700E-07, 1.099E+00
 8.000E+02, 1.770E-02, 1.124E-01, 2.615E-04, 7.306E-06, 5.607E-05, 8.683E-02, 2.633E-02, 1.008E-01, 6.519E-03, 7.219E-04, 1.417E-03, 8.555E-02, 6.402E+01, 9.471E+01, 8.164E+02, 9.966E+02, 3.256E+02, 8.028E+02, 4.828E+02, 9.834E+02, 7.139E+02, 8.146E+02, 9.015E+02, 1.218E+02, 2.000E+01, 9.352E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.028E+03, 9.273E+02, 2.000E+01, 2.000E+01, 8.725E+02, 6.952E+02, 7.138E+02, 4.813E+02, 4.279E+01, 2.819E+02, 2.000E+01, 2.194E+02, 2.000E+01, 1.821E+02, 1.917E-06,-5.353E+00, 1.396E-06,-2.739E+00,-6.408E-01, 1.034E-06, 7.306E-01, 8.626E-07, 1.114E+00
 8.800E+02, 2.442E-02, 1.087E-01, 5.010E-05, 3.673E-07, 1.067E-05, 8.386E-02, 2.926E-02, 9.783E-02, 7.734E-03, 6.925E-04, 1.684E-03, 8.483E-02, 6.539E+01, 9.409E+01, 8.181E+02, 1.008E+03, 3.415E+02, 7.988E+02, 5.005E+02, 9.476E+02, 7.218E+02, 8.146E+02, 9.102E+02, 1.420E+02, 2.000E+01, 9.415E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.047E+03, 9.413E+02, 2.000E+01, 2.000E+01, 8.453E+02, 6.935E+02, 7.064E+02, 4.800E+02, 3.931E+01, 2.689E+02, 2.000E+01, 2.214E+02, 2.000E+01, 1.811E+02,-3.571E-07,-5.324E+00,-1.199E-05,-2.575E+00,-6.111E-01, 5.640E-07, 7.373E-01, 7.049E-07, 1.138E+00
 9.600E+02, 3.452E-02, 1.027E-01, 7.251E-06, 9.339E-08, 1.541E-06, 7.951E-02, 3.670E-02, 9.479E-02, 6.424E-03, 5.470E-04, 1.396E-03, 8.113E-02, 6.739E+01, 9.889E+01, 8.188E+02, 1.021E+03, 3.448E+02, 8.050E+02, 5.372E+02, 9.483E+02, 7.314E+02, 8.295E+02, 9.157E+02, 1.573E+02, 2.000E+01, 9.553E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.059E+03, 9.515E+02, 2.000E+01, 2.000E+01, 8.798E+02, 7.288E+02, 7.365E+02, 5.168E+02, 5.945E+01, 2.989E+02, 2.000E+01, 2.323E+02, 2.000E+01, 1.898E+02, 5.888E-06,-5.416E+00, 4.800E-06,-2.757E+00,-8.839E-01, 8.267E-07, 6.991E-01, 6.945E-07, 1.093E+00
 1.040E+03, 3.064E-02, 1.048E-01, 2.387E-04, 1.774E-05, 5.125E-05, 8.127E-02, 2.620E-02, 9.931E-02, 8.070E-03, 5.447E-04, 1.756E-03, 8.633E-02, 7.319E+01, 1.030E+02, 8.391E+02, 1.021E+03, 3.629E+02, 8.264E+02, 5.487E+02, 9.891E+02, 7.540E+02, 8.428E+02, 9.277E+02, 1.670E+02, 2.000E+01, 9.458E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.040E+03, 9.385E+02, 2.000E+01, 2.000E+01, 8.832E+02, 7.401E+02, 7.449E+02, 5.185E+02, 4.347E+01, 2.926E+02, 2.000E+01, 2.369E+02, 2.000E+01, 1.969E+02,-1.095E-05,-5.388E+00,-5.001E-06,-2.747E+00,-6.935E-01, 1.488E-06, 7.410E-01, 1.439E-06, 1.123E+00
 1.120E+03, 3.933E-02, 9.991E-02, 6.109E-07, 4.321E-09, 1.298E-07, 7.745E-02, 3.727E-02, 9.699E-02, 3.989E-03, 2.802E-04, 8.655E-04, 7.993E-02, 7.182E+01, 1.023E+02, 8.267E+02, 1.032E+03, 3.540E+02, 8.264E+02, 5.303E+02, 9.673E+02, 7.498E+02, 8.414E+02, 9.215E+02, 1.741E+02, 2.000E+01, 9.412E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.047E+03, 9.456E+02, 2.000E+01, 2.000E+01, 9.092E+02, 6.861E+02, 7.150E+02, 5.110E+02, 3.458E+01, 2.921E+02, 2.000E+01, 2.389E+02, 2.000E+01, 1.969E+02,-5.074E-06,-5.371E+00,-5.818E-06,-2.791E+00,-6.776E-01, 9.412E-07, 7.240E-01, 8.962E-07, 1.135E+00
 1.200E+03, 3.954E-02, 9.978E-02, 7.953E-07, 4.073E-09, 1.690E-07, 7.736E-02, 4.195E-02, 9.364E-02, 4.557E-03, 2.421E-04, 9.866E-04, 7.818E-02, 7.124E+01, 1.015E+02, 8.263E+02, 1.006E+03, 3.515E+02, 8.214E+02, 5.285E+02, 9.751E+02, 7.480E+02, 8.392E+02, 9.172E+02, 1.784E+02, 2.000E+01, 9.406E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.038E+03, 9.396E+02, 2.000E+01, 2.000E+01, 9.131E+02, 7.317E+02, 7.405E+02, 5.174E+02, 3.647E+01, 2.891E+02, 2.000E+01, 2.379E+02, 2.000E+01, 1.959E+02, 5.817E-07,-5.333E+00,-7.450E-07,-2.816E+00,-7.755E-01, 3.778E-07, 7.212E-01, 3.722E-07, 1.126E+00
 1.280E+03, 3.825E-02, 1.005E-01, 1.239E-06, 9.186E-09, 2.633E-07, 7.791E-02, 3.690E-02, 9.653E-02, 4.647E-03, 2.983E-04, 1.009E-03, 8.036E-02, 7.322E+01, 1.022E+02, 8.370E+02, 1.026E+03, 3.651E+02, 8.247E+02, 5.472E+02, 9.763E+02, 7.559E+02, 8.407E+02, 9.296E+02, 1.806E+02, 2.000E+01, 9.356E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.063E+03, 9.547E+02, 2.000E+01, 2.000E+01, 8.816E+02, 7.016E+02, 7.226E+02, 5.021E+02, 3.609E+01, 2.918E+02, 2.000E+01, 2.367E+02, 2.000E+01, 1.971E+02, 8.255E-06,-5.392E+00, 4.419E-06,-2.709E+00,-5.820E-01, 1.456E-06, 7.460E-01, 1.407E-06, 1.148E+00
 1.360E+03, 3.307E-02, 1.036E-01, 2.792E-06, 2.246E-08, 5.932E-07, 8.013E-02, 2.653E-02, 1.003E-01, 6.864E-03, 6.410E-04, 1.491E-03, 8.564E-02, 7.483E+01, 1.039E+02, 8.362E+02, 1.038E+03, 3.769E+02, 8.284E+02, 5.365E+02, 9.781E+02, 7.620E+02, 8.461E+02, 9.330E+02, 1.823E+02, 2.000E+01, 9.328E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.052E+03, 9.469E+02, 2.000E+01, 2.000E+01, 9.238E+02, 6.988E+02, 7.232E+02, 4.852E+02, 3.284E+01, 2.946E+02, 2.000E+01, 2.416E+02, 2.000E+01, 2.011E+02,-2.574E-07,-5.391E+00, 4.817E-06,-2.859E+00,-5.744E-01, 1.892E-06, 7.497E-01, 1.743E-06, 1.125E+00
 1.440E+03, 3.264E-02, 1.038E-01, 9.749E-05, 6.164E-07, 2.080E-05, 8.036E-02, 3.915E-02, 9.610E-02, 3.778E-03, 2.323E-04, 8.175E-04, 7.905E-02, 7.541E+01, 1.054E+02, 8.411E+02, 1.028E+03, 3.610E+02, 8.297E+02, 5.368E+02, 9.870E+02, 7.640E+02, 8.500E+02, 9.301E+02, 1.840E+02, 2.000E+01, 9.308E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.035E+03, 9.373E+02, 2.000E+01, 2.000E+01, 9.221E+02, 7.101E+02, 7.295E+02, 5.020E+02, 3.460E+01, 2.975E+02, 2.000E+01, 2.436E+02, 2.000E+01, 2.030E+02,-7.770E-06,-5.383E+00,-3.623E-06,-2.867E+00,-7.013E-01, 9.252E-07, 7.613E-01, 8.358E-07, 1.149E+00
