s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"O2Rear","CO2Rear","CORear","THCRear","H2ORear","O2Front","CO2Front","COFront","THCFront","H2OFront","HFR","HFF","TRSampA","TFSampA","TR24A","TR80A","TF24A","TF80A","TFloorR","TFloorF","TCeilF","TWallUR","TD79LBB","TD79CBB","TD79RBB","TD70LA","TD70LBB","TD70CA","TD70CBB","TD30LA","TD30LBB","TD60CBB","TD50CA","TD50CBB","TD40CBB","TD30CA","TD30CBB","TD20LBB","TD20CBB","TD20RBB","TD5CBB","VD79L","VD79C","VD79R","VD60C","VD40C","VD20L","VD20C","VD20R","VD5C"
 0.000E+00, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 5.941E-03, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 5.941E-03,-4.036E-06,-6.948E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01,-7.514E-04,-2.757E-03, 8.964E-03,-9.732E-03,-4.766E-03, 5.018E-04,-3.798E-03, 7.022E-03, 3.432E-03
 8.000E+01, 1.161E-01, 4.079E-02, 8.272E-04, 4.601E-04, 5.991E-02, 1.103E-01, 3.994E-02, 3.533E-03, 4.678E-03, 6.466E-02, 2.291E+01, 2.453E+01, 4.620E+02, 5.937E+02, 5.376E+01, 4.682E+02, 5.331E+01, 5.390E+02, 3.316E+02, 3.406E+02, 4.585E+02, 2.071E+01, 5.129E+02, 5.074E+02, 5.337E+02, 4.927E+02, 4.390E+02, 3.963E+02, 3.655E+02, 2.399E+01, 7.773E+01, 2.990E+02, 1.451E+02, 1.723E+02, 1.068E+02, 2.368E+01, 8.117E+01, 6.921E+01, 7.335E+01, 6.908E+01, 6.452E+01,-2.917E+00,-2.817E+00,-3.061E+00,-1.055E+00,-2.667E-01, 1.011E-01, 9.822E-02, 1.069E-01, 2.090E-01
 1.600E+02, 8.187E-04, 8.708E-02, 5.660E-03, 4.832E-03, 1.312E-01, 1.418E-02, 6.352E-02, 1.804E-02, 4.073E-02, 1.283E-01, 5.886E+01, 7.373E+01, 7.726E+02, 1.077E+03, 1.846E+02, 7.669E+02, 2.449E+02, 1.019E+03, 6.777E+02, 7.337E+02, 9.368E+02, 4.196E+01, 1.008E+03, 9.960E+02, 9.996E+02, 1.003E+03, 9.131E+02, 8.652E+02, 8.373E+02, 4.063E+01, 2.336E+02, 6.311E+02, 3.440E+02, 4.647E+02, 3.338E+02, 3.002E+01, 2.349E+02, 1.918E+02, 2.046E+02, 1.900E+02, 1.716E+02,-6.227E+00,-5.614E+00,-6.013E+00,-1.784E+00,-1.713E-01, 6.112E-01, 6.665E-01, 5.948E-01, 9.067E-01
 2.400E+02, 4.634E-04, 8.547E-02, 6.996E-03, 7.501E-03, 1.321E-01, 1.222E-02, 6.375E-02, 1.864E-02, 4.040E-02, 1.299E-01, 6.413E+01, 7.866E+01, 8.060E+02, 1.073E+03, 1.920E+02, 7.710E+02, 2.664E+02, 1.034E+03, 7.080E+02, 7.604E+02, 9.537E+02, 8.285E+01, 1.017E+03, 1.010E+03, 9.997E+02, 1.029E+03, 9.382E+02, 8.848E+02, 8.511E+02, 3.413E+01, 2.457E+02, 6.419E+02, 3.749E+02, 4.930E+02, 3.591E+02, 3.018E+01, 2.529E+02, 2.055E+02, 2.189E+02, 2.015E+02, 1.839E+02,-6.345E+00,-5.833E+00,-6.143E+00,-1.792E+00,-2.515E-01, 6.563E-01, 6.678E-01, 6.378E-01, 9.385E-01
 3.200E+02, 2.835E-03, 8.378E-02, 7.591E-03, 6.854E-03, 1.310E-01, 1.142E-02, 6.540E-02, 1.805E-02, 3.392E-02, 1.305E-01, 7.073E+01, 8.486E+01, 8.262E+02, 1.097E+03, 2.019E+02, 7.952E+02, 2.832E+02, 1.048E+03, 7.373E+02, 7.844E+02, 9.747E+02, 1.158E+02, 1.023E+03, 1.013E+03, 1.019E+03, 1.059E+03, 9.583E+02, 9.171E+02, 8.795E+02, 3.296E+01, 2.644E+02, 6.806E+02, 3.655E+02, 5.036E+02, 3.749E+02, 3.105E+01, 2.695E+02, 2.203E+02, 2.346E+02, 2.153E+02, 1.979E+02,-6.457E+00,-5.884E+00,-6.280E+00,-1.890E+00,-1.155E-01, 6.796E-01, 6.548E-01, 6.042E-01, 9.634E-01
 4.000E+02, 1.558E-03, 8.432E-02, 7.528E-03, 7.967E-03, 1.317E-01, 1.406E-02, 7.011E-02, 1.377E-02, 2.313E-02, 1.269E-01, 7.233E+01, 8.639E+01, 8.263E+02, 1.092E+03, 2.033E+02, 8.022E+02, 2.680E+02, 1.091E+03, 7.459E+02, 7.914E+02, 9.695E+02, 1.398E+02, 1.018E+03, 1.010E+03, 1.028E+03, 1.039E+03, 9.490E+02, 1.001E+03, 9.329E+02, 4.941E+01, 2.805E+02, 6.499E+02, 3.564E+02, 4.975E+02, 3.650E+02, 3.123E+01, 2.755E+02, 2.272E+02, 2.400E+02, 2.256E+02, 2.018E+02,-6.218E+00,-5.805E+00,-6.408E+00,-1.732E+00,-6.887E-02, 6.437E-01, 7.077E-01, 6.411E-01, 9.893E-01
 4.800E+02, 4.901E-05, 8.353E-02, 8.538E-03, 1.137E-02, 1.330E-01, 1.213E-02, 6.612E-02, 1.676E-02, 3.843E-02, 1.289E-01, 7.300E+01, 8.628E+01, 8.101E+02, 1.089E+03, 1.970E+02, 8.216E+02, 2.891E+02, 1.070E+03, 7.491E+02, 7.918E+02, 9.676E+02, 1.573E+02, 1.024E+03, 1.029E+03, 1.022E+03, 1.052E+03, 9.512E+02, 9.075E+02, 8.744E+02, 7.720E+01, 3.013E+02, 6.639E+02, 3.706E+02, 5.070E+02, 3.724E+02, 3.126E+01, 2.760E+02, 2.230E+02, 2.386E+02, 2.234E+02, 2.018E+02,-6.247E+00,-5.944E+00,-6.347E+00,-1.832E+00,-1.733E-01, 6.059E-01, 6.958E-01, 6.561E-01, 9.895E-01
 5.600E+02, 2.462E-07, 8.161E-02, 1.005E-02, 1.375E-02, 1.338E-01, 8.663E-03, 7.063E-02, 1.532E-02, 2.467E-02, 1.311E-01, 7.647E+01, 8.973E+01, 8.226E+02, 1.072E+03, 1.954E+02, 8.320E+02, 3.093E+02, 1.127E+03, 7.626E+02, 8.033E+02, 9.668E+02, 1.675E+02, 1.012E+03, 1.029E+03, 1.039E+03, 1.033E+03, 9.432E+02, 9.793E+02, 9.233E+02, 6.279E+01, 3.039E+02, 6.996E+02, 3.537E+02, 5.052E+02, 3.866E+02, 3.168E+01, 2.848E+02, 2.341E+02, 2.476E+02, 2.320E+02, 2.095E+02,-6.250E+00,-5.885E+00,-6.538E+00,-1.908E+00,-1.307E-01, 6.039E-01, 7.168E-01, 6.645E-01, 9.858E-01
 6.400E+02, 2.743E-03, 8.399E-02, 7.407E-03, 7.265E-03, 1.310E-01, 1.887E-02, 6.785E-02, 1.369E-02, 2.488E-02, 1.238E-01, 7.632E+01, 8.952E+01, 8.328E+02, 1.102E+03, 2.097E+02, 8.286E+02, 3.035E+02, 1.097E+03, 7.626E+02, 8.025E+02, 9.800E+02, 1.739E+02, 1.035E+03, 1.026E+03, 1.023E+03, 1.067E+03, 9.676E+02, 9.659E+02, 9.155E+02, 4.640E+01, 2.883E+02, 6.886E+02, 3.811E+02, 5.209E+02, 3.971E+02, 3.132E+01, 2.822E+02, 2.337E+02, 2.467E+02, 2.304E+02, 2.091E+02,-6.496E+00,-5.884E+00,-6.427E+00,-1.760E+00,-1.251E-01, 6.342E-01, 7.087E-01, 6.388E-01, 9.652E-01
