s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,O2Rear,CO2Rear,CORear,THCRear,H2ORear,O2Front,CO2Front,COFront,THCFront,H2OFront,HFR,HFF,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C
 0.000E+00, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 5.941E-03, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 5.941E-03,-4.248E-06,-7.238E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01,-7.514E-04,-2.757E-03, 8.964E-03,-9.732E-03,-4.766E-03, 5.018E-04,-3.798E-03, 7.022E-03, 3.432E-03
 8.001E+01, 1.923E-01, 7.301E-03, 1.912E-08, 1.128E-08, 1.466E-02, 1.880E-01, 9.251E-03, 2.676E-07, 1.216E-07, 1.714E-02, 2.397E+00, 2.292E+00, 1.450E+02, 1.854E+02, 2.225E+01, 1.501E+02, 2.185E+01, 1.535E+02, 8.318E+01, 8.102E+01, 1.147E+02, 2.005E+01, 1.496E+02, 1.311E+02, 1.445E+02, 1.691E+02, 1.412E+02, 1.228E+02, 1.048E+02, 2.040E+01, 2.449E+01, 7.551E+01, 4.844E+01, 4.451E+01, 2.660E+01, 2.040E+01, 2.438E+01, 2.411E+01, 2.394E+01, 2.413E+01, 2.343E+01,-7.920E-01,-7.439E-01,-7.807E-01,-3.595E-01,-4.705E-02, 1.557E-02,-6.983E-03, 1.225E-02, 3.946E-02
 1.600E+02, 6.342E-02, 6.525E-02, 3.353E-04, 2.272E-04, 9.034E-02, 6.718E-02, 5.813E-02, 4.646E-03, 5.522E-03, 9.039E-02, 3.213E+01, 3.679E+01, 7.059E+02, 9.131E+02, 9.861E+01, 6.579E+02, 1.003E+02, 7.599E+02, 4.956E+02, 5.154E+02, 7.020E+02, 2.685E+01, 7.780E+02, 7.697E+02, 7.530E+02, 7.511E+02, 6.844E+02, 6.006E+02, 5.747E+02, 2.778E+01, 1.107E+02, 4.715E+02, 3.107E+02, 3.410E+02, 1.756E+02, 2.415E+01, 1.158E+02, 9.397E+01, 1.030E+02, 9.264E+01, 9.014E+01,-3.258E+00,-2.964E+00,-3.228E+00,-1.462E+00,-1.417E-01, 4.862E-01, 4.541E-01, 4.769E-01, 6.456E-01
 2.400E+02, 5.354E-03, 8.674E-02, 4.255E-03, 3.704E-03, 1.276E-01, 1.570E-02, 6.582E-02, 1.577E-02, 3.650E-02, 1.262E-01, 6.293E+01, 7.613E+01, 8.214E+02, 1.083E+03, 1.956E+02, 7.895E+02, 2.362E+02, 1.037E+03, 6.971E+02, 7.434E+02, 9.349E+02, 5.792E+01, 9.815E+02, 9.822E+02, 9.859E+02, 1.040E+03, 9.351E+02, 9.457E+02, 8.787E+02, 3.391E+01, 2.292E+02, 6.938E+02, 4.316E+02, 5.286E+02, 3.624E+02, 2.813E+01, 2.405E+02, 1.922E+02, 2.111E+02, 1.902E+02, 1.787E+02,-4.416E+00,-4.060E+00,-4.458E+00,-1.902E+00,-3.388E-01, 6.846E-01, 6.513E-01, 6.564E-01, 8.794E-01
 3.200E+02, 9.851E-05, 8.332E-02, 8.613E-03, 1.248E-02, 1.329E-01, 1.290E-02, 6.752E-02, 1.551E-02, 3.509E-02, 1.279E-01, 7.106E+01, 8.391E+01, 8.106E+02, 1.088E+03, 2.151E+02, 8.064E+02, 2.711E+02, 1.070E+03, 7.370E+02, 7.771E+02, 9.555E+02, 9.679E+01, 9.915E+02, 9.837E+02, 9.960E+02, 1.064E+03, 9.543E+02, 1.010E+03, 9.258E+02, 4.418E+01, 2.643E+02, 7.090E+02, 4.590E+02, 5.609E+02, 3.888E+02, 2.893E+01, 2.620E+02, 2.103E+02, 2.298E+02, 2.092E+02, 1.975E+02,-4.528E+00,-4.158E+00,-4.482E+00,-1.922E+00,-3.133E-01, 6.977E-01, 6.753E-01, 6.748E-01, 9.244E-01
 4.000E+02, 8.075E-06, 8.066E-02, 1.087E-02, 1.379E-02, 1.343E-01, 9.282E-03, 7.036E-02, 1.518E-02, 2.629E-02, 1.305E-01, 7.665E+01, 8.897E+01, 8.210E+02, 1.070E+03, 2.211E+02, 8.184E+02, 2.909E+02, 1.107E+03, 7.612E+02, 7.971E+02, 9.536E+02, 1.267E+02, 9.937E+02, 9.944E+02, 1.003E+03, 1.044E+03, 9.445E+02, 1.018E+03, 9.393E+02, 4.802E+01, 2.765E+02, 7.187E+02, 4.247E+02, 5.461E+02, 4.058E+02, 2.961E+01, 2.771E+02, 2.234E+02, 2.443E+02, 2.216E+02, 2.098E+02,-4.447E+00,-4.260E+00,-4.679E+00,-1.887E+00,-3.180E-01, 6.978E-01, 6.724E-01, 6.955E-01, 9.245E-01
 4.800E+02, 3.949E-06, 7.869E-02, 1.238E-02, 1.638E-02, 1.351E-01, 9.304E-03, 6.437E-02, 1.921E-02, 4.091E-02, 1.321E-01, 7.795E+01, 9.007E+01, 8.318E+02, 1.091E+03, 2.111E+02, 8.227E+02, 2.949E+02, 1.088E+03, 7.674E+02, 8.022E+02, 9.724E+02, 1.487E+02, 1.005E+03, 9.872E+02, 1.012E+03, 1.053E+03, 9.530E+02, 9.915E+02, 9.203E+02, 4.026E+01, 2.784E+02, 7.173E+02, 4.300E+02, 5.512E+02, 3.893E+02, 2.913E+01, 2.818E+02, 2.290E+02, 2.484E+02, 2.257E+02, 2.108E+02,-4.616E+00,-4.328E+00,-4.652E+00,-1.911E+00,-1.490E-01, 7.087E-01, 6.827E-01, 6.889E-01, 9.375E-01
 5.600E+02, 1.301E-06, 8.169E-02, 1.021E-02, 1.091E-02, 1.341E-01, 6.493E-03, 6.534E-02, 1.958E-02, 3.965E-02, 1.341E-01, 8.110E+01, 9.350E+01, 8.342E+02, 1.083E+03, 2.272E+02, 8.433E+02, 2.901E+02, 1.093E+03, 7.798E+02, 8.137E+02, 9.785E+02, 1.642E+02, 1.004E+03, 1.005E+03, 1.002E+03, 1.098E+03, 9.831E+02, 1.042E+03, 9.554E+02, 3.358E+01, 2.796E+02, 7.470E+02, 4.407E+02, 5.613E+02, 4.113E+02, 2.971E+01, 2.922E+02, 2.362E+02, 2.560E+02, 2.326E+02, 2.184E+02,-4.649E+00,-4.297E+00,-4.520E+00,-1.918E+00,-3.096E-01, 6.920E-01, 6.832E-01, 6.993E-01, 9.291E-01
 6.400E+02, 1.011E-04, 8.332E-02, 8.902E-03, 8.969E-03, 1.334E-01, 7.207E-03, 6.559E-02, 1.923E-02, 3.782E-02, 1.335E-01, 8.208E+01, 9.319E+01, 8.413E+02, 1.090E+03, 2.268E+02, 8.340E+02, 3.012E+02, 1.112E+03, 7.839E+02, 8.134E+02, 9.811E+02, 1.740E+02, 1.010E+03, 1.008E+03, 1.025E+03, 1.068E+03, 9.661E+02, 1.016E+03, 9.386E+02, 4.247E+01, 2.838E+02, 7.152E+02, 4.218E+02, 5.495E+02, 3.936E+02, 2.957E+01, 2.900E+02, 2.357E+02, 2.556E+02, 2.328E+02, 2.176E+02,-4.545E+00,-4.381E+00,-4.688E+00,-1.888E+00,-8.691E-02, 6.979E-01, 6.900E-01, 6.982E-01, 9.382E-01
