s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,O2Rear,CO2Rear,CORear,THCRear,H2ORear,O2Front,CO2Front,COFront,THCFront,H2OFront,HFR,HFF,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C
 0.000E+00, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 5.941E-03, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 5.941E-03,-5.381E-06,-9.375E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01,-7.514E-04,-2.757E-03, 8.964E-03,-9.732E-03,-4.766E-03, 5.018E-04,-3.798E-03, 7.022E-03, 3.432E-03
 8.003E+01, 2.030E-01, 3.073E-03, 1.935E-11, 2.601E-11, 8.457E-03, 2.022E-01, 3.514E-03, 1.936E-11, 2.159E-11, 8.871E-03, 3.542E-01, 2.595E-01, 6.408E+01, 7.077E+01, 2.611E+01, 6.566E+01, 2.259E+01, 6.594E+01, 3.189E+01, 2.909E+01, 4.564E+01, 2.003E+01, 6.138E+01, 5.668E+01, 6.185E+01, 6.484E+01, 5.815E+01, 5.197E+01, 4.660E+01, 2.301E+01, 2.296E+01, 4.653E+01, 4.824E+01, 4.446E+01, 3.337E+01, 2.267E+01, 2.362E+01, 2.067E+01, 2.089E+01, 2.091E+01, 2.055E+01,-5.031E-01,-4.800E-01,-4.900E-01,-2.091E-01,-5.882E-02, 1.237E-01, 1.029E-01, 1.227E-01, 1.426E-01
 1.600E+02, 1.795E-01, 1.679E-02, 1.299E-07, 2.391E-08, 2.134E-02, 1.771E-01, 1.821E-02, 1.276E-08, 3.812E-09, 2.268E-02, 3.634E+00, 2.347E+00, 2.421E+02, 2.733E+02, 4.064E+01, 2.657E+02, 5.598E+01, 2.696E+02, 1.403E+02, 1.036E+02, 1.731E+02, 2.194E+01, 2.514E+02, 2.546E+02, 2.692E+02, 2.514E+02, 2.359E+02, 2.206E+02, 2.074E+02, 2.115E+01, 2.726E+01, 1.819E+02, 1.557E+02, 1.487E+02, 8.323E+01, 2.095E+01, 2.768E+01, 2.496E+01, 2.572E+01, 2.487E+01, 2.448E+01,-1.655E+00,-1.545E+00,-1.676E+00,-8.021E-01, 8.088E-02, 5.188E-01, 4.778E-01, 5.339E-01, 6.160E-01
 2.400E+02, 1.610E-01, 2.765E-02, 9.011E-09, 2.008E-09, 3.159E-02, 1.669E-01, 2.419E-02, 1.158E-08, 3.084E-09, 2.832E-02, 6.420E+00, 3.971E+00, 3.699E+02, 3.664E+02, 6.636E+01, 3.680E+02, 7.234E+01, 3.644E+02, 2.330E+02, 1.674E+02, 2.591E+02, 3.127E+01, 3.501E+02, 3.526E+02, 3.640E+02, 3.490E+02, 3.327E+02, 3.263E+02, 3.122E+02, 2.168E+01, 3.202E+01, 2.632E+02, 2.066E+02, 2.092E+02, 6.962E+01, 2.066E+01, 3.258E+01, 2.893E+01, 3.035E+01, 2.877E+01, 2.825E+01,-2.027E+00,-1.894E+00,-2.054E+00,-9.147E-01, 2.465E-01, 5.922E-01, 5.402E-01, 5.980E-01, 7.415E-01
 3.200E+02, 1.580E-01, 2.942E-02, 4.397E-08, 1.183E-08, 3.326E-02, 1.613E-01, 2.744E-02, 1.068E-07, 2.728E-08, 3.139E-02, 1.042E+01, 6.583E+00, 4.165E+02, 4.255E+02, 8.763E+01, 4.408E+02, 9.284E+01, 4.397E+02, 3.114E+02, 2.306E+02, 3.243E+02, 4.550E+01, 4.042E+02, 4.082E+02, 4.281E+02, 3.974E+02, 3.791E+02, 3.701E+02, 3.537E+02, 2.214E+01, 3.866E+01, 3.026E+02, 2.136E+02, 2.194E+02, 9.292E+01, 2.094E+01, 3.958E+01, 3.469E+01, 3.645E+01, 3.413E+01, 3.326E+01,-2.157E+00,-2.073E+00,-2.246E+00,-1.045E+00, 9.454E-02, 5.998E-01, 5.411E-01, 6.056E-01, 7.933E-01
 4.000E+02, 1.603E-01, 2.804E-02, 3.149E-08, 7.304E-09, 3.196E-02, 1.605E-01, 2.794E-02, 1.096E-07, 2.682E-08, 3.186E-02, 1.145E+01, 7.276E+00, 4.266E+02, 4.551E+02, 9.620E+01, 4.341E+02, 9.797E+01, 4.345E+02, 3.342E+02, 2.496E+02, 3.442E+02, 5.905E+01, 4.190E+02, 4.219E+02, 4.326E+02, 4.215E+02, 3.981E+02, 3.872E+02, 3.683E+02, 2.140E+01, 3.934E+01, 3.269E+02, 2.443E+02, 2.491E+02, 1.143E+02, 2.104E+01, 4.159E+01, 3.595E+01, 3.815E+01, 3.564E+01, 3.490E+01,-2.307E+00,-2.171E+00,-2.309E+00,-1.088E+00, 1.124E-01, 6.515E-01, 5.727E-01, 6.573E-01, 7.966E-01
 4.800E+02, 1.520E-01, 3.292E-02, 5.795E-06, 1.626E-06, 3.658E-02, 1.543E-01, 3.155E-02, 3.411E-07, 6.290E-08, 3.528E-02, 1.494E+01, 9.119E+00, 5.017E+02, 5.083E+02, 1.061E+02, 4.810E+02, 1.010E+02, 4.475E+02, 3.800E+02, 2.825E+02, 3.847E+02, 6.951E+01, 4.649E+02, 4.491E+02, 4.479E+02, 4.808E+02, 4.495E+02, 4.140E+02, 3.945E+02, 2.139E+01, 4.357E+01, 3.424E+02, 2.694E+02, 2.700E+02, 1.225E+02, 2.138E+01, 4.666E+01, 3.982E+01, 4.260E+01, 3.955E+01, 3.867E+01,-2.446E+00,-2.265E+00,-2.394E+00,-1.162E+00, 3.539E-02, 6.556E-01, 5.546E-01, 6.534E-01, 8.179E-01
 5.600E+02, 1.463E-01, 3.624E-02, 2.656E-06, 9.086E-07, 3.973E-02, 1.509E-01, 3.356E-02, 1.864E-07, 3.600E-08, 3.718E-02, 1.750E+01, 1.124E+01, 5.317E+02, 5.410E+02, 1.216E+02, 5.122E+02, 1.185E+02, 4.699E+02, 4.175E+02, 3.227E+02, 4.236E+02, 7.876E+01, 5.025E+02, 4.867E+02, 4.858E+02, 5.127E+02, 4.831E+02, 4.469E+02, 4.271E+02, 2.252E+01, 5.005E+01, 3.741E+02, 2.766E+02, 2.836E+02, 1.237E+02, 2.166E+01, 5.312E+01, 4.495E+01, 4.844E+01, 4.473E+01, 4.348E+01,-2.512E+00,-2.354E+00,-2.527E+00,-1.247E+00, 1.032E-01, 6.688E-01, 5.862E-01, 6.706E-01, 8.690E-01
 6.400E+02, 1.439E-01, 3.766E-02, 4.985E-08, 8.795E-09, 4.107E-02, 1.494E-01, 3.443E-02, 4.805E-07, 8.698E-08, 3.801E-02, 2.032E+01, 1.355E+01, 5.278E+02, 5.506E+02, 1.326E+02, 5.441E+02, 1.306E+02, 5.610E+02, 4.477E+02, 3.546E+02, 4.443E+02, 8.810E+01, 5.067E+02, 5.158E+02, 5.362E+02, 5.121E+02, 4.826E+02, 4.824E+02, 4.570E+02, 2.274E+01, 5.546E+01, 3.912E+02, 3.087E+02, 3.150E+02, 1.604E+02, 2.180E+01, 5.910E+01, 4.940E+01, 5.356E+01, 4.921E+01, 4.884E+01,-2.600E+00,-2.460E+00,-2.716E+00,-1.249E+00,-4.745E-02, 6.904E-01, 5.856E-01, 6.868E-01, 8.569E-01
