s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,O2Rear,CO2Rear,CORear,THCRear,SootRear,H2ORear,O2Front,CO2Front,COFront,THCFront,SootFront,H2OFront,HFR,HFF,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C
 0.000E+00, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 0.000E+00, 5.941E-03, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 0.000E+00, 5.941E-03,-4.692E-06,-7.735E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01,-7.514E-04,-2.757E-03, 8.964E-03,-9.732E-03,-4.766E-03, 5.018E-04,-3.798E-03, 7.022E-03, 3.432E-03
 8.001E+01, 2.041E-01, 2.941E-03, 1.368E-11, 1.955E-11, 2.855E-12, 6.848E-03, 2.036E-01, 3.318E-03, 9.017E-12, 1.290E-11, 1.882E-12, 6.982E-03, 2.354E-01, 1.785E-01, 5.877E+01, 6.562E+01, 2.018E+01, 6.287E+01, 2.018E+01, 6.041E+01, 2.954E+01, 2.738E+01, 4.141E+01, 2.003E+01, 5.566E+01, 5.110E+01, 5.831E+01, 5.988E+01, 5.358E+01, 5.219E+01, 4.707E+01, 2.213E+01, 2.261E+01, 4.312E+01, 3.563E+01, 3.305E+01, 2.390E+01, 2.095E+01, 2.149E+01, 2.061E+01, 2.045E+01, 2.125E+01, 2.036E+01,-4.456E-01,-4.415E-01,-4.292E-01,-2.173E-01, 1.506E-02, 9.334E-02, 7.183E-02, 9.847E-02, 1.058E-01
 1.600E+02, 1.955E-01, 9.335E-03, 3.351E-10, 1.187E-10, 6.987E-11, 9.116E-03, 1.953E-01, 9.518E-03, 2.175E-11, 8.433E-12, 4.535E-12, 9.181E-03, 8.462E-01, 5.095E-01, 1.472E+02, 1.510E+02, 2.261E+01, 1.502E+02, 2.557E+01, 1.483E+02, 5.999E+01, 4.602E+01, 9.046E+01, 2.137E+01, 1.446E+02, 1.444E+02, 1.510E+02, 1.463E+02, 1.404E+02, 1.277E+02, 1.219E+02, 2.011E+01, 2.179E+01, 1.078E+02, 7.446E+01, 7.226E+01, 2.387E+01, 2.017E+01, 2.197E+01, 2.119E+01, 2.138E+01, 2.120E+01, 2.124E+01,-1.121E+00,-1.080E+00,-1.119E+00,-4.667E-01, 2.439E-01, 3.554E-01, 3.556E-01, 3.547E-01, 4.480E-01
 2.400E+02, 1.928E-01, 1.136E-02, 1.979E-10, 6.108E-11, 4.125E-11, 9.834E-03, 1.911E-01, 1.264E-02, 3.381E-11, 9.682E-12, 7.047E-12, 1.029E-02, 1.279E+00, 8.273E-01, 1.714E+02, 1.939E+02, 2.781E+01, 1.883E+02, 3.455E+01, 1.778E+02, 8.247E+01, 6.213E+01, 1.203E+02, 2.593E+01, 1.838E+02, 1.783E+02, 1.854E+02, 1.851E+02, 1.778E+02, 1.574E+02, 1.522E+02, 2.014E+01, 2.263E+01, 1.328E+02, 9.224E+01, 9.236E+01, 2.457E+01, 2.022E+01, 2.295E+01, 2.187E+01, 2.212E+01, 2.186E+01, 2.179E+01,-1.279E+00,-1.205E+00,-1.272E+00,-5.956E-01, 2.638E-01, 4.536E-01, 4.155E-01, 4.363E-01, 5.378E-01
 3.200E+02, 1.886E-01, 1.450E-02, 3.002E-09, 4.772E-10, 6.254E-10, 1.095E-02, 1.883E-01, 1.467E-02, 3.931E-10, 7.367E-11, 8.188E-11, 1.101E-02, 1.700E+00, 1.241E+00, 2.104E+02, 2.225E+02, 3.199E+01, 2.204E+02, 4.166E+01, 2.022E+02, 1.010E+02, 8.090E+01, 1.456E+02, 3.169E+01, 2.068E+02, 2.000E+02, 2.000E+02, 2.098E+02, 2.019E+02, 1.830E+02, 1.766E+02, 2.037E+01, 2.385E+01, 1.558E+02, 1.143E+02, 1.141E+02, 3.133E+01, 2.030E+01, 2.418E+01, 2.269E+01, 2.310E+01, 2.269E+01, 2.268E+01,-1.421E+00,-1.362E+00,-1.391E+00,-5.766E-01, 2.786E-01, 4.815E-01, 4.512E-01, 4.641E-01, 5.531E-01
 4.000E+02, 1.852E-01, 1.704E-02, 2.970E-09, 4.166E-10, 6.185E-10, 1.184E-02, 1.848E-01, 1.728E-02, 6.599E-10, 1.089E-10, 1.374E-10, 1.193E-02, 2.392E+00, 1.648E+00, 2.382E+02, 2.573E+02, 3.541E+01, 2.445E+02, 4.417E+01, 2.200E+02, 1.260E+02, 9.819E+01, 1.709E+02, 3.751E+01, 2.390E+02, 2.277E+02, 2.284E+02, 2.435E+02, 2.337E+02, 2.049E+02, 1.974E+02, 2.058E+01, 2.504E+01, 1.743E+02, 1.255E+02, 1.306E+02, 3.469E+01, 2.035E+01, 2.535E+01, 2.365E+01, 2.409E+01, 2.366E+01, 2.345E+01,-1.540E+00,-1.441E+00,-1.514E+00,-6.780E-01, 2.623E-01, 4.816E-01, 4.555E-01, 4.868E-01, 5.871E-01
 4.800E+02, 1.823E-01, 1.920E-02, 2.261E-09, 3.281E-10, 4.708E-10, 1.260E-02, 1.824E-01, 1.911E-02, 9.709E-10, 1.497E-10, 2.021E-10, 1.257E-02, 2.992E+00, 2.159E+00, 2.681E+02, 2.846E+02, 3.921E+01, 2.714E+02, 4.859E+01, 2.506E+02, 1.474E+02, 1.180E+02, 1.956E+02, 4.316E+01, 2.662E+02, 2.555E+02, 2.537E+02, 2.742E+02, 2.628E+02, 2.269E+02, 2.186E+02, 2.040E+01, 2.598E+01, 1.955E+02, 1.342E+02, 1.325E+02, 3.498E+01, 2.047E+01, 2.675E+01, 2.454E+01, 2.525E+01, 2.450E+01, 2.485E+01,-1.604E+00,-1.557E+00,-1.642E+00,-7.771E-01, 2.711E-01, 5.103E-01, 4.747E-01, 5.059E-01, 6.199E-01
 5.600E+02, 1.796E-01, 2.116E-02, 2.640E-10, 3.553E-11, 5.493E-11, 1.330E-02, 1.801E-01, 2.077E-02, 6.059E-09, 7.751E-10, 1.261E-09, 1.316E-02, 3.620E+00, 2.878E+00, 2.900E+02, 3.089E+02, 3.845E+01, 3.087E+02, 5.603E+01, 2.853E+02, 1.690E+02, 1.414E+02, 2.184E+02, 4.844E+01, 2.896E+02, 2.827E+02, 2.879E+02, 2.833E+02, 2.708E+02, 2.436E+02, 2.355E+02, 2.052E+01, 2.747E+01, 2.048E+02, 1.596E+02, 1.608E+02, 4.649E+01, 2.059E+01, 2.840E+01, 2.584E+01, 2.677E+01, 2.582E+01, 2.566E+01,-1.761E+00,-1.664E+00,-1.731E+00,-7.570E-01, 2.274E-01, 5.333E-01, 4.773E-01, 5.199E-01, 6.387E-01
 6.400E+02, 1.758E-01, 2.396E-02, 3.441E-10, 4.495E-11, 7.158E-11, 1.428E-02, 1.777E-01, 2.260E-02, 8.178E-09, 1.007E-09, 1.701E-09, 1.380E-02, 4.473E+00, 3.445E+00, 3.215E+02, 3.349E+02, 4.540E+01, 3.343E+02, 5.955E+01, 2.955E+02, 1.917E+02, 1.607E+02, 2.402E+02, 5.323E+01, 3.136E+02, 3.038E+02, 3.050E+02, 3.136E+02, 2.997E+02, 2.598E+02, 2.520E+02, 2.061E+01, 2.883E+01, 2.205E+02, 1.689E+02, 1.717E+02, 5.298E+01, 2.068E+01, 2.998E+01, 2.708E+01, 2.816E+01, 2.694E+01, 2.711E+01,-1.818E+00,-1.735E+00,-1.821E+00,-7.525E-01, 2.592E-01, 5.411E-01, 5.016E-01, 5.489E-01, 6.572E-01
