s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,O2Rear,CO2Rear,CORear,THCRear,SootRear,H2ORear,O2Front,CO2Front,COFront,THCFront,SootFront,H2OFront,HFR,HFF,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C
 0.000E+00, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 0.000E+00, 5.941E-03, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 0.000E+00, 5.941E-03,-5.868E-06,-1.034E-05, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01,-7.514E-04,-2.757E-03, 8.964E-03,-9.732E-03,-4.766E-03, 5.018E-04,-3.798E-03, 7.022E-03, 3.432E-03
 8.001E+01, 1.961E-01, 7.152E-03, 1.210E-08, 8.282E-10, 2.532E-09, 1.077E-02, 1.939E-01, 8.482E-03, 8.252E-09, 5.994E-10, 1.726E-09, 1.172E-02, 1.210E+00, 1.083E+00, 1.173E+02, 1.367E+02, 2.609E+01, 1.295E+02, 2.529E+01, 1.225E+02, 5.904E+01, 5.590E+01, 8.781E+01, 2.010E+01, 1.151E+02, 1.123E+02, 1.185E+02, 1.171E+02, 1.031E+02, 1.005E+02, 8.961E+01, 2.514E+01, 2.775E+01, 8.499E+01, 7.899E+01, 7.152E+01, 5.103E+01, 2.326E+01, 2.640E+01, 2.270E+01, 2.297E+01, 2.263E+01, 2.221E+01,-7.856E-01,-7.606E-01,-7.701E-01,-3.657E-01,-1.033E-01, 1.670E-01, 1.378E-01, 1.639E-01, 1.893E-01
 1.600E+02, 1.655E-01, 2.529E-02, 3.259E-07, 2.722E-08, 6.826E-08, 2.374E-02, 1.673E-01, 2.423E-02, 7.681E-08, 6.075E-09, 1.608E-08, 2.298E-02, 4.703E+00, 3.661E+00, 3.421E+02, 3.688E+02, 5.900E+01, 3.415E+02, 6.264E+01, 3.247E+02, 1.829E+02, 1.524E+02, 2.422E+02, 2.437E+01, 3.450E+02, 3.367E+02, 3.416E+02, 3.433E+02, 3.267E+02, 3.014E+02, 2.877E+02, 2.086E+01, 3.065E+01, 2.438E+02, 1.913E+02, 1.923E+02, 8.213E+01, 2.065E+01, 3.183E+01, 2.821E+01, 2.946E+01, 2.816E+01, 2.768E+01,-1.975E+00,-1.844E+00,-1.942E+00,-8.204E-01, 1.648E-01, 5.727E-01, 5.065E-01, 5.654E-01, 7.285E-01
 2.400E+02, 1.610E-01, 2.790E-02, 9.650E-09, 8.129E-10, 2.020E-09, 2.561E-02, 1.640E-01, 2.613E-02, 1.211E-07, 6.963E-09, 2.536E-08, 2.434E-02, 7.253E+00, 5.463E+00, 3.864E+02, 4.132E+02, 8.139E+01, 3.921E+02, 7.220E+01, 3.815E+02, 2.515E+02, 2.040E+02, 2.973E+02, 3.768E+01, 3.887E+02, 3.851E+02, 3.888E+02, 3.899E+02, 3.680E+02, 3.412E+02, 3.244E+02, 2.123E+01, 3.522E+01, 2.781E+02, 2.202E+02, 2.248E+02, 8.438E+01, 2.083E+01, 3.688E+01, 3.211E+01, 3.384E+01, 3.187E+01, 3.144E+01,-2.169E+00,-2.017E+00,-2.155E+00,-8.913E-01, 2.671E-01, 5.700E-01, 5.313E-01, 5.794E-01, 7.590E-01
 3.200E+02, 1.570E-01, 3.029E-02, 1.093E-06, 7.912E-08, 2.289E-07, 2.732E-02, 1.580E-01, 2.971E-02, 5.191E-07, 3.281E-08, 1.088E-07, 2.690E-02, 1.033E+01, 7.495E+00, 4.595E+02, 4.770E+02, 1.049E+02, 4.450E+02, 9.197E+01, 4.202E+02, 3.142E+02, 2.528E+02, 3.551E+02, 5.199E+01, 4.436E+02, 4.305E+02, 4.260E+02, 4.499E+02, 4.243E+02, 4.018E+02, 3.829E+02, 2.120E+01, 4.081E+01, 3.304E+02, 2.284E+02, 2.319E+02, 1.094E+02, 2.109E+01, 4.329E+01, 3.698E+01, 3.909E+01, 3.653E+01, 3.626E+01,-2.401E+00,-2.187E+00,-2.315E+00,-1.127E+00, 7.609E-02, 6.351E-01, 5.498E-01, 6.110E-01, 7.923E-01
 4.000E+02, 1.541E-01, 3.201E-02, 1.094E-06, 5.207E-08, 2.292E-07, 2.855E-02, 1.526E-01, 3.288E-02, 9.330E-07, 4.282E-08, 1.955E-07, 2.918E-02, 1.298E+01, 9.817E+00, 4.986E+02, 5.284E+02, 1.264E+02, 4.854E+02, 1.068E+02, 4.543E+02, 3.586E+02, 2.960E+02, 4.047E+02, 6.493E+01, 4.860E+02, 4.682E+02, 4.544E+02, 4.770E+02, 4.495E+02, 4.405E+02, 4.180E+02, 2.145E+01, 4.691E+01, 3.750E+02, 2.720E+02, 2.774E+02, 1.140E+02, 2.140E+01, 4.978E+01, 4.247E+01, 4.492E+01, 4.165E+01, 4.127E+01,-2.522E+00,-2.396E+00,-2.526E+00,-1.334E+00, 1.549E-01, 6.917E-01, 5.897E-01, 6.705E-01, 8.489E-01
 4.800E+02, 1.549E-01, 3.153E-02, 2.383E-07, 6.577E-09, 4.996E-08, 2.821E-02, 1.535E-01, 3.236E-02, 9.309E-07, 4.243E-08, 1.951E-07, 2.880E-02, 1.399E+01, 1.073E+01, 4.876E+02, 5.266E+02, 1.294E+02, 4.851E+02, 1.142E+02, 4.780E+02, 3.768E+02, 3.156E+02, 4.213E+02, 7.661E+01, 4.939E+02, 4.833E+02, 4.806E+02, 4.734E+02, 4.491E+02, 4.530E+02, 4.310E+02, 2.195E+01, 4.964E+01, 3.865E+02, 2.978E+02, 3.037E+02, 1.295E+02, 2.156E+01, 5.280E+01, 4.455E+01, 4.769E+01, 4.418E+01, 4.357E+01,-2.565E+00,-2.416E+00,-2.566E+00,-1.351E+00, 1.303E-01, 6.752E-01, 6.193E-01, 7.310E-01, 8.645E-01
 5.600E+02, 1.451E-01, 3.736E-02, 1.559E-08, 7.697E-10, 3.267E-09, 3.239E-02, 1.532E-01, 3.252E-02, 9.905E-07, 3.304E-08, 2.075E-07, 2.892E-02, 1.587E+01, 1.177E+01, 5.265E+02, 5.191E+02, 1.616E+02, 4.808E+02, 1.161E+02, 4.879E+02, 4.042E+02, 3.333E+02, 4.293E+02, 8.523E+01, 4.863E+02, 4.948E+02, 4.885E+02, 4.902E+02, 4.639E+02, 4.832E+02, 4.581E+02, 2.200E+01, 5.328E+01, 3.961E+02, 2.921E+02, 2.976E+02, 1.628E+02, 2.162E+01, 5.651E+01, 4.726E+01, 5.065E+01, 4.724E+01, 4.674E+01,-2.638E+00,-2.464E+00,-2.571E+00,-1.412E+00,-4.929E-02, 7.076E-01, 6.074E-01, 7.062E-01, 8.393E-01
 6.400E+02, 1.492E-01, 3.494E-02, 3.610E-07, 2.954E-08, 7.564E-08, 3.065E-02, 1.544E-01, 3.184E-02, 2.557E-07, 1.474E-08, 5.354E-08, 2.843E-02, 1.619E+01, 1.207E+01, 5.163E+02, 5.224E+02, 1.702E+02, 4.987E+02, 1.187E+02, 4.808E+02, 4.102E+02, 3.383E+02, 4.371E+02, 9.162E+01, 4.912E+02, 4.911E+02, 4.796E+02, 4.897E+02, 4.638E+02, 4.939E+02, 4.660E+02, 2.172E+01, 5.412E+01, 4.284E+02, 3.577E+02, 3.524E+02, 1.775E+02, 2.175E+01, 5.767E+01, 4.838E+01, 5.169E+01, 4.788E+01, 4.711E+01,-2.596E+00,-2.471E+00,-2.584E+00,-1.615E+00, 3.365E-02, 7.317E-01, 6.573E-01, 7.259E-01, 9.229E-01
 7.200E+02, 1.520E-01, 3.324E-02, 3.980E-07, 8.208E-09, 8.340E-08, 2.943E-02, 1.534E-01, 3.240E-02, 2.011E-06, 5.173E-08, 4.217E-07, 2.884E-02, 1.674E+01, 1.271E+01, 5.042E+02, 5.260E+02, 1.708E+02, 5.050E+02, 1.276E+02, 4.938E+02, 4.156E+02, 3.474E+02, 4.440E+02, 9.612E+01, 4.905E+02, 4.926E+02, 4.905E+02, 4.855E+02, 4.590E+02, 4.886E+02, 4.622E+02, 2.226E+01, 5.588E+01, 4.054E+02, 3.198E+02, 3.270E+02, 1.704E+02, 2.177E+01, 5.893E+01, 4.965E+01, 5.244E+01, 4.860E+01, 4.821E+01,-2.609E+00,-2.502E+00,-2.584E+00,-1.432E+00,-4.445E-02, 7.547E-01, 6.102E-01, 6.994E-01, 9.198E-01
 8.000E+02, 1.461E-01, 3.673E-02, 2.547E-06, 7.572E-08, 5.339E-07, 3.194E-02, 1.529E-01, 3.270E-02, 5.334E-07, 2.284E-08, 1.118E-07, 2.905E-02, 1.896E+01, 1.347E+01, 5.361E+02, 5.326E+02, 1.898E+02, 5.284E+02, 1.308E+02, 5.084E+02, 4.401E+02, 3.582E+02, 4.555E+02, 9.971E+01, 4.989E+02, 5.015E+02, 5.005E+02, 4.945E+02, 4.712E+02, 5.079E+02, 4.792E+02, 2.200E+01, 5.837E+01, 4.391E+02, 3.585E+02, 3.533E+02, 1.671E+02, 2.185E+01, 6.209E+01, 5.185E+01, 5.519E+01, 5.111E+01, 4.977E+01,-2.588E+00,-2.504E+00,-2.574E+00,-1.665E+00, 2.664E-02, 7.104E-01, 6.388E-01, 7.538E-01, 9.124E-01
 8.800E+02, 1.142E-01, 5.556E-02, 6.605E-05, 2.226E-06, 1.393E-05, 4.554E-02, 1.314E-01, 4.544E-02, 3.480E-06, 1.370E-07, 7.299E-07, 3.819E-02, 3.473E+01, 2.389E+01, 6.824E+02, 6.597E+02, 2.463E+02, 6.533E+02, 1.576E+02, 6.354E+02, 5.594E+02, 4.598E+02, 5.620E+02, 1.037E+02, 6.052E+02, 6.184E+02, 6.055E+02, 6.142E+02, 5.727E+02, 6.331E+02, 5.873E+02, 2.388E+01, 8.463E+01, 5.197E+02, 4.205E+02, 4.200E+02, 2.881E+02, 2.310E+01, 9.033E+01, 7.401E+01, 8.021E+01, 7.348E+01, 7.104E+01,-2.945E+00,-2.882E+00,-2.991E+00,-1.860E+00,-4.068E-01, 7.316E-01, 6.502E-01, 7.412E-01, 9.472E-01
 9.600E+02, 8.874E-02, 6.845E-02, 2.134E-03, 2.111E-04, 4.603E-04, 5.722E-02, 1.025E-01, 6.225E-02, 2.525E-04, 6.110E-06, 5.377E-05, 5.058E-02, 6.148E+01, 3.942E+01, 8.493E+02, 7.875E+02, 4.033E+02, 8.457E+02, 2.085E+02, 7.624E+02, 7.070E+02, 5.761E+02, 6.797E+02, 1.132E+02, 7.080E+02, 7.076E+02, 7.121E+02, 7.419E+02, 6.858E+02, 7.502E+02, 6.912E+02, 2.906E+01, 1.289E+02, 6.339E+02, 4.902E+02, 5.045E+02, 3.342E+02, 2.496E+01, 1.377E+02, 1.115E+02, 1.214E+02, 1.106E+02, 1.066E+02,-3.373E+00,-3.120E+00,-3.299E+00,-2.057E+00,-4.087E-01, 7.645E-01, 6.722E-01, 7.415E-01, 9.475E-01
