s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,O2Rear,CO2Rear,CORear,THCRear,H2ORear,O2Front,CO2Front,COFront,THCFront,H2OFront,HFR,HFF,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C
 0.000E+00, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 5.941E-03, 2.076E-01, 3.864E-04, 0.000E+00, 0.000E+00, 5.941E-03,-4.676E-06,-7.156E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01,-7.514E-04,-2.757E-03, 8.964E-03,-9.732E-03,-4.766E-03, 5.018E-04,-3.798E-03, 7.022E-03, 3.432E-03
 8.001E+01, 1.875E-01, 9.454E-03, 5.287E-08, 3.300E-08, 1.737E-02, 1.837E-01, 1.118E-02, 2.087E-07, 7.023E-08, 1.956E-02, 3.444E+00, 3.441E+00, 1.862E+02, 2.188E+02, 3.696E+01, 2.079E+02, 3.753E+01, 2.246E+02, 1.134E+02, 1.140E+02, 1.477E+02, 2.016E+01, 2.000E+01, 1.760E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.798E+02, 1.594E+02, 2.000E+01, 2.000E+01, 1.594E+02, 1.502E+02, 1.333E+02, 8.419E+01, 2.646E+01, 3.224E+01, 2.000E+01, 2.614E+01, 2.000E+01, 2.614E+01,-4.107E-06,-1.201E+00,-4.416E-06,-9.184E-01,-4.329E-01, 6.111E-06,-7.836E-02, 5.999E-06,-3.036E-03
 1.600E+02, 1.227E-01, 3.879E-02, 5.886E-08, 1.910E-08, 5.481E-02, 1.214E-01, 3.935E-02, 3.812E-05, 1.082E-05, 5.563E-02, 1.492E+01, 1.820E+01, 5.282E+02, 6.278E+02, 1.122E+02, 5.364E+02, 1.378E+02, 5.763E+02, 3.552E+02, 3.857E+02, 4.935E+02, 2.759E+01, 2.000E+01, 5.316E+02, 2.000E+01, 2.000E+01, 2.000E+01, 5.057E+02, 4.774E+02, 2.000E+01, 2.000E+01, 4.754E+02, 4.410E+02, 4.254E+02, 2.214E+02, 2.214E+01, 5.981E+01, 2.000E+01, 5.255E+01, 2.000E+01, 4.621E+01,-6.331E-06,-2.649E+00,-3.042E-06,-1.696E+00,-2.603E-01, 1.563E-06, 5.777E-01, 1.729E-06, 8.587E-01
 2.400E+02, 1.021E-01, 4.815E-02, 1.221E-07, 3.678E-08, 6.695E-02, 1.100E-01, 4.443E-02, 1.290E-04, 4.272E-05, 6.244E-02, 2.150E+01, 2.755E+01, 5.860E+02, 7.075E+02, 1.636E+02, 5.892E+02, 2.206E+02, 6.934E+02, 4.421E+02, 4.872E+02, 5.890E+02, 5.004E+01, 2.000E+01, 6.202E+02, 2.000E+01, 2.000E+01, 2.000E+01, 5.635E+02, 5.370E+02, 2.000E+01, 2.000E+01, 5.172E+02, 4.576E+02, 4.523E+02, 2.544E+02, 2.284E+01, 8.272E+01, 2.000E+01, 7.197E+01, 2.000E+01, 6.174E+01,-1.346E-06,-3.015E+00, 5.677E-08,-1.753E+00,-2.834E-01, 2.824E-06, 6.630E-01, 2.779E-06, 1.022E+00
 3.200E+02, 9.348E-02, 5.204E-02, 5.275E-08, 2.303E-08, 7.204E-02, 9.871E-02, 4.934E-02, 2.853E-04, 8.577E-05, 6.917E-02, 2.526E+01, 3.241E+01, 6.044E+02, 7.663E+02, 1.858E+02, 6.083E+02, 2.483E+02, 7.162E+02, 4.813E+02, 5.294E+02, 6.410E+02, 7.328E+01, 2.000E+01, 6.725E+02, 2.000E+01, 2.000E+01, 2.000E+01, 6.102E+02, 5.794E+02, 2.000E+01, 2.000E+01, 5.309E+02, 4.882E+02, 4.843E+02, 2.862E+02, 2.285E+01, 9.632E+01, 2.000E+01, 8.287E+01, 2.000E+01, 7.051E+01, 7.525E-06,-3.169E+00, 5.518E-06,-1.888E+00,-2.948E-01, 7.081E-07, 7.016E-01, 5.541E-07, 1.081E+00
 4.000E+02, 9.110E-02, 5.312E-02, 6.072E-08, 2.143E-08, 7.345E-02, 1.012E-01, 4.841E-02, 1.268E-04, 5.171E-05, 6.761E-02, 2.804E+01, 3.538E+01, 6.233E+02, 7.560E+02, 1.985E+02, 6.264E+02, 3.013E+02, 7.392E+02, 5.075E+02, 5.524E+02, 6.529E+02, 9.122E+01, 2.000E+01, 6.811E+02, 2.000E+01, 2.000E+01, 2.000E+01, 6.330E+02, 5.982E+02, 2.000E+01, 2.000E+01, 5.540E+02, 4.973E+02, 4.919E+02, 2.858E+02, 2.315E+01, 1.029E+02, 2.000E+01, 8.955E+01, 2.000E+01, 7.600E+01,-2.967E-06,-3.198E+00,-1.611E-06,-1.941E+00,-2.144E-01, 1.484E-06, 7.077E-01, 1.373E-06, 1.096E+00
 4.800E+02, 9.053E-02, 5.338E-02, 1.476E-08, 2.033E-09, 7.379E-02, 9.450E-02, 5.095E-02, 5.329E-04, 2.494E-04, 7.181E-02, 2.923E+01, 3.746E+01, 6.263E+02, 7.917E+02, 2.051E+02, 6.235E+02, 2.822E+02, 7.463E+02, 5.192E+02, 5.681E+02, 6.755E+02, 1.050E+02, 2.000E+01, 7.046E+02, 2.000E+01, 2.000E+01, 2.000E+01, 6.438E+02, 6.100E+02, 2.000E+01, 2.000E+01, 5.560E+02, 4.949E+02, 4.956E+02, 2.812E+02, 2.336E+01, 1.089E+02, 2.000E+01, 9.419E+01, 2.000E+01, 8.002E+01,-2.689E-06,-3.250E+00,-7.242E-06,-2.018E+00,-2.927E-01, 1.873E-06, 7.090E-01, 1.675E-06, 1.089E+00
 5.600E+02, 9.495E-02, 5.138E-02, 5.358E-09, 1.745E-09, 7.117E-02, 9.465E-02, 5.135E-02, 1.370E-04, 5.479E-05, 7.146E-02, 3.049E+01, 3.908E+01, 6.296E+02, 7.941E+02, 2.073E+02, 6.236E+02, 2.755E+02, 7.805E+02, 5.296E+02, 5.788E+02, 6.798E+02, 1.147E+02, 2.000E+01, 7.159E+02, 2.000E+01, 2.000E+01, 2.000E+01, 6.733E+02, 6.369E+02, 2.000E+01, 2.000E+01, 5.675E+02, 4.816E+02, 4.883E+02, 2.745E+02, 2.310E+01, 1.134E+02, 2.000E+01, 9.787E+01, 2.000E+01, 8.282E+01,-6.959E-07,-3.311E+00, 5.250E-06,-2.001E+00,-2.083E-01, 7.970E-07, 7.051E-01, 9.122E-07, 1.094E+00
 6.400E+02, 8.964E-02, 5.378E-02, 2.166E-09, 7.544E-10, 7.432E-02, 9.522E-02, 5.093E-02, 2.731E-04, 1.653E-04, 7.119E-02, 3.184E+01, 4.013E+01, 6.403E+02, 7.997E+02, 2.163E+02, 6.327E+02, 3.061E+02, 7.714E+02, 5.406E+02, 5.862E+02, 6.909E+02, 1.214E+02, 2.000E+01, 7.299E+02, 2.000E+01, 2.000E+01, 2.000E+01, 6.646E+02, 6.280E+02, 2.000E+01, 2.000E+01, 5.693E+02, 4.965E+02, 4.975E+02, 2.689E+02, 2.404E+01, 1.174E+02, 2.000E+01, 1.000E+02, 2.000E+01, 8.500E+01, 2.086E-06,-3.334E+00, 1.082E-06,-2.063E+00,-2.539E-01, 1.951E-07, 7.210E-01, 1.677E-07, 1.105E+00
