s,kW/m2
Time,"flux"
 0.000E+00,-4.218E-10
 1.000E+00, 2.731E-03
 2.000E+00, 1.603E-02
 3.050E+00, 2.521E-02
 4.050E+00, 2.714E-02
 5.050E+00, 2.746E-02
 6.050E+00, 2.757E-02
 7.050E+00, 2.763E-02
 8.050E+00, 2.766E-02
 9.050E+00, 2.766E-02
 1.000E+01, 2.763E-02
 1.100E+01, 2.370E-02
 1.201E+01, 2.241E-02
 1.300E+01, 2.250E-02
 1.401E+01, 2.218E-02
 1.501E+01, 2.229E-02
 1.601E+01, 2.214E-02
 1.700E+01, 2.194E-02
 1.801E+01, 2.132E-02
 1.900E+01, 2.147E-02
 2.000E+01, 2.130E-02
 2.101E+01, 2.111E-02
 2.200E+01, 2.159E-02
 2.301E+01, 2.194E-02
 2.401E+01, 2.178E-02
 2.500E+01, 2.173E-02
 2.601E+01, 2.163E-02
 2.700E+01, 2.176E-02
 2.800E+01, 2.185E-02
 2.900E+01, 2.168E-02
 3.000E+01, 2.220E-02
