s,kW/m2
Time,"flux"
 0.000E+00,-1.298E-10
 1.000E+00, 2.727E-03
 2.000E+00, 1.599E-02
 3.050E+00, 2.514E-02
 4.050E+00, 2.708E-02
 5.050E+00, 2.742E-02
 6.050E+00, 2.754E-02
 7.050E+00, 2.759E-02
 8.050E+00, 2.758E-02
 9.050E+00, 2.754E-02
 1.000E+01, 2.750E-02
 1.101E+01, 2.440E-02
 1.201E+01, 2.347E-02
 1.301E+01, 2.339E-02
 1.400E+01, 2.355E-02
 1.501E+01, 2.350E-02
 1.600E+01, 2.352E-02
 1.700E+01, 2.352E-02
 1.801E+01, 2.365E-02
 1.901E+01, 2.372E-02
 2.001E+01, 2.370E-02
 2.101E+01, 2.360E-02
 2.201E+01, 2.377E-02
 2.301E+01, 2.386E-02
 2.400E+01, 2.381E-02
 2.501E+01, 2.392E-02
 2.601E+01, 2.388E-02
 2.701E+01, 2.381E-02
 2.801E+01, 2.388E-02
 2.900E+01, 2.376E-02
 3.000E+01, 2.384E-02
