m,C,m,C,m/s,m/s,m/s,m/s
Room_z,Room_TC,Door_z,Door_TC,Door_q,Door_u,Door_v,Door_w
 2.500E-02, 8.071E+01, 2.500E-02, 5.520E+01, 1.024E+00, 1.009E+00, 3.626E-02, 3.578E-02
 7.500E-02, 8.947E+01, 7.500E-02, 4.701E+01, 1.395E+00, 1.394E+00, 2.205E-02, 3.815E-02
 1.250E-01, 1.117E+02, 1.250E-01, 4.496E+01, 1.415E+00, 1.438E+00, 2.205E-02,-2.160E-02
 1.750E-01, 1.205E+02, 1.750E-01, 4.457E+01, 1.343E+00, 1.355E+00, 1.061E-02,-4.223E-02
 2.250E-01, 1.270E+02, 2.250E-01, 4.468E+01, 1.278E+00, 1.298E+00,-1.408E-02,-3.257E-02
 2.750E-01, 1.314E+02, 2.750E-01, 4.504E+01, 1.228E+00, 1.256E+00,-1.408E-02,-1.944E-02
 3.250E-01, 1.373E+02, 3.250E-01, 4.557E+01, 1.179E+00, 1.199E+00,-6.892E-02,-6.639E-03
 3.750E-01, 1.419E+02, 3.750E-01, 4.613E+01, 1.129E+00, 1.151E+00,-1.081E-01,-3.021E-02
 4.250E-01, 1.468E+02, 4.250E-01, 4.674E+01, 1.082E+00, 1.107E+00,-1.081E-01,-8.217E-02
 4.750E-01, 1.509E+02, 4.750E-01, 4.755E+01, 1.034E+00, 1.048E+00,-1.059E-01,-1.255E-01
 5.250E-01, 1.561E+02, 5.250E-01, 4.829E+01, 9.903E-01, 1.004E+00,-5.680E-02,-1.774E-01
 5.750E-01, 1.615E+02, 5.750E-01, 4.919E+01, 9.522E-01, 9.501E-01,-5.680E-02,-2.042E-01
 6.250E-01, 1.682E+02, 6.250E-01, 5.013E+01, 9.117E-01, 9.002E-01,-2.501E-02,-2.309E-01
 6.750E-01, 1.752E+02, 6.750E-01, 5.122E+01, 8.699E-01, 8.431E-01,-7.800E-03,-2.491E-01
 7.250E-01, 1.836E+02, 7.250E-01, 5.274E+01, 8.211E-01, 7.804E-01,-7.800E-03,-2.593E-01
 7.750E-01, 1.970E+02, 7.750E-01, 5.645E+01, 7.549E-01, 6.990E-01,-2.322E-03,-2.456E-01
 8.250E-01, 2.167E+02, 8.250E-01, 6.814E+01, 6.160E-01, 5.310E-01,-1.610E-02,-1.552E-01
 8.750E-01, 2.437E+02, 8.750E-01, 9.099E+01, 2.908E-01, 2.194E-01,-1.610E-02, 4.210E-03
 9.250E-01, 2.756E+02, 9.250E-01, 1.174E+02,-1.288E-01,-1.409E-01,-1.359E-02, 1.599E-01
 9.750E-01, 3.136E+02, 9.750E-01, 1.493E+02,-5.312E-01,-4.750E-01,-2.793E-03, 2.938E-01
 1.025E+00, 3.468E+02, 1.025E+00, 1.878E+02,-9.242E-01,-7.996E-01,-2.793E-03, 3.926E-01
 1.075E+00, 3.782E+02, 1.075E+00, 2.332E+02,-1.320E+00,-1.119E+00,-8.642E-05, 5.174E-01
 1.125E+00, 4.066E+02, 1.125E+00, 2.801E+02,-1.655E+00,-1.329E+00,-1.300E-02, 6.105E-01
 1.175E+00, 4.286E+02, 1.175E+00, 3.171E+02,-1.923E+00,-1.475E+00,-1.300E-02, 7.431E-01
 1.225E+00, 4.444E+02, 1.225E+00, 3.457E+02,-2.120E+00,-1.568E+00,-2.520E-02, 8.838E-01
 1.275E+00, 4.571E+02, 1.275E+00, 3.667E+02,-2.290E+00,-1.663E+00,-4.488E-03, 1.010E+00
 1.325E+00, 4.669E+02, 1.325E+00, 3.818E+02,-2.422E+00,-1.792E+00,-4.488E-03, 1.137E+00
 1.375E+00, 4.722E+02, 1.375E+00, 3.928E+02,-2.563E+00,-1.936E+00, 2.119E-02, 1.238E+00
 1.425E+00, 4.751E+02, 1.425E+00, 4.028E+02,-2.714E+00,-2.099E+00, 6.920E-02, 1.300E+00
 1.475E+00, 4.770E+02, 1.475E+00, 4.121E+02,-2.858E+00,-2.268E+00, 6.920E-02, 1.295E+00
 1.525E+00, 4.783E+02, 1.525E+00, 4.190E+02,-2.998E+00,-2.444E+00, 1.016E-01, 1.255E+00
