m,C,m,C,m/s,m/s,m/s,m/s
Room_z,Room_TC,Door_z,Door_TC,Door_q,Door_u,Door_v,Door_w
 2.500E-02, 3.111E+01, 2.500E-02, 2.505E+01, 6.220E-01, 6.081E-01, 4.052E-02,-1.279E-03
 7.500E-02, 3.323E+01, 7.500E-02, 2.421E+01, 8.301E-01, 8.355E-01, 8.311E-03,-2.111E-02
 1.250E-01, 3.691E+01, 1.250E-01, 2.408E+01, 8.359E-01, 8.525E-01, 8.311E-03,-5.564E-02
 1.750E-01, 3.847E+01, 1.750E-01, 2.414E+01, 8.018E-01, 7.981E-01,-6.146E-03,-3.834E-02
 2.250E-01, 3.974E+01, 2.250E-01, 2.420E+01, 7.698E-01, 7.786E-01,-2.435E-02,-1.424E-02
 2.750E-01, 4.050E+01, 2.750E-01, 2.425E+01, 7.479E-01, 7.646E-01,-2.435E-02,-2.771E-03
 3.250E-01, 4.118E+01, 3.250E-01, 2.431E+01, 7.221E-01, 7.315E-01,-6.205E-02, 6.387E-03
 3.750E-01, 4.173E+01, 3.750E-01, 2.434E+01, 6.955E-01, 7.080E-01,-8.889E-02,-1.428E-02
 4.250E-01, 4.227E+01, 4.250E-01, 2.436E+01, 6.720E-01, 6.888E-01,-8.889E-02,-5.468E-02
 4.750E-01, 4.281E+01, 4.750E-01, 2.439E+01, 6.516E-01, 6.588E-01,-6.306E-02,-7.968E-02
 5.250E-01, 4.346E+01, 5.250E-01, 2.442E+01, 6.334E-01, 6.410E-01,-2.248E-02,-1.156E-01
 5.750E-01, 4.425E+01, 5.750E-01, 2.449E+01, 6.145E-01, 6.084E-01,-2.248E-02,-1.305E-01
 6.250E-01, 4.515E+01, 6.250E-01, 2.457E+01, 5.982E-01, 5.946E-01, 1.872E-03,-1.496E-01
 6.750E-01, 4.614E+01, 6.750E-01, 2.470E+01, 5.808E-01, 5.667E-01, 1.273E-02,-1.546E-01
 7.250E-01, 4.719E+01, 7.250E-01, 2.484E+01, 5.619E-01, 5.465E-01, 1.273E-02,-1.607E-01
 7.750E-01, 4.826E+01, 7.750E-01, 2.499E+01, 5.410E-01, 5.184E-01, 1.481E-02,-1.651E-01
 8.250E-01, 4.985E+01, 8.250E-01, 2.515E+01, 5.194E-01, 4.951E-01, 1.331E-02,-1.722E-01
 8.750E-01, 5.215E+01, 8.750E-01, 2.547E+01, 4.972E-01, 4.623E-01, 1.331E-02,-1.737E-01
 9.250E-01, 5.574E+01, 9.250E-01, 2.667E+01, 4.572E-01, 4.151E-01, 2.212E-03,-1.525E-01
 9.750E-01, 6.257E+01, 9.750E-01, 3.011E+01, 3.793E-01, 3.270E-01,-1.408E-04,-9.357E-02
 1.025E+00, 7.313E+01, 1.025E+00, 3.640E+01, 2.101E-01, 1.683E-01,-1.408E-04,-1.383E-02
