m,C,m,C,m/s,m/s,m/s,m/s
Room_z,Room_TC,Door_z,Door_TC,Door_q,Door_u,Door_v,Door_w
 2.500E-02, 3.356E+01, 2.500E-02, 2.634E+01, 6.873E-01, 6.739E-01, 1.851E-02, 4.663E-03
 7.500E-02, 3.586E+01, 7.500E-02, 2.516E+01, 9.127E-01, 9.201E-01, 1.270E-03,-1.772E-02
 1.250E-01, 4.066E+01, 1.250E-01, 2.493E+01, 9.196E-01, 9.343E-01, 1.270E-03,-5.913E-02
 1.750E-01, 4.269E+01, 1.750E-01, 2.499E+01, 8.750E-01, 8.740E-01, 7.335E-03,-5.664E-02
 2.250E-01, 4.418E+01, 2.250E-01, 2.507E+01, 8.367E-01, 8.526E-01, 5.674E-03,-5.658E-02
 2.750E-01, 4.527E+01, 2.750E-01, 2.517E+01, 8.094E-01, 8.257E-01, 5.674E-03,-4.136E-02
 3.250E-01, 4.625E+01, 3.250E-01, 2.526E+01, 7.835E-01, 7.917E-01,-9.761E-03,-3.189E-02
 3.750E-01, 4.719E+01, 3.750E-01, 2.532E+01, 7.582E-01, 7.726E-01,-1.682E-02,-5.588E-02
 4.250E-01, 4.780E+01, 4.250E-01, 2.537E+01, 7.349E-01, 7.465E-01,-1.682E-02,-8.804E-02
 4.750E-01, 4.849E+01, 4.750E-01, 2.542E+01, 7.121E-01, 7.155E-01,-1.239E-03,-1.134E-01
 5.250E-01, 4.932E+01, 5.250E-01, 2.546E+01, 6.932E-01, 6.965E-01,-2.329E-04,-1.409E-01
 5.750E-01, 5.010E+01, 5.750E-01, 2.555E+01, 6.730E-01, 6.637E-01,-2.329E-04,-1.515E-01
 6.250E-01, 5.093E+01, 6.250E-01, 2.565E+01, 6.532E-01, 6.468E-01,-1.861E-02,-1.655E-01
 6.750E-01, 5.217E+01, 6.750E-01, 2.579E+01, 6.336E-01, 6.195E-01,-3.180E-02,-1.707E-01
 7.250E-01, 5.374E+01, 7.250E-01, 2.595E+01, 6.134E-01, 5.967E-01,-3.180E-02,-1.842E-01
 7.750E-01, 5.598E+01, 7.750E-01, 2.615E+01, 5.901E-01, 5.623E-01,-3.783E-02,-1.923E-01
 8.250E-01, 5.915E+01, 8.250E-01, 2.639E+01, 5.659E-01, 5.316E-01,-3.276E-02,-1.983E-01
 8.750E-01, 6.352E+01, 8.750E-01, 2.698E+01, 5.331E-01, 4.905E-01,-3.276E-02,-1.949E-01
 9.250E-01, 7.064E+01, 9.250E-01, 2.924E+01, 4.726E-01, 4.131E-01,-4.181E-02,-1.720E-01
 9.750E-01, 8.081E+01, 9.750E-01, 3.515E+01, 3.005E-01, 2.408E-01,-3.939E-02,-8.230E-02
 1.025E+00, 9.361E+01, 1.025E+00, 4.455E+01, 9.620E-02, 5.931E-02,-3.939E-02, 1.599E-02
