m,C,m,C,m/s,m/s,m/s,m/s
Room_z,Room_TC,Door_z,Door_TC,Door_q,Door_u,Door_v,Door_w
 2.500E-02, 2.643E+01, 2.500E-02, 2.304E+01, 5.009E-01, 4.892E-01, 9.494E-03,-4.520E-03
 7.500E-02, 2.760E+01, 7.500E-02, 2.271E+01, 6.511E-01, 6.594E-01, 2.186E-03,-2.509E-02
 1.250E-01, 2.933E+01, 1.250E-01, 2.266E+01, 6.545E-01, 6.728E-01, 2.186E-03,-6.770E-02
 1.750E-01, 3.006E+01, 1.750E-01, 2.269E+01, 6.276E-01, 6.204E-01, 1.084E-02,-5.852E-02
 2.250E-01, 3.065E+01, 2.250E-01, 2.272E+01, 5.989E-01, 5.986E-01, 1.282E-02,-3.551E-02
 2.750E-01, 3.106E+01, 2.750E-01, 2.273E+01, 5.795E-01, 5.941E-01, 1.282E-02,-3.099E-02
 3.250E-01, 3.135E+01, 3.250E-01, 2.273E+01, 5.620E-01, 5.703E-01,-1.290E-02,-2.415E-02
 3.750E-01, 3.158E+01, 3.750E-01, 2.272E+01, 5.463E-01, 5.522E-01,-1.410E-02,-2.892E-02
 4.250E-01, 3.178E+01, 4.250E-01, 2.272E+01, 5.335E-01, 5.464E-01,-1.410E-02,-4.972E-02
 4.750E-01, 3.201E+01, 4.750E-01, 2.273E+01, 5.185E-01, 5.218E-01,-3.934E-03,-5.707E-02
 5.250E-01, 3.225E+01, 5.250E-01, 2.275E+01, 5.053E-01, 5.138E-01,-2.021E-04,-7.772E-02
 5.750E-01, 3.258E+01, 5.750E-01, 2.280E+01, 4.921E-01, 4.920E-01,-2.021E-04,-8.421E-02
 6.250E-01, 3.301E+01, 6.250E-01, 2.285E+01, 4.783E-01, 4.788E-01,-1.476E-02,-9.487E-02
 6.750E-01, 3.350E+01, 6.750E-01, 2.292E+01, 4.640E-01, 4.595E-01,-2.633E-02,-1.004E-01
 7.250E-01, 3.395E+01, 7.250E-01, 2.299E+01, 4.500E-01, 4.467E-01,-2.633E-02,-1.130E-01
 7.750E-01, 3.449E+01, 7.750E-01, 2.307E+01, 4.359E-01, 4.240E-01,-3.667E-02,-1.226E-01
 8.250E-01, 3.521E+01, 8.250E-01, 2.314E+01, 4.193E-01, 4.022E-01,-3.743E-02,-1.266E-01
 8.750E-01, 3.626E+01, 8.750E-01, 2.321E+01, 4.023E-01, 3.815E-01,-3.743E-02,-1.285E-01
 9.250E-01, 3.791E+01, 9.250E-01, 2.332E+01, 3.820E-01, 3.583E-01,-3.654E-02,-1.266E-01
