m,C,m,C,m/s,m/s,m/s,m/s
Room_z,Room_TC,Door_z,Door_TC,Door_q,Door_u,Door_v,Door_w
 2.500E-02, 2.420E+01, 2.500E-02, 2.229E+01, 3.956E-01, 3.841E-01, 2.525E-03, 1.435E-03
 7.500E-02, 2.491E+01, 7.500E-02, 2.213E+01, 5.164E-01, 5.214E-01,-9.517E-04,-1.469E-02
 1.250E-01, 2.602E+01, 1.250E-01, 2.211E+01, 5.182E-01, 5.290E-01,-9.517E-04,-4.296E-02
 1.750E-01, 2.650E+01, 1.750E-01, 2.211E+01, 4.973E-01, 4.949E-01, 1.372E-03,-3.897E-02
 2.250E-01, 2.667E+01, 2.250E-01, 2.212E+01, 4.756E-01, 4.780E-01, 1.023E-03,-2.508E-02
 2.750E-01, 2.677E+01, 2.750E-01, 2.211E+01, 4.618E-01, 4.696E-01, 1.023E-03,-1.269E-02
 3.250E-01, 2.683E+01, 3.250E-01, 2.210E+01, 4.495E-01, 4.535E-01,-7.152E-03,-3.272E-04
 3.750E-01, 2.688E+01, 3.750E-01, 2.209E+01, 4.382E-01, 4.433E-01,-3.554E-03,-3.850E-03
 4.250E-01, 2.702E+01, 4.250E-01, 2.209E+01, 4.273E-01, 4.341E-01,-3.554E-03,-1.405E-02
 4.750E-01, 2.721E+01, 4.750E-01, 2.210E+01, 4.154E-01, 4.207E-01, 2.239E-04,-2.243E-02
 5.250E-01, 2.742E+01, 5.250E-01, 2.212E+01, 4.046E-01, 4.115E-01, 1.047E-03,-3.969E-02
 5.750E-01, 2.770E+01, 5.750E-01, 2.216E+01, 3.939E-01, 3.959E-01, 1.047E-03,-5.273E-02
 6.250E-01, 2.800E+01, 6.250E-01, 2.220E+01, 3.835E-01, 3.862E-01,-4.842E-03,-6.699E-02
 6.750E-01, 2.831E+01, 6.750E-01, 2.225E+01, 3.731E-01, 3.704E-01,-5.146E-03,-7.354E-02
 7.250E-01, 2.861E+01, 7.250E-01, 2.229E+01, 3.621E-01, 3.585E-01,-5.146E-03,-8.005E-02
 7.750E-01, 2.884E+01, 7.750E-01, 2.232E+01, 3.500E-01, 3.436E-01,-1.120E-02,-8.107E-02
 8.250E-01, 2.905E+01, 8.250E-01, 2.236E+01, 3.362E-01, 3.279E-01,-1.658E-02,-8.554E-02
 8.750E-01, 2.936E+01, 8.750E-01, 2.238E+01, 3.228E-01, 3.110E-01,-1.658E-02,-8.820E-02
 9.250E-01, 2.988E+01, 9.250E-01, 2.239E+01, 3.084E-01, 2.946E-01,-1.747E-02,-9.513E-02
 9.750E-01, 3.094E+01, 9.750E-01, 2.243E+01, 2.929E-01, 2.722E-01,-1.067E-02,-9.766E-02
 1.025E+00, 3.310E+01, 1.025E+00, 2.268E+01, 2.702E-01, 2.429E-01,-1.067E-02,-9.159E-02
 1.075E+00, 3.721E+01, 1.075E+00, 2.407E+01, 2.101E-01, 1.741E-01,-3.582E-03,-5.583E-02
 1.125E+00, 4.281E+01, 1.125E+00, 2.757E+01, 4.548E-02, 1.571E-02, 2.214E-03, 2.634E-02
 1.175E+00, 4.903E+01, 1.175E+00, 3.190E+01,-9.573E-02,-9.648E-02, 2.214E-03, 8.329E-02
 1.225E+00, 5.556E+01, 1.225E+00, 3.741E+01,-2.709E-01,-2.355E-01, 6.668E-03, 1.258E-01
 1.275E+00, 6.136E+01, 1.275E+00, 4.523E+01,-4.069E-01,-3.530E-01, 8.141E-03, 1.830E-01
 1.325E+00, 6.584E+01, 1.325E+00, 5.426E+01,-5.622E-01,-4.665E-01, 8.141E-03, 2.075E-01
 1.375E+00, 6.911E+01, 1.375E+00, 6.109E+01,-6.754E-01,-5.404E-01, 8.904E-03, 2.360E-01
 1.425E+00, 7.167E+01, 1.425E+00, 6.591E+01,-7.387E-01,-5.751E-01, 4.477E-03, 2.511E-01
 1.475E+00, 7.359E+01, 1.475E+00, 6.955E+01,-8.058E-01,-6.230E-01, 4.477E-03, 2.868E-01
 1.525E+00, 7.533E+01, 1.525E+00, 7.275E+01,-8.653E-01,-6.649E-01,-8.387E-03, 3.342E-01
 1.575E+00, 7.679E+01, 1.575E+00, 7.510E+01,-9.170E-01,-7.266E-01,-2.075E-02, 3.565E-01
 1.625E+00, 7.794E+01, 1.625E+00, 7.646E+01,-9.619E-01,-7.948E-01,-2.075E-02, 3.465E-01
 1.675E+00, 7.919E+01, 1.675E+00, 7.795E+01,-1.036E+00,-8.738E-01,-1.241E-02, 3.253E-01
 1.725E+00, 8.016E+01, 1.725E+00, 7.943E+01,-1.098E+00,-9.466E-01,-3.819E-03, 2.922E-01
 1.775E+00, 8.086E+01, 1.775E+00, 8.062E+01,-1.156E+00,-1.042E+00,-3.819E-03, 2.367E-01
 1.825E+00, 8.152E+01, 1.825E+00, 8.180E+01,-1.242E+00,-1.168E+00, 1.585E-02, 1.600E-01
 1.875E+00, 8.213E+01, 1.875E+00, 8.311E+01,-1.220E+00,-1.178E+00, 1.870E-02, 1.007E-01
 1.925E+00, 8.270E+01, 1.925E+00, 8.274E+01,-6.703E-01,-6.144E-01, 1.870E-02, 2.075E-06
 1.975E+00, 8.328E+01,NaN,NaN,NaN,NaN,NaN,NaN
 2.025E+00, 8.395E+01,NaN,NaN,NaN,NaN,NaN,NaN
 2.075E+00, 8.458E+01,NaN,NaN,NaN,NaN,NaN,NaN
 2.125E+00, 8.514E+01,NaN,NaN,NaN,NaN,NaN,NaN
 2.175E+00, 8.560E+01,NaN,NaN,NaN,NaN,NaN,NaN
 2.225E+00, 8.633E+01,NaN,NaN,NaN,NaN,NaN,NaN
 2.275E+00, 8.750E+01,NaN,NaN,NaN,NaN,NaN,NaN
 2.325E+00, 8.867E+01,NaN,NaN,NaN,NaN,NaN,NaN
 2.375E+00, 8.852E+01,NaN,NaN,NaN,NaN,NaN,NaN
