m,C,m,C,m/s,m/s,m/s,m/s
Room_z,Room_TC,Door_z,Door_TC,Door_q,Door_u,Door_v,Door_w
 2.500E-02, 2.894E+01, 2.500E-02, 2.387E+01, 5.793E-01, 5.685E-01, 5.035E-02,-1.675E-02
 7.500E-02, 3.044E+01, 7.500E-02, 2.334E+01, 7.643E-01, 7.737E-01, 1.785E-02,-5.050E-02
 1.250E-01, 3.293E+01, 1.250E-01, 2.328E+01, 7.671E-01, 7.770E-01, 1.785E-02,-7.883E-02
 1.750E-01, 3.420E+01, 1.750E-01, 2.334E+01, 7.296E-01, 7.198E-01, 2.288E-03,-6.096E-02
 2.250E-01, 3.492E+01, 2.250E-01, 2.338E+01, 6.971E-01, 7.055E-01,-1.252E-02,-4.432E-02
 2.750E-01, 3.543E+01, 2.750E-01, 2.340E+01, 6.761E-01, 6.955E-01,-1.252E-02,-3.677E-02
 3.250E-01, 3.583E+01, 3.250E-01, 2.342E+01, 6.549E-01, 6.616E-01,-5.093E-02,-2.544E-02
 3.750E-01, 3.623E+01, 3.750E-01, 2.342E+01, 6.355E-01, 6.482E-01,-7.380E-02,-4.565E-02
 4.250E-01, 3.660E+01, 4.250E-01, 2.343E+01, 6.173E-01, 6.283E-01,-7.380E-02,-6.945E-02
 4.750E-01, 3.701E+01, 4.750E-01, 2.344E+01, 6.005E-01, 6.045E-01,-5.099E-02,-8.436E-02
 5.250E-01, 3.755E+01, 5.250E-01, 2.347E+01, 5.857E-01, 5.917E-01,-3.364E-02,-1.041E-01
 5.750E-01, 3.820E+01, 5.750E-01, 2.353E+01, 5.707E-01, 5.680E-01,-3.364E-02,-1.171E-01
 6.250E-01, 3.893E+01, 6.250E-01, 2.360E+01, 5.559E-01, 5.529E-01,-1.728E-02,-1.334E-01
 6.750E-01, 3.973E+01, 6.750E-01, 2.369E+01, 5.393E-01, 5.275E-01,-9.915E-03,-1.414E-01
 7.250E-01, 4.062E+01, 7.250E-01, 2.379E+01, 5.219E-01, 5.089E-01,-9.915E-03,-1.512E-01
 7.750E-01, 4.168E+01, 7.750E-01, 2.391E+01, 5.038E-01, 4.828E-01,-1.383E-02,-1.541E-01
 8.250E-01, 4.312E+01, 8.250E-01, 2.403E+01, 4.832E-01, 4.599E-01,-4.549E-03,-1.553E-01
 8.750E-01, 4.504E+01, 8.750E-01, 2.420E+01, 4.626E-01, 4.349E-01,-4.549E-03,-1.634E-01
 9.250E-01, 4.744E+01, 9.250E-01, 2.458E+01, 4.399E-01, 4.029E-01, 6.080E-04,-1.629E-01
 9.750E-01, 5.141E+01, 9.750E-01, 2.597E+01, 3.869E-01, 3.386E-01, 4.874E-05,-1.405E-01
 1.025E+00, 5.824E+01, 1.025E+00, 2.987E+01, 2.655E-01, 2.113E-01, 4.874E-05,-6.705E-02
 1.075E+00, 6.810E+01, 1.075E+00, 3.690E+01, 6.052E-02, 3.250E-02,-8.557E-04, 1.990E-02
 1.125E+00, 8.041E+01, 1.125E+00, 4.582E+01,-1.701E-01,-1.645E-01, 6.280E-03, 1.077E-01
 1.175E+00, 9.365E+01, 1.175E+00, 5.891E+01,-3.927E-01,-3.569E-01, 6.280E-03, 2.065E-01
 1.225E+00, 1.053E+02, 1.225E+00, 7.525E+01,-6.198E-01,-5.183E-01, 8.353E-03, 2.792E-01
 1.275E+00, 1.163E+02, 1.275E+00, 9.107E+01,-7.991E-01,-6.389E-01, 8.182E-03, 3.411E-01
 1.325E+00, 1.254E+02, 1.325E+00, 1.040E+02,-9.550E-01,-7.443E-01, 8.182E-03, 3.954E-01
