m,C,m,C,m/s,m/s,m/s,m/s
Room_z,Room_TC,Door_z,Door_TC,Door_q,Door_u,Door_v,Door_w
 2.500E-02, 5.031E+01, 2.500E-02, 3.561E+01, 8.759E-01, 8.625E-01, 4.326E-02, 1.113E-03
 7.500E-02, 5.481E+01, 7.500E-02, 3.209E+01, 1.163E+00, 1.165E+00, 1.770E-02,-1.574E-02
 1.250E-01, 6.654E+01, 1.250E-01, 3.141E+01, 1.165E+00, 1.194E+00, 1.770E-02,-6.863E-02
 1.750E-01, 7.147E+01, 1.750E-01, 3.142E+01, 1.113E+00, 1.127E+00,-2.332E-03,-7.425E-02
 2.250E-01, 7.420E+01, 2.250E-01, 3.157E+01, 1.065E+00, 1.077E+00,-3.160E-02,-3.725E-02
 2.750E-01, 7.660E+01, 2.750E-01, 3.170E+01, 1.029E+00, 1.055E+00,-3.160E-02,-1.211E-02
 3.250E-01, 7.885E+01, 3.250E-01, 3.194E+01, 9.912E-01, 1.015E+00,-8.525E-02,-4.688E-03
 3.750E-01, 8.095E+01, 3.750E-01, 3.219E+01, 9.556E-01, 9.750E-01,-8.957E-02,-2.037E-02
 4.250E-01, 8.315E+01, 4.250E-01, 3.242E+01, 9.214E-01, 9.463E-01,-8.957E-02,-6.682E-02
 4.750E-01, 8.569E+01, 4.750E-01, 3.272E+01, 8.874E-01, 8.986E-01,-5.288E-02,-9.733E-02
 5.250E-01, 8.820E+01, 5.250E-01, 3.297E+01, 8.564E-01, 8.707E-01,-1.506E-02,-1.390E-01
 5.750E-01, 9.071E+01, 5.750E-01, 3.334E+01, 8.250E-01, 8.228E-01,-1.506E-02,-1.630E-01
 6.250E-01, 9.396E+01, 6.250E-01, 3.367E+01, 7.941E-01, 7.923E-01, 1.426E-02,-1.949E-01
 6.750E-01, 9.764E+01, 6.750E-01, 3.412E+01, 7.636E-01, 7.437E-01, 2.538E-02,-2.109E-01
 7.250E-01, 1.022E+02, 7.250E-01, 3.459E+01, 7.304E-01, 7.024E-01, 2.538E-02,-2.252E-01
 7.750E-01, 1.076E+02, 7.750E-01, 3.530E+01, 6.941E-01, 6.554E-01, 2.067E-02,-2.308E-01
 8.250E-01, 1.150E+02, 8.250E-01, 3.737E+01, 6.466E-01, 5.924E-01, 1.666E-02,-2.189E-01
 8.750E-01, 1.247E+02, 8.750E-01, 4.373E+01, 5.228E-01, 4.566E-01, 1.666E-02,-1.591E-01
 9.250E-01, 1.368E+02, 9.250E-01, 5.661E+01, 3.045E-01, 2.348E-01, 1.011E-02,-4.212E-02
 9.750E-01, 1.536E+02, 9.750E-01, 7.352E+01,-4.864E-02,-6.728E-02, 1.696E-03, 7.468E-02
 1.025E+00, 1.741E+02, 1.025E+00, 8.980E+01,-3.220E-01,-3.136E-01, 1.696E-03, 1.995E-01
 1.075E+00, 1.964E+02, 1.075E+00, 1.123E+02,-6.459E-01,-5.826E-01,-1.362E-02, 3.230E-01
 1.125E+00, 2.219E+02, 1.125E+00, 1.443E+02,-9.611E-01,-8.065E-01,-2.645E-02, 4.198E-01
 1.175E+00, 2.461E+02, 1.175E+00, 1.819E+02,-1.253E+00,-1.020E+00,-2.645E-02, 4.943E-01
 1.225E+00, 2.682E+02, 1.225E+00, 2.191E+02,-1.503E+00,-1.190E+00,-1.916E-02, 5.692E-01
 1.275E+00, 2.870E+02, 1.275E+00, 2.462E+02,-1.705E+00,-1.323E+00,-8.895E-04, 6.399E-01
 1.325E+00, 3.036E+02, 1.325E+00, 2.665E+02,-1.853E+00,-1.410E+00,-8.895E-04, 7.416E-01
 1.375E+00, 3.166E+02, 1.375E+00, 2.814E+02,-1.976E+00,-1.510E+00, 1.193E-02, 8.221E-01
 1.425E+00, 3.258E+02, 1.425E+00, 2.923E+02,-2.102E+00,-1.643E+00, 1.561E-02, 9.028E-01
 1.475E+00, 3.327E+02, 1.475E+00, 3.000E+02,-2.230E+00,-1.774E+00, 1.561E-02, 9.750E-01
 1.525E+00, 3.377E+02, 1.525E+00, 3.056E+02,-2.348E+00,-1.891E+00, 2.004E-02, 9.940E-01
 1.575E+00, 3.418E+02, 1.575E+00, 3.111E+02,-2.470E+00,-2.043E+00, 6.526E-03, 9.589E-01
 1.625E+00, 3.454E+02, 1.625E+00, 3.160E+02,-2.595E+00,-2.206E+00, 6.526E-03, 8.835E-01
 1.675E+00, 3.489E+02, 1.675E+00, 3.194E+02,-2.706E+00,-2.366E+00,-1.152E-02, 7.659E-01
 1.725E+00, 3.521E+02, 1.725E+00, 3.226E+02,-2.859E+00,-2.581E+00,-6.374E-02, 6.102E-01
 1.775E+00, 3.545E+02, 1.775E+00, 3.282E+02,-3.107E+00,-2.899E+00,-6.374E-02, 4.175E-01
 1.825E+00, 3.560E+02, 1.825E+00, 3.404E+02,-3.447E+00,-3.306E+00,-1.177E-01, 2.420E-01
 1.875E+00, 3.572E+02, 1.875E+00, 3.556E+02,-3.388E+00,-3.314E+00,-1.620E-01, 1.468E-01
 1.925E+00, 3.577E+02, 1.925E+00, 3.551E+02,-1.685E+00,-1.598E+00,-1.620E-01,-5.480E-04
 1.975E+00, 3.580E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.025E+00, 3.594E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.075E+00, 3.615E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.125E+00, 3.641E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.175E+00, 3.678E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.225E+00, 3.725E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.275E+00, 3.801E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.325E+00, 3.895E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.375E+00, 3.938E+02,NaN,NaN,NaN,NaN,NaN,NaN
