s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_FUEL VAPOR,MLR_PRODUCTS,MLR_WATER VAPOR
 3.7886493E+000, 3.9592270E+001,-1.4449053E+000, 7.3022513E-002,-2.8816584E-001, 0.0000000E+000, 0.0000000E+000,-2.3886377E+001, 1.3965207E+001, 1.4045844E+001,-9.3618952E-007, 2.3574052E-004, 1.0615371E-006, 1.0200145E-003
 3.9688654E+000, 4.0109611E+001,-1.5024134E+000, 1.4111247E-001,-2.8190202E-001, 0.0000000E+000, 0.0000000E+000,-2.4415195E+001, 1.3952624E+001, 1.4051213E+001,-1.0928801E-006, 2.6779512E-004, 1.2392071E-006, 1.1035194E-003
 4.1490817E+000, 4.0650658E+001,-1.5659074E+000, 1.6154160E-001,-2.8394494E-001, 0.0000000E+000, 0.0000000E+000,-2.4692630E+001, 1.4102697E+001, 1.4269717E+001,-1.2548750E-006, 3.0186992E-004, 1.4228917E-006, 1.1886091E-003
 4.3292975E+000, 4.1235422E+001,-1.6478905E+000, 1.4550443E-001,-2.9454662E-001, 0.0000000E+000, 0.0000000E+000,-2.4953490E+001, 1.4389849E+001, 1.4485000E+001,-1.4242483E-006, 3.3890099E-004, 1.6149426E-006, 1.2769714E-003
 4.5095139E+000, 4.1886260E+001,-1.8099574E+000, 1.4405737E-001,-3.0501731E-001, 0.0000000E+000, 0.0000000E+000,-2.5196279E+001, 1.4589714E+001, 1.4719064E+001,-1.6252758E-006, 3.8157405E-004, 1.8428859E-006, 1.3736578E-003
 4.6969385E+000, 4.2623160E+001,-1.9004394E+000, 1.8249223E-001,-3.1089969E-001, 0.0000000E+000, 0.0000000E+000,-2.5275052E+001, 1.5140827E+001, 1.5319261E+001,-1.8653062E-006, 4.3012218E-004, 2.1150543E-006, 1.4782804E-003
 4.8951759E+000, 4.3501948E+001,-2.0355857E+000, 2.3606631E-001,-3.0924610E-001, 0.0000000E+000, 0.0000000E+000,-2.5419504E+001, 1.5771904E+001, 1.5973678E+001,-2.1464834E-006, 4.8477421E-004, 2.4338786E-006, 1.5902444E-003
 5.0492773E+000, 4.4419048E+001,-2.1846350E+000, 2.7138510E-001,-3.0350959E-001, 0.0000000E+000, 0.0000000E+000,-2.5810801E+001, 1.6172054E+001, 1.6391488E+001,-2.4273369E-006, 5.3787935E-004, 2.7523360E-006, 1.6939660E-003
 5.2250700E+000, 4.5333460E+001,-2.2703416E+000, 2.9276536E-001,-3.0174782E-001, 0.0000000E+000, 0.0000000E+000,-2.6214148E+001, 1.6677985E+001, 1.6839988E+001,-2.7117814E-006, 5.9090533E-004, 3.0748651E-006, 1.7926597E-003
 5.4008622E+000, 4.6226015E+001,-2.3516808E+000, 3.3678427E-001,-3.0401245E-001, 0.0000000E+000, 0.0000000E+000,-2.6646919E+001, 1.7107844E+001, 1.7260187E+001,-3.0240814E-006, 6.5061273E-004, 3.4289793E-006, 1.8991103E-003
 5.6118135E+000, 4.7356802E+001,-2.4555509E+000, 4.1267206E-001,-3.0007896E-001, 0.0000000E+000, 0.0000000E+000,-2.7252368E+001, 1.7530413E+001, 1.7761477E+001,-3.3989722E-006, 7.2487480E-004, 3.8540647E-006, 2.0247340E-003
 5.7876058E+000, 4.8686540E+001,-2.6216040E+000, 4.7116652E-001,-2.9653950E-001, 0.0000000E+000, 0.0000000E+000,-2.7471990E+001, 1.8402220E+001, 1.8767573E+001,-3.8523150E-006, 8.1154383E-004, 4.3681061E-006, 2.1616387E-003
 5.9633985E+000, 5.0086024E+001,-2.7763678E+000, 5.0982417E-001,-3.0255749E-001, 0.0000000E+000, 0.0000000E+000,-2.7636925E+001, 1.9504943E+001, 1.9879997E+001,-4.3505342E-006, 9.0169231E-004, 4.9330325E-006, 2.2929747E-003
 6.1391912E+000, 5.1642457E+001,-2.9969539E+000, 5.2874215E-001,-3.1157715E-001, 0.0000000E+000, 0.0000000E+000,-2.8351628E+001, 2.0293730E+001, 2.0511040E+001,-4.9007633E-006, 1.0007747E-003, 5.5569324E-006, 2.4272603E-003
 6.3027396E+000, 5.3366963E+001,-3.1919042E+000, 5.7197165E-001,-3.1441225E-001, 0.0000000E+000, 0.0000000E+000,-2.9540415E+001, 2.0704377E+001, 2.0892203E+001,-5.4666830E-006, 1.1086906E-003, 6.1986238E-006, 2.5640392E-003
 6.4892030E+000, 5.5370547E+001,-3.4901546E+000, 5.7252147E-001,-3.1493604E-001, 0.0000000E+000, 0.0000000E+000,-3.0445084E+001, 2.1324786E+001, 2.1692894E+001,-6.2018206E-006, 1.2373024E-003, 7.0321899E-006, 2.7155751E-003
 6.6756659E+000, 5.7743916E+001,-3.7515290E+000, 1.0355857E-001,-3.2153176E-001, 0.0000000E+000, 0.0000000E+000,-3.1554652E+001, 2.1931932E+001, 2.2219761E+001,-7.0913368E-006, 1.3855644E-003, 8.0408045E-006, 2.8793800E-003
 6.8505902E+000, 6.0303780E+001,-4.0321965E+000,-5.9718438E-001,-3.2767887E-001, 0.0000000E+000, 0.0000000E+000,-3.3371640E+001, 2.1703910E+001, 2.1975081E+001,-7.9285782E-006, 1.5486640E-003, 8.9901452E-006, 3.0500577E-003
 7.0412068E+000, 6.3231224E+001,-4.3268854E+000,-1.0243329E+000,-3.2972958E-001, 0.0000000E+000, 0.0000000E+000,-3.5680437E+001, 2.1607192E+001, 2.1869839E+001,-8.9868272E-006, 1.7640875E-003, 1.0190084E-005, 3.2597086E-003
