s,kg
Time,"Fuel Load"
 2.8621132E+001, 7.7924437E+000
 2.8803060E+001, 7.7646821E+000
 2.8983894E+001, 7.7377278E+000
 2.9162560E+001, 7.7125162E+000
 2.9341668E+001, 7.6854561E+000
 2.9522678E+001, 7.6600950E+000
 2.9703492E+001, 7.6340286E+000
 2.9884307E+001, 7.6085470E+000
 3.0065121E+001, 7.5830989E+000
 3.0240285E+001, 7.5581761E+000
 3.0421099E+001, 7.5311981E+000
 3.0600653E+001, 7.5026459E+000
 3.0781419E+001, 7.4740337E+000
 3.0962211E+001, 7.4452577E+000
 3.1140404E+001, 7.4164767E+000
 3.1321786E+001, 7.3855105E+000
 3.1502031E+001, 7.3546740E+000
 3.1682276E+001, 7.3241021E+000
 3.1862522E+001, 7.2940825E+000
 3.2040246E+001, 7.2627205E+000
 3.2224464E+001, 7.2292159E+000
 3.2402071E+001, 7.1957049E+000
 3.2582733E+001, 7.1656995E+000
 3.2760211E+001, 7.1352511E+000
 3.2944398E+001, 7.1038314E+000
 3.3122114E+001, 7.0730430E+000
 3.3302124E+001, 7.0428265E+000
 3.3480171E+001, 7.0136601E+000
 3.3660277E+001, 6.9838193E+000
 3.3840837E+001, 6.9535389E+000
 3.4022236E+001, 6.9237794E+000
 3.4200596E+001, 6.8955922E+000
 3.4383415E+001, 6.8663455E+000
 3.4562674E+001, 6.8367868E+000
 3.4741934E+001, 6.8061565E+000
 3.4924502E+001, 6.7746257E+000
 3.5102146E+001, 6.7424167E+000
 3.5284046E+001, 6.7116573E+000
 3.5462446E+001, 6.6806484E+000
 3.5642792E+001, 6.6512058E+000
 3.5824284E+001, 6.6213717E+000
 3.6002942E+001, 6.5924677E+000
 3.6181600E+001, 6.5648419E+000
 3.6364047E+001, 6.5361567E+000
 3.6542022E+001, 6.5060851E+000
 3.6721418E+001, 6.4764272E+000
 3.6902190E+001, 6.4457812E+000
 3.7081971E+001, 6.4145781E+000
 3.7261752E+001, 6.3822639E+000
 3.7441532E+001, 6.3497240E+000
 3.7621950E+001, 6.3173311E+000
 3.7803367E+001, 6.2851028E+000
 3.7983562E+001, 6.2528963E+000
 3.8162307E+001, 6.2201687E+000
 3.8341045E+001, 6.1874627E+000
 3.8525134E+001, 6.1529172E+000
 3.8703964E+001, 6.1188077E+000
 3.8881743E+001, 6.0853093E+000
 3.9062089E+001, 6.0516706E+000
 3.9241271E+001, 6.0183525E+000
 3.9420418E+001, 5.9852857E+000
 3.9600092E+001, 5.9523690E+000
 3.9785255E+001, 5.9188257E+000
 3.9962127E+001, 5.8855069E+000
 4.0140180E+001, 5.8526607E+000
 4.0323961E+001, 5.8201306E+000
 4.0502491E+001, 5.7861231E+000
 4.0681022E+001, 5.7525331E+000
 4.0864803E+001, 5.7173765E+000
 4.1043333E+001, 5.6827983E+000
 4.1221864E+001, 5.6495565E+000
 4.1400394E+001, 5.6164812E+000
 4.1584175E+001, 5.5836481E+000
 4.1762705E+001, 5.5501022E+000
 4.1941236E+001, 5.5160037E+000
 4.2121185E+001, 5.4820409E+000
 4.2302436E+001, 5.4495394E+000
 4.2484071E+001, 5.4153297E+000
 4.2662756E+001, 5.3815247E+000
 4.2843206E+001, 5.3487778E+000
 4.3024754E+001, 5.3149385E+000
 4.3203620E+001, 5.2798066E+000
 4.3385473E+001, 5.2449076E+000
 4.3562650E+001, 5.2099891E+000
 4.3742766E+001, 5.1734800E+000
 4.3922042E+001, 5.1363102E+000
 4.4100322E+001, 5.1002494E+000
 4.4282742E+001, 5.0654210E+000
 4.4461807E+001, 5.0305549E+000
 4.4643229E+001, 4.9963047E+000
 4.4822059E+001, 4.9624494E+000
 4.5005095E+001, 4.9278092E+000
 4.5181769E+001, 4.8933803E+000
 4.5363318E+001, 4.8587892E+000
 4.5545069E+001, 4.8242366E+000
 4.5722941E+001, 4.7901706E+000
 4.5900720E+001, 4.7556157E+000
 4.6082975E+001, 4.7194159E+000
 4.6264710E+001, 4.6829100E+000
 4.6442470E+001, 4.6482661E+000
 4.6623480E+001, 4.6157163E+000
 4.6801222E+001, 4.5851474E+000
 4.6983225E+001, 4.5543653E+000
 4.7160548E+001, 4.5236652E+000
 4.7343590E+001, 4.4931525E+000
 4.7520913E+001, 4.4623296E+000
 4.7703956E+001, 4.4309006E+000
 4.7881278E+001, 4.4014781E+000
 4.8064465E+001, 4.3715914E+000
 4.8244292E+001, 4.3397836E+000
 4.8425526E+001, 4.3082113E+000
 4.8600970E+001, 4.2784061E+000
 4.8784073E+001, 4.2499832E+000
 4.8962889E+001, 4.2213613E+000
 4.9143305E+001, 4.1923838E+000
 4.9322257E+001, 4.1637053E+000
 4.9505896E+001, 4.1340669E+000
