s,kg
Time,"Fuel Load"
 0.0000000E+000, 0.0000000E+000
 1.9364917E-001, 1.4581630E+001
 3.8729833E-001, 1.4581579E+001
 5.8094750E-001, 1.4581527E+001
 7.7459667E-001, 1.4581474E+001
 9.5110738E-001, 1.4581422E+001
 1.1190489E+000, 1.4581373E+001
 1.2869903E+000, 1.4581322E+001
 1.4784030E+000, 1.4581261E+001
 1.6440185E+000, 1.4581195E+001
 1.8294248E+000, 1.4581122E+001
 2.0094279E+000, 1.4581039E+001
 2.1664706E+000, 1.4580951E+001
 2.3549218E+000, 1.4580850E+001
 2.5433730E+000, 1.4580725E+001
 2.7004157E+000, 1.4580595E+001
 2.9077120E+000, 1.4580442E+001
 3.0804590E+000, 1.4580262E+001
 3.2704806E+000, 1.4580073E+001
 3.4224979E+000, 1.4579876E+001
 3.6125195E+000, 1.4579659E+001
 3.8025412E+000, 1.4579395E+001
 3.9925628E+000, 1.4579105E+001
 4.1445801E+000, 1.4578822E+001
 4.3346017E+000, 1.4578514E+001
 4.5246234E+000, 1.4578143E+001
 4.7146450E+000, 1.4577741E+001
 4.8666623E+000, 1.4577350E+001
 5.0566839E+000, 1.4576930E+001
 5.2467056E+000, 1.4576430E+001
 5.4185783E+000, 1.4575913E+001
 5.5859137E+000, 1.4575398E+001
 5.7867163E+000, 1.4574801E+001
 5.9540517E+000, 1.4574161E+001
 6.1213872E+000, 1.4573536E+001
 6.3260350E+000, 1.4572781E+001
 6.4972157E+000, 1.4571966E+001
 6.6683965E+000, 1.4571168E+001
 6.8681073E+000, 1.4570234E+001
 7.0392881E+000, 1.4569217E+001
 7.2104688E+000, 1.4568188E+001
 7.3816495E+000, 1.4567053E+001
 7.5683795E+000, 1.4565717E+001
 7.7453738E+000, 1.4564164E+001
 7.9223681E+000, 1.4562385E+001
 8.1246473E+000, 1.4560021E+001
 8.2914931E+000, 1.4557073E+001
 8.4667099E+000, 1.4553551E+001
 8.6539616E+000, 1.4548853E+001
 8.8217328E+000, 1.4543222E+001
 9.0093169E+000, 1.4536461E+001
 9.1950099E+000, 1.4528154E+001
 9.3617921E+000, 1.4519267E+001
 9.5441955E+000, 1.4509560E+001
 9.7267192E+000, 1.4498387E+001
 9.9034981E+000, 1.4486525E+001
 1.0087812E+001, 1.4473717E+001
 1.0263274E+001, 1.4459567E+001
 1.0445556E+001, 1.4443544E+001
 1.0621561E+001, 1.4425195E+001
 1.0802234E+001, 1.4404202E+001
 1.0982956E+001, 1.4379743E+001
 1.1167343E+001, 1.4351832E+001
 1.1347191E+001, 1.4321437E+001
 1.1521442E+001, 1.4289522E+001
 1.1704909E+001, 1.4255300E+001
 1.1881042E+001, 1.4218917E+001
 1.2062230E+001, 1.4180395E+001
 1.2241718E+001, 1.4140390E+001
 1.2423746E+001, 1.4098766E+001
 1.2603873E+001, 1.4054150E+001
 1.2782079E+001, 1.4006265E+001
 1.2963303E+001, 1.3955373E+001
 1.3140418E+001, 1.3902655E+001
 1.3323230E+001, 1.3846598E+001
 1.3504392E+001, 1.3786488E+001
 1.3683313E+001, 1.3724465E+001
 1.3864227E+001, 1.3663905E+001
 1.4043679E+001, 1.3601086E+001
 1.4220392E+001, 1.3535127E+001
 1.4404490E+001, 1.3471420E+001
 1.4584179E+001, 1.3406362E+001
 1.4762677E+001, 1.3342168E+001
 1.4941555E+001, 1.3280507E+001
 1.5123731E+001, 1.3219598E+001
 1.5300961E+001, 1.3161872E+001
 1.5483758E+001, 1.3101353E+001
 1.5661753E+001, 1.3042588E+001
 1.5842664E+001, 1.2990051E+001
 1.6024327E+001, 1.2943706E+001
 1.6202602E+001, 1.2898083E+001
 1.6381031E+001, 1.2856275E+001
 1.6562876E+001, 1.2812787E+001
 1.6741156E+001, 1.2770890E+001
 1.6923390E+001, 1.2734002E+001
 1.7101451E+001, 1.2697983E+001
 1.7282033E+001, 1.2665794E+001
 1.7463945E+001, 1.2635797E+001
 1.7640805E+001, 1.2604331E+001
 1.7823729E+001, 1.2573617E+001
 1.8003822E+001, 1.2546946E+001
 1.8181137E+001, 1.2522245E+001
 1.8360218E+001, 1.2496907E+001
 1.8543690E+001, 1.2470354E+001
 1.8721396E+001, 1.2445539E+001
 1.8905518E+001, 1.2421901E+001
 1.9086122E+001, 1.2398816E+001
 1.9263971E+001, 1.2376238E+001
 1.9440850E+001, 1.2353973E+001
 1.9625254E+001, 1.2331101E+001
 1.9800012E+001, 1.2307819E+001
 1.9981012E+001, 1.2283544E+001
 2.0161382E+001, 1.2257664E+001
 2.0343162E+001, 1.2230669E+001
 2.0520195E+001, 1.2202948E+001
 2.0702428E+001, 1.2174152E+001
 2.0884661E+001, 1.2143760E+001
 2.1061372E+001, 1.2113164E+001
 2.1243605E+001, 1.2080588E+001
 2.1420446E+001, 1.2045880E+001
 2.1602332E+001, 1.2009538E+001
 2.1784753E+001, 1.1972060E+001
 2.1960338E+001, 1.1934886E+001
 2.2144105E+001, 1.1896452E+001
 2.2321882E+001, 1.1858313E+001
 2.2503078E+001, 1.1820818E+001
 2.2684167E+001, 1.1782286E+001
 2.2861128E+001, 1.1744264E+001
 2.3040854E+001, 1.1705775E+001
 2.3223407E+001, 1.1667714E+001
 2.3400783E+001, 1.1631034E+001
 2.3582413E+001, 1.1594165E+001
 2.3761661E+001, 1.1556318E+001
