s,kg
Time,"Fuel Load"
 0.0000000E+000, 0.0000000E+000
 1.9364917E-001, 9.8871876E+000
 3.8729833E-001, 9.8871558E+000
 5.8094750E-001, 9.8871236E+000
 7.7459667E-001, 9.8870909E+000
 9.5028179E-001, 9.8870579E+000
 1.1169849E+000, 9.8870259E+000
 1.2602080E+000, 9.8869942E+000
 1.4413318E+000, 9.8869587E+000
 1.6554359E+000, 9.8869105E+000
 1.8015575E+000, 9.8868599E+000
 2.0059515E+000, 9.8868032E+000
 2.1701181E+000, 9.8867340E+000
 2.3527207E+000, 9.8866567E+000
 2.5281246E+000, 9.8865637E+000
 2.7035285E+000, 9.8864582E+000
 2.9081664E+000, 9.8863259E+000
 3.0835703E+000, 9.8861740E+000
 3.2589743E+000, 9.8860139E+000
 3.4343782E+000, 9.8858333E+000
 3.6097821E+000, 9.8856304E+000
 3.7851860E+000, 9.8854032E+000
 3.9605899E+000, 9.8851501E+000
 4.1652278E+000, 9.8848439E+000
 4.3406318E+000, 9.8845034E+000
 4.5160357E+000, 9.8841549E+000
 4.6914396E+000, 9.8837714E+000
 4.8668435E+000, 9.8833502E+000
 5.0422474E+000, 9.8828874E+000
 5.2351917E+000, 9.8823564E+000
 5.4281360E+000, 9.8817368E+000
 5.5889230E+000, 9.8811104E+000
 5.7750662E+000, 9.8804304E+000
 5.9476073E+000, 9.8796519E+000
 6.1201483E+000, 9.8788242E+000
 6.3182726E+000, 9.8778215E+000
 6.4973549E+000, 9.8766445E+000
 6.6662039E+000, 9.8753909E+000
 6.8631944E+000, 9.8737806E+000
 7.0320434E+000, 9.8717827E+000
 7.2049889E+000, 9.8694388E+000
 7.4026409E+000, 9.8663006E+000
 7.5669550E+000, 9.8624757E+000
 7.7415902E+000, 9.8580429E+000
 7.9268581E+000, 9.8523977E+000
 8.1082112E+000, 9.8455386E+000
 8.2812665E+000, 9.8376837E+000
 8.4719451E+000, 9.8280676E+000
 8.6414246E+000, 9.8167167E+000
 8.8225879E+000, 9.8038173E+000
 9.0082298E+000, 9.7889218E+000
 9.1826565E+000, 9.7730339E+000
 9.3608095E+000, 9.7558808E+000
 9.5466078E+000, 9.7361972E+000
 9.7231778E+000, 9.7148412E+000
 9.9029188E+000, 9.6925863E+000
 1.0085796E+001, 9.6687600E+000
 1.0262774E+001, 9.6446266E+000
 1.0443464E+001, 9.6196222E+000
 1.0621747E+001, 9.5940208E+000
 1.0801707E+001, 9.5680071E+000
 1.0980521E+001, 9.5409185E+000
 1.1160408E+001, 9.5124600E+000
 1.1343347E+001, 9.4834225E+000
 1.1523874E+001, 9.4546674E+000
 1.1701055E+001, 9.4265559E+000
 1.1882726E+001, 9.3976790E+000
 1.2060760E+001, 9.3671344E+000
 1.2241109E+001, 9.3358714E+000
 1.2421457E+001, 9.3024639E+000
 1.2601805E+001, 9.2709908E+000
 1.2781666E+001, 9.2415798E+000
 1.2960101E+001, 9.2116790E+000
 1.3143357E+001, 9.1805030E+000
 1.3323776E+001, 9.1506743E+000
 1.3504946E+001, 9.1234551E+000
 1.3683723E+001, 9.0973404E+000
 1.3865103E+001, 9.0739250E+000
 1.4042230E+001, 9.0506854E+000
 1.4220423E+001, 9.0275395E+000
 1.4405374E+001, 9.0033648E+000
 1.4584359E+001, 8.9792018E+000
 1.4763344E+001, 8.9580107E+000
 1.4942329E+001, 8.9363334E+000
 1.5123399E+001, 8.9132703E+000
 1.5304785E+001, 8.8894155E+000
 1.5481597E+001, 8.8672510E+000
 1.5664557E+001, 8.8453121E+000
 1.5841800E+001, 8.8237020E+000
 1.6024761E+001, 8.8012268E+000
 1.6203516E+001, 8.7776616E+000
 1.6384793E+001, 8.7539498E+000
 1.6560028E+001, 8.7312510E+000
 1.6741305E+001, 8.7078801E+000
 1.6922582E+001, 8.6829198E+000
 1.7100353E+001, 8.6570404E+000
 1.7283324E+001, 8.6299078E+000
 1.7460393E+001, 8.6025725E+000
 1.7643364E+001, 8.5757657E+000
 1.7820522E+001, 8.5486390E+000
 1.8002891E+001, 8.5210682E+000
 1.8184405E+001, 8.4934273E+000
 1.8361059E+001, 8.4660173E+000
 1.8544779E+001, 8.4374879E+000
 1.8722442E+001, 8.4092448E+000
 1.8900255E+001, 8.3814451E+000
 1.9082676E+001, 8.3532660E+000
 1.9265099E+001, 8.3241671E+000
 1.9444010E+001, 8.2977013E+000
 1.9621513E+001, 8.2719588E+000
 1.9801043E+001, 8.2441340E+000
 1.9982383E+001, 8.2174723E+000
 2.0161233E+001, 8.1910567E+000
 2.0345651E+001, 8.1645204E+000
 2.0521037E+001, 8.1391887E+000
 2.0704272E+001, 8.1136803E+000
 2.0880498E+001, 8.0885085E+000
 2.1061680E+001, 8.0634643E+000
 2.1243414E+001, 8.0376140E+000
 2.1424821E+001, 8.0117440E+000
 2.1603104E+001, 7.9869604E+000
 2.1782679E+001, 7.9628579E+000
 2.1965547E+001, 7.9392904E+000
 2.2144736E+001, 7.9162503E+000
 2.2321940E+001, 7.8937922E+000
 2.2505937E+001, 7.8707959E+000
 2.2684426E+001, 7.8477307E+000
 2.2862692E+001, 7.8241108E+000
 2.3043203E+001, 7.8008266E+000
 2.3225247E+001, 7.7772372E+000
 2.3402878E+001, 7.7534679E+000
 2.3584133E+001, 7.7293687E+000
 2.3760686E+001, 7.7054678E+000
