s,kg
Time,"Fuel Load"
 0.0000000E+000, 0.0000000E+000
 1.9364917E-001, 8.2154343E+000
 3.8729833E-001, 8.2154079E+000
 5.8094750E-001, 8.2153812E+000
 7.7459667E-001, 8.2153539E+000
 9.5379318E-001, 8.2153264E+000
 1.1257634E+000, 8.2152987E+000
 1.2803922E+000, 8.2152698E+000
 1.4865639E+000, 8.2152329E+000
 1.6227774E+000, 8.2151907E+000
 1.8137055E+000, 8.2151424E+000
 2.0095235E+000, 8.2150749E+000
 2.1629396E+000, 8.2150022E+000
 2.3470389E+000, 8.2149183E+000
 2.5311382E+000, 8.2148097E+000
 2.7152376E+000, 8.2146818E+000
 2.8993369E+000, 8.2145337E+000
 3.0834362E+000, 8.2143646E+000
 3.2675355E+000, 8.2141734E+000
 3.4209516E+000, 8.2139773E+000
 3.6050509E+000, 8.2137585E+000
 3.7891502E+000, 8.2134926E+000
 3.9732495E+000, 8.2131956E+000
 4.1573488E+000, 8.2128654E+000
 4.3506531E+000, 8.2124924E+000
 4.5194108E+000, 8.2120988E+000
 4.6843359E+000, 8.2116992E+000
 4.8638497E+000, 8.2112452E+000
 5.0433634E+000, 8.2107311E+000
 5.2228771E+000, 8.2101649E+000
 5.4023909E+000, 8.2095388E+000
 5.5819046E+000, 8.2088430E+000
 5.7674763E+000, 8.2080423E+000
 5.9530480E+000, 8.2071261E+000
 6.1386196E+000, 8.2060683E+000
 6.3241913E+000, 8.2048166E+000
 6.4931819E+000, 8.2033449E+000
 6.6831558E+000, 8.2014718E+000
 6.8493829E+000, 8.1991418E+000
 7.0293304E+000, 8.1962251E+000
 7.2092778E+000, 8.1924067E+000
 7.3966946E+000, 8.1875637E+000
 7.5628751E+000, 8.1820496E+000
 7.7528324E+000, 8.1755211E+000
 7.9241743E+000, 8.1676373E+000
 8.1043784E+000, 8.1587162E+000
 8.2821210E+000, 8.1487690E+000
 8.4628464E+000, 8.1380843E+000
 8.6421662E+000, 8.1265326E+000
 8.8207881E+000, 8.1143134E+000
 9.0031278E+000, 8.1009781E+000
 9.1854675E+000, 8.0859805E+000
 9.3607942E+000, 8.0692911E+000
 9.5436139E+000, 8.0505077E+000
 9.7229558E+000, 8.0298214E+000
 9.9002365E+000, 8.0080555E+000
 1.0086095E+001, 7.9833287E+000
 1.0265139E+001, 7.9575348E+000
 1.0444781E+001, 7.9314917E+000
 1.0624423E+001, 7.9051347E+000
 1.0804065E+001, 7.8781705E+000
 1.0982384E+001, 7.8493748E+000
 1.1165706E+001, 7.8182802E+000
 1.1342823E+001, 7.7859822E+000
 1.1525709E+001, 7.7522494E+000
 1.1701308E+001, 7.7181814E+000
 1.1880773E+001, 7.6840768E+000
 1.2064945E+001, 7.6488481E+000
 1.2241603E+001, 7.6138823E+000
 1.2422439E+001, 7.5784019E+000
 1.2601958E+001, 7.5424992E+000
 1.2781730E+001, 7.5064123E+000
 1.2964346E+001, 7.4714528E+000
 1.3140080E+001, 7.4381296E+000
 1.3323734E+001, 7.4066903E+000
 1.3501958E+001, 7.3747170E+000
 1.3680664E+001, 7.3434827E+000
 1.3862253E+001, 7.3141008E+000
 1.4044382E+001, 7.2859692E+000
 1.4224689E+001, 7.2604788E+000
 1.4401992E+001, 7.2376165E+000
 1.4582053E+001, 7.2145613E+000
 1.4765643E+001, 7.1891001E+000
 1.4944552E+001, 7.1666573E+000
 1.5121094E+001, 7.1466155E+000
 1.5300473E+001, 7.1258232E+000
 1.5482555E+001, 7.1042207E+000
 1.5666428E+001, 7.0821199E+000
 1.5843735E+001, 7.0600559E+000
 1.6023236E+001, 7.0374194E+000
 1.6204241E+001, 7.0147249E+000
 1.6385246E+001, 6.9918575E+000
 1.6563982E+001, 6.9682556E+000
 1.6743552E+001, 6.9440113E+000
 1.6921604E+001, 6.9188175E+000
 1.7103411E+001, 6.8938743E+000
 1.7283435E+001, 6.8692021E+000
 1.7461497E+001, 6.8446221E+000
 1.7645124E+001, 6.8190830E+000
 1.7822654E+001, 6.7927080E+000
 1.8001804E+001, 6.7676282E+000
 1.8183621E+001, 6.7434905E+000
 1.8361255E+001, 6.7193265E+000
 1.8544083E+001, 6.6945026E+000
 1.8722341E+001, 6.6702300E+000
 1.8902123E+001, 6.6465818E+000
 1.9084381E+001, 6.6216611E+000
 1.9265534E+001, 6.5964833E+000
 1.9440172E+001, 6.5721748E+000
 1.9625140E+001, 6.5480488E+000
 1.9800860E+001, 6.5245607E+000
 1.9980388E+001, 6.5008724E+000
 2.0161500E+001, 6.4760851E+000
 2.0344179E+001, 6.4520987E+000
 2.0521844E+001, 6.4282621E+000
 2.0705240E+001, 6.4042478E+000
 2.0882905E+001, 6.3805742E+000
 2.1060570E+001, 6.3570826E+000
 2.1240534E+001, 6.3328862E+000
 2.1420708E+001, 6.3080477E+000
 2.1603994E+001, 6.2821342E+000
 2.1782358E+001, 6.2562084E+000
 2.1965339E+001, 6.2304915E+000
 2.2141578E+001, 6.2053215E+000
 2.2320960E+001, 6.1793823E+000
 2.2502261E+001, 6.1532358E+000
 2.2684063E+001, 6.1270386E+000
 2.2863895E+001, 6.1001735E+000
 2.3041580E+001, 6.0741831E+000
 2.3221490E+001, 6.0491781E+000
 2.3403970E+001, 6.0248988E+000
 2.3585005E+001, 6.0004143E+000
 2.3761572E+001, 5.9764443E+000
