s,kg
Time,"Fuel Load"
 0.0000000E+000, 0.0000000E+000
 1.9364917E-001, 7.1228646E+000
 3.8729833E-001, 7.1228435E+000
 5.8094750E-001, 7.1228221E+000
 7.7459667E-001, 7.1228003E+000
 9.5141323E-001, 7.1227781E+000
 1.1198135E+000, 7.1227559E+000
 1.2764161E+000, 7.1227327E+000
 1.4773544E+000, 7.1227027E+000
 1.6505822E+000, 7.1226642E+000
 1.8044376E+000, 7.1226236E+000
 2.0045034E+000, 7.1225711E+000
 2.1878831E+000, 7.1225033E+000
 2.3406995E+000, 7.1224326E+000
 2.5240793E+000, 7.1223489E+000
 2.7074590E+000, 7.1222418E+000
 2.8908387E+000, 7.1221163E+000
 3.0742184E+000, 7.1219711E+000
 3.2575981E+000, 7.1218048E+000
 3.4532032E+000, 7.1216103E+000
 3.6213012E+000, 7.1213992E+000
 3.7893993E+000, 7.1211801E+000
 3.9911170E+000, 7.1209115E+000
 4.1554245E+000, 7.1206162E+000
 4.3343984E+000, 7.1203074E+000
 4.5133724E+000, 7.1199569E+000
 4.6923463E+000, 7.1195724E+000
 4.8713203E+000, 7.1191512E+000
 5.0502942E+000, 7.1186900E+000
 5.2292682E+000, 7.1181844E+000
 5.4019104E+000, 7.1176383E+000
 5.5885523E+000, 7.1170216E+000
 5.7751943E+000, 7.1163158E+000
 5.9618362E+000, 7.1155267E+000
 6.1387366E+000, 7.1146581E+000
 6.3026482E+000, 7.1137319E+000
 6.4899759E+000, 7.1126339E+000
 6.6773035E+000, 7.1112402E+000
 6.8412152E+000, 7.1096531E+000
 7.0285429E+000, 7.1077318E+000
 7.2063406E+000, 7.1053171E+000
 7.3871744E+000, 7.1023225E+000
 7.5763406E+000, 7.0983848E+000
 7.7494167E+000, 7.0935779E+000
 7.9296495E+000, 7.0879110E+000
 8.1041053E+000, 7.0812629E+000
 8.2819613E+000, 7.0736248E+000
 8.4637100E+000, 7.0647148E+000
 8.6428669E+000, 7.0544839E+000
 8.8259820E+000, 7.0428511E+000
 9.0014673E+000, 7.0300299E+000
 9.1828950E+000, 7.0160661E+000
 9.3647001E+000, 7.0002084E+000
 9.5418046E+000, 6.9825782E+000
 9.7259932E+000, 6.9631282E+000
 9.9037136E+000, 6.9416793E+000
 1.0083976E+001, 6.9193194E+000
 1.0260931E+001, 6.8955971E+000
 1.0440098E+001, 6.8701672E+000
 1.0622462E+001, 6.8425228E+000
 1.0801225E+001, 6.8137519E+000
 1.0985754E+001, 6.7844926E+000
 1.1163743E+001, 6.7540918E+000
 1.1341296E+001, 6.7237663E+000
 1.1524172E+001, 6.6935832E+000
 1.1702139E+001, 6.6652107E+000
 1.1881992E+001, 6.6379932E+000
 1.2065066E+001, 6.6132444E+000
 1.2243703E+001, 6.5903221E+000
 1.2423294E+001, 6.5679295E+000
 1.2601931E+001, 6.5444018E+000
 1.2781858E+001, 6.5197006E+000
 1.2961738E+001, 6.4972735E+000
 1.3143165E+001, 6.4774225E+000
 1.3320605E+001, 6.4584925E+000
 1.3500512E+001, 6.4402527E+000
 1.3682120E+001, 6.4235227E+000
 1.3866087E+001, 6.4068932E+000
 1.4042199E+001, 6.3915775E+000
 1.4223727E+001, 6.3775126E+000
 1.4404915E+001, 6.3640553E+000
 1.4583332E+001, 6.3517222E+000
 1.4763819E+001, 6.3393659E+000
 1.4946147E+001, 6.3264926E+000
 1.5122750E+001, 6.3136936E+000
 1.5301987E+001, 6.3005030E+000
 1.5482509E+001, 6.2870538E+000
 1.5661685E+001, 6.2736893E+000
 1.5844743E+001, 6.2605430E+000
 1.6024876E+001, 6.2480887E+000
 1.6205010E+001, 6.2358992E+000
 1.6385400E+001, 6.2232946E+000
 1.6563038E+001, 6.2110532E+000
 1.6740675E+001, 6.1993423E+000
 1.6923388E+001, 6.1877158E+000
 1.7104833E+001, 6.1764079E+000
 1.7285032E+001, 6.1652657E+000
 1.7463522E+001, 6.1547722E+000
 1.7646985E+001, 6.1447797E+000
 1.7823110E+001, 6.1353048E+000
 1.8001436E+001, 6.1261718E+000
 1.8187101E+001, 6.1170838E+000
 1.8360238E+001, 6.1088545E+000
 1.8542635E+001, 6.1011541E+000
 1.8722886E+001, 6.0932602E+000
 1.8901346E+001, 6.0855259E+000
 1.9085904E+001, 6.0776756E+000
 1.9261725E+001, 6.0697753E+000
 1.9445781E+001, 6.0621271E+000
 1.9623947E+001, 6.0543645E+000
 1.9802113E+001, 6.0467626E+000
 1.9980279E+001, 6.0390493E+000
 2.0166543E+001, 6.0309186E+000
 2.0344710E+001, 6.0224591E+000
 2.0522876E+001, 6.0141696E+000
 2.0701042E+001, 6.0057056E+000
 2.0887306E+001, 5.9970820E+000
 2.1067666E+001, 5.9883738E+000
 2.1241246E+001, 5.9799499E+000
 2.1423129E+001, 5.9715225E+000
 2.1606671E+001, 5.9629570E+000
 2.1785272E+001, 5.9541870E+000
 2.1963872E+001, 5.9449870E+000
 2.2142472E+001, 5.9350049E+000
 2.2321073E+001, 5.9243149E+000
 2.2507438E+001, 5.9133031E+000
 2.2686039E+001, 5.9023230E+000
 2.2861656E+001, 5.8922504E+000
 2.3042909E+001, 5.8819427E+000
 2.3224161E+001, 5.8711444E+000
 2.3402440E+001, 5.8605304E+000
 2.3582567E+001, 5.8499418E+000
 2.3762694E+001, 5.8390588E+000
