s,kg
Time,"Fuel Load"
 0.0000000E+000, 0.0000000E+000
 1.9364917E-001, 1.5270369E+001
 3.8729833E-001, 1.5270302E+001
 5.8094750E-001, 1.5270234E+001
 7.7459667E-001, 1.5270166E+001
 9.0369611E-001, 1.5270108E+001
 1.1253841E+000, 1.5270042E+001
 1.2771823E+000, 1.5269970E+001
 1.4699347E+000, 1.5269898E+001
 1.6387522E+000, 1.5269816E+001
 1.8279817E+000, 1.5269728E+001
 1.9967813E+000, 1.5269630E+001
 2.1604733E+000, 1.5269530E+001
 2.3569038E+000, 1.5269409E+001
 2.5205959E+000, 1.5269273E+001
 2.7268478E+000, 1.5269115E+001
 2.9069091E+000, 1.5268931E+001
 3.0869704E+000, 1.5268740E+001
 3.2670316E+000, 1.5268530E+001
 3.4542954E+000, 1.5268298E+001
 3.6127493E+000, 1.5268061E+001
 3.8108167E+000, 1.5267793E+001
 3.9692706E+000, 1.5267504E+001
 4.1673380E+000, 1.5267193E+001
 4.3257919E+000, 1.5266861E+001
 4.5238593E+000, 1.5266506E+001
 4.6823132E+000, 1.5266128E+001
 4.8803806E+000, 1.5265724E+001
 5.0613328E+000, 1.5265265E+001
 5.2380062E+000, 1.5264808E+001
 5.4146795E+000, 1.5264333E+001
 5.6087848E+000, 1.5263804E+001
 5.7630797E+000, 1.5263283E+001
 5.9482336E+000, 1.5262751E+001
 6.1333875E+000, 1.5262142E+001
 6.3077452E+000, 1.5261519E+001
 6.4985671E+000, 1.5260855E+001
 6.6621288E+000, 1.5260185E+001
 6.8472577E+000, 1.5259492E+001
 7.0425682E+000, 1.5258696E+001
 7.2134648E+000, 1.5257895E+001
 7.3843614E+000, 1.5257109E+001
 7.5796719E+000, 1.5256225E+001
 7.7505685E+000, 1.5255296E+001
 7.9214651E+000, 1.5254381E+001
 8.1167756E+000, 1.5253342E+001
 8.2876722E+000, 1.5252234E+001
 8.4829827E+000, 1.5251044E+001
 8.6538793E+000, 1.5249762E+001
 8.8247759E+000, 1.5248461E+001
 9.0200864E+000, 1.5246910E+001
 9.1909830E+000, 1.5245132E+001
 9.3718118E+000, 1.5243104E+001
 9.5439517E+000, 1.5240738E+001
 9.7266257E+000, 1.5237954E+001
 9.9005130E+000, 1.5234654E+001
 1.0093721E+001, 1.5230619E+001
 1.0264973E+001, 1.5225932E+001
 1.0450667E+001, 1.5220712E+001
 1.0636360E+001, 1.5214542E+001
 1.0807207E+001, 1.5207748E+001
 1.0982625E+001, 1.5200381E+001
 1.1170176E+001, 1.5191965E+001
 1.1346208E+001, 1.5182977E+001
 1.1524575E+001, 1.5173479E+001
 1.1706644E+001, 1.5162925E+001
 1.1888421E+001, 1.5151279E+001
 1.2060632E+001, 1.5138841E+001
 1.2247260E+001, 1.5124940E+001
 1.2421815E+001, 1.5109651E+001
 1.2605557E+001, 1.5092797E+001
 1.2786063E+001, 1.5073699E+001
 1.2965402E+001, 1.5053003E+001
 1.3145312E+001, 1.5029936E+001
 1.3322810E+001, 1.5005841E+001
 1.3501949E+001, 1.4980987E+001
 1.3682290E+001, 1.4954773E+001
 1.3862158E+001, 1.4927091E+001
 1.4043765E+001, 1.4896922E+001
 1.4222122E+001, 1.4865479E+001
 1.4401541E+001, 1.4830988E+001
 1.4586119E+001, 1.4792398E+001
 1.4762139E+001, 1.4752231E+001
 1.4942428E+001, 1.4711813E+001
 1.5123028E+001, 1.4668253E+001
 1.5300933E+001, 1.4624432E+001
 1.5482497E+001, 1.4580379E+001
 1.5663760E+001, 1.4534293E+001
 1.5842351E+001, 1.4487656E+001
 1.6023688E+001, 1.4437108E+001
 1.6205120E+001, 1.4383810E+001
 1.6382811E+001, 1.4328765E+001
 1.6564526E+001, 1.4269455E+001
 1.6740432E+001, 1.4208507E+001
 1.6923673E+001, 1.4145179E+001
 1.7102472E+001, 1.4078476E+001
 1.7283040E+001, 1.4011454E+001
 1.7460995E+001, 1.3945555E+001
 1.7642769E+001, 1.3879109E+001
 1.7822701E+001, 1.3814137E+001
 1.8003249E+001, 1.3747507E+001
 1.8184280E+001, 1.3680006E+001
 1.8363824E+001, 1.3612120E+001
 1.8541054E+001, 1.3545914E+001
 1.8723772E+001, 1.3486157E+001
 1.8904557E+001, 1.3424984E+001
 1.9080585E+001, 1.3367686E+001
 1.9261679E+001, 1.3315300E+001
 1.9441012E+001, 1.3262445E+001
 1.9621020E+001, 1.3211215E+001
 1.9801982E+001, 1.3160044E+001
 1.9982944E+001, 1.3116405E+001
 2.0162927E+001, 1.3075751E+001
 2.0344249E+001, 1.3038667E+001
 2.0523652E+001, 1.3003112E+001
 2.0703479E+001, 1.2969594E+001
 2.0884572E+001, 1.2937961E+001
 2.1061008E+001, 1.2906510E+001
 2.1243136E+001, 1.2874151E+001
 2.1420710E+001, 1.2843474E+001
 2.1600124E+001, 1.2814884E+001
 2.1780917E+001, 1.2784912E+001
 2.1963227E+001, 1.2754273E+001
 2.2140175E+001, 1.2724569E+001
 2.2323135E+001, 1.2694568E+001
 2.2503033E+001, 1.2665242E+001
 2.2682932E+001, 1.2636353E+001
 2.2863373E+001, 1.2608042E+001
 2.3040989E+001, 1.2580401E+001
 2.3224335E+001, 1.2552145E+001
 2.3404863E+001, 1.2522421E+001
 2.3582621E+001, 1.2492424E+001
 2.3761366E+001, 1.2463647E+001
