s,C
Time,temp
 0.0000000E+000, 2.0000000E+001
 1.0100000E+001, 1.1247094E+002
 2.0000000E+001, 2.8954509E+002
 3.0000000E+001, 4.2721841E+002
 4.0000000E+001, 5.2838937E+002
 5.0000000E+001, 5.9693646E+002
 6.0000000E+001, 6.4250401E+002
 7.0000000E+001, 6.7322881E+002
 8.0100000E+001, 6.9346962E+002
 9.0100000E+001, 7.0637625E+002
 1.0010000E+002, 7.1466775E+002
 1.1010000E+002, 7.2045053E+002
 1.2010000E+002, 7.2479290E+002
 1.3010000E+002, 7.2812213E+002
 1.4010000E+002, 7.3081591E+002
 1.5010000E+002, 7.3294317E+002
 1.6010000E+002, 7.3460491E+002
 1.7010000E+002, 7.3594270E+002
 1.8010000E+002, 7.3710993E+002
 1.9010000E+002, 7.3800807E+002
 2.0010000E+002, 7.3880360E+002
 2.1010000E+002, 7.3931873E+002
 2.2010000E+002, 7.3973334E+002
 2.3010000E+002, 7.3980993E+002
 2.4010000E+002, 7.3993247E+002
 2.5010000E+002, 7.4000065E+002
 2.6010000E+002, 7.3985987E+002
 2.7010000E+002, 7.3983108E+002
 2.8010000E+002, 7.3990992E+002
 2.9010000E+002, 7.4004787E+002
 3.0010000E+002, 7.4022687E+002
 3.1000000E+002, 7.4042723E+002
 3.2000000E+002, 7.4064483E+002
 3.3000000E+002, 7.4087246E+002
 3.4000000E+002, 7.4109758E+002
 3.5000000E+002, 7.4131925E+002
 3.6000000E+002, 7.4153120E+002
 3.7000000E+002, 7.4173325E+002
 3.8000000E+002, 7.4192258E+002
 3.9000000E+002, 7.4210232E+002
 4.0000000E+002, 7.4227481E+002
 4.1000000E+002, 7.4243654E+002
 4.2000000E+002, 7.4258278E+002
 4.3000000E+002, 7.4272680E+002
 4.4000000E+002, 7.4286175E+002
 4.5000000E+002, 7.4298647E+002
 4.6000000E+002, 7.4309781E+002
 4.7000000E+002, 7.4319905E+002
 4.8000000E+002, 7.4329877E+002
 4.9000000E+002, 7.4339566E+002
 5.0000000E+002, 7.4348521E+002
 5.1000000E+002, 7.4357241E+002
 5.2000000E+002, 7.4364690E+002
 5.3000000E+002, 7.4371880E+002
 5.4000000E+002, 7.4378689E+002
 5.5000000E+002, 7.4384632E+002
 5.6000000E+002, 7.4390297E+002
 5.7000000E+002, 7.4395529E+002
 5.8000000E+002, 7.4400663E+002
 5.9000000E+002, 7.4405401E+002
 6.0000000E+002, 7.4409237E+002
 6.1000000E+002, 7.4412637E+002
 6.2000000E+002, 7.4415917E+002
 6.3000000E+002, 7.4419422E+002
 6.4000000E+002, 7.4422344E+002
 6.5000000E+002, 7.4424767E+002
 6.6000000E+002, 7.4427388E+002
 6.7000000E+002, 7.4429794E+002
 6.8000000E+002, 7.4431757E+002
 6.9000000E+002, 7.4433572E+002
 7.0000000E+002, 7.4435301E+002
 7.1000000E+002, 7.4436640E+002
 7.2000000E+002, 7.4437499E+002
 7.3000000E+002, 7.4438976E+002
 7.4000000E+002, 7.4440268E+002
 7.5000000E+002, 7.4441368E+002
 7.6000000E+002, 7.4442226E+002
 7.7000000E+002, 7.4443005E+002
 7.8000000E+002, 7.4443644E+002
 7.9000000E+002, 7.4444275E+002
 8.0000000E+002, 7.4444778E+002
 8.1000000E+002, 7.4445762E+002
 8.2000000E+002, 7.4445927E+002
 8.3000000E+002, 7.4446028E+002
 8.4000000E+002, 7.4446529E+002
 8.5000000E+002, 7.4446842E+002
 8.6000000E+002, 7.4447158E+002
 8.7000000E+002, 7.4447430E+002
 8.8000000E+002, 7.4447857E+002
 8.9000000E+002, 7.4448181E+002
 9.0000000E+002, 7.4448630E+002
 9.1000000E+002, 7.4448825E+002
 9.2000000E+002, 7.4449215E+002
 9.3000000E+002, 7.4449128E+002
 9.4000000E+002, 7.4449364E+002
 9.5000000E+002, 7.4449736E+002
 9.6000000E+002, 7.4450048E+002
 9.7000000E+002, 7.4450091E+002
 9.8000000E+002, 7.4450022E+002
 9.9000000E+002, 7.4450187E+002
 1.0000000E+003, 7.4450353E+002
 1.0100000E+003, 7.4450220E+002
 1.0200000E+003, 7.4450293E+002
 1.0300000E+003, 7.4450147E+002
 1.0400000E+003, 7.4450220E+002
 1.0500000E+003, 7.4450505E+002
 1.0600000E+003, 7.4450239E+002
 1.0700000E+003, 7.4450328E+002
 1.0800000E+003, 7.4450429E+002
 1.0900000E+003, 7.4450634E+002
 1.1000000E+003, 7.4450441E+002
 1.1100000E+003, 7.4450412E+002
 1.1200000E+003, 7.4450102E+002
 1.1300000E+003, 7.4450280E+002
 1.1400000E+003, 7.4450140E+002
 1.1500000E+003, 7.4450084E+002
 1.1600000E+003, 7.3596307E+002
 1.1700000E+003, 6.4516271E+002
 1.1800000E+003, 5.5780658E+002
 1.1900000E+003, 4.9485302E+002
 1.2000000E+003, 4.4676102E+002
 1.2101000E+003, 4.0850126E+002
 1.2201000E+003, 3.7716186E+002
 1.2301000E+003, 3.5096156E+002
 1.2401000E+003, 3.2851104E+002
 1.2501000E+003, 3.0898182E+002
 1.2601000E+003, 2.9178731E+002
 1.2701000E+003, 2.7649565E+002
 1.2801000E+003, 2.6277713E+002
 1.2901000E+003, 2.5038174E+002
 1.3001000E+003, 2.3914896E+002
 1.3101000E+003, 2.2890597E+002
 1.3201000E+003, 2.1954616E+002
 1.3301000E+003, 2.1095550E+002
 1.3401000E+003, 2.0301800E+002
 1.3501000E+003, 1.9565377E+002
 1.3601000E+003, 1.8882233E+002
 1.3701000E+003, 1.8246695E+002
 1.3801000E+003, 1.7653026E+002
 1.3901000E+003, 1.7096285E+002
 1.4001000E+003, 1.6572543E+002
 1.4101000E+003, 1.6078807E+002
 1.4201000E+003, 1.5613272E+002
 1.4301000E+003, 1.5173844E+002
 1.4401000E+003, 1.4758089E+002
 1.4501000E+003, 1.4363939E+002
 1.4601000E+003, 1.3989549E+002
 1.4701000E+003, 1.3633313E+002
 1.4801000E+003, 1.3293914E+002
 1.4901000E+003, 1.2970050E+002
 1.5001000E+003, 1.2660619E+002
 1.5101000E+003, 1.2364596E+002
 1.5201000E+003, 1.2081045E+002
 1.5301000E+003, 1.1809100E+002
 1.5401000E+003, 1.1548035E+002
 1.5501000E+003, 1.1297124E+002
 1.5601000E+003, 1.1055695E+002
