s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"PT-1","PT-2","PT-3","PT-4","PT-5","AST-1","AST-2","AST-3","AST-4","AST-5","Gas-1","Gas-2","Gas-3","Gas-4","Gas-5","Steel-1","Steel-2","Steel-3","Steel-4","Steel-5"
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01
 3.009E+01, 2.353E+01, 2.046E+01, 2.005E+01, 2.001E+01, 2.000E+01, 1.117E+02, 4.320E+01, 2.530E+01, 2.044E+01, 2.012E+01, 7.884E+01, 3.599E+01, 2.156E+01, 2.008E+01, 2.002E+01, 2.047E+01, 2.006E+01, 2.001E+01, 2.000E+01, 2.000E+01
 6.006E+01, 1.219E+02, 4.807E+01, 3.326E+01, 2.768E+01, 2.360E+01, 4.735E+02, 2.439E+02, 1.548E+02, 1.163E+02, 7.588E+01, 5.524E+02, 3.045E+02, 2.096E+02, 1.419E+02, 8.688E+01, 3.201E+01, 2.360E+01, 2.146E+01, 2.069E+01, 2.031E+01
 9.005E+01, 3.131E+02, 1.315E+02, 6.739E+01, 4.998E+01, 3.998E+01, 6.210E+02, 4.157E+02, 2.461E+02, 1.607E+02, 1.284E+02, 6.948E+02, 4.805E+02, 2.975E+02, 2.141E+02, 1.675E+02, 6.261E+01, 3.539E+01, 2.637E+01, 2.325E+01, 2.211E+01
 1.200E+02, 5.571E+02, 3.422E+02, 1.642E+02, 8.319E+01, 6.029E+01, 7.461E+02, 6.182E+02, 4.117E+02, 2.274E+02, 1.535E+02, 8.092E+02, 6.960E+02, 4.718E+02, 2.860E+02, 1.996E+02, 1.078E+02, 6.192E+01, 3.918E+01, 2.866E+01, 2.521E+01
 1.500E+02, 6.659E+02, 5.450E+02, 3.166E+02, 1.536E+02, 8.552E+01, 7.344E+02, 6.950E+02, 5.280E+02, 3.473E+02, 2.016E+02, 8.092E+02, 7.873E+02, 6.134E+02, 4.283E+02, 2.618E+02, 1.539E+02, 9.361E+01, 5.665E+01, 3.775E+01, 2.952E+01
 1.800E+02, 7.278E+02, 6.669E+02, 4.648E+02, 2.370E+02, 1.157E+02, 7.900E+02, 7.217E+02, 5.938E+02, 4.056E+02, 2.329E+02, 8.433E+02, 7.874E+02, 6.711E+02, 4.592E+02, 2.824E+02, 2.027E+02, 1.324E+02, 8.058E+01, 4.820E+01, 3.404E+01
 2.100E+02, 7.647E+02, 7.178E+02, 5.507E+02, 3.087E+02, 1.546E+02, 7.964E+02, 7.383E+02, 5.726E+02, 3.762E+02, 2.593E+02, 8.605E+02, 7.774E+02, 6.244E+02, 4.368E+02, 3.321E+02, 2.536E+02, 1.747E+02, 1.093E+02, 6.022E+01, 3.919E+01
 2.401E+02, 7.667E+02, 6.971E+02, 5.161E+02, 3.071E+02, 1.656E+02, 7.607E+02, 6.403E+02, 4.403E+02, 2.971E+02, 2.068E+02, 8.319E+02, 7.339E+02, 4.864E+02, 3.472E+02, 2.616E+02, 3.013E+02, 2.174E+02, 1.353E+02, 7.165E+01, 4.376E+01
