s,C
Time,"temp"
 0.0000000E+000, 2.0000000E+001
 1.0100000E+001, 4.9387530E+001
 2.0000000E+001, 1.0965018E+002
 3.0000000E+001, 1.6234281E+002
 4.0000000E+001, 2.0891802E+002
 5.0000000E+001, 2.4963784E+002
 6.0000000E+001, 2.8487806E+002
 7.0000000E+001, 3.1491124E+002
 8.0100000E+001, 3.4020838E+002
 9.0100000E+001, 3.6132996E+002
 1.0010000E+002, 3.7881239E+002
 1.1010000E+002, 3.9321278E+002
 1.2010000E+002, 4.0506144E+002
 1.3010000E+002, 4.1470309E+002
 1.4010000E+002, 4.2276169E+002
 1.5010000E+002, 4.2949541E+002
 1.6010000E+002, 4.3511645E+002
 1.7010000E+002, 4.3980980E+002
 1.8010000E+002, 4.4375709E+002
 1.9010000E+002, 4.4700025E+002
 2.0010000E+002, 4.4968492E+002
 2.1010000E+002, 4.5199675E+002
 2.2010000E+002, 4.5388043E+002
 2.3010000E+002, 4.5543449E+002
 2.4010000E+002, 4.5675563E+002
 2.5010000E+002, 4.5804283E+002
 2.6010000E+002, 4.5919189E+002
 2.7010000E+002, 4.6014305E+002
 2.8010000E+002, 4.6088275E+002
 2.9010000E+002, 4.6143078E+002
 3.0010000E+002, 4.6195551E+002
 3.1000000E+002, 4.6245352E+002
 3.2000000E+002, 4.6293225E+002
 3.3000000E+002, 4.6339211E+002
 3.4000000E+002, 4.6382581E+002
 3.5000000E+002, 4.6423939E+002
 3.6000000E+002, 4.6463732E+002
 3.7000000E+002, 4.6501481E+002
 3.8000000E+002, 4.6537142E+002
 3.9000000E+002, 4.6571010E+002
 4.0000000E+002, 4.6603614E+002
 4.1000000E+002, 4.6634849E+002
 4.2000000E+002, 4.6664358E+002
 4.3000000E+002, 4.6692386E+002
 4.4000000E+002, 4.6719407E+002
 4.5000000E+002, 4.6745022E+002
 4.6000000E+002, 4.6769652E+002
 4.7000000E+002, 4.6793096E+002
 4.8000000E+002, 4.6815080E+002
 4.9000000E+002, 4.6835366E+002
 5.0000000E+002, 4.6854026E+002
 5.1000000E+002, 4.6871167E+002
 5.2000000E+002, 4.6887142E+002
 5.3000000E+002, 4.6901869E+002
 5.4000000E+002, 4.6915494E+002
 5.5000000E+002, 4.6928230E+002
 5.6000000E+002, 4.6939988E+002
 5.7000000E+002, 4.6950734E+002
 5.8000000E+002, 4.6960815E+002
 5.9000000E+002, 4.6970169E+002
 6.0000000E+002, 4.6979280E+002
 6.1000000E+002, 4.6988130E+002
 6.2000000E+002, 4.6996465E+002
 6.3000000E+002, 4.7004086E+002
 6.4000000E+002, 4.7011451E+002
 6.5000000E+002, 4.7018745E+002
 6.6000000E+002, 4.7025903E+002
 6.7000000E+002, 4.7032540E+002
 6.8000000E+002, 4.7039077E+002
 6.9000000E+002, 4.7045319E+002
 7.0000000E+002, 4.7051258E+002
 7.1000000E+002, 4.7056964E+002
 7.2000000E+002, 4.7062272E+002
 7.3000000E+002, 4.7067685E+002
 7.4000000E+002, 4.7073016E+002
 7.5000000E+002, 4.7077917E+002
 7.6000000E+002, 4.7082591E+002
 7.7000000E+002, 4.7087086E+002
 7.8000000E+002, 4.7091290E+002
 7.9000000E+002, 4.7094982E+002
 8.0000000E+002, 4.7098549E+002
 8.1000000E+002, 4.7101975E+002
 8.2000000E+002, 4.7105303E+002
 8.3000000E+002, 4.7108500E+002
 8.4000000E+002, 4.7111414E+002
 8.5000000E+002, 4.7114544E+002
 8.6000000E+002, 4.7117660E+002
 8.7000000E+002, 4.7120672E+002
 8.8000000E+002, 4.7123182E+002
 8.9000000E+002, 4.7125578E+002
 9.0000000E+002, 4.7128212E+002
 9.1000000E+002, 4.7130864E+002
 9.2000000E+002, 4.7133454E+002
 9.3000000E+002, 4.7135926E+002
 9.4000000E+002, 4.7138163E+002
 9.5000000E+002, 4.7140174E+002
 9.6000000E+002, 4.7142087E+002
 9.7000000E+002, 4.7144129E+002
 9.8000000E+002, 4.7146088E+002
 9.9000000E+002, 4.7147766E+002
 1.0000000E+003, 4.7149451E+002
 1.0100000E+003, 4.7150984E+002
 1.0200000E+003, 4.7152466E+002
 1.0300000E+003, 4.7153825E+002
 1.0400000E+003, 4.7155096E+002
 1.0500000E+003, 4.7156114E+002
 1.0600000E+003, 4.7157142E+002
 1.0700000E+003, 4.7158052E+002
 1.0800000E+003, 4.7159015E+002
 1.0900000E+003, 4.7160097E+002
 1.1000000E+003, 4.7161129E+002
 1.1100000E+003, 4.7162220E+002
 1.1200000E+003, 4.7163423E+002
 1.1300000E+003, 4.7164604E+002
 1.1400000E+003, 4.7165561E+002
 1.1500000E+003, 4.7166227E+002
 1.1600000E+003, 4.7166882E+002
 1.1700000E+003, 4.7167653E+002
 1.1800000E+003, 4.7168443E+002
 1.1900000E+003, 4.7169088E+002
 1.2000000E+003, 4.7169641E+002
 1.2101000E+003, 4.7170349E+002
 1.2201000E+003, 4.7171017E+002
 1.2301000E+003, 4.7171647E+002
 1.2401000E+003, 4.7172186E+002
 1.2501000E+003, 4.7172502E+002
 1.2601000E+003, 4.7172839E+002
 1.2701000E+003, 4.7173122E+002
 1.2801000E+003, 4.7173434E+002
 1.2901000E+003, 4.7173664E+002
 1.3001000E+003, 4.7173928E+002
 1.3101000E+003, 4.5612361E+002
 1.3201000E+003, 4.1249508E+002
 1.3301000E+003, 3.7668367E+002
 1.3401000E+003, 3.4745703E+002
 1.3501000E+003, 3.2290885E+002
 1.3601000E+003, 3.0186531E+002
 1.3701000E+003, 2.8354462E+002
 1.3801000E+003, 2.6739919E+002
 1.3901000E+003, 2.5303280E+002
 1.4001000E+003, 2.4017324E+002
 1.4101000E+003, 2.2860477E+002
 1.4201000E+003, 2.1813760E+002
 1.4301000E+003, 2.0861427E+002
 1.4401000E+003, 1.9992019E+002
 1.4501000E+003, 1.9194046E+002
 1.4601000E+003, 1.8458228E+002
 1.4701000E+003, 1.7777800E+002
 1.4801000E+003, 1.7146922E+002
 1.4901000E+003, 1.6560122E+002
 1.5001000E+003, 1.6012753E+002
 1.5101000E+003, 1.5500762E+002
 1.5201000E+003, 1.5020621E+002
 1.5301000E+003, 1.4569351E+002
 1.5401000E+003, 1.4144269E+002
 1.5501000E+003, 1.3743009E+002
 1.5601000E+003, 1.3363522E+002
