s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
Time,"PT-RW-Ba-U","PT-RW-Ba-L","PT-RW-Fr-U","PT-RW-Fr-L","PT-RW-Ce","TC-RW-Ba-U","TC-RW-Ba-L","TC-RW-Fr-U","TC-RW-Fr-L","TC-RW-Ce","PT-LW-Ba-U","PT-LW-Fr-U","PT-C-Ba-L","PT-C-Ba-R","PT-C-Fr-L","PT-C-Fr-R","PT-C-Ce","PT-F-Ba-R","PT-F-Fr-R","PT-BW-U","PT-BW-M","PT-BW-L","PT-FW-Le-U","PT-FW-Le-L","TC-Door-1490","TC-Door-1350","TC-Door-1200","TC-Door-1050","TC-Door-0900","TC-Door-0600","TC-Door-0300","TC-Door-0010","TC-Front-0010","TC-Front-0300","TC-Front-0600","TC-Front-0900","TC-Front-1200","TC-Front-1500","TC-Front-1790","TC-Back-0010","TC-Back-0300","TC-Back-0600","TC-Back-0900","TC-Back-1200","TC-Back-1500","TC-Back-1790","O2-Door-100","O2-Door-200","O2-Door-800","CO2-Door-100","CO2-Door-200","CO2-Door-800","CO-Door-100","CO-Door-200","CO-Door-800"
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.076E-01, 2.076E-01, 2.076E-01, 3.864E-04, 3.864E-04, 3.864E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+01, 2.014E+01, 2.012E+01, 2.011E+01, 2.012E+01, 2.033E+01, 2.004E+01, 2.004E+01, 2.003E+01, 2.003E+01, 2.011E+01, 2.014E+01, 2.011E+01, 2.019E+01, 2.014E+01, 2.014E+01, 2.014E+01, 2.032E+01, 2.008E+01, 2.008E+01, 2.010E+01, 2.011E+01, 2.008E+01, 2.004E+01, 2.003E+01, 2.007E+01, 2.008E+01, 2.010E+01, 2.010E+01, 2.010E+01, 2.011E+01, 2.007E+01, 2.004E+01, 2.018E+01, 2.037E+01, 2.071E+01, 2.066E+01, 2.042E+01, 2.026E+01, 2.017E+01, 2.019E+01, 2.041E+01, 2.076E+01, 2.067E+01, 2.047E+01, 2.030E+01, 2.019E+01, 2.076E-01, 2.076E-01, 2.076E-01, 3.864E-04, 3.864E-04, 3.864E-04, 0.000E+00, 0.000E+00, 0.000E+00
 3.004E+01, 2.532E+01, 2.420E+01, 2.589E+01, 2.441E+01, 3.260E+01, 2.179E+01, 2.144E+01, 2.152E+01, 2.114E+01, 2.383E+01, 2.515E+01, 2.555E+01, 2.606E+01, 2.585E+01, 2.833E+01, 2.676E+01, 6.756E+01, 2.348E+01, 2.378E+01, 2.377E+01, 2.378E+01, 2.323E+01, 2.135E+01, 2.104E+01, 2.316E+01, 2.946E+01, 2.355E+01, 2.261E+01, 2.248E+01, 2.220E+01, 2.172E+01, 2.115E+01, 2.438E+01, 2.775E+01, 3.260E+01, 3.533E+01, 3.469E+01, 3.149E+01, 1.716E+02, 2.414E+01, 2.750E+01, 3.138E+01, 3.288E+01, 3.151E+01, 2.877E+01, 1.026E+02, 2.058E-01, 2.065E-01, 2.076E-01, 1.325E-03, 9.846E-04, 3.864E-04, 0.000E+00, 0.000E+00, 0.000E+00
 4.503E+01, 4.629E+01, 3.329E+01, 5.139E+01, 3.404E+01, 6.042E+01, 2.915E+01, 2.466E+01, 2.868E+01, 2.395E+01, 3.271E+01, 4.738E+01, 4.900E+01, 5.538E+01, 6.002E+01, 6.829E+01, 5.980E+01, 3.000E+02, 3.302E+01, 3.415E+01, 4.026E+01, 3.609E+01, 3.155E+01, 2.789E+01, 2.401E+01, 9.224E+01, 1.167E+02, 9.400E+01, 5.731E+01, 5.052E+01, 2.621E+01, 2.479E+01, 2.361E+01, 2.971E+01, 3.548E+01, 4.428E+01, 5.240E+01, 7.288E+01, 9.636E+01, 5.008E+02, 2.983E+01, 3.519E+01, 4.156E+01, 4.764E+01, 6.361E+01, 7.502E+01, 4.336E+02, 1.886E-01, 1.853E-01, 2.062E-01, 1.079E-02, 1.259E-02, 1.137E-03, 0.000E+00, 0.000E+00, 0.000E+00
 6.001E+01, 8.929E+01, 4.480E+01, 9.512E+01, 4.626E+01, 9.316E+01, 4.449E+01, 2.904E+01, 4.273E+01, 2.791E+01, 4.461E+01, 8.994E+01, 8.977E+01, 1.047E+02, 1.217E+02, 1.467E+02, 1.227E+02, 5.017E+02, 4.701E+01, 4.919E+01, 7.167E+01, 5.425E+01, 4.283E+01, 4.183E+01, 2.839E+01, 3.102E+02, 2.717E+02, 2.144E+02, 1.238E+02, 7.885E+01, 3.189E+01, 2.898E+01, 2.722E+01, 3.451E+01, 4.163E+01, 5.323E+01, 1.219E+02, 2.030E+02, 3.803E+02, 6.779E+02, 3.686E+01, 4.434E+01, 5.199E+01, 9.821E+01, 1.970E+02, 2.570E+02, 6.303E+02, 1.564E-01, 1.625E-01, 2.075E-01, 2.845E-02, 2.508E-02, 4.412E-04, 0.000E+00, 0.000E+00, 0.000E+00
 7.501E+01, 1.382E+02, 5.571E+01, 1.466E+02, 5.793E+01, 1.218E+02, 6.384E+01, 3.355E+01, 6.169E+01, 3.219E+01, 5.703E+01, 1.426E+02, 1.450E+02, 1.766E+02, 1.800E+02, 2.293E+02, 2.045E+02, 6.158E+02, 6.116E+01, 6.437E+01, 1.143E+02, 7.696E+01, 5.342E+01, 6.384E+01, 3.304E+01, 4.060E+02, 3.649E+02, 3.017E+02, 1.886E+02, 7.377E+01, 3.704E+01, 3.210E+01, 3.084E+01, 3.958E+01, 4.710E+01, 6.045E+01, 1.793E+02, 2.838E+02, 3.924E+02, 7.080E+02, 3.965E+01, 4.738E+01, 5.895E+01, 1.901E+02, 3.374E+02, 3.858E+02, 6.747E+02, 1.444E-01, 1.424E-01, 2.075E-01, 3.499E-02, 3.609E-02, 4.281E-04, 0.000E+00, 0.000E+00, 0.000E+00
 9.003E+01, 1.905E+02, 6.720E+01, 2.045E+02, 6.869E+01, 1.481E+02, 8.645E+01, 3.851E+01, 8.548E+01, 3.651E+01, 7.073E+01, 2.021E+02, 1.990E+02, 2.621E+02, 2.471E+02, 3.014E+02, 2.779E+02, 6.964E+02, 7.664E+01, 7.928E+01, 1.583E+02, 1.010E+02, 6.425E+01, 8.573E+01, 3.783E+01, 4.235E+02, 3.904E+02, 3.528E+02, 3.088E+02, 1.583E+02, 3.675E+01, 3.197E+01, 3.084E+01, 4.105E+01, 4.688E+01, 6.386E+01, 2.218E+02, 3.328E+02, 4.384E+02, 7.402E+02, 4.525E+01, 5.447E+01, 7.391E+01, 2.028E+02, 3.557E+02, 4.203E+02, 7.407E+02, 1.183E-01, 1.179E-01, 2.072E-01, 4.931E-02, 4.956E-02, 6.068E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.050E+02, 2.473E+02, 7.941E+01, 2.607E+02, 8.063E+01, 1.797E+02, 1.136E+02, 4.409E+01, 1.117E+02, 4.143E+01, 8.519E+01, 2.485E+02, 2.498E+02, 3.300E+02, 3.159E+02, 3.657E+02, 3.539E+02, 7.305E+02, 9.380E+01, 9.598E+01, 2.030E+02, 1.226E+02, 7.627E+01, 1.101E+02, 4.313E+01, 4.840E+02, 4.551E+02, 3.880E+02, 3.191E+02, 1.609E+02, 3.750E+01, 3.354E+01, 3.194E+01, 3.846E+01, 4.300E+01, 7.138E+01, 2.266E+02, 3.984E+02, 5.054E+02, 7.501E+02, 5.136E+01, 6.085E+01, 7.680E+01, 2.108E+02, 3.649E+02, 4.455E+02, 7.418E+02, 9.726E-02, 9.185E-02, 2.069E-01, 6.085E-02, 6.377E-02, 7.587E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+02, 2.941E+02, 9.143E+01, 3.085E+02, 9.418E+01, 2.088E+02, 1.403E+02, 4.992E+01, 1.378E+02, 4.717E+01, 9.990E+01, 2.923E+02, 3.058E+02, 3.736E+02, 3.543E+02, 4.490E+02, 4.124E+02, 7.513E+02, 1.099E+02, 1.139E+02, 2.417E+02, 1.423E+02, 8.795E+01, 1.383E+02, 4.925E+01, 5.232E+02, 4.577E+02, 4.129E+02, 3.534E+02, 1.449E+02, 4.180E+01, 3.628E+01, 3.425E+01, 3.965E+01, 4.470E+01, 7.915E+01, 2.500E+02, 4.091E+02, 5.918E+02, 8.825E+02, 5.481E+01, 6.374E+01, 8.131E+01, 2.254E+02, 3.877E+02, 4.570E+02, 6.986E+02, 9.704E-02, 1.072E-01, 2.070E-01, 6.095E-02, 5.540E-02, 6.901E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.351E+02, 3.243E+02, 1.035E+02, 3.462E+02, 1.073E+02, 2.355E+02, 1.633E+02, 5.607E+01, 1.626E+02, 5.317E+01, 1.146E+02, 3.235E+02, 3.444E+02, 4.059E+02, 3.852E+02, 4.919E+02, 4.510E+02, 7.783E+02, 1.252E+02, 1.308E+02, 2.751E+02, 1.663E+02, 9.937E+01, 1.669E+02, 5.563E+01, 5.296E+02, 4.657E+02, 4.123E+02, 3.630E+02, 1.473E+02, 4.320E+01, 3.725E+01, 3.483E+01, 4.193E+01, 4.583E+01, 8.028E+01, 2.522E+02, 4.050E+02, 4.883E+02, 7.819E+02, 5.603E+01, 6.609E+01, 8.859E+01, 2.751E+02, 4.233E+02, 4.557E+02, 6.994E+02, 9.522E-02, 9.993E-02, 2.075E-01, 6.195E-02, 5.938E-02, 4.143E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+02, 3.479E+02, 1.146E+02, 3.656E+02, 1.184E+02, 2.568E+02, 1.839E+02, 6.214E+01, 1.821E+02, 5.883E+01, 1.289E+02, 3.512E+02, 3.683E+02, 4.255E+02, 4.095E+02, 5.055E+02, 4.611E+02, 7.740E+02, 1.387E+02, 1.442E+02, 3.005E+02, 1.870E+02, 1.093E+02, 1.911E+02, 6.185E+01, 5.091E+02, 4.562E+02, 4.413E+02, 4.130E+02, 1.939E+02, 4.302E+01, 3.573E+01, 3.411E+01, 4.367E+01, 4.801E+01, 7.893E+01, 2.863E+02, 3.969E+02, 4.845E+02, 7.796E+02, 5.767E+01, 6.532E+01, 8.714E+01, 3.031E+02, 4.256E+02, 4.454E+02, 6.601E+02, 8.887E-02, 9.906E-02, 2.075E-01, 6.537E-02, 5.986E-02, 3.968E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.650E+02, 3.677E+02, 1.237E+02, 3.839E+02, 1.282E+02, 2.810E+02, 2.036E+02, 6.778E+01, 2.009E+02, 6.426E+01, 1.447E+02, 3.705E+02, 3.860E+02, 4.345E+02, 4.271E+02, 5.065E+02, 4.750E+02, 7.736E+02, 1.506E+02, 1.566E+02, 3.194E+02, 2.044E+02, 1.183E+02, 2.129E+02, 6.753E+01, 5.368E+02, 4.561E+02, 4.421E+02, 3.918E+02, 2.345E+02, 4.300E+01, 3.580E+01, 3.470E+01, 4.380E+01, 4.913E+01, 9.977E+01, 2.726E+02, 4.165E+02, 5.216E+02, 7.984E+02, 5.962E+01, 6.422E+01, 8.329E+01, 2.654E+02, 4.286E+02, 4.503E+02, 6.999E+02, 9.275E-02, 9.840E-02, 2.074E-01, 6.331E-02, 6.023E-02, 4.717E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.800E+02, 3.834E+02, 1.328E+02, 4.046E+02, 1.382E+02, 2.971E+02, 2.216E+02, 7.352E+01, 2.207E+02, 6.989E+01, 1.575E+02, 3.868E+02, 4.123E+02, 4.506E+02, 4.381E+02, 5.307E+02, 4.925E+02, 7.830E+02, 1.623E+02, 1.691E+02, 3.374E+02, 2.206E+02, 1.270E+02, 2.336E+02, 7.351E+01, 5.415E+02, 4.542E+02, 4.306E+02, 3.570E+02, 1.853E+02, 4.224E+01, 3.651E+01, 3.592E+01, 4.542E+01, 4.898E+01, 9.069E+01, 2.747E+02, 4.028E+02, 5.132E+02, 7.974E+02, 6.247E+01, 6.558E+01, 8.237E+01, 2.936E+02, 4.194E+02, 4.448E+02, 6.743E+02, 9.499E-02, 1.028E-01, 2.075E-01, 6.206E-02, 5.781E-02, 3.957E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.950E+02, 3.936E+02, 1.411E+02, 4.212E+02, 1.490E+02, 3.138E+02, 2.371E+02, 7.916E+01, 2.387E+02, 7.589E+01, 1.715E+02, 3.997E+02, 4.374E+02, 4.582E+02, 4.438E+02, 5.561E+02, 5.207E+02, 7.649E+02, 1.730E+02, 1.822E+02, 3.535E+02, 2.348E+02, 1.352E+02, 2.550E+02, 7.971E+01, 5.512E+02, 4.908E+02, 4.510E+02, 4.111E+02, 1.982E+02, 4.533E+01, 3.845E+01, 3.781E+01, 4.843E+01, 5.092E+01, 1.017E+02, 2.957E+02, 4.159E+02, 5.537E+02, 8.770E+02, 6.641E+01, 6.739E+01, 8.097E+01, 2.486E+02, 4.226E+02, 4.376E+02, 6.084E+02, 8.363E-02, 8.878E-02, 2.075E-01, 6.826E-02, 6.548E-02, 3.954E-04, 0.000E+00, 0.000E+00, 0.000E+00
 2.100E+02, 4.012E+02, 1.484E+02, 4.390E+02, 1.588E+02, 3.248E+02, 2.509E+02, 8.451E+01, 2.578E+02, 8.186E+01, 1.833E+02, 4.071E+02, 4.560E+02, 4.594E+02, 4.458E+02, 5.740E+02, 5.373E+02, 7.675E+02, 1.821E+02, 1.941E+02, 3.635E+02, 2.456E+02, 1.421E+02, 2.754E+02, 8.590E+01, 5.309E+02, 4.783E+02, 4.632E+02, 4.332E+02, 1.949E+02, 4.663E+01, 3.897E+01, 3.860E+01, 4.962E+01, 5.370E+01, 9.954E+01, 2.714E+02, 4.259E+02, 5.506E+02, 8.644E+02, 6.796E+01, 6.813E+01, 7.817E+01, 3.007E+02, 4.140E+02, 4.432E+02, 6.518E+02, 8.675E-02, 8.740E-02, 2.074E-01, 6.654E-02, 6.620E-02, 4.596E-04, 0.000E+00, 0.000E+00, 0.000E+00
 2.250E+02, 4.114E+02, 1.561E+02, 4.531E+02, 1.688E+02, 3.404E+02, 2.646E+02, 9.004E+01, 2.749E+02, 8.794E+01, 1.966E+02, 4.127E+02, 4.640E+02, 4.546E+02, 4.561E+02, 5.674E+02, 5.507E+02, 7.583E+02, 1.919E+02, 2.060E+02, 3.703E+02, 2.591E+02, 1.501E+02, 2.924E+02, 9.208E+01, 5.457E+02, 4.836E+02, 4.727E+02, 3.909E+02, 1.677E+02, 4.728E+01, 3.992E+01, 3.885E+01, 5.047E+01, 6.921E+01, 1.091E+02, 2.908E+02, 4.482E+02, 5.193E+02, 8.272E+02, 7.098E+01, 7.048E+01, 8.181E+01, 3.030E+02, 4.239E+02, 4.590E+02, 6.200E+02, 8.338E-02, 8.844E-02, 2.074E-01, 6.838E-02, 6.566E-02, 4.747E-04, 0.000E+00, 0.000E+00, 0.000E+00
 2.401E+02, 4.188E+02, 1.632E+02, 4.692E+02, 1.780E+02, 3.517E+02, 2.767E+02, 9.543E+01, 2.928E+02, 9.397E+01, 2.075E+02, 4.182E+02, 4.688E+02, 4.525E+02, 4.513E+02, 5.697E+02, 5.708E+02, 7.471E+02, 2.002E+02, 2.167E+02, 3.749E+02, 2.698E+02, 1.572E+02, 3.069E+02, 9.811E+01, 5.671E+02, 4.885E+02, 4.877E+02, 4.075E+02, 1.939E+02, 4.798E+01, 4.043E+01, 3.938E+01, 5.053E+01, 6.805E+01, 1.077E+02, 2.923E+02, 4.286E+02, 5.818E+02, 8.508E+02, 6.915E+01, 7.116E+01, 8.182E+01, 2.801E+02, 4.346E+02, 4.426E+02, 5.836E+02, 7.878E-02, 7.898E-02, 2.069E-01, 7.080E-02, 7.074E-02, 7.606E-04, 0.000E+00, 0.000E+00, 0.000E+00
 2.550E+02, 4.216E+02, 1.699E+02, 4.808E+02, 1.874E+02, 3.595E+02, 2.862E+02, 1.007E+02, 3.084E+02, 1.002E+02, 2.173E+02, 4.259E+02, 4.816E+02, 4.559E+02, 4.476E+02, 5.976E+02, 5.880E+02, 7.491E+02, 2.076E+02, 2.275E+02, 3.811E+02, 2.779E+02, 1.638E+02, 3.247E+02, 1.046E+02, 5.788E+02, 4.956E+02, 4.723E+02, 4.253E+02, 2.391E+02, 5.192E+01, 4.287E+01, 4.197E+01, 5.409E+01, 7.270E+01, 1.155E+02, 3.248E+02, 4.466E+02, 5.756E+02, 8.331E+02, 7.768E+01, 7.230E+01, 8.206E+01, 2.740E+02, 4.314E+02, 4.393E+02, 6.546E+02, 8.034E-02, 9.555E-02, 2.072E-01, 6.998E-02, 6.175E-02, 5.704E-04, 0.000E+00, 0.000E+00, 0.000E+00
 2.700E+02, 4.262E+02, 1.770E+02, 4.918E+02, 1.971E+02, 3.707E+02, 2.953E+02, 1.062E+02, 3.233E+02, 1.067E+02, 2.282E+02, 4.360E+02, 4.942E+02, 4.643E+02, 4.519E+02, 5.916E+02, 5.837E+02, 7.358E+02, 2.160E+02, 2.381E+02, 3.922E+02, 2.888E+02, 1.706E+02, 3.394E+02, 1.113E+02, 5.781E+02, 5.069E+02, 4.527E+02, 4.345E+02, 1.663E+02, 5.229E+01, 4.343E+01, 4.240E+01, 5.451E+01, 7.305E+01, 1.194E+02, 3.587E+02, 4.621E+02, 5.846E+02, 8.161E+02, 8.080E+01, 7.704E+01, 8.591E+01, 3.426E+02, 4.333E+02, 4.437E+02, 6.012E+02, 8.295E-02, 9.021E-02, 2.075E-01, 6.865E-02, 6.469E-02, 4.410E-04, 0.000E+00, 0.000E+00, 0.000E+00
 2.850E+02, 4.312E+02, 1.842E+02, 4.923E+02, 2.056E+02, 3.795E+02, 3.036E+02, 1.117E+02, 3.327E+02, 1.129E+02, 2.381E+02, 4.436E+02, 5.144E+02, 4.692E+02, 4.568E+02, 6.075E+02, 5.644E+02, 7.198E+02, 2.238E+02, 2.464E+02, 4.019E+02, 3.001E+02, 1.769E+02, 3.542E+02, 1.180E+02, 6.148E+02, 5.285E+02, 4.420E+02, 4.130E+02, 2.528E+02, 5.179E+01, 4.239E+01, 4.228E+01, 5.547E+01, 7.908E+01, 1.186E+02, 3.488E+02, 4.525E+02, 5.627E+02, 8.119E+02, 8.310E+01, 8.006E+01, 8.845E+01, 3.211E+02, 4.413E+02, 4.585E+02, 6.475E+02, 8.691E-02, 1.040E-01, 2.070E-01, 6.651E-02, 5.715E-02, 6.839E-04, 0.000E+00, 0.000E+00, 0.000E+00
