s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol
Time,PT-RW-Ba-U,PT-RW-Ba-L,PT-RW-Fr-U,PT-RW-Fr-L,PT-RW-Ce,TC-RW-Ba-U,TC-RW-Ba-L,TC-RW-Fr-U,TC-RW-Fr-L,TC-RW-Ce,TC-RW-25-U,TC-RW-50-U,TC-RW-75-U,TC-RW-25-L,TC-RW-50-L,TC-RW-75-L,PT-LW-Ba-U,PT-LW-Ba-L,PT-LW-Fr-U,PT-LW-Fr-L,PT-LW-Ce,PT-C-Ba-L,PT-C-Ba-R,PT-C-Fr-L,PT-C-Fr-R,PT-C-Ce,PT-F-Ba-L,PT-F-Ba-R,PT-F-Fr-L,PT-F-Fr-R,PT-BW-U,PT-BW-M,PT-BW-L,PT-FW-Le-U,PT-FW-Ri-U,PT-FW-Le-L,PT-FW-Ri-L,TC-Door-1490,TC-Door-1350,TC-Door-1200,TC-Door-1050,TC-Door-0900,TC-Door-0600,TC-Door-0300,TC-Door-0010,O2-Door-100,O2-Door-200,O2-Door-400,O2-Door-800
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.076E-01, 2.076E-01, 2.076E-01, 2.076E-01
 1.504E+01, 2.071E+01, 2.076E+01, 2.071E+01, 2.073E+01, 2.200E+01, 2.697E+01, 2.756E+01, 2.557E+01, 2.556E+01, 3.695E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.071E+01, 2.077E+01, 2.066E+01, 2.075E+01, 2.231E+01, 2.739E+01, 2.690E+01, 2.680E+01, 2.639E+01, 4.006E+01, 2.059E+01, 2.054E+01, 2.059E+01, 2.054E+01, 2.064E+01, 2.081E+01, 2.053E+01, 2.585E+01, 2.504E+01, 2.570E+01, 2.509E+01, 2.023E+01, 2.024E+01, 2.027E+01, 2.032E+01, 2.033E+01, 2.031E+01, 2.026E+01, 2.017E+01, 2.076E-01, 2.076E-01, 2.076E-01, 2.076E-01
 3.003E+01, 4.083E+01, 3.290E+01, 4.539E+01, 3.388E+01, 5.468E+01, 1.254E+02, 7.674E+01, 1.337E+02, 7.320E+01, 1.539E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 4.167E+01, 3.281E+01, 4.751E+01, 3.397E+01, 5.688E+01, 1.648E+02, 1.237E+02, 2.164E+02, 1.882E+02, 5.266E+02, 3.356E+01, 3.254E+01, 3.557E+01, 3.416E+01, 3.888E+01, 3.626E+01, 3.119E+01, 1.432E+02, 1.251E+02, 7.767E+01, 7.165E+01, 3.938E+01, 5.014E+01, 3.627E+01, 3.173E+01, 2.833E+01, 2.673E+01, 2.550E+01, 2.482E+01, 1.967E-01, 1.935E-01, 2.007E-01, 2.034E-01
 4.502E+01, 1.206E+02, 5.788E+01, 1.792E+02, 6.618E+01, 1.168E+02, 3.577E+02, 1.353E+02, 4.335E+02, 1.484E+02, 2.865E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 1.222E+02, 5.804E+01, 1.563E+02, 6.604E+01, 1.194E+02, 3.625E+02, 3.708E+02, 4.307E+02, 5.376E+02, 6.075E+02, 6.768E+01, 6.702E+01, 7.855E+01, 7.863E+01, 1.058E+02, 7.489E+01, 5.792E+01, 3.720E+02, 4.289E+02, 1.515E+02, 1.527E+02, 2.602E+02, 3.694E+02, 2.434E+02, 1.763E+02, 1.383E+02, 5.384E+01, 4.051E+01, 4.301E+01, 1.234E-01, 1.277E-01, 1.326E-01, 1.968E-01
 6.002E+01, 2.736E+02, 9.409E+01, 2.963E+02, 1.048E+02, 1.925E+02, 5.389E+02, 2.015E+02, 4.942E+02, 1.993E+02, 3.655E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.548E+02, 9.412E+01, 2.689E+02, 1.051E+02, 1.995E+02, 5.087E+02, 5.327E+02, 5.354E+02, 5.469E+02, 6.203E+02, 1.159E+02, 1.168E+02, 1.298E+02, 1.308E+02, 2.334E+02, 1.541E+02, 9.367E+01, 4.865E+02, 5.232E+02, 2.089E+02, 2.084E+02, 4.960E+02, 5.877E+02, 4.428E+02, 4.067E+02, 3.054E+02, 1.038E+02, 5.948E+01, 6.790E+01, 1.030E-01, 1.062E-01, 1.158E-01, 1.947E-01
 7.503E+01, 4.006E+02, 1.337E+02, 4.097E+02, 1.410E+02, 2.596E+02, 5.667E+02, 2.408E+02, 5.761E+02, 2.352E+02, 3.933E+02, 2.001E+01, 2.000E+01, 2.000E+01, 2.001E+01, 2.000E+01, 2.000E+01, 3.675E+02, 1.336E+02, 3.905E+02, 1.421E+02, 2.636E+02, 5.497E+02, 5.727E+02, 6.020E+02, 6.002E+02, 6.348E+02, 1.676E+02, 1.680E+02, 1.794E+02, 1.791E+02, 3.619E+02, 2.498E+02, 1.301E+02, 5.825E+02, 5.954E+02, 2.439E+02, 2.397E+02, 7.921E+02, 7.907E+02, 6.416E+02, 5.776E+02, 4.095E+02, 1.110E+02, 7.608E+01, 8.146E+01, 2.002E-02, 2.110E-02, 5.838E-02, 2.020E-01
 9.000E+01, 5.043E+02, 1.740E+02, 5.225E+02, 1.824E+02, 3.366E+02, 6.531E+02, 2.946E+02, 6.607E+02, 2.904E+02, 4.949E+02, 2.004E+01, 2.000E+01, 2.000E+01, 2.002E+01, 2.000E+01, 2.000E+01, 4.720E+02, 1.738E+02, 5.095E+02, 1.829E+02, 3.314E+02, 6.235E+02, 6.451E+02, 6.653E+02, 6.747E+02, 7.017E+02, 2.200E+02, 2.201E+02, 2.317E+02, 2.321E+02, 4.677E+02, 3.122E+02, 1.690E+02, 6.478E+02, 6.699E+02, 2.940E+02, 2.927E+02, 8.835E+02, 8.730E+02, 7.601E+02, 7.007E+02, 5.196E+02, 1.399E+02, 9.362E+01, 9.952E+01, 3.357E-03, 1.803E-03, 6.786E-02, 1.850E-01
 1.050E+02, 6.013E+02, 2.257E+02, 6.231E+02, 2.344E+02, 4.201E+02, 6.804E+02, 3.523E+02, 7.200E+02, 3.514E+02, 5.400E+02, 2.011E+01, 2.000E+01, 2.000E+01, 2.006E+01, 2.000E+01, 2.000E+01, 5.829E+02, 2.246E+02, 6.161E+02, 2.345E+02, 4.094E+02, 6.859E+02, 6.710E+02, 7.234E+02, 7.384E+02, 7.310E+02, 2.849E+02, 2.847E+02, 2.954E+02, 2.959E+02, 5.848E+02, 3.910E+02, 2.176E+02, 7.223E+02, 7.262E+02, 3.563E+02, 3.552E+02, 9.180E+02, 9.338E+02, 8.112E+02, 6.862E+02, 4.655E+02, 1.595E+02, 1.106E+02, 1.161E+02, 1.854E-03, 7.698E-03, 2.155E-02, 2.055E-01
 1.200E+02, 6.420E+02, 2.757E+02, 7.039E+02, 2.908E+02, 4.929E+02, 6.810E+02, 3.881E+02, 7.536E+02, 4.019E+02, 5.859E+02, 2.023E+01, 2.000E+01, 2.000E+01, 2.012E+01, 2.000E+01, 2.000E+01, 6.342E+02, 2.745E+02, 6.800E+02, 2.898E+02, 4.784E+02, 6.965E+02, 6.740E+02, 7.595E+02, 7.678E+02, 7.735E+02, 3.430E+02, 3.430E+02, 3.581E+02, 3.592E+02, 6.347E+02, 4.455E+02, 2.677E+02, 7.429E+02, 7.534E+02, 4.046E+02, 4.036E+02, 9.206E+02, 9.317E+02, 7.799E+02, 7.641E+02, 5.990E+02, 1.784E+02, 1.272E+02, 1.348E+02, 3.482E-04, 1.827E-02, 9.290E-03, 2.050E-01
