s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,PT-1,PT-2,PT-3,PT-4,PT-5,AST-1,AST-2,AST-3,AST-4,AST-5,Gas-1,Gas-2,Gas-3,Gas-4,Gas-5,Steel-1,Steel-2,Steel-3,Steel-4,Steel-5
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01
 3.001E+01, 2.489E+01, 2.083E+01, 2.030E+01, 2.011E+01, 2.004E+01, 1.662E+02, 6.179E+01, 3.693E+01, 2.649E+01, 2.216E+01, 4.463E+01, 2.448E+01, 2.218E+01, 2.097E+01, 2.034E+01, 2.070E+01, 2.012E+01, 2.004E+01, 2.002E+01, 2.001E+01
 6.001E+01, 1.837E+02, 1.034E+02, 5.698E+01, 3.743E+01, 2.934E+01, 5.959E+02, 4.563E+02, 3.049E+02, 1.954E+02, 1.267E+02, 6.304E+02, 4.896E+02, 3.288E+02, 2.124E+02, 1.464E+02, 4.226E+01, 3.011E+01, 2.461E+01, 2.226E+01, 2.123E+01
 9.000E+01, 4.418E+02, 3.080E+02, 1.874E+02, 1.071E+02, 7.041E+01, 6.902E+02, 5.810E+02, 4.469E+02, 3.250E+02, 2.384E+02, 7.360E+02, 6.407E+02, 5.164E+02, 3.759E+02, 2.743E+02, 8.307E+01, 5.584E+01, 4.036E+01, 3.060E+01, 2.625E+01
 1.200E+02, 6.452E+02, 5.279E+02, 3.555E+02, 2.117E+02, 1.326E+02, 7.884E+02, 7.032E+02, 5.752E+02, 4.364E+02, 3.342E+02, 8.276E+02, 7.284E+02, 5.888E+02, 4.685E+02, 3.771E+02, 1.331E+02, 9.569E+01, 7.142E+01, 5.130E+01, 3.661E+01
 1.500E+02, 7.376E+02, 6.612E+02, 5.677E+02, 4.092E+02, 2.634E+02, 7.947E+02, 7.267E+02, 6.538E+02, 5.694E+02, 4.639E+02, 8.198E+02, 7.861E+02, 7.230E+02, 6.310E+02, 5.063E+02, 1.924E+02, 1.461E+02, 1.091E+02, 7.853E+01, 5.148E+01
 1.800E+02, 7.700E+02, 7.175E+02, 6.447E+02, 5.415E+02, 3.929E+02, 8.048E+02, 7.543E+02, 6.810E+02, 5.950E+02, 4.728E+02, 8.214E+02, 7.931E+02, 7.151E+02, 6.307E+02, 5.126E+02, 2.442E+02, 1.966E+02, 1.490E+02, 1.072E+02, 7.030E+01
 2.100E+02, 7.677E+02, 7.243E+02, 6.844E+02, 6.150E+02, 4.868E+02, 7.788E+02, 7.483E+02, 7.142E+02, 6.487E+02, 5.345E+02, 7.896E+02, 7.789E+02, 7.342E+02, 7.034E+02, 5.732E+02, 2.916E+02, 2.434E+02, 1.878E+02, 1.349E+02, 8.963E+01
 2.400E+02, 7.799E+02, 7.337E+02, 6.901E+02, 6.152E+02, 4.831E+02, 8.037E+02, 7.409E+02, 6.740E+02, 5.954E+02, 4.502E+02, 8.067E+02, 7.646E+02, 7.060E+02, 6.284E+02, 4.613E+02, 3.405E+02, 2.912E+02, 2.267E+02, 1.613E+02, 1.070E+02
