s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"PT-1","PT-2","PT-3","PT-4","PT-5","AST-1","AST-2","AST-3","AST-4","AST-5","Gas-1","Gas-2","Gas-3","Gas-4","Gas-5","Steel-1","Steel-2","Steel-3","Steel-4","Steel-5"
 5.401E+02, 6.985E+02, 5.571E+02, 3.354E+02, 1.608E+02, 8.867E+01, 7.202E+02, 5.508E+02, 2.971E+02, 1.791E+02, 1.168E+02, 8.131E+02, 5.971E+02, 3.369E+02, 2.618E+02, 1.848E+02, 4.760E+02, 3.012E+02, 1.268E+02, 5.477E+01, 3.631E+01
 5.700E+02, 7.025E+02, 5.472E+02, 3.243E+02, 1.573E+02, 8.906E+01, 7.144E+02, 5.015E+02, 2.796E+02, 1.473E+02, 1.036E+02, 8.038E+02, 5.514E+02, 3.337E+02, 2.259E+02, 1.673E+02, 4.866E+02, 3.089E+02, 1.317E+02, 5.636E+01, 3.715E+01
 6.000E+02, 7.007E+02, 5.661E+02, 3.327E+02, 1.615E+02, 9.107E+01, 6.691E+02, 5.479E+02, 3.477E+02, 2.100E+02, 1.347E+02, 7.574E+02, 6.363E+02, 4.131E+02, 2.922E+02, 2.148E+02, 4.971E+02, 3.224E+02, 1.385E+02, 5.852E+01, 3.815E+01
 6.300E+02, 6.930E+02, 5.863E+02, 3.670E+02, 1.737E+02, 9.383E+01, 7.024E+02, 5.781E+02, 3.827E+02, 2.078E+02, 1.214E+02, 7.865E+02, 6.382E+02, 4.395E+02, 2.864E+02, 1.971E+02, 5.019E+02, 3.283E+02, 1.435E+02, 6.060E+01, 3.914E+01
 6.600E+02, 6.942E+02, 5.568E+02, 3.527E+02, 1.695E+02, 9.242E+01, 7.003E+02, 5.099E+02, 2.721E+02, 1.413E+02, 9.819E+01, 7.923E+02, 5.429E+02, 3.090E+02, 2.177E+02, 1.597E+02, 5.101E+02, 3.344E+02, 1.476E+02, 6.190E+01, 3.990E+01
 6.901E+02, 6.961E+02, 5.832E+02, 3.443E+02, 1.626E+02, 9.217E+01, 6.969E+02, 5.750E+02, 3.605E+02, 1.715E+02, 1.205E+02, 7.761E+02, 6.548E+02, 4.218E+02, 2.566E+02, 1.982E+02, 5.171E+02, 3.419E+02, 1.504E+02, 6.279E+01, 4.047E+01
 7.200E+02, 7.201E+02, 5.919E+02, 3.635E+02, 1.710E+02, 9.580E+01, 7.517E+02, 5.895E+02, 3.460E+02, 1.932E+02, 1.351E+02, 8.368E+02, 6.683E+02, 3.944E+02, 2.823E+02, 2.129E+02, 5.195E+02, 3.489E+02, 1.540E+02, 6.408E+01, 4.131E+01
 7.500E+02, 7.249E+02, 5.886E+02, 3.501E+02, 1.690E+02, 9.603E+01, 7.248E+02, 5.691E+02, 3.391E+02, 1.809E+02, 1.201E+02, 8.113E+02, 6.237E+02, 3.903E+02, 2.638E+02, 1.971E+02, 5.251E+02, 3.614E+02, 1.617E+02, 6.672E+01, 4.244E+01
 7.801E+02, 6.867E+02, 5.679E+02, 3.597E+02, 1.733E+02, 9.794E+01, 6.393E+02, 4.968E+02, 3.203E+02, 1.650E+02, 1.140E+02, 6.996E+02, 5.068E+02, 3.408E+02, 2.262E+02, 1.849E+02, 5.338E+02, 3.758E+02, 1.676E+02, 6.848E+01, 4.326E+01
 8.100E+02, 6.836E+02, 5.045E+02, 3.316E+02, 1.645E+02, 9.639E+01, 6.796E+02, 3.841E+02, 2.004E+02, 1.261E+02, 9.902E+01, 7.361E+02, 4.171E+02, 2.694E+02, 1.997E+02, 1.574E+02, 5.326E+02, 3.776E+02, 1.701E+02, 6.935E+01, 4.382E+01
