m,kW/m2
Tot_Flux-z,Tot_Flux
 1.650E-02, 2.168E+01
 4.950E-02, 3.325E+01
 8.250E-02, 4.108E+01
 1.155E-01, 4.465E+01
 1.485E-01, 4.579E+01
 1.815E-01, 4.569E+01
 2.145E-01, 4.482E+01
 2.475E-01, 4.328E+01
 2.805E-01, 4.137E+01
 3.135E-01, 3.916E+01
 3.465E-01, 3.677E+01
 3.795E-01, 3.414E+01
 4.125E-01, 3.142E+01
 4.455E-01, 2.873E+01
 4.785E-01, 2.618E+01
 5.115E-01, 2.372E+01
 5.445E-01, 2.138E+01
 5.775E-01, 1.921E+01
 6.105E-01, 1.716E+01
 6.435E-01, 1.532E+01
 6.765E-01, 1.367E+01
 7.095E-01, 1.221E+01
 7.425E-01, 1.089E+01
 7.755E-01, 9.704E+00
 8.085E-01, 8.628E+00
 8.415E-01, 7.688E+00
 8.745E-01, 6.866E+00
 9.075E-01, 6.154E+00
 9.405E-01, 5.528E+00
 9.735E-01, 4.988E+00
 1.006E+00, 4.515E+00
 1.039E+00, 4.108E+00
 1.073E+00, 3.746E+00
 1.105E+00, 3.442E+00
 1.139E+00, 3.176E+00
 1.171E+00, 2.951E+00
 1.205E+00, 2.753E+00
 1.238E+00, 2.583E+00
 1.270E+00, 2.436E+00
 1.303E+00, 2.309E+00
 1.337E+00, 2.192E+00
 1.369E+00, 2.093E+00
 1.402E+00, 2.001E+00
 1.435E+00, 1.921E+00
 1.468E+00, 1.842E+00
 1.502E+00, 1.770E+00
 1.534E+00, 1.701E+00
 1.568E+00, 1.637E+00
 1.601E+00, 1.576E+00
 1.634E+00, 1.521E+00
 1.667E+00, 1.470E+00
 1.700E+00, 1.422E+00
 1.733E+00, 1.378E+00
 1.766E+00, 1.336E+00
 1.798E+00, 1.297E+00
 1.831E+00, 1.261E+00
 1.864E+00, 1.227E+00
 1.897E+00, 1.196E+00
 1.930E+00, 1.167E+00
 1.963E+00, 1.140E+00
 1.996E+00, 1.114E+00
 2.030E+00, 1.088E+00
 2.062E+00, 1.062E+00
 2.096E+00, 1.038E+00
 2.129E+00, 1.014E+00
 2.162E+00, 9.900E-01
 2.195E+00, 9.669E-01
 2.228E+00, 9.458E-01
 2.261E+00, 9.266E-01
 2.294E+00, 9.089E-01
 2.327E+00, 8.926E-01
 2.360E+00, 8.764E-01
 2.393E+00, 8.603E-01
 2.426E+00, 8.446E-01
 2.459E+00, 8.297E-01
 2.492E+00, 8.158E-01
 2.525E+00, 8.028E-01
 2.558E+00, 7.905E-01
 2.591E+00, 7.784E-01
 2.623E+00, 7.672E-01
 2.657E+00, 7.559E-01
 2.690E+00, 7.460E-01
 2.723E+00, 7.364E-01
 2.756E+00, 7.285E-01
 2.788E+00, 7.203E-01
 2.822E+00, 7.127E-01
 2.855E+00, 7.049E-01
 2.888E+00, 6.973E-01
 2.921E+00, 6.884E-01
 2.954E+00, 6.811E-01
 2.987E+00, 6.720E-01
 3.020E+00, 6.660E-01
 3.053E+00, 6.585E-01
