m,kW/m2
Tot_Flux-z,Tot_Flux
 2.150E-02, 1.717E+01
 6.497E-02, 2.542E+01
 1.084E-01, 3.347E+01
 1.519E-01, 3.947E+01
 1.954E-01, 4.432E+01
 2.388E-01, 4.838E+01
 2.823E-01, 5.143E+01
 3.258E-01, 5.335E+01
 3.692E-01, 5.420E+01
 4.127E-01, 5.411E+01
 4.562E-01, 5.318E+01
 4.996E-01, 5.170E+01
 5.431E-01, 4.982E+01
 5.866E-01, 4.754E+01
 6.300E-01, 4.510E+01
 6.735E-01, 4.255E+01
 7.170E-01, 3.998E+01
 7.604E-01, 3.730E+01
 8.039E-01, 3.462E+01
 8.474E-01, 3.212E+01
 8.908E-01, 2.964E+01
 9.343E-01, 2.724E+01
 9.778E-01, 2.498E+01
 1.021E+00, 2.285E+01
 1.065E+00, 2.081E+01
 1.108E+00, 1.890E+01
 1.152E+00, 1.721E+01
 1.195E+00, 1.565E+01
 1.239E+00, 1.426E+01
 1.282E+00, 1.297E+01
 1.326E+00, 1.178E+01
 1.369E+00, 1.073E+01
 1.412E+00, 9.755E+00
 1.456E+00, 8.857E+00
 1.499E+00, 8.022E+00
 1.543E+00, 7.308E+00
 1.586E+00, 6.686E+00
 1.630E+00, 6.150E+00
 1.673E+00, 5.680E+00
 1.717E+00, 5.268E+00
 1.760E+00, 4.903E+00
 1.804E+00, 4.583E+00
 1.847E+00, 4.302E+00
 1.891E+00, 4.043E+00
 1.934E+00, 3.819E+00
 1.978E+00, 3.617E+00
 2.021E+00, 3.442E+00
 2.064E+00, 3.124E+00
 2.108E+00, 2.980E+00
 2.151E+00, 2.849E+00
 2.195E+00, 2.720E+00
 2.238E+00, 2.605E+00
 2.282E+00, 2.497E+00
 2.325E+00, 2.404E+00
 2.369E+00, 2.317E+00
 2.412E+00, 2.244E+00
 2.456E+00, 2.169E+00
 2.499E+00, 2.105E+00
 2.543E+00, 2.039E+00
 2.586E+00, 1.974E+00
 2.630E+00, 1.914E+00
 2.673E+00, 1.859E+00
 2.716E+00, 1.804E+00
 2.760E+00, 1.757E+00
 2.803E+00, 1.712E+00
 2.847E+00, 1.669E+00
 2.890E+00, 1.629E+00
 2.934E+00, 1.595E+00
 2.977E+00, 1.557E+00
 3.021E+00, 1.527E+00
 3.064E+00, 1.491E+00
 3.108E+00, 1.462E+00
 3.151E+00, 1.428E+00
 3.195E+00, 1.397E+00
 3.238E+00, 1.364E+00
 3.282E+00, 1.335E+00
 3.325E+00, 1.303E+00
 3.368E+00, 1.273E+00
 3.412E+00, 1.244E+00
 3.455E+00, 1.218E+00
 3.499E+00, 1.193E+00
 3.542E+00, 1.169E+00
 3.586E+00, 1.147E+00
 3.629E+00, 1.125E+00
 3.673E+00, 1.105E+00
 3.716E+00, 1.086E+00
 3.760E+00, 1.066E+00
 3.803E+00, 1.048E+00
 3.847E+00, 1.031E+00
 3.890E+00, 1.015E+00
 3.934E+00, 9.983E-01
 3.977E+00, 9.867E-01
 4.021E+00, 9.712E-01
