m,kW/m2
Tot_Flux-z,Tot_Flux
 1.500E-02, 1.320E+01
 4.500E-02, 2.024E+01
 7.500E-02, 2.673E+01
 1.050E-01, 3.163E+01
 1.350E-01, 3.534E+01
 1.650E-01, 3.842E+01
 1.950E-01, 4.108E+01
 2.250E-01, 4.316E+01
 2.550E-01, 4.454E+01
 2.850E-01, 4.531E+01
 3.150E-01, 4.554E+01
 3.450E-01, 4.517E+01
 3.750E-01, 4.424E+01
 4.050E-01, 4.288E+01
 4.350E-01, 4.124E+01
 4.650E-01, 3.940E+01
 4.950E-01, 3.743E+01
 5.250E-01, 3.531E+01
 5.550E-01, 3.315E+01
 5.850E-01, 3.082E+01
 6.150E-01, 2.858E+01
 6.450E-01, 2.640E+01
 6.750E-01, 2.427E+01
 7.050E-01, 2.220E+01
 7.350E-01, 2.019E+01
 7.650E-01, 1.825E+01
 7.950E-01, 1.641E+01
 8.250E-01, 1.474E+01
 8.550E-01, 1.322E+01
 8.850E-01, 1.191E+01
 9.150E-01, 1.071E+01
 9.450E-01, 9.632E+00
 9.750E-01, 8.670E+00
 1.005E+00, 7.824E+00
 1.035E+00, 7.064E+00
 1.065E+00, 6.390E+00
 1.095E+00, 5.816E+00
 1.125E+00, 5.306E+00
 1.155E+00, 4.870E+00
 1.185E+00, 4.474E+00
 1.215E+00, 4.123E+00
 1.245E+00, 3.821E+00
 1.275E+00, 3.547E+00
 1.305E+00, 3.297E+00
 1.335E+00, 3.072E+00
 1.365E+00, 2.876E+00
 1.395E+00, 2.700E+00
 1.425E+00, 2.549E+00
 1.455E+00, 2.416E+00
 1.485E+00, 2.296E+00
 1.515E+00, 2.188E+00
 1.545E+00, 2.091E+00
 1.575E+00, 2.004E+00
 1.605E+00, 1.926E+00
 1.635E+00, 1.855E+00
 1.665E+00, 1.792E+00
 1.695E+00, 1.736E+00
 1.725E+00, 1.686E+00
 1.755E+00, 1.642E+00
 1.785E+00, 1.601E+00
 1.815E+00, 1.561E+00
 1.845E+00, 1.522E+00
 1.875E+00, 1.483E+00
 1.905E+00, 1.444E+00
 1.935E+00, 1.406E+00
 1.965E+00, 1.369E+00
 1.995E+00, 1.333E+00
 2.025E+00, 1.300E+00
 2.055E+00, 1.268E+00
 2.085E+00, 1.239E+00
 2.115E+00, 1.210E+00
 2.145E+00, 1.183E+00
 2.175E+00, 1.156E+00
 2.205E+00, 1.131E+00
 2.235E+00, 1.108E+00
 2.265E+00, 1.088E+00
 2.295E+00, 1.069E+00
 2.325E+00, 1.051E+00
 2.355E+00, 1.034E+00
 2.385E+00, 1.019E+00
 2.415E+00, 1.006E+00
 2.445E+00, 9.934E-01
 2.475E+00, 9.822E-01
 2.505E+00, 9.711E-01
 2.535E+00, 9.601E-01
 2.565E+00, 9.495E-01
 2.595E+00, 9.386E-01
 2.625E+00, 9.277E-01
 2.655E+00, 9.147E-01
 2.685E+00, 9.015E-01
 2.715E+00, 8.859E-01
 2.745E+00, 8.724E-01
 2.775E+00, 8.541E-01
