m,kW/m2
Tot_Flux-z,Tot_Flux
 2.000E-02, 1.798E+01
 9.587E-02, 2.717E+01
 1.717E-01, 3.556E+01
 2.476E-01, 4.310E+01
 3.235E-01, 4.992E+01
 3.993E-01, 5.634E+01
 4.752E-01, 6.208E+01
 5.511E-01, 6.681E+01
 6.270E-01, 7.035E+01
 7.028E-01, 7.247E+01
 7.787E-01, 7.279E+01
 8.546E-01, 7.185E+01
 9.304E-01, 6.991E+01
 1.006E+00, 6.743E+01
 1.082E+00, 6.459E+01
 1.158E+00, 6.164E+01
 1.234E+00, 5.858E+01
 1.310E+00, 5.562E+01
 1.386E+00, 5.228E+01
 1.462E+00, 4.858E+01
 1.537E+00, 4.477E+01
 1.613E+00, 4.092E+01
 1.689E+00, 3.708E+01
 1.765E+00, 3.358E+01
 1.841E+00, 3.031E+01
 1.917E+00, 2.743E+01
 1.993E+00, 2.475E+01
 2.068E+00, 2.236E+01
 2.144E+00, 2.015E+01
 2.220E+00, 1.641E+01
 2.296E+00, 1.489E+01
 2.372E+00, 1.357E+01
 2.448E+00, 1.239E+01
 2.524E+00, 1.126E+01
 2.600E+00, 1.023E+01
 2.675E+00, 9.361E+00
 2.751E+00, 8.565E+00
 2.827E+00, 7.841E+00
 2.903E+00, 7.205E+00
 2.979E+00, 6.645E+00
 3.055E+00, 6.139E+00
 3.131E+00, 5.696E+00
 3.207E+00, 5.313E+00
 3.282E+00, 4.957E+00
 3.358E+00, 4.668E+00
 3.434E+00, 4.384E+00
 3.510E+00, 4.141E+00
 3.586E+00, 3.900E+00
 3.662E+00, 3.690E+00
 3.738E+00, 3.496E+00
 3.813E+00, 3.321E+00
 3.889E+00, 3.159E+00
 3.965E+00, 3.020E+00
 4.041E+00, 2.893E+00
 4.117E+00, 2.785E+00
 4.193E+00, 2.684E+00
 4.269E+00, 2.595E+00
 4.345E+00, 2.511E+00
 4.420E+00, 2.439E+00
 4.496E+00, 2.373E+00
 4.572E+00, 2.319E+00
 4.648E+00, 2.270E+00
 4.724E+00, 2.227E+00
 4.800E+00, 2.186E+00
 4.876E+00, 2.150E+00
 4.952E+00, 2.115E+00
 5.027E+00, 2.082E+00
 5.103E+00, 2.049E+00
 5.179E+00, 2.015E+00
 5.255E+00, 1.941E+00
 5.331E+00, 1.902E+00
 5.407E+00, 1.864E+00
 5.483E+00, 1.826E+00
 5.558E+00, 1.789E+00
 5.634E+00, 1.752E+00
 5.710E+00, 1.715E+00
 5.786E+00, 1.680E+00
 5.862E+00, 1.647E+00
 5.938E+00, 1.617E+00
 6.014E+00, 1.588E+00
 6.090E+00, 1.559E+00
 6.165E+00, 1.531E+00
 6.241E+00, 1.502E+00
 6.317E+00, 1.476E+00
 6.393E+00, 1.449E+00
 6.469E+00, 1.425E+00
 6.545E+00, 1.400E+00
 6.621E+00, 1.377E+00
 6.697E+00, 1.352E+00
 6.772E+00, 1.330E+00
 6.848E+00, 1.305E+00
 6.924E+00, 1.283E+00
 7.000E+00, 1.256E+00
