m,kW/m2
Tot_Flux-z,Tot_Flux
 1.500E-02, 3.210E+01
 4.500E-02, 4.110E+01
 7.500E-02, 4.015E+01
 1.050E-01, 3.578E+01
 1.350E-01, 3.076E+01
 1.650E-01, 2.627E+01
 1.950E-01, 2.252E+01
 2.250E-01, 1.943E+01
 2.550E-01, 1.688E+01
 2.850E-01, 1.474E+01
 3.150E-01, 1.289E+01
 3.450E-01, 1.132E+01
 3.750E-01, 9.952E+00
 4.050E-01, 8.748E+00
 4.350E-01, 7.692E+00
 4.650E-01, 6.786E+00
 4.950E-01, 6.009E+00
 5.250E-01, 5.345E+00
 5.550E-01, 4.780E+00
 5.850E-01, 4.295E+00
 6.150E-01, 3.880E+00
 6.450E-01, 3.522E+00
 6.750E-01, 3.212E+00
 7.050E-01, 2.947E+00
 7.350E-01, 2.718E+00
 7.650E-01, 2.516E+00
 7.950E-01, 2.336E+00
 8.250E-01, 2.178E+00
 8.550E-01, 2.040E+00
 8.850E-01, 1.919E+00
 9.150E-01, 1.813E+00
 9.450E-01, 1.720E+00
 9.750E-01, 1.640E+00
 1.005E+00, 1.567E+00
 1.035E+00, 1.504E+00
 1.065E+00, 1.446E+00
 1.095E+00, 1.394E+00
 1.125E+00, 1.348E+00
 1.155E+00, 1.308E+00
 1.185E+00, 1.271E+00
 1.215E+00, 1.238E+00
 1.245E+00, 1.207E+00
 1.275E+00, 1.180E+00
 1.305E+00, 1.152E+00
 1.335E+00, 1.127E+00
 1.365E+00, 1.102E+00
 1.395E+00, 1.077E+00
 1.425E+00, 1.052E+00
 1.455E+00, 1.026E+00
 1.485E+00, 1.002E+00
 1.515E+00, 9.784E-01
 1.545E+00, 9.572E-01
 1.575E+00, 9.366E-01
 1.605E+00, 9.175E-01
 1.635E+00, 8.997E-01
 1.665E+00, 8.839E-01
 1.695E+00, 8.696E-01
 1.725E+00, 8.563E-01
 1.755E+00, 8.438E-01
 1.785E+00, 8.313E-01
 1.815E+00, 8.196E-01
 1.845E+00, 8.082E-01
 1.875E+00, 7.978E-01
 1.905E+00, 7.874E-01
 1.935E+00, 7.782E-01
 1.965E+00, 7.693E-01
 1.995E+00, 7.610E-01
 2.025E+00, 7.529E-01
 2.055E+00, 7.456E-01
 2.085E+00, 7.377E-01
 2.115E+00, 7.299E-01
 2.145E+00, 7.212E-01
 2.175E+00, 7.123E-01
 2.205E+00, 7.031E-01
 2.235E+00, 6.939E-01
 2.265E+00, 6.848E-01
 2.295E+00, 6.759E-01
 2.325E+00, 6.674E-01
 2.355E+00, 6.591E-01
 2.385E+00, 6.513E-01
 2.415E+00, 6.436E-01
 2.445E+00, 6.364E-01
 2.475E+00, 6.290E-01
 2.505E+00, 6.222E-01
 2.535E+00, 6.156E-01
 2.565E+00, 6.094E-01
 2.595E+00, 6.029E-01
 2.625E+00, 5.971E-01
 2.655E+00, 5.904E-01
 2.685E+00, 5.847E-01
 2.715E+00, 5.777E-01
 2.745E+00, 5.731E-01
 2.775E+00, 5.666E-01
