m,kW/m2
Tot_Flux-z,Tot_Flux
 1.950E-02, 1.392E+01
 5.892E-02, 2.064E+01
 9.835E-02, 2.735E+01
 1.378E-01, 3.331E+01
 1.772E-01, 3.831E+01
 2.166E-01, 4.246E+01
 2.560E-01, 4.609E+01
 2.955E-01, 4.926E+01
 3.349E-01, 5.162E+01
 3.743E-01, 5.326E+01
 4.137E-01, 5.406E+01
 4.532E-01, 5.402E+01
 4.926E-01, 5.328E+01
 5.320E-01, 5.207E+01
 5.714E-01, 5.042E+01
 6.109E-01, 4.852E+01
 6.503E-01, 4.638E+01
 6.897E-01, 4.411E+01
 7.291E-01, 4.153E+01
 7.686E-01, 3.885E+01
 8.080E-01, 3.605E+01
 8.474E-01, 3.331E+01
 8.868E-01, 3.072E+01
 9.263E-01, 2.824E+01
 9.657E-01, 2.586E+01
 1.005E+00, 2.359E+01
 1.045E+00, 2.138E+01
 1.084E+00, 1.935E+01
 1.123E+00, 1.749E+01
 1.163E+00, 1.580E+01
 1.202E+00, 1.424E+01
 1.242E+00, 1.285E+01
 1.281E+00, 1.164E+01
 1.320E+00, 1.053E+01
 1.360E+00, 9.525E+00
 1.399E+00, 8.583E+00
 1.439E+00, 7.743E+00
 1.478E+00, 7.014E+00
 1.518E+00, 6.359E+00
 1.557E+00, 5.788E+00
 1.596E+00, 5.290E+00
 1.636E+00, 4.865E+00
 1.675E+00, 4.484E+00
 1.715E+00, 4.157E+00
 1.754E+00, 3.854E+00
 1.794E+00, 3.594E+00
 1.833E+00, 3.178E+00
 1.872E+00, 3.012E+00
 1.912E+00, 2.867E+00
 1.951E+00, 2.734E+00
 1.991E+00, 2.614E+00
 2.030E+00, 2.507E+00
 2.070E+00, 2.412E+00
 2.109E+00, 2.325E+00
 2.148E+00, 2.241E+00
 2.188E+00, 2.160E+00
 2.227E+00, 2.082E+00
 2.267E+00, 2.006E+00
 2.306E+00, 1.934E+00
 2.346E+00, 1.859E+00
 2.385E+00, 1.787E+00
 2.424E+00, 1.719E+00
 2.464E+00, 1.655E+00
 2.503E+00, 1.596E+00
 2.543E+00, 1.541E+00
 2.582E+00, 1.490E+00
 2.621E+00, 1.443E+00
 2.661E+00, 1.400E+00
 2.700E+00, 1.363E+00
 2.740E+00, 1.329E+00
 2.779E+00, 1.298E+00
 2.819E+00, 1.267E+00
 2.858E+00, 1.240E+00
 2.897E+00, 1.212E+00
 2.937E+00, 1.186E+00
 2.976E+00, 1.160E+00
 3.016E+00, 1.135E+00
 3.055E+00, 1.111E+00
 3.095E+00, 1.088E+00
 3.134E+00, 1.067E+00
 3.173E+00, 1.045E+00
 3.213E+00, 1.024E+00
 3.252E+00, 1.004E+00
 3.292E+00, 9.836E-01
 3.331E+00, 9.636E-01
 3.371E+00, 9.439E-01
 3.410E+00, 9.244E-01
 3.449E+00, 9.062E-01
 3.489E+00, 8.880E-01
 3.528E+00, 8.719E-01
 3.568E+00, 8.538E-01
 3.607E+00, 8.403E-01
 3.647E+00, 8.238E-01
