m,kW/m2
Tot_Flux-z,Tot_Flux
 2.000E-02, 2.002E+01
 7.283E-02, 2.944E+01
 1.257E-01, 3.733E+01
 1.785E-01, 4.241E+01
 2.313E-01, 4.626E+01
 2.841E-01, 4.941E+01
 3.370E-01, 5.192E+01
 3.898E-01, 5.359E+01
 4.426E-01, 5.426E+01
 4.954E-01, 5.413E+01
 5.483E-01, 5.321E+01
 6.011E-01, 5.169E+01
 6.539E-01, 4.971E+01
 7.067E-01, 4.725E+01
 7.596E-01, 4.456E+01
 8.124E-01, 4.164E+01
 8.652E-01, 3.871E+01
 9.180E-01, 3.582E+01
 9.709E-01, 3.297E+01
 1.024E+00, 3.018E+01
 1.077E+00, 2.755E+01
 1.129E+00, 2.500E+01
 1.182E+00, 2.259E+01
 1.235E+00, 2.038E+01
 1.288E+00, 1.837E+01
 1.341E+00, 1.657E+01
 1.393E+00, 1.491E+01
 1.446E+00, 1.338E+01
 1.499E+00, 1.205E+01
 1.552E+00, 1.089E+01
 1.605E+00, 9.857E+00
 1.658E+00, 8.972E+00
 1.710E+00, 8.185E+00
 1.763E+00, 7.480E+00
 1.816E+00, 6.851E+00
 1.869E+00, 6.294E+00
 1.922E+00, 5.804E+00
 1.975E+00, 5.385E+00
 2.027E+00, 5.021E+00
 2.080E+00, 4.398E+00
 2.133E+00, 4.140E+00
 2.186E+00, 3.892E+00
 2.239E+00, 3.662E+00
 2.292E+00, 3.436E+00
 2.344E+00, 3.241E+00
 2.397E+00, 3.060E+00
 2.450E+00, 2.911E+00
 2.503E+00, 2.777E+00
 2.556E+00, 2.666E+00
 2.608E+00, 2.561E+00
 2.661E+00, 2.469E+00
 2.714E+00, 2.385E+00
 2.767E+00, 2.312E+00
 2.820E+00, 2.245E+00
 2.873E+00, 2.184E+00
 2.925E+00, 2.127E+00
 2.978E+00, 2.070E+00
 3.031E+00, 2.015E+00
 3.084E+00, 1.960E+00
 3.137E+00, 1.910E+00
 3.190E+00, 1.864E+00
 3.242E+00, 1.823E+00
 3.295E+00, 1.785E+00
 3.348E+00, 1.749E+00
 3.401E+00, 1.715E+00
 3.454E+00, 1.683E+00
 3.507E+00, 1.653E+00
 3.559E+00, 1.623E+00
 3.612E+00, 1.593E+00
 3.665E+00, 1.563E+00
 3.718E+00, 1.533E+00
 3.771E+00, 1.503E+00
 3.823E+00, 1.473E+00
 3.876E+00, 1.443E+00
 3.929E+00, 1.413E+00
 3.982E+00, 1.383E+00
 4.035E+00, 1.353E+00
 4.088E+00, 1.325E+00
 4.140E+00, 1.299E+00
 4.193E+00, 1.275E+00
 4.246E+00, 1.250E+00
 4.299E+00, 1.226E+00
 4.352E+00, 1.200E+00
 4.405E+00, 1.175E+00
 4.457E+00, 1.151E+00
 4.510E+00, 1.129E+00
 4.563E+00, 1.109E+00
 4.616E+00, 1.090E+00
 4.669E+00, 1.071E+00
 4.722E+00, 1.054E+00
 4.774E+00, 1.034E+00
 4.827E+00, 1.017E+00
 4.880E+00, 9.941E-01
