m,kW/m2
Tot_Flux-z,Tot_Flux
 2.000E-02, 1.591E+01
 7.185E-02, 2.398E+01
 1.237E-01, 3.095E+01
 1.755E-01, 3.677E+01
 2.274E-01, 4.208E+01
 2.792E-01, 4.708E+01
 3.311E-01, 5.137E+01
 3.829E-01, 5.485E+01
 4.348E-01, 5.716E+01
 4.866E-01, 5.863E+01
 5.385E-01, 5.923E+01
 5.903E-01, 5.919E+01
 6.422E-01, 5.828E+01
 6.940E-01, 5.672E+01
 7.459E-01, 5.448E+01
 7.977E-01, 5.192E+01
 8.496E-01, 4.919E+01
 9.014E-01, 4.638E+01
 9.533E-01, 4.356E+01
 1.005E+00, 4.075E+01
 1.057E+00, 3.789E+01
 1.109E+00, 3.507E+01
 1.161E+00, 3.234E+01
 1.213E+00, 2.979E+01
 1.264E+00, 2.735E+01
 1.316E+00, 2.496E+01
 1.368E+00, 2.261E+01
 1.420E+00, 2.050E+01
 1.472E+00, 1.857E+01
 1.524E+00, 1.675E+01
 1.575E+00, 1.508E+01
 1.627E+00, 1.361E+01
 1.679E+00, 1.234E+01
 1.731E+00, 1.121E+01
 1.783E+00, 1.016E+01
 1.835E+00, 9.252E+00
 1.887E+00, 8.410E+00
 1.938E+00, 7.017E+00
 1.990E+00, 6.432E+00
 2.042E+00, 5.893E+00
 2.094E+00, 5.422E+00
 2.146E+00, 4.997E+00
 2.198E+00, 4.624E+00
 2.249E+00, 4.297E+00
 2.301E+00, 4.006E+00
 2.353E+00, 3.747E+00
 2.405E+00, 3.515E+00
 2.457E+00, 3.314E+00
 2.509E+00, 3.136E+00
 2.561E+00, 2.968E+00
 2.612E+00, 2.819E+00
 2.664E+00, 2.690E+00
 2.716E+00, 2.579E+00
 2.768E+00, 2.479E+00
 2.820E+00, 2.389E+00
 2.872E+00, 2.310E+00
 2.923E+00, 2.237E+00
 2.975E+00, 2.173E+00
 3.027E+00, 2.116E+00
 3.079E+00, 2.065E+00
 3.131E+00, 2.019E+00
 3.183E+00, 1.977E+00
 3.235E+00, 1.936E+00
 3.286E+00, 1.898E+00
 3.338E+00, 1.859E+00
 3.390E+00, 1.827E+00
 3.442E+00, 1.789E+00
 3.494E+00, 1.750E+00
 3.546E+00, 1.709E+00
 3.598E+00, 1.668E+00
 3.649E+00, 1.627E+00
 3.701E+00, 1.584E+00
 3.753E+00, 1.545E+00
 3.805E+00, 1.503E+00
 3.857E+00, 1.468E+00
 3.909E+00, 1.432E+00
 3.960E+00, 1.402E+00
 4.012E+00, 1.369E+00
 4.064E+00, 1.341E+00
 4.116E+00, 1.311E+00
 4.168E+00, 1.284E+00
 4.220E+00, 1.256E+00
 4.272E+00, 1.229E+00
 4.323E+00, 1.202E+00
 4.375E+00, 1.177E+00
 4.427E+00, 1.151E+00
 4.479E+00, 1.129E+00
 4.531E+00, 1.108E+00
 4.583E+00, 1.088E+00
 4.634E+00, 1.072E+00
 4.686E+00, 1.053E+00
 4.738E+00, 1.039E+00
 4.790E+00, 1.022E+00
