s,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,HRR,HF 10-1,HF 10-2,HF 10-3,HF 10-4,HF 30-1,HF 30-2,HF 30-3,HF 30-4,HF 50-1,HF 50-2,HF 50-3,HF 50-4,HF 70-1,HF 70-2,HF 70-3,HF 70-4,HF 90-1,HF 90-2,HF 90-3,HF 90-4,HF 110-1,HF 110-2,HF 110-3,HF 110-4,HF 130-1,HF 130-2,HF 130-3,HF 130-4,HFG 10,HFG 35,HFG 60,HFG 85,HFG 110,HFG 135
 0.0000000E+000, 0.0000000E+000,-4.3160569E-004,-4.9177664E-004,-5.4667127E-004,-6.0430363E-004,-1.1079339E-003,-1.3372166E-003,-1.5001282E-003,-1.8398498E-003,-9.6466996E-004,-1.0710559E-003,-1.1611650E-003,-1.2901561E-003,-8.4951018E-004,-9.4958415E-004,-1.0383167E-003,-1.1347518E-003,-3.8090130E-004,-5.1052595E-004,-5.9334593E-004,-6.3018394E-004,-3.1037629E-004,-3.7323447E-004,-4.3111379E-004,-5.0440311E-004,-9.9961290E-004,-1.3126083E-003,-1.4162370E-003,-1.4336055E-003,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011
 2.0046531E+000, 0.0000000E+000, 1.8072606E+000, 3.0225581E+000, 2.3981205E+000, 9.4289235E-001, 4.3593131E-001, 6.0306246E-001, 4.1898056E-001, 2.3185442E-001, 7.6398855E-002, 1.1400652E-001, 1.0498077E-001, 6.3805949E-002, 2.1909051E-002, 2.0641973E-002, 2.2435554E-002, 2.1015858E-002, 8.9325379E-003, 6.9771891E-003, 8.7742723E-003, 9.3557828E-003, 5.3287642E-003, 3.1991941E-003, 4.8428493E-003, 6.3332127E-003, 2.5760560E-003, 1.1815072E-003, 2.2432318E-003, 4.0148226E-003, 7.0207661E-002, 3.5736524E-002, 2.3677867E-002, 1.2126603E-002, 7.3840709E-003, 3.9650409E-003
 4.0015268E+000, 9.9315567E+000, 1.5311369E+001, 2.0359253E+001, 1.0399352E+001, 3.0627693E+000, 1.0986047E+001, 5.5434121E+000, 2.7433302E+000, 1.0308424E+000, 4.4494484E+000, 2.4286206E+000, 1.1579347E+000, 3.6063313E-001, 2.4342528E+000, 1.5272009E+000, 8.9661872E-001, 2.3909679E-001, 1.6436153E+000, 1.1803893E+000, 8.2634900E-001, 3.0189786E-001, 1.1419083E+000, 8.2293529E-001, 6.3444039E-001, 2.7936526E-001, 8.8346556E-001, 6.6261265E-001, 5.3613643E-001, 2.6988420E-001, 3.6712423E-001, 2.7840644E-001, 2.0106098E-001, 1.3667135E-001, 9.0955518E-002, 6.2317966E-002
 6.0004665E+000, 2.0237540E+001, 1.8532205E+001, 3.1629654E+001, 1.7047015E+001, 4.2008184E+000, 2.2280045E+001, 1.3666356E+001, 7.6007546E+000, 2.4922965E+000, 1.0825556E+001, 5.7775929E+000, 3.6019773E+000, 1.3799665E+000, 5.6949140E+000, 3.3418155E+000, 1.7221207E+000, 5.6703286E-001, 3.7244103E+000, 2.2505414E+000, 1.4550744E+000, 4.1157015E-001, 2.5213326E+000, 1.5532545E+000, 1.2586819E+000, 6.0592550E-001, 2.0552563E+000, 1.4803178E+000, 1.2583610E+000, 7.4540960E-001, 5.3738052E-001, 4.7875410E-001, 3.7080002E-001, 2.6238308E-001, 1.8261077E-001, 1.2344289E-001
 8.0015176E+000, 1.9450141E+001, 1.9574829E+001, 3.2436470E+001, 1.8204784E+001, 5.1767313E+000, 2.4525164E+001, 1.9125130E+001, 9.4441433E+000, 3.2057480E+000, 1.1847639E+001, 1.0963856E+001, 6.7156691E+000, 2.4286601E+000, 6.5166108E+000, 5.2351853E+000, 3.4985460E+000, 1.3816842E+000, 4.2151573E+000, 3.1709558E+000, 2.4002838E+000, 1.2042104E+000, 2.7033676E+000, 2.2998218E+000, 1.7138072E+000, 1.0200964E+000, 1.9794467E+000, 1.7781790E+000, 1.3740107E+000, 8.1839489E-001, 6.5479423E-001, 6.2360760E-001, 5.0209126E-001, 3.6641705E-001, 2.5784063E-001, 1.7287414E-001
 1.0000689E+001, 3.2550433E+001, 2.1360865E+001, 3.2990949E+001, 1.9433558E+001, 5.1613374E+000, 3.0593336E+001, 1.7994807E+001, 8.8685251E+000, 3.2453928E+000, 1.7747031E+001, 1.0124360E+001, 6.7109149E+000, 2.6982412E+000, 1.0237645E+001, 6.3424615E+000, 4.3338360E+000, 1.7449413E+000, 6.5184155E+000, 3.8043988E+000, 2.8563775E+000, 1.2814486E+000, 4.2933502E+000, 2.6895792E+000, 1.9704388E+000, 1.0082581E+000, 3.1132021E+000, 2.0515606E+000, 1.4102014E+000, 8.6754056E-001, 7.0674799E-001, 6.7918145E-001, 5.6306345E-001, 4.2493216E-001, 3.0363683E-001, 2.0816884E-001
 1.2000911E+001, 2.3205424E+001, 2.1549080E+001, 3.5107042E+001, 2.3176137E+001, 5.4855359E+000, 3.1692619E+001, 2.0145578E+001, 1.2035327E+001, 3.9940843E+000, 1.9562616E+001, 1.1350565E+001, 6.5893665E+000, 2.6851352E+000, 1.1662271E+001, 6.7601248E+000, 4.6735700E+000, 1.7896522E+000, 7.3615394E+000, 4.4756871E+000, 3.2155048E+000, 1.4083820E+000, 4.5522338E+000, 3.2058232E+000, 2.3715891E+000, 1.3524487E+000, 3.0861225E+000, 2.2271993E+000, 1.8319194E+000, 1.0584923E+000, 7.6528132E-001, 7.4753261E-001, 6.3338250E-001, 4.9165592E-001, 3.5560600E-001, 2.4337250E-001
 1.4000183E+001, 2.4923945E+001, 2.3330945E+001, 3.5296613E+001, 2.3024408E+001, 5.6137166E+000, 3.3641430E+001, 2.2056135E+001, 1.0037352E+001, 3.4282462E+000, 2.2087015E+001, 1.2866648E+001, 7.1247032E+000, 2.3196389E+000, 1.3134350E+001, 8.1141296E+000, 5.2815442E+000, 1.7441650E+000, 8.6158994E+000, 5.9126867E+000, 4.2447197E+000, 1.6932536E+000, 5.4690172E+000, 4.4739344E+000, 3.2381473E+000, 1.5993885E+000, 3.7618961E+000, 3.3356264E+000, 2.6008561E+000, 1.2034066E+000, 8.0718027E-001, 7.9874500E-001, 6.6949909E-001, 5.0816560E-001, 3.7157534E-001, 2.5628840E-001
 1.6000516E+001, 2.3124415E+001, 2.6087190E+001, 3.4574269E+001, 2.2789909E+001, 5.7418924E+000, 3.4105247E+001, 2.1379912E+001, 1.2048167E+001, 5.0483008E+000, 2.0855128E+001, 1.2980132E+001, 7.6206372E+000, 3.0993707E+000, 1.3012565E+001, 7.1525189E+000, 4.4465525E+000, 1.8844199E+000, 7.8611926E+000, 4.8851154E+000, 3.3792013E+000, 1.6299397E+000, 4.8791408E+000, 2.8816317E+000, 2.3454554E+000, 1.2001080E+000, 3.4187102E+000, 2.3217792E+000, 1.7207676E+000, 9.8864104E-001, 8.6771575E-001, 8.6869254E-001, 7.4884878E-001, 5.8511802E-001, 4.2518078E-001, 2.9253365E-001
