s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HF 10-1","HF 10-2","HF 10-3","HF 10-4","HF 30-1","HF 30-2","HF 30-3","HF 30-4","HF 50-1","HF 50-2","HF 50-3","HF 50-4","HF 70-1","HF 70-2","HF 70-3","HF 70-4","HF 90-1","HF 90-2","HF 90-3","HF 90-4","HF 110-1","HF 110-2","HF 110-3","HF 110-4","HF 130-1","HF 130-2","HF 130-3","HF 130-4","Rad 10","Rad 35","Rad 60","Rad 85","Rad 110","Rad 135"
 0.0000000E+000,-5.8868810E-004,-8.5752577E-004,-7.2775150E-004,-1.1663517E-003,-7.5837699E-004,-9.8354908E-004,-9.5767570E-004,-1.3574338E-003,-9.4931286E-004,-1.1488966E-003,-8.1054357E-004,-1.1033932E-003,-6.6455118E-004,-8.8769545E-004,-6.3754486E-004,-9.8650257E-004,-7.3030811E-004,-7.1941681E-004,-4.2387375E-004,-8.2240107E-004,-5.0463201E-004,-6.4662206E-004,-4.3314258E-004,-7.9276855E-004,-5.6225915E-004,-5.4991869E-004,-2.7773555E-004,-5.2524071E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000517E+001, 2.2436301E+001, 4.3176841E+001, 3.5674185E+001, 1.0996107E+001, 4.2694614E+001, 2.7603800E+001, 1.0287353E+001, 4.5454326E+000, 2.8999611E+001, 1.8279156E+001, 8.2438514E+000, 3.7245198E+000, 1.7051614E+001, 1.1415433E+001, 6.3829747E+000, 3.2816768E+000, 8.6639708E+000, 6.3501172E+000, 4.0580108E+000, 2.5104430E+000, 4.8650126E+000, 3.7837868E+000, 2.6483205E+000, 1.5566818E+000, 2.9559208E+000, 2.3320296E+000, 1.6882797E+000, 1.1729320E+000, 6.9393553E-001, 1.0300210E+000, 9.2650536E-001, 5.2654720E-001, 3.7297088E-001, 4.3882622E-001
 2.0000296E+001, 2.4333393E+001, 4.4526503E+001, 4.0092789E+001, 1.2069580E+001, 5.0761074E+001, 3.2763204E+001, 1.2087146E+001, 5.3218581E+000, 3.7405973E+001, 2.2228052E+001, 1.0686237E+001, 5.2170753E+000, 2.3212743E+001, 1.5199496E+001, 8.0105891E+000, 4.0354464E+000, 1.2821957E+001, 8.9751600E+000, 5.1097612E+000, 2.7796559E+000, 6.8029561E+000, 4.9703656E+000, 3.1718634E+000, 1.9130306E+000, 3.8005025E+000, 3.0153441E+000, 2.0303344E+000, 1.3274016E+000, 8.6017869E-001, 1.2790696E+000, 1.1893648E+000, 7.0896831E-001, 4.9293706E-001, 5.3382362E-001
 3.0000608E+001, 2.5274918E+001, 4.8654807E+001, 4.1547227E+001, 1.1789297E+001, 5.2096510E+001, 3.4941657E+001, 1.3499257E+001, 5.3341282E+000, 4.2239547E+001, 2.5687067E+001, 1.3111113E+001, 6.1625195E+000, 2.7541055E+001, 1.7915816E+001, 1.0307480E+001, 5.2297114E+000, 1.5398880E+001, 1.0915001E+001, 6.4108760E+000, 3.5033089E+000, 9.1578121E+000, 6.1783170E+000, 3.6094001E+000, 2.1821681E+000, 5.1080511E+000, 3.7746458E+000, 2.4003883E+000, 1.5869089E+000, 9.4488532E-001, 1.4079243E+000, 1.3276092E+000, 8.2625184E-001, 5.7475282E-001, 5.7483635E-001
 4.0000167E+001, 2.4844766E+001, 4.8098935E+001, 3.9737299E+001, 1.1624876E+001, 5.5720607E+001, 3.5370849E+001, 1.3324797E+001, 5.8598475E+000, 4.4138611E+001, 2.7824483E+001, 1.3084015E+001, 6.0748658E+000, 2.9629609E+001, 2.1479141E+001, 1.2736118E+001, 6.4452226E+000, 1.8345450E+001, 1.3380723E+001, 9.2804924E+000, 5.9198719E+000, 1.1081618E+001, 8.2602800E+000, 5.9847308E+000, 4.0217205E+000, 5.9933352E+000, 4.7487140E+000, 3.3618182E+000, 2.3687274E+000, 1.0686735E+000, 1.5653220E+000, 1.5037908E+000, 1.0126388E+000, 7.2289287E-001, 7.0519960E-001
 5.0000121E+001, 2.7291298E+001, 5.2900809E+001, 4.1880720E+001, 1.2166742E+001, 6.0444957E+001, 3.9369191E+001, 1.5101552E+001, 6.3728033E+000, 5.0879577E+001, 3.3403766E+001, 1.4770977E+001, 7.0571029E+000, 4.0049482E+001, 2.8274295E+001, 1.3648769E+001, 6.5545236E+000, 3.1620366E+001, 2.2068816E+001, 1.1773330E+001, 5.6514170E+000, 2.3402506E+001, 1.6599700E+001, 9.0097302E+000, 4.3855981E+000, 1.6746973E+001, 1.1971633E+001, 6.4072578E+000, 3.3364449E+000, 1.2822282E+000, 1.8538052E+000, 1.8589314E+000, 1.3970585E+000, 1.0881533E+000, 9.9638404E-001
 6.0000742E+001, 2.8328375E+001, 5.4293370E+001, 4.5474967E+001, 1.2135946E+001, 6.1746456E+001, 4.1760981E+001, 1.5582375E+001, 6.4412915E+000, 5.2735528E+001, 3.4929594E+001, 1.6538975E+001, 7.4321679E+000, 4.3093604E+001, 3.0905652E+001, 1.7687114E+001, 9.6940510E+000, 3.7295785E+001, 2.5709479E+001, 1.5495383E+001, 8.8085286E+000, 3.2325386E+001, 2.2224006E+001, 1.3024346E+001, 6.9498963E+000, 2.5486461E+001, 1.8758547E+001, 1.0330219E+001, 5.4970340E+000, 1.4978787E+000, 2.0974715E+000, 2.1618154E+000, 1.7851790E+000, 1.4909160E+000, 1.3893013E+000
 7.0000389E+001, 2.9888054E+001, 5.6006702E+001, 4.7913808E+001, 1.2336426E+001, 6.2006800E+001, 4.4193459E+001, 1.6883882E+001, 7.0281947E+000, 5.3273874E+001, 3.6956678E+001, 1.8044373E+001, 8.7317992E+000, 4.8601664E+001, 3.3859453E+001, 1.8023977E+001, 9.1641435E+000, 4.2111816E+001, 2.9644988E+001, 1.6750844E+001, 8.8451609E+000, 3.7963581E+001, 2.6061457E+001, 1.4476301E+001, 8.2399684E+000, 3.4631898E+001, 2.2751100E+001, 1.2101913E+001, 6.9465334E+000, 1.6594443E+000, 2.2617334E+000, 2.3723977E+000, 2.0450623E+000, 1.7447520E+000, 1.6465797E+000
 8.0000621E+001, 3.0394419E+001, 5.7001728E+001, 4.9534366E+001, 1.2883619E+001, 6.2882066E+001, 4.6398302E+001, 2.0047930E+001, 7.7710089E+000, 5.4322070E+001, 4.0991272E+001, 2.2065364E+001, 1.1281888E+001, 5.0874303E+001, 3.9254690E+001, 2.3437522E+001, 1.3733551E+001, 4.7584504E+001, 3.5876727E+001, 2.3035088E+001, 1.3808061E+001, 4.1848031E+001, 3.2796747E+001, 2.0543107E+001, 1.2225952E+001, 3.7516774E+001, 2.9715659E+001, 1.8123162E+001, 1.0598683E+001, 1.8971918E+000, 2.5524180E+000, 2.7125701E+000, 2.4433777E+000, 2.1849290E+000, 2.0267682E+000
