s,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,HRR,HF 10-1,HF 10-2,HF 10-3,HF 10-4,HF 30-1,HF 30-2,HF 30-3,HF 30-4,HF 50-1,HF 50-2,HF 50-3,HF 50-4,HF 70-1,HF 70-2,HF 70-3,HF 70-4,HF 90-1,HF 90-2,HF 90-3,HF 90-4,HF 110-1,HF 110-2,HF 110-3,HF 110-4,HF 130-1,HF 130-2,HF 130-3,HF 130-4,HFG 10,HFG 35,HFG 60,HFG 85,HFG 110,HFG 135
 0.0000000E+000, 0.0000000E+000,-3.6957459E-004,-3.7870628E-004,-3.9023324E-004,-4.0655536E-004,-3.6169316E-004,-3.8643784E-004,-4.0771330E-004,-4.3319766E-004,-4.8010352E-004,-5.1785395E-004,-5.4694208E-004,-5.8258014E-004,-6.9542866E-004,-7.5168238E-004,-7.9160121E-004,-8.4017850E-004,-8.8727919E-005,-9.5699674E-005,-9.0741068E-005,-7.9802943E-005,-7.8980367E-005,-8.8916616E-005,-8.8205597E-005,-7.7692691E-005,-8.7299350E-005,-9.7687636E-005,-9.9547311E-005,-9.0056632E-005,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011
 2.0088467E+000, 0.0000000E+000, 1.9564489E+000, 2.9590931E+000, 2.5655388E+000, 1.0850847E+000, 6.9552143E-001, 1.0077335E+000, 8.2241489E-001, 3.2569452E-001, 2.3790898E-001, 3.0840373E-001, 2.6464232E-001, 1.1207846E-001, 5.1494471E-002, 6.1593806E-002, 5.6018151E-002, 3.5901920E-002, 1.0327452E-002, 1.1611838E-002, 1.1196924E-002, 9.5930516E-003, 6.3954846E-003, 6.3955978E-003, 6.2696785E-003, 6.4851688E-003, 4.6139882E-003, 4.2598414E-003, 4.5873711E-003, 4.7617562E-003, 7.0712314E-002, 5.5566907E-002, 3.8834339E-002, 1.4877113E-002, 9.9097483E-003, 6.7023264E-003
 4.0028891E+000, 1.3544329E+001, 1.6956746E+001, 2.4987934E+001, 1.3305585E+001, 4.0176457E+000, 9.5282135E+000, 7.3791604E+000, 3.6517071E+000, 1.3163513E+000, 5.1786226E+000, 3.3397322E+000, 1.6501439E+000, 5.7339421E-001, 3.1633212E+000, 1.9804420E+000, 1.0211848E+000, 3.3973484E-001, 2.1009475E+000, 1.3823413E+000, 7.3717482E-001, 2.4242499E-001, 1.4609900E+000, 1.1014344E+000, 7.1057550E-001, 2.0259611E-001, 1.0306979E+000, 8.9954188E-001, 6.4210640E-001, 1.8975164E-001, 3.3200544E-001, 2.7745742E-001, 2.0720168E-001, 1.4499310E-001, 1.0127493E-001, 7.0487337E-002
 6.0049076E+000, 1.8570287E+001, 2.1385671E+001, 3.3138572E+001, 2.3078113E+001, 5.7581781E+000, 1.6671490E+001, 1.5007693E+001, 6.6859124E+000, 2.4653810E+000, 8.9866598E+000, 5.8500899E+000, 2.9463527E+000, 1.2081014E+000, 5.5541566E+000, 3.4409636E+000, 1.9132963E+000, 6.9308535E-001, 4.0417960E+000, 2.5376961E+000, 1.3988237E+000, 4.9422924E-001, 3.1687123E+000, 1.9321747E+000, 1.1347717E+000, 4.5210622E-001, 2.5520906E+000, 1.5780954E+000, 9.4916119E-001, 4.3497753E-001, 5.0337684E-001, 4.4862725E-001, 3.4444454E-001, 2.5128690E-001, 1.8068160E-001, 1.2809282E-001
 8.0017250E+000, 1.7490317E+001, 2.5053828E+001, 3.0735346E+001, 2.4436830E+001, 6.4325215E+000, 2.0437189E+001, 1.8377854E+001, 9.3874484E+000, 3.0504350E+000, 1.0278344E+001, 8.2464296E+000, 5.0582351E+000, 2.0231982E+000, 6.1550773E+000, 5.0308174E+000, 3.5584513E+000, 1.5749655E+000, 4.1956784E+000, 3.5977778E+000, 2.5844983E+000, 1.1512955E+000, 3.0972975E+000, 2.6596724E+000, 1.9737204E+000, 9.8011895E-001, 2.3912685E+000, 2.1125840E+000, 1.5666117E+000, 8.5542340E-001, 6.1653777E-001, 5.6601390E-001, 4.3826958E-001, 3.2335366E-001, 2.3072029E-001, 1.6187717E-001
 1.0002549E+001, 2.8632280E+001, 2.5689020E+001, 3.2103033E+001, 2.5735241E+001, 7.0545413E+000, 2.5057513E+001, 2.2041549E+001, 1.1524081E+001, 3.8605194E+000, 1.3928979E+001, 1.0338366E+001, 5.6328578E+000, 2.1058899E+000, 7.8725619E+000, 5.6211831E+000, 3.6158076E+000, 1.3702709E+000, 4.9857782E+000, 3.5840357E+000, 2.5623212E+000, 1.0632888E+000, 3.5088164E+000, 2.5449454E+000, 1.9342742E+000, 9.2845052E-001, 2.6213157E+000, 1.8457257E+000, 1.5369138E+000, 9.4236254E-001, 6.8982730E-001, 6.5461051E-001, 5.1028812E-001, 3.7753782E-001, 2.7175364E-001, 1.9243753E-001
 1.2003461E+001, 2.3170696E+001, 2.5931599E+001, 3.3332516E+001, 2.8064933E+001, 7.1083304E+000, 2.7048562E+001, 2.2161904E+001, 1.2036031E+001, 4.3254004E+000, 1.5752233E+001, 9.7871013E+000, 5.8458357E+000, 2.9984245E+000, 8.8708445E+000, 5.5637666E+000, 3.4590644E+000, 1.7928900E+000, 5.7760954E+000, 3.9267338E+000, 2.5445683E+000, 1.2034983E+000, 4.0004675E+000, 3.0701520E+000, 2.1549041E+000, 1.0456260E+000, 2.9285522E+000, 2.4272974E+000, 1.8074726E+000, 9.3164437E-001, 7.3095649E-001, 7.0901536E-001, 5.6561707E-001, 4.2883119E-001, 3.0878588E-001, 2.1855837E-001
 1.4004862E+001, 2.5621281E+001, 2.7959313E+001, 3.1927952E+001, 2.6786679E+001, 8.0057290E+000, 2.7903578E+001, 2.1917872E+001, 1.3980980E+001, 5.1752893E+000, 1.4843264E+001, 1.0620421E+001, 7.3063959E+000, 3.0333396E+000, 7.4740551E+000, 5.4015025E+000, 4.1434043E+000, 1.9911193E+000, 4.5271690E+000, 3.4798447E+000, 2.9115721E+000, 1.6923284E+000, 3.2331596E+000, 2.4733767E+000, 2.1514270E+000, 1.3986452E+000, 2.5570886E+000, 1.8656204E+000, 1.6207051E+000, 1.1799486E+000, 7.8225552E-001, 7.6223234E-001, 6.0381491E-001, 4.4779251E-001, 3.2238459E-001, 2.2748196E-001
 1.6004237E+001, 2.8638485E+001, 2.7830230E+001, 3.4008721E+001, 2.9114603E+001, 8.0347485E+000, 3.0996960E+001, 2.6980097E+001, 1.5590155E+001, 5.9195787E+000, 1.5020233E+001, 1.3177788E+001, 8.6004990E+000, 4.1865507E+000, 7.3426478E+000, 6.3983970E+000, 4.9053634E+000, 2.4981663E+000, 4.4952989E+000, 3.6231983E+000, 2.8824206E+000, 1.1705264E+000, 3.2530921E+000, 2.6139424E+000, 1.9825884E+000, 8.3269546E-001, 2.4041959E+000, 1.9059958E+000, 1.4559642E+000, 7.3110621E-001, 8.6151510E-001, 8.5841734E-001, 6.8266830E-001, 5.1306540E-001, 3.6578780E-001, 2.5587368E-001
 1.8003396E+001, 3.9214722E+001, 3.0195213E+001, 3.5899544E+001, 2.7697247E+001, 7.8354478E+000, 3.3718825E+001, 2.4584212E+001, 1.4593245E+001, 4.5775454E+000, 1.9584352E+001, 1.2420438E+001, 8.3978196E+000, 3.2068628E+000, 1.0563284E+001, 6.7347454E+000, 4.9495328E+000, 2.1526302E+000, 6.5834712E+000, 4.3385302E+000, 3.3502383E+000, 1.2940560E+000, 4.8165777E+000, 3.3732638E+000, 2.4490221E+000, 9.7826714E-001, 3.7906786E+000, 2.7263077E+000, 1.8830451E+000, 8.9394408E-001, 8.3763075E-001, 8.4320951E-001, 6.8954525E-001, 5.3454448E-001, 3.9205286E-001, 2.8250133E-001
 2.0003461E+001, 3.7003912E+001, 2.7718837E+001, 2.9223251E+001, 2.6134981E+001, 7.2647168E+000, 3.3070888E+001, 2.5437659E+001, 1.3937791E+001, 4.7600399E+000, 2.1253992E+001, 1.3599792E+001, 7.0668249E+000, 2.7484437E+000, 1.2151370E+001, 7.5368756E+000, 4.3414844E+000, 1.6828501E+000, 7.7605385E+000, 5.3965018E+000, 3.4229691E+000, 1.2699334E+000, 5.5157930E+000, 4.1940963E+000, 2.8819379E+000, 1.0217324E+000, 4.3623383E+000, 3.3722401E+000, 2.4038618E+000, 9.7419126E-001, 8.4610849E-001, 8.5263881E-001, 7.0114733E-001, 5.4418526E-001, 4.0027838E-001, 2.8758755E-001
 2.2001486E+001, 3.6254976E+001, 2.9129747E+001, 3.3043044E+001, 2.7033580E+001, 8.0300118E+000, 3.2634570E+001, 2.5778705E+001, 1.5010319E+001, 5.0027350E+000, 1.9392939E+001, 1.2635335E+001, 8.3493472E+000, 3.1327306E+000, 1.1445580E+001, 7.5242437E+000, 5.4472034E+000, 1.9803132E+000, 7.6512993E+000, 5.2346065E+000, 3.7695950E+000, 1.7064734E+000, 5.5535089E+000, 3.8829658E+000, 2.8322553E+000, 1.4368208E+000, 4.1552881E+000, 3.2483414E+000, 2.4428034E+000, 1.2374307E+000, 8.7605212E-001, 8.7535821E-001, 7.1598982E-001, 5.5309541E-001, 4.1021367E-001, 2.9424391E-001
 2.4003179E+001, 3.1507706E+001, 2.6105191E+001, 3.1545657E+001, 2.7273219E+001, 7.3989918E+000, 3.3396845E+001, 2.7363256E+001, 1.5017408E+001, 5.0949242E+000, 2.1589153E+001, 1.5060712E+001, 9.0428508E+000, 3.8665077E+000, 1.2628459E+001, 8.8838550E+000, 5.6832953E+000, 2.4174885E+000, 7.9200448E+000, 6.0716122E+000, 3.9526818E+000, 1.4726906E+000, 5.7813149E+000, 4.5550663E+000, 3.0053496E+000, 1.0685538E+000, 4.3903267E+000, 3.4765981E+000, 2.5180731E+000, 1.0411630E+000, 8.9638786E-001, 9.1385434E-001, 7.5052779E-001, 5.7012912E-001, 4.1834088E-001, 3.0004954E-001
 2.6001982E+001, 3.7724867E+001, 2.7150204E+001, 3.0718763E+001, 2.7536733E+001, 7.5079678E+000, 3.4004955E+001, 2.7820412E+001, 1.3485091E+001, 4.6917136E+000, 2.4015418E+001, 1.5348053E+001, 7.5809121E+000, 3.1675542E+000, 1.4658208E+001, 8.7404652E+000, 4.5885175E+000, 1.8886039E+000, 9.7577200E+000, 6.0539511E+000, 3.6769872E+000, 1.6798204E+000, 6.1511503E+000, 4.3871421E+000, 2.8794414E+000, 1.3472199E+000, 4.1275523E+000, 3.1856370E+000, 2.3071976E+000, 9.5214331E-001, 8.8261747E-001, 8.9486622E-001, 7.3986549E-001, 5.7956234E-001, 4.2881917E-001, 3.0807324E-001
 2.8000008E+001, 3.0224418E+001, 3.0039367E+001, 3.4201204E+001, 2.8795520E+001, 7.9095872E+000, 3.3783141E+001, 2.7825669E+001, 1.6124929E+001, 5.1999255E+000, 2.1209406E+001, 1.5637053E+001, 1.0043176E+001, 3.4693711E+000, 1.1715925E+001, 9.0007449E+000, 6.5687143E+000, 2.8694546E+000, 7.5014947E+000, 5.3991328E+000, 3.9860142E+000, 2.0819442E+000, 5.6278158E+000, 4.0925934E+000, 3.0523019E+000, 1.7411337E+000, 4.4372248E+000, 3.4831216E+000, 2.7633409E+000, 1.6898544E+000, 9.2036290E-001, 9.2679432E-001, 7.5632943E-001, 5.7669491E-001, 4.2289274E-001, 3.0228873E-001
 3.0000209E+001, 3.5707613E+001, 2.9832382E+001, 3.3874672E+001, 2.9259797E+001, 9.4218192E+000, 3.3901973E+001, 2.5505051E+001, 1.5262493E+001, 5.7874936E+000, 2.0213746E+001, 1.1605820E+001, 6.9527274E+000, 3.4090040E+000, 1.0872190E+001, 6.8726300E+000, 4.8268585E+000, 2.4739029E+000, 6.2452195E+000, 4.3550895E+000, 3.4661278E+000, 2.3593470E+000, 4.2520919E+000, 3.3230268E+000, 2.6054298E+000, 1.7853291E+000, 3.1228622E+000, 2.6957657E+000, 2.1748166E+000, 1.3409446E+000, 9.4207065E-001, 9.4903162E-001, 7.7965015E-001, 6.0302164E-001, 4.4282834E-001, 3.1594773E-001
 3.2002018E+001, 4.3590719E+001, 2.7680648E+001, 3.0343892E+001, 2.4909903E+001, 7.6776726E+000, 3.2592525E+001, 2.6976535E+001, 1.6213022E+001, 5.3411296E+000, 2.1531663E+001, 1.6462527E+001, 1.0726687E+001, 4.6347643E+000, 1.2562386E+001, 8.6909757E+000, 6.0908343E+000, 3.5876802E+000, 8.0870350E+000, 5.4596179E+000, 3.8200414E+000, 2.3373657E+000, 5.6301703E+000, 3.9482990E+000, 2.8296191E+000, 1.5266900E+000, 4.2616522E+000, 3.1754305E+000, 2.3781592E+000, 1.1595094E+000, 9.2021332E-001, 9.4688682E-001, 7.9278464E-001, 6.1589362E-001, 4.5701036E-001, 3.2776693E-001
 3.4001242E+001, 4.4511862E+001, 2.5125493E+001, 2.9463322E+001, 2.5724811E+001, 7.2751426E+000, 3.3509197E+001, 2.6118344E+001, 1.5483150E+001, 4.9836919E+000, 2.4243470E+001, 1.6323141E+001, 9.8508618E+000, 3.6271717E+000, 1.4511888E+001, 1.0132859E+001, 6.8800508E+000, 3.0144231E+000, 9.3830479E+000, 6.9181725E+000, 4.9969290E+000, 2.5694337E+000, 6.3398128E+000, 4.8897665E+000, 3.5232475E+000, 2.1920738E+000, 4.6213790E+000, 3.8484061E+000, 2.6526316E+000, 1.6456248E+000, 9.1992395E-001, 9.5175796E-001, 7.9930367E-001, 6.4394081E-001, 4.8070140E-001, 3.4490984E-001
