s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HF 10-1","HF 10-2","HF 10-3","HF 10-4","HF 30-1","HF 30-2","HF 30-3","HF 30-4","HF 50-1","HF 50-2","HF 50-3","HF 50-4","HF 70-1","HF 70-2","HF 70-3","HF 70-4","HF 90-1","HF 90-2","HF 90-3","HF 90-4","HF 110-1","HF 110-2","HF 110-3","HF 110-4","HF 130-1","HF 130-2","HF 130-3","HF 130-4","Rad 10","Rad 35","Rad 60","Rad 85","Rad 110","Rad 135"
 0.0000000E+000,-6.6870132E-004,-5.0129123E-004,-8.4388489E-004,-9.2880692E-004,-1.2282206E-003,-8.5201369E-004,-1.1626733E-003,-1.1450976E-003,-1.0021558E-003,-4.4120175E-004,-7.4671236E-004,-6.3098076E-004,-8.5501627E-004,-2.6807662E-004,-5.5364866E-004,-5.5159236E-004,-8.5296958E-004,-2.7148847E-004,-5.5678239E-004,-5.5190740E-004,-8.2321001E-004,-2.5357758E-004,-5.2180685E-004,-5.5190740E-004,-7.0617086E-004,-1.9715575E-004,-3.3592504E-004,-4.3145136E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000343E+001, 2.3492383E+001, 3.7766148E+001, 5.0051466E+001, 1.4199988E+001, 5.0961027E+001, 3.3090630E+001, 1.5719789E+001, 5.7304654E+000, 3.3515940E+001, 2.2634495E+001, 1.2995333E+001, 6.2060359E+000, 1.9876040E+001, 1.2517325E+001, 8.0002712E+000, 4.2847994E+000, 1.0889996E+001, 7.4260757E+000, 4.7653980E+000, 2.7220715E+000, 6.3357875E+000, 4.3933069E+000, 2.9109547E+000, 1.6434142E+000, 3.9852489E+000, 2.9082649E+000, 2.0550288E+000, 1.2762681E+000, 8.4926554E-001, 1.2557985E+000, 1.1253512E+000, 4.8403646E-001, 3.5088450E-001, 4.8450858E-001
 2.0000284E+001, 2.6855893E+001, 4.9688177E+001, 6.2011275E+001, 1.6937869E+001, 6.8826015E+001, 4.4437053E+001, 1.9910929E+001, 6.8589758E+000, 4.8634513E+001, 2.9739054E+001, 1.5319518E+001, 6.1764740E+000, 3.1569781E+001, 1.9907825E+001, 1.0163970E+001, 4.3963391E+000, 1.9278452E+001, 1.1207462E+001, 6.2474546E+000, 3.2085384E+000, 1.1006861E+001, 6.6947498E+000, 3.8828594E+000, 2.2035085E+000, 6.4776678E+000, 4.4838975E+000, 2.8143457E+000, 1.7121735E+000, 1.1041576E+000, 1.6433350E+000, 1.5359426E+000, 7.7265911E-001, 4.8401107E-001, 5.9904183E-001
 3.0000137E+001, 2.8563793E+001, 6.3671834E+001, 6.3441961E+001, 1.6466319E+001, 6.8887686E+001, 4.9257891E+001, 2.0007557E+001, 7.4127034E+000, 5.5503011E+001, 3.6286172E+001, 1.6962112E+001, 7.0248255E+000, 4.3699447E+001, 2.6239695E+001, 1.3978023E+001, 5.9885391E+000, 3.0398232E+001, 1.8608660E+001, 1.0683140E+001, 4.8329671E+000, 2.1209759E+001, 1.2692138E+001, 6.7711045E+000, 3.4008489E+000, 1.4271138E+001, 9.2980263E+000, 4.8891450E+000, 2.5542467E+000, 1.3105070E+000, 1.9446534E+000, 1.9110845E+000, 1.1588907E+000, 8.1319459E-001, 8.5413186E-001
 4.0000072E+001, 3.3337969E+001, 7.6566287E+001, 6.2884863E+001, 1.9435078E+001, 6.3023940E+001, 5.3335659E+001, 2.5997114E+001, 8.4548547E+000, 5.6541088E+001, 4.3130513E+001, 2.1423949E+001, 9.2554453E+000, 5.1312695E+001, 3.5769245E+001, 1.8531199E+001, 8.5492359E+000, 4.6619229E+001, 3.0104952E+001, 1.7665247E+001, 8.2081694E+000, 3.8136475E+001, 2.3661157E+001, 1.3757048E+001, 7.3466215E+000, 2.8342256E+001, 1.7664709E+001, 1.0175977E+001, 5.7369639E+000, 1.6188995E+000, 2.2435510E+000, 2.3387516E+000, 1.6705804E+000, 1.3868550E+000, 1.3587309E+000
 5.0000160E+001, 3.7847115E+001, 7.3292199E+001, 6.1289456E+001, 1.8789503E+001, 6.4633579E+001, 5.8452726E+001, 3.0443566E+001, 9.4119445E+000, 5.8743693E+001, 5.0607050E+001, 2.4128419E+001, 1.0392809E+001, 5.8151683E+001, 4.5785006E+001, 2.2290693E+001, 9.8277079E+000, 5.3848875E+001, 4.0584824E+001, 2.1920049E+001, 1.0573024E+001, 4.9712354E+001, 3.3419835E+001, 1.8799068E+001, 9.8442903E+000, 4.3917453E+001, 2.7300986E+001, 1.5166729E+001, 8.4088150E+000, 1.9489499E+000, 2.5825951E+000, 2.6830180E+000, 2.1319638E+000, 1.8576799E+000, 1.8698363E+000
 6.0000152E+001, 3.7976610E+001, 6.9432752E+001, 5.9115752E+001, 2.2286621E+001, 6.4486112E+001, 5.8882981E+001, 3.9965810E+001, 1.0951670E+001, 5.8882364E+001, 5.8817380E+001, 3.3918218E+001, 1.3855489E+001, 6.0112416E+001, 5.5506942E+001, 3.2422794E+001, 1.4330066E+001, 6.0707445E+001, 5.1792972E+001, 3.0221073E+001, 1.4892444E+001, 5.8857344E+001, 4.7250910E+001, 2.7349339E+001, 1.4534657E+001, 5.6577792E+001, 4.1599552E+001, 2.3433769E+001, 1.2779616E+001, 2.2108848E+000, 2.8576169E+000, 3.0393542E+000, 2.5869521E+000, 2.3898511E+000, 2.3529289E+000
 7.0000284E+001, 4.2516809E+001, 6.9488884E+001, 5.8366641E+001, 2.2617911E+001, 6.3811062E+001, 5.8131882E+001, 4.5301165E+001, 1.2899486E+001, 5.9387365E+001, 5.9753723E+001, 4.1104657E+001, 1.6687101E+001, 6.1715176E+001, 6.1733295E+001, 4.3612032E+001, 1.8155247E+001, 6.4078708E+001, 6.3375246E+001, 4.3335017E+001, 1.8858199E+001, 6.5095730E+001, 6.1889383E+001, 4.0980481E+001, 1.9278937E+001, 6.3678781E+001, 5.6595330E+001, 3.5722052E+001, 1.7030961E+001, 2.5224175E+000, 3.1795648E+000, 3.3768061E+000, 3.0776568E+000, 2.9350227E+000, 2.9312041E+000
 8.0000146E+001, 5.2069725E+001, 6.5785414E+001, 5.6329581E+001, 2.9155272E+001, 6.3080335E+001, 5.7069393E+001, 5.1708997E+001, 1.4540836E+001, 5.8220622E+001, 6.0231295E+001, 4.6151566E+001, 1.7595621E+001, 6.1417445E+001, 6.2698306E+001, 4.9124318E+001, 1.9738239E+001, 6.4536206E+001, 6.6958725E+001, 5.0316258E+001, 2.2388682E+001, 6.5469298E+001, 6.8624686E+001, 5.0517682E+001, 2.2166855E+001, 6.5032507E+001, 6.7971679E+001, 4.7335927E+001, 2.1455887E+001, 2.7014849E+000, 3.3492049E+000, 3.5952861E+000, 3.3947797E+000, 3.2644677E+000, 3.3355122E+000
