m,m/s,C
z,u,T
 2.0000000E-001, 5.8498611E+000, 1.5684694E+001
 7.2203390E-001, 6.9238745E+000, 1.5445523E+001
 1.2440678E+000, 7.1674643E+000, 1.5369239E+001
 1.7661017E+000, 7.3360832E+000, 1.5311001E+001
 2.2881356E+000, 7.4434450E+000, 1.5264496E+001
 2.8101695E+000, 7.5456274E+000, 1.5223663E+001
 3.3322034E+000, 7.6408346E+000, 1.5188106E+001
 3.8542373E+000, 7.7299008E+000, 1.5156204E+001
 4.3762712E+000, 7.8085814E+000, 1.5125937E+001
 4.8983051E+000, 7.9069027E+000, 1.5097573E+001
 5.4203390E+000, 7.9069027E+000, 1.5097573E+001
 5.9423729E+000, 7.9795099E+000, 1.5070530E+001
 6.4644068E+000, 8.0539937E+000, 1.5043164E+001
 6.9864407E+000, 8.0539937E+000, 1.5043164E+001
 7.5084746E+000, 8.1313211E+000, 1.5016435E+001
 8.0305085E+000, 8.1313211E+000, 1.5016435E+001
 8.5525424E+000, 8.2371888E+000, 1.4990479E+001
 9.0745763E+000, 8.3301665E+000, 1.4965970E+001
 9.5966102E+000, 8.3301665E+000, 1.4965970E+001
 1.0118644E+001, 8.4513218E+000, 1.4940984E+001
 1.0640678E+001, 8.4513218E+000, 1.4940984E+001
 1.1162712E+001, 8.5599592E+000, 1.4916690E+001
 1.1684746E+001, 8.5599592E+000, 1.4916690E+001
 1.2206780E+001, 8.6582368E+000, 1.4894526E+001
 1.2728814E+001, 8.6582368E+000, 1.4894526E+001
 1.3250847E+001, 8.7575005E+000, 1.4872374E+001
 1.3772881E+001, 8.7575005E+000, 1.4872374E+001
 1.4294915E+001, 8.7575005E+000, 1.4872374E+001
 1.4816949E+001, 8.8427531E+000, 1.4849515E+001
 1.5338983E+001, 8.8427531E+000, 1.4849515E+001
 1.5861017E+001, 8.9715022E+000, 1.4826444E+001
 1.6383051E+001, 8.9715022E+000, 1.4826444E+001
 1.6905085E+001, 9.0895988E+000, 1.4804009E+001
 1.7427119E+001, 9.0895988E+000, 1.4804009E+001
 1.7949153E+001, 9.0895988E+000, 1.4804009E+001
 1.8471186E+001, 9.1845323E+000, 1.4781936E+001
 1.8993220E+001, 9.1845323E+000, 1.4781936E+001
 1.9515254E+001, 9.2643163E+000, 1.4760042E+001
 2.0037288E+001, 9.2643163E+000, 1.4760042E+001
 2.0559322E+001, 9.2643163E+000, 1.4760042E+001
 2.1081356E+001, 9.3646572E+000, 1.4738474E+001
 2.1603390E+001, 9.3646572E+000, 1.4738474E+001
 2.2125424E+001, 9.3646572E+000, 1.4738474E+001
 2.2647458E+001, 9.4495566E+000, 1.4717833E+001
 2.3169492E+001, 9.4495566E+000, 1.4717833E+001
 2.3691525E+001, 9.4495566E+000, 1.4717833E+001
 2.4213559E+001, 9.5928573E+000, 1.4697415E+001
 2.4735593E+001, 9.5928573E+000, 1.4697415E+001
 2.5257627E+001, 9.5928573E+000, 1.4697415E+001
 2.5779661E+001, 9.6310574E+000, 1.4676794E+001
 2.6301695E+001, 9.6310574E+000, 1.4676794E+001
 2.6823729E+001, 9.6310574E+000, 1.4676794E+001
 2.7345763E+001, 9.7179226E+000, 1.4656281E+001
 2.7867797E+001, 9.7179226E+000, 1.4656281E+001
 2.8389831E+001, 9.7179226E+000, 1.4656281E+001
 2.8911864E+001, 9.8053617E+000, 1.4636013E+001
 2.9433898E+001, 9.8053617E+000, 1.4636013E+001
 2.9955932E+001, 9.8053617E+000, 1.4636013E+001
 3.0477966E+001, 9.8391894E+000, 1.4617420E+001
 3.1000000E+001, 9.8391894E+000, 1.4617420E+001
