m,m/s,C
z,u,T
 2.0000000E-001, 3.6230719E+000, 3.5606572E+001
 7.2203390E-001, 4.6263924E+000, 3.5468821E+001
 1.2440678E+000, 4.8582652E+000, 3.5423329E+001
 1.7661017E+000, 5.0504028E+000, 3.5386566E+001
 2.2881356E+000, 5.1763854E+000, 3.5358300E+001
 2.8101695E+000, 5.2597146E+000, 3.5335370E+001
 3.3322034E+000, 5.3501332E+000, 3.5313275E+001
 3.8542373E+000, 5.4213680E+000, 3.5292391E+001
 4.3762712E+000, 5.5068100E+000, 3.5271112E+001
 4.8983051E+000, 5.5764915E+000, 3.5250320E+001
 5.4203390E+000, 5.5764915E+000, 3.5250320E+001
 5.9423729E+000, 5.6416492E+000, 3.5232195E+001
 6.4644068E+000, 5.7106386E+000, 3.5212924E+001
 6.9864407E+000, 5.7106386E+000, 3.5212924E+001
 7.5084746E+000, 5.8060573E+000, 3.5192588E+001
 8.0305085E+000, 5.8060573E+000, 3.5192588E+001
 8.5525424E+000, 5.8831734E+000, 3.5173069E+001
 9.0745763E+000, 5.9546856E+000, 3.5153545E+001
 9.5966102E+000, 5.9546856E+000, 3.5153545E+001
 1.0118644E+001, 6.0556061E+000, 3.5134419E+001
 1.0640678E+001, 6.0556061E+000, 3.5134419E+001
 1.1162712E+001, 6.1456331E+000, 3.5116975E+001
 1.1684746E+001, 6.1456331E+000, 3.5116975E+001
 1.2206780E+001, 6.2436939E+000, 3.5098319E+001
 1.2728814E+001, 6.2436939E+000, 3.5098319E+001
 1.3250847E+001, 6.3893606E+000, 3.5077981E+001
 1.3772881E+001, 6.3893606E+000, 3.5077981E+001
 1.4294915E+001, 6.3893606E+000, 3.5077981E+001
 1.4816949E+001, 6.5160635E+000, 3.5057545E+001
 1.5338983E+001, 6.5160635E+000, 3.5057545E+001
 1.5861017E+001, 6.6087401E+000, 3.5037790E+001
 1.6383051E+001, 6.6087401E+000, 3.5037790E+001
 1.6905085E+001, 6.7506176E+000, 3.5018104E+001
 1.7427119E+001, 6.7506176E+000, 3.5018104E+001
 1.7949153E+001, 6.7506176E+000, 3.5018104E+001
 1.8471186E+001, 6.8794011E+000, 3.4998171E+001
 1.8993220E+001, 6.8794011E+000, 3.4998171E+001
 1.9515254E+001, 7.0328337E+000, 3.4978283E+001
 2.0037288E+001, 7.0328337E+000, 3.4978283E+001
 2.0559322E+001, 7.0328337E+000, 3.4978283E+001
 2.1081356E+001, 7.1558745E+000, 3.4958900E+001
 2.1603390E+001, 7.1558745E+000, 3.4958900E+001
 2.2125424E+001, 7.1558745E+000, 3.4958900E+001
 2.2647458E+001, 7.2598625E+000, 3.4939864E+001
 2.3169492E+001, 7.2598625E+000, 3.4939864E+001
 2.3691525E+001, 7.2598625E+000, 3.4939864E+001
 2.4213559E+001, 7.2921065E+000, 3.4920490E+001
 2.4735593E+001, 7.2921065E+000, 3.4920490E+001
 2.5257627E+001, 7.2921065E+000, 3.4920490E+001
 2.5779661E+001, 7.4061476E+000, 3.4901294E+001
 2.6301695E+001, 7.4061476E+000, 3.4901294E+001
 2.6823729E+001, 7.4061476E+000, 3.4901294E+001
 2.7345763E+001, 7.5039556E+000, 3.4882066E+001
 2.7867797E+001, 7.5039556E+000, 3.4882066E+001
 2.8389831E+001, 7.5039556E+000, 3.4882066E+001
 2.8911864E+001, 7.5443519E+000, 3.4862917E+001
 2.9433898E+001, 7.5443519E+000, 3.4862917E+001
 2.9955932E+001, 7.5443519E+000, 3.4862917E+001
 3.0477966E+001, 7.4862663E+000, 3.4844960E+001
 3.1000000E+001, 7.4862663E+000, 3.4844960E+001
