m,m/s,C
z,u,T
 2.0000000E-001, 3.4414730E-001, 3.1019422E+001
 7.2203390E-001, 8.5858763E-001, 3.1858873E+001
 1.2440678E+000, 1.0214804E+000, 3.2082352E+001
 1.7661017E+000, 1.1843034E+000, 3.2272805E+001
 2.2881356E+000, 1.3544815E+000, 3.2452271E+001
 2.8101695E+000, 1.5206804E+000, 3.2603918E+001
 3.3322034E+000, 1.6801404E+000, 3.2729086E+001
 3.8542373E+000, 1.8295190E+000, 3.2846072E+001
 4.3762712E+000, 1.9790551E+000, 3.2971399E+001
 4.8983051E+000, 2.1520742E+000, 3.3108816E+001
 5.4203390E+000, 2.1520742E+000, 3.3108816E+001
 5.9423729E+000, 2.3391487E+000, 3.3236491E+001
 6.4644068E+000, 2.5011667E+000, 3.3362714E+001
 6.9864407E+000, 2.5011667E+000, 3.3362714E+001
 7.5084746E+000, 2.6476728E+000, 3.3497161E+001
 8.0305085E+000, 2.6476728E+000, 3.3497161E+001
 8.5525424E+000, 2.7817931E+000, 3.3625399E+001
 9.0745763E+000, 2.8990170E+000, 3.3751859E+001
 9.5966102E+000, 2.8990170E+000, 3.3751859E+001
 1.0118644E+001, 3.0318209E+000, 3.3880602E+001
 1.0640678E+001, 3.0318209E+000, 3.3880602E+001
 1.1162712E+001, 3.1574705E+000, 3.4022102E+001
 1.1684746E+001, 3.1574705E+000, 3.4022102E+001
 1.2206780E+001, 3.3082029E+000, 3.4163843E+001
 1.2728814E+001, 3.3082029E+000, 3.4163843E+001
 1.3250847E+001, 3.4586569E+000, 3.4300526E+001
 1.3772881E+001, 3.4586569E+000, 3.4300526E+001
 1.4294915E+001, 3.4586569E+000, 3.4300526E+001
 1.4816949E+001, 3.5901410E+000, 3.4452758E+001
 1.5338983E+001, 3.5901410E+000, 3.4452758E+001
 1.5861017E+001, 3.7803920E+000, 3.4610928E+001
 1.6383051E+001, 3.7803920E+000, 3.4610928E+001
 1.6905085E+001, 3.9983698E+000, 3.4784922E+001
 1.7427119E+001, 3.9983698E+000, 3.4784922E+001
 1.7949153E+001, 3.9983698E+000, 3.4784922E+001
 1.8471186E+001, 4.2109380E+000, 3.4985910E+001
 1.8993220E+001, 4.2109380E+000, 3.4985910E+001
 1.9515254E+001, 4.4773622E+000, 3.5197068E+001
 2.0037288E+001, 4.4773622E+000, 3.5197068E+001
 2.0559322E+001, 4.4773622E+000, 3.5197068E+001
 2.1081356E+001, 4.7230342E+000, 3.5402634E+001
 2.1603390E+001, 4.7230342E+000, 3.5402634E+001
 2.2125424E+001, 4.7230342E+000, 3.5402634E+001
 2.2647458E+001, 4.9313856E+000, 3.5598607E+001
 2.3169492E+001, 4.9313856E+000, 3.5598607E+001
 2.3691525E+001, 4.9313856E+000, 3.5598607E+001
 2.4213559E+001, 5.1835973E+000, 3.5795091E+001
 2.4735593E+001, 5.1835973E+000, 3.5795091E+001
 2.5257627E+001, 5.1835973E+000, 3.5795091E+001
 2.5779661E+001, 5.3882461E+000, 3.6007372E+001
 2.6301695E+001, 5.3882461E+000, 3.6007372E+001
 2.6823729E+001, 5.3882461E+000, 3.6007372E+001
 2.7345763E+001, 5.5610051E+000, 3.6224979E+001
 2.7867797E+001, 5.5610051E+000, 3.6224979E+001
 2.8389831E+001, 5.5610051E+000, 3.6224979E+001
 2.8911864E+001, 5.7200716E+000, 3.6423382E+001
 2.9433898E+001, 5.7200716E+000, 3.6423382E+001
 2.9955932E+001, 5.7200716E+000, 3.6423382E+001
 3.0477966E+001, 5.8086799E+000, 3.6567611E+001
 3.1000000E+001, 5.8086799E+000, 3.6567611E+001
