m,m/s,C
z,u,T
 2.0000000E-001, 5.0701308E+000, 4.2172662E+001
 7.2203390E-001, 6.0775472E+000, 3.9797222E+001
 1.2440678E+000, 6.2495527E+000, 3.9229712E+001
 1.7661017E+000, 6.3909466E+000, 3.8842981E+001
 2.2881356E+000, 6.4905572E+000, 3.8542683E+001
 2.8101695E+000, 6.5459283E+000, 3.8311087E+001
 3.3322034E+000, 6.5978833E+000, 3.8118292E+001
 3.8542373E+000, 6.6654404E+000, 3.7945833E+001
 4.3762712E+000, 6.7171926E+000, 3.7807576E+001
 4.8983051E+000, 6.7736930E+000, 3.7681020E+001
 5.4203390E+000, 6.7736930E+000, 3.7681020E+001
 5.9423729E+000, 6.8485456E+000, 3.7569659E+001
 6.4644068E+000, 6.8756759E+000, 3.7479264E+001
 6.9864407E+000, 6.8756759E+000, 3.7479264E+001
 7.5084746E+000, 6.9064995E+000, 3.7378211E+001
 8.0305085E+000, 6.9064995E+000, 3.7378211E+001
 8.5525424E+000, 6.9675777E+000, 3.7279828E+001
 9.0745763E+000, 7.0322624E+000, 3.7193745E+001
 9.5966102E+000, 7.0322624E+000, 3.7193745E+001
 1.0118644E+001, 7.0631444E+000, 3.7122323E+001
 1.0640678E+001, 7.0631444E+000, 3.7122323E+001
 1.1162712E+001, 7.0570238E+000, 3.7057437E+001
 1.1684746E+001, 7.0570238E+000, 3.7057437E+001
 1.2206780E+001, 7.0105579E+000, 3.7012569E+001
 1.2728814E+001, 7.0105579E+000, 3.7012569E+001
 1.3250847E+001, 7.0109290E+000, 3.6976647E+001
 1.3772881E+001, 7.0109290E+000, 3.6976647E+001
 1.4294915E+001, 7.0109290E+000, 3.6976647E+001
 1.4816949E+001, 7.0180645E+000, 3.6943325E+001
 1.5338983E+001, 7.0180645E+000, 3.6943325E+001
 1.5861017E+001, 7.0112423E+000, 3.6905539E+001
 1.6383051E+001, 7.0112423E+000, 3.6905539E+001
 1.6905085E+001, 6.9905196E+000, 3.6886768E+001
 1.7427119E+001, 6.9905196E+000, 3.6886768E+001
 1.7949153E+001, 6.9905196E+000, 3.6886768E+001
 1.8471186E+001, 6.9796708E+000, 3.6880318E+001
 1.8993220E+001, 6.9796708E+000, 3.6880318E+001
 1.9515254E+001, 7.0065285E+000, 3.6866332E+001
 2.0037288E+001, 7.0065285E+000, 3.6866332E+001
 2.0559322E+001, 7.0065285E+000, 3.6866332E+001
 2.1081356E+001, 7.0221692E+000, 3.6840755E+001
 2.1603390E+001, 7.0221692E+000, 3.6840755E+001
 2.2125424E+001, 7.0221692E+000, 3.6840755E+001
 2.2647458E+001, 7.0081419E+000, 3.6826682E+001
 2.3169492E+001, 7.0081419E+000, 3.6826682E+001
 2.3691525E+001, 7.0081419E+000, 3.6826682E+001
 2.4213559E+001, 7.0140592E+000, 3.6788334E+001
 2.4735593E+001, 7.0140592E+000, 3.6788334E+001
 2.5257627E+001, 7.0140592E+000, 3.6788334E+001
 2.5779661E+001, 7.0549851E+000, 3.6726592E+001
 2.6301695E+001, 7.0549851E+000, 3.6726592E+001
 2.6823729E+001, 7.0549851E+000, 3.6726592E+001
 2.7345763E+001, 7.0399645E+000, 3.6649997E+001
 2.7867797E+001, 7.0399645E+000, 3.6649997E+001
 2.8389831E+001, 7.0399645E+000, 3.6649997E+001
 2.8911864E+001, 7.1200855E+000, 3.6571776E+001
 2.9433898E+001, 7.1200855E+000, 3.6571776E+001
 2.9955932E+001, 7.1200855E+000, 3.6571776E+001
 3.0477966E+001, 7.1863950E+000, 3.6513363E+001
 3.1000000E+001, 7.1863950E+000, 3.6513363E+001
